title,comment,rating
Whiplash,"Silly, I know a lot of drummers and this boy was close to a metronome. AMAZINGLY un realistic. If the instructor is THAT good, why isn't he gigging?",1
Whiplash,"That...was...really bad. I have no words. I literally thought maybe I was watching the wrong movie after hearing all the good reviews.

I love JK Simmons too...great actor! And Paul Reiser...another great actor!

But...wow. Had to vent after watching that. Nothing made sense or had any tie to reality or music...which would be fine for the sake of a movie...we kept hoping it would have some really creative twist that would make it all make sense...but it never came. We were left dumb-founded and confused and amazed at how this got such great accolades. I think that's why I wanted to write this review. I admire the writer / director for making a movie...that takes a lot of effort and stuff. But how it was hailed as being such a great movie is truly confusing. I never leave bad reviews...for anything! I just had to share my thoughts here...I feel like the world is trying to play a trick on my or something. Haha.

Good gracious. Terrible!",1
Whiplash,A story of abuse but lessons learned too late. Athlete A nails the story with much more craft.,1
Whiplash,"This low budget film has no business being in the top 100 user rated movies. Seriously? It is such a very predictable movie. And extremely shallow. Holy cow. I watched this movie from beginning to end and was left at the end just simply angry. This movie takes you to edge of greatness only to be left falling off into the cliff of complete abysmal disappointment. The actors are actually great, but it just doesn't take you to the next level of a very compelling and intriguing movie. It's a complete letdown movie greatness. It HAD so much potential. Don't waste two hours of your life expecting to feel empathy for the characters, or impacted by the characters, because you will only to be set up for some real movie disappointment.",1
Whiplash,"It is a rightful way to be so horrific kind of figure that is means death for a milisecond mistake in the most prestige music school whatsoever yet some way to achieve perfection, in the name of unreal Hollywood fantasy again...even if i give a head with those deadly perfectionism...there will only a cold music monster machine than a human. Just imagine every player kill each other for just a milisecond whatever, surely this unreal fantasy of Hollywood should be stoped before it gets real and be a disaster...",1
Whiplash,"Cinematography looks like urine stain. Lots of shaky hand-held camera work, lazy. The acting is atrocious. Miles Teller sucks like always. JK Simmons plays a cartoon character. The dialogue sounds like it was written by a pretentious Harvard student. This film is a rip off of Full Metal Jacket. They have the drill instructor that is loud and over the top, except the dialogue is trash. The music is boy band crap, not real Jazz. The film rips off Black Swan's plot. The drive of ambition and obsession of art forcing the individual to sacrifice everything and embrace his artistic values to the next level. Oh yeah, there was a movie called Black Swan. Nice try Chazelle, but you've been caught 2/2 ripping off other people's work. I hope Chazelle gets sued. He is no artist, he is a copycat like Tarantino.

0/10.",1
Whiplash,"My wife (a professional pedal harp player) and I watched this highly praised movie together. At the end of it with we couldn't agree more: ""what a pile of garbage!""

In short, the script wants the viewer to fall for two main assumptions. First, that the end justifies the means, which is already a very objectable idea. Second, that playing good music is 100% about how fast and precise the player can perform. Now, if you've EVER played an instrument in your life, even just as an amateur, you may realize how wrong the latter idea is.

The fact that some of the actors (i.e., Simmons) are very good and that the overall visuals are well crafted, is not enough to make the whole script look credible. Maybe if the story was not about music, but rather about, I don't know, some sport maybe, it might have worked better. As it stands, the whole movie looks cringey, unrealistic, anti-musical and a waste of the viewers' time. It is perhaps a sign of these times that so many people here on IMDB rated it highly, while the music industry sinks more and more into commercial, soulless music-making...",1
Whiplash,"This movie was okay, until the end. Throughout the movie it was mildly engaging but not overall a good movie. The ending was completely unsatisfactory as there was no real resolution, so the conflict was left undisputed. Instead of there being retribution from the character who was attacked, ridiculed and threatened throughout the entire movie, the two teamed up. Nobody wants to see a movie where everyone is happy in the end; we don't live in a fairytale. Overall, if I could rate this movie less I would, but sadly I cannot. Would not recommend to anyone and I can see how it got it's 3 academy awards.",1
Whiplash,"The poor story ruined the excellent music and cinematography. I do not understand the high ratings.

Either Fletcher needed to change or repent, or be wiped aside as a man without character and depth. His ""mission"" was self-righteous, shallow, and damaging. It was idolatry of success, not the real enjoyment of the gift of music that drove the two main characters.

Any other movie centered on art would centerpiece the enjoyment of the art. Yes, hard work and a singular focus are essential, but the movie lacked soul-would any real jazz musician enjoy it?

""Just paint harder, play harder, sing louder"" results in cacophonous effort, and nothing is communicated therein but the effort to communicate it.",1
Whiplash,"What an absolute non sense film. What a pretentious load of baloney. I would rather take a horned cactus up my arse and jump on it repeatedly rather than watching this stupid movie.

0/5 star AVOID AT ALL COST !!",1
Whiplash,"""Belief in a future heaven creates a present hell."" -Eckhart Tolle",1
Whiplash,"I hated this movie. There's nearly no plot and zero character development.

Regarding the music, if you're super into fast drum solos, sure you may find this appealing. But for me, I don't find this tasteful at all. I like jazz, but the jazz in this movie was just too noisy. I hated it.

On top of all these, this movie manages to send all the wrong messages of revenge, of bullying and of pettiness.

This was a waste of time and money.",1
Whiplash,"I highly unrecommend ,it's such a stupid,boring ,disappointed movie.",1
Whiplash,Way over done. Didn't care for it at all. Being a music in one form or an other most of my life it felt so fake as my learning process was a joy not a boot camp experience. Simmons mannerisms as the professional left me cold.,1
Whiplash,No os dejeis guiar por las criticas. Una basura de pelicula,1
Whiplash,"During the first fifty minutes of this movie, you will be subjected to so much ridiculous garbage it'll make your head spin. Unfortunately, the lead role is played by a very unconvincing and bland young actor with not much talent. It's very difficult to enjoy a movie when the lead is such an idiot and loser. He's a goofy looking schlep who somehow gets this gorgeous young girl to go out with him, then he dumps all over her to pursue his career (which he doesn't even have yet). The relationship with his family is typical Hollywood over dramatized nonsense. Plot contrivances rule the day here, and they're done so poorly and obviously that I just didn't care either way. Which brings us to the biggest flaw of all is this movie, the casting of the band director. His over the top and completely unrealistic portrayal of a driven man pushing his students is absurdly stupid. Constant swearing. I don't mind swearing, but this was just unnecessary. Then he contradicts his character by giving in to the bratty kid, who is clearly in no condition to play even though he ran to the hall after being t boned by a truck. Gimme a break. Eye rolling doo doo just continues unabated. The only person in the movie worth watching was the young and vivacious Melissa Benoist, who later found fame with Supergirl. Nothing rings true here, and not any character is remotely convincing in their role. Pure shite for those who don't understand music or movies. The uninformed who will lap up any drivel thrown their way will adore this slop. There's some good music here, even though it's clear that the people on screen aren't playing it at all. Not even close, actually.",1
Whiplash,"This was the craziest movie I've ever seen! My initial thought was that Fletcher would coach Andrew to greatest but rather he humiliated him, cursed at him, slapped him, made him bleed several times, belittled him, talked horribly about his mom, caused car accident, and I could go on and on. As someone who teaches college students and the younger generation, committing suicide is a real thing...so for that to be carelessly pointed on with the man lying about his former student getting into a car accident is crazy!!! Coaching someone to greatest doesn't take all of that. And sure, Andrew got up there and played his behind off but it became embarrassing, he sweating about to pass out from pass trauma with Fletcher and those drums...that's a horrible mindset situation. The dad saw it. I don't know how this movie got so many positive reviews but it was horrible to me and a waste of my 2 hours of time.",1
Whiplash,"It was one of the worst film that I ever seen.Why?Cause in this haul movie,there was nothing that I didn't expect.It was a film with million clichés.His mum died early,a dad who don't care about his career and love more his bigger child,a girlfriend that he see all the time,a psychopath music teacher,a boy who get insane because of the others,a car accident.Those things,you can see in every movie.And it is really similar with the film ""Shine"" who came out in the cinema in 1996.But whiplash is not even a real story so they can change the subject,the contains,the events...They had the power for change this.But they prefer to make a film who everybody will love,don't take risks.I am not just mad at the film but the people who gave awards to.Okay the music is good I love that to and I liked the way that film was filming but best writing,3 Oscars.There is so many film that is better than this.I just don't get it.Sorr,maybe there is so many people who liked it but it doesn't mean that this film was actually good.",1
Whiplash,"I can't remember the last time I saw a movie I disliked as much as ""Whiplash"". I was told it is about music, but I was misinformed. It's about sadomasochism. That any high school band director who abused students as is depicted in this awful movie would maintain his position is beyond reality.

The formal study of music requires dedication, cooperation, and respect. If the geniuses behind this production were trying to create a disincentive to study music at any level, they achieved that objective. I can't believe it won any awards. I wanted to rate it a ""zero"".

The trailer should be enough to turn anyone off.",1
Whiplash,Not sure how this film won 3 academy awards. It's only saving grace is the music.,1
Whiplash,"As a professional musician of 40 years who has worked in many facets of the industry including as an educator for primary, secondary and tertiary students I found this movie an absolute abomination, which could not be further from the truth! I have never in my lifetime encountered, or even heard of someone who would treat their students in such a way as portrayed in this film. In the real world someone who would conduct themselves in such a manner would have been arrested and charged for emotional and physical abuse. In the real world of musical education students are certainly encouraged to find their full potential but with all the care, love and concern for both the student and their craft. Certainly not as portrayed by the heartless character in this film. For this film to be nominated for so many awards is also a joke, and is indicative of the pulp fiction that Hollywood is only capable of producing.",1
Whiplash,This is truly one of the worst movies that I've ever seen. Don't be misguided by the fake reviews.,1
Whiplash,Rubbish totally wasted time on this utter garbage.Find something better to pass the time like watching vegan paint drying.,1
Whiplash,"Its a bad example of a musician. This is not how people do art and how peope teaching. It shows music only as bussines. Far away from reality. I am a musician and a teacher, i wouldnt show this movie to my students.",1
