name,rating,time,comment,title
柑橘类,2,2022-12-16 03:50:29,"父权制下的环境保护题材电影，厌女感溢出屏幕，jump scare用烂了，可能怕太无聊给你突然来一下提精神吧。很多人物不知道为什么要存在，后面看到人物作用时也在想真的需要这一剧情吗？
看完be like：该死的人类把父权制带到宇宙每个角落！",Avatar: The Way of Water
Blavck-,1,2022-12-14 21:07:28,let’s 摘掉老白男滤镜去承认卡梅隆的土和过时,Avatar: The Way of Water
马克西米利安,2,2022-12-14 17:46:49,迪斯尼可以上线新的游乐项目了。,Avatar: The Way of Water
旧日朋友,2,2022-12-14 20:18:17,地狱般的观影体验一边惊叹一边恶心一边崩溃，这套核心家庭的烂调唱得没完没了了，制作和剧情可谓一种鲜花插在牛粪上，感觉像一部斥巨资拍摄的核心家庭&多生多育的宣传广告片，剧情唯一可取点是对人类在自然面前的自大的嘲讽。人物塑造一塌糊涂，不知道从何骂起。另外别说什么血缘亲缘的了，核心家庭和亲缘这两个不同的概念经常被混淆就是文化殖民遗产，想象个外星还是一父一母小单位family stay together拜托真的不要这么无聊,Avatar: The Way of Water
穷哥们浚子,2,2022-12-16 16:46:21,一想到美国人搞的也是这种傻卵电影那我可太放心了,Avatar: The Way of Water
leo,2,2022-12-18 14:57:42,特效不足以掩盖是屎一般的剧情，美式家庭的烂俗人物设定看的人犯困，不服管教的闯祸精老二果然活到了最后，听从命令的工具人老大果然牺牲掉了，三妹神神叨叨，四妹不管跟到那里反正没事；主角跟个软蛋一样说要保护深林部落，结果离开了去霍霍海洋部落，果然不是一个部落就不管对方死活，结果从人类的战力表现来看，主角需要逃个鬼，个个跟超人一样，子弹永远拐弯，别说人，鸟也打不中，弓箭一射一个准，完全可以杀到人类基地，原始部落虐杀机械部队才是导演要表现的主题吧；做无法理解的bug，最后大战，打到一半全村人集体掉线，变成了主角和反派的1v1，最后两人还一个不死，票价这么贵看到最后发现是个儿童片，简直诈骗。,Avatar: The Way of Water
マクガフィン,2,2022-12-14 17:27:59,大寄特寄，美式家庭陈词滥调，主要角色没有一个写得明白，反派直接从上一部回收利用可还行。最后那场戏莫名其妙的，《阿凡达之铁达尼号》吗？这也要消费自己？那下一部是不是要《阿凡达之终结者》、《阿凡达之异形2》？,Avatar: The Way of Water
豆友130074074,2,2022-12-17 12:01:10,"阿凡达2剧本崩坏到已经无法挽救的程度，连杰克的女儿都吐槽“为什么我又被捉了”，真的，十年磨一剑就这水平这质量，还不如去晚上磨个枪。

都说阿凡达2的主题是家庭主题，但我却是皱着眉头看完的，他们一家子对从小养在身边的人类小蜘蛛弃如敝履，简直叹为观止。小蜘蛛被抓的时候，杰克第一时间没想去营救，而是担心会被出卖，他老婆更现实了，直接要用蜘蛛的命换儿子……这个故事更通俗来说，就是“外地人刚变成新上海人，就开始排外”的故事，可怜小蜘蛛还一直热屁股贴冷脸[怒]。

三个多小时的电影，完全可以压缩在一小时以内，莫名其妙的故事推进，匪夷所思的逻辑关系，微妙的三观，都让我觉得这系列电影真的不用再拍下去了",Avatar: The Way of Water
Giu Giu Giu,1,2022-12-21 08:45:55,现在观众可没那么好糊弄  戴着n95在电影院真的坐牢一样，看吐了 难看爆了，慕阳狗别吹了,Avatar: The Way of Water
机械设计clong,2,2022-12-16 07:50:58,为什么要花几百块钱，看一个披着科幻外衣的殖民片呢？三体都什么科技了？这些人还骑龙，冷兵器和热兵器打得有来有去,Avatar: The Way of Water
