name,rating,time,comment,title
东门,1,2009-12-17 06:03:24,卡麦隆的故事仿佛就是一种极端的政治正确的前提下构建起来的大杂烩，这里面有以正义为名的以暴治暴，有宏大叙事的环保诉求，有对宗族主义的轻柔鞭挞，有对殖民主义和后殖民主义的积极反思，有宗教神秘主义倾向的得救，既混杂着人类学田野调查般的热情，又掺和对未来科技幻想的信心。然而，一切又都仅仅,Avatar
奇爱博士,2,2010-01-14 23:24:11,故事太烂俗了,Avatar
我初中就一直在练习变成哪吒,1,2010-01-11 13:26:18,身残智不残的魔兽少年啊～快去创造奇迹～,Avatar
又在看鸟啊白痴,1,2021-03-13 19:20:39,我要吐了全程yueyueyue，男主角你以为自己很牛逼是不是？？！一方面口口声声说是纳威人，一方面用英语跟大家说“我们必胜”。一方面觉得地球人已经毁了，一方面对女主角和“坐骑”说“你是我的”。——就算这是上古电影，这也是21世纪的电影吧！站在反殖民和女权角度上，这片子真是令人恶心。最恐怖的是，片方甚至真的觉得男主角是个英雄😁这种傲慢的殖民向下自由比战狼更可恶,Avatar
C.W.,2,2014-04-19 22:59:17,不如阿凡提,Avatar
cecilywx,2,2021-03-12 22:52:39,这两颗星给特效，12年过去了，特效依然是业内扛把子，但故事实在是辣鸡，男主什么渣男？害死女主爸爸，害死那么多人，最后女主还是原谅他，还爱他，女主的民族接纳他，把他当英雄？我主角我牛逼是么？光环太强😓最后拯救这个星球的也不是男主，而是树精灵啊！,Avatar
骗你是小狗,2,2021-03-13 17:23:56,《阿凡达》的剧情其实跟《功夫之王》是差不多的，一个白人青年突然来到一个完全陌生的文化环境，虽然他啥也不懂，啥也不会，也不知道上天看上他哪点了，就成为了天选之子，被命运钦定为救世主。然后在极短的时间里掌握了这个世界的技能，成长为战斗力天花板的级别，被这里的妹子爱上，被这里的人民所拥戴。带着白人特有的伪善与自大，成为正义的使者。呕。,Avatar
我是直的,2,2022-11-01 15:02:08,这不就是科幻外太空版入侵印第安吗 还教他们语言 给他们盖学校 人家过得好好的用得着你们这些自大的美国佬么 呕 还有男主是去入赘的么 当年就排斥看 现在被强安利还是不喜欢,Avatar
红发雪糕筒,2,2011-11-21 22:19:13,我不管它的3D有多NB，画面有多梦幻，我就是不能原谅这样毫无新意的美式狗血剧情！,Avatar
Reboel,2,2022-01-12 21:05:57,09年有这种水平的特效真的是很牛批，殖民主义入侵还能搬上台面洗🙃双面间谍把两边都打爆了还是正面形象🙃人家想让你们种族灭绝，你们只是让人家滚回老家，搞笑呢🙃,Avatar
The 星星,2,2020-04-09 13:41:18,当本片所使用的技术已经不再先进时，它还有什么意义在影史留名,Avatar
Octopus,2,2018-06-05 22:55:47,剧情太弱智了，根本不是科幻。以及，前海军士兵成为纳美人的弥撒亚战胜人类/美帝，究竟应该说是政治正确还是用心险恶？最后，评分比《现代启示录》还高是什么道理？,Avatar
最笨的笨蛋,2,2021-03-13 19:13:14,很老套的故事，而且不合逻辑，一开始被描述得特别危险的潘多拉也不过是原始的部落，既然进攻这么容易根本没必要研发阿凡达战士。这种只讲视觉特效的电影真的不如挖掘人内心的电影来的震撼。,Avatar
锦鲤,2,2017-01-25 22:46:48,人类电影史上具有里程碑意义的作品. 蓝绿色的脸看上去有种诡异的萌感,Avatar
обломов,2,2019-12-16 20:54:20,真是人傻钱多国的最爱了,Avatar
冯楚寒,2,2018-07-10 04:11:58,经不起时间的考验的一部电影,Avatar
阿斯顿,1,2011-02-28 17:31:08,好,Avatar
七七|烂柯人bot,2,2011-04-13 19:36:38,原谅我真的太刻板印象了，我看了十分钟就觉得，这还是美国残疾军人也能救世界啊……,Avatar
观察日记,1,2021-03-14 22:28:05,又看到这部电影的消息了，那就来打个一星吧😃当年被迫看了第二遍，第一遍是自己委婉地要大人带去的，认了；第二遍是大人觉得好看隔了几天又买票强行要我再看一遍，这我可就不干了，💩烂片……这片子可以在我最讨厌的外语片里排第二，第一我在座位上睡着了不记得内容和片名，第三是fbb参演的金刚狼，对f没意见就是不记得具体的电影名了，电影一般般，学校组织观看，因为被迫的所以本身一般的电影显得更难看了,Avatar
Arev,2,2023-01-02 22:55:48,集结了美国人最愚蠢的自以为是和最浅薄的个人英雄主义……从各地民俗里堂而皇之七拼八凑出的概念，毫无新意的生物形象，单薄如纸的人物，德不配位的男主角也能当天选之子，平均每十分钟就要被卡梅隆气到一次,Avatar
Fal Conde,2,2010-03-25 08:40:40,肥皂泡沫 一种左派傻货炒作的最佳产品,Avatar
