name,rating,time,comment,title
香芋of-Xiang,2,2019-08-03 01:00:57,每一部都这么喊伐木累下一部请邓超来好了,Fast & Furious Presents: Hobbs & Shaw
蔕,2,2019-08-02 22:49:50,难看。大场面好像不少，混战不少，但那真就是混战，整部电影都是乱糟糟的，用各种段子、元素和嘴炮去填，没亮点，不好笑，不精彩，也不爽；从未指望这种电影有剧情，但至少要有层次感，结果整部电影是崩的，就像是B站的up主剪的视频，可能人家剪的都比这个好；至于动作戏，剪成碎渣渣再粘合起来的，抱歉，看了这么多年电影，现在还在用这种碎剪来糊弄我，真的不吃了,Fast & Furious Presents: Hobbs & Shaw
adakenndy,2,2019-08-02 22:53:25,这不是速度与激情，这是超级英雄电影+史密斯夫妇！如今反派都不好意思说自己是正常人了，标配人工智能才能打得过主角。主角们从高楼几十米跳下来拍拍土就没事了，一群人光着膀子拿着冷兵器VS反派那一段看哭了，这是致敬黑豹吗？强森叔单手抓直升机看的鸡皮疙瘩起来了，这是致敬美队2吗？忍不住思考这个系列到底从什时候开始烂尾成抗日神剧的？是因为和赛车越来越没有关系了？还是因为编剧强行把配角凑为一对强行卖腐？严肃这和裤裆藏雷没什么区别，唯一的区别是一个在横店一个在好莱坞。,Fast & Furious Presents: Hobbs & Shaw
HenriqueZZZ,2,2019-08-05 07:00:10,披着速激名义来骗钱的，太粗制滥造了，愚蠢的文戏和无新意的动作戏，胡乱堆积起来就是成片了,Fast & Furious Presents: Hobbs & Shaw
Cinema is dead,2,2019-08-02 12:26:49,Rock爱情戏和家庭戏都很尬，Idris Elba少有的用力过猛烂表演……整个剧情东拼西凑，一点推进感都没有。,Fast & Furious Presents: Hobbs & Shaw
柯里昂,1,2019-08-22 23:49:19,一星半。动作戏部分“夸张”得毫无想象力，用高科技武装起来的邪恶反派以及无视人类生理极限的主角实则是《碟中谍》一类动作片和超英科幻电影杂交出的产物，但伊森·亨特和詹姆斯·邦德们在银幕上的表现纵使再神勇也不曾模糊过凡人肉体和超级英雄的界线，而与现实中飞跃楼顶受伤的阿汤哥相比，站在绿幕前耀武扬威的巨石强森则显得荒唐和幼稚了，这已经不是有没有砸烂《速激》招牌的问题，而是直接导致本部戏的定位尴尬可笑，这一切在首尾为巨石强森安排的一场跳大厦和一场拽飞机的“重头戏”中体现得尤为明显，这么说吧，能同时让爬过迪拜塔的阿汤哥和拽过飞机的美国队长颜面扫地，这事儿本来就挺玄幻的…都在说这部把赛车片拍成了超英片，但事实却是，即使是如今满大街跑的超英片，确实也没见哪一部会拍得如此无脑。,Fast & Furious Presents: Hobbs & Shaw
Parker Li,1,2019-08-03 08:54:08,【YVR-Scotia】一星半。本片的卖点很明确：1.速激品牌效应（飙车，动作，家庭）；2.主角明星效应；（3.导演由疾疾，极寒，死侍培养的动作为主的粉丝）。成品呢，飙车动作虽有几段冗长但还不错的片段，但整体仍旧乏味，主要问题是没有玩出新意。唯一眼前一亮的“卡车蜈蚣”，脱离了以往系列（合理夸张）真实基础而导致在牛逼和傻逼之间不停转换。没有铺垫的家庭戏和indigenous戏份，实在有硬塞的成份，爱/家庭的主题过大更加弱化了文戏，莫名其妙的没有火花的爱情更是没有任何夯实基础。动作戏只能算中规中矩。剩下的明星效应，被刻板为双雄斗嘴“反差萌”… 说一无所有的确严苛，但两个多小时的观看实在说不上有趣。不过对于一部纯粹爆米花的作品，只能票房论成败了。成就是系列滚滚来，不成的话就靠正传回血吧！,Fast & Furious Presents: Hobbs & Shaw
国王KING,2,2019-08-02 20:37:57,？我以为在看漫威超英片,Fast & Furious Presents: Hobbs & Shaw
黄悦_,2,2019-08-16 09:01:52,乱糟糟的大场面 我想起了同样是乱糟糟的变形金刚5。中国人对于这种片子是比较爱 但是也不是杂七杂八什么飞车撞击轰轰轰都可以骗得到我们的钱的好吗！,Fast & Furious Presents: Hobbs & Shaw
漠,1,2019-08-03 23:37:08,一星给女主，除了女主漂亮，没啥能说的了。,Fast & Furious Presents: Hobbs & Shaw
科林,2,2019-08-16 11:45:18,"万万没想到这片居然走无厘头话痨逗逼路线，死侍带画风有功啊~
这个系列从街头痞子飙车片成长为007碟中谍特工片后，今朝终于发展成机械战警超英片了~~
权力的游戏恐成最大赢（shu）家~~~",Fast & Furious Presents: Hobbs & Shaw
Lasia,1,2019-08-02 07:36:23,听到那句“拯救全人类”我就笑了，全球最大的恐怖组织在电影里把自己塑造成英雄，丑化他人，还指望别人感恩戴德？太可笑了，害得多少人家破人亡，竟敢自称英雄，简直恬不知耻。等着吧，有些国家迟早是要遭报应的。,Fast & Furious Presents: Hobbs & Shaw
一條魚佔滿了河,2,2019-07-11 13:47:03,預告騙系列。即便引入了超級人類的概念，動作戲也並沒有給人眼前一亮的驚喜感，嘴炮過多的文戲直想叫他們閉嘴，整部電影的敘事節奏看得人一頭霧水，134分鐘的片長放在一眾大片裡其實不算長，但是就是在中途讓人昏昏欲睡。續集彩蛋已經埋好了，但是這一部真的值得一部續集嗎？Ryan Reynolds的客串算是一個小驚喜，但是一再重複死侍戲路只會斷送自己的表演生涯，Johnny Depp便是前車之鑒。,Fast & Furious Presents: Hobbs & Shaw
珍不高兴,1,2019-08-23 09:06:07,既不速度也不激情，为啥近几年北美垃圾片总来中国圈钱。,Fast & Furious Presents: Hobbs & Shaw
托尼·王大拿,2,2019-09-26 17:52:04,人类发呆的权利不容侵犯，如果想发呆几分钟，可以盯着窗外的风景；如果想发呆几小时，可以去电影院看这部片子。当然“我鸡鸡小”算是把我从神游中拽了回来，看着周围一圈人就我在傻笑，觉得学门外语还算有点用，再不济好歹能听懂荤笑话。,Fast & Furious Presents: Hobbs & Shaw
Bowyer,2,2019-08-03 10:38:07,浪费了两个小时时间。,Fast & Furious Presents: Hobbs & Shaw
嘟嘟熊之父,2,2019-08-28 10:01:14,我是来看郭德纲和郭达说相声的？,Fast & Furious Presents: Hobbs & Shaw
张咏轩Wayne®,2,2019-08-23 02:47:42,剧本是真的烂，胡诌瞎扯，所以光靠嘴炮打了一个多小时凑时长，无聊尬吹，剪辑也有问题，好几段衔接的莫名其妙，感情戏就更有意思，边走边爱，整部电影2/3撕逼，废话连篇啰哩巴嗦，1/3棚内动作拍摄，实打实两场动作戏，但都没有太华丽，绿幕感太重，蜈蚣战车拉锯直升机，虽然有想法但审美疲劳，打着速激的名号延伸出一部科幻片，可惜反派太弱鸡，廉价改造人，黑科技自束，最后生死不明，两位正派也基本靠被呼脸死撑到终点，全片念经rap贯穿，但根本没有这个系列的风范，没有速度更没有激情，原以为范迪塞尔会现身，结果导演私心让小贱贱上阵耍贱，结果效应也没达预期，这集就不应该挂着速激的头衔招摇撞骗，实在毁好感。★★☆,Fast & Furious Presents: Hobbs & Shaw
萍水相逢,1,2019-08-24 03:10:02,没完没了，当你以为结束了，新的折磨就来了,Fast & Furious Presents: Hobbs & Shaw
思路乐,2,2019-08-23 21:17:36,"【C－】这部和《上海堡垒》到底哪部更蠢呢？说实在的，《上海堡垒》是那种不自量力而落后于时代的蠢，而这一部则是泛泛而谈且自我催眠的那种蠢。这个系列真的越来越过分了，类似于柯南剧场版从推理到科幻的转变。而更扯淡的是，剧中一切演员还非要演出令人信服的状态。飙车戏还是比较出彩，但肉搏戏则充斥着好莱坞大部分动作场面的一致可见缺点，泛滥的快速剪切和摇镜，只靠肌肉建立起来的战力优势，还有让人困扰的慢镜头.....
从某种程度上来说，也算是大卫雷奇在动作电影上发挥的最无趣的一次了吧。",Fast & Furious Presents: Hobbs & Shaw
同志亦凡人中文站,2,2019-10-05 13:02:15,这是速度与激情？这是话痨和外挂吧....不是我说，这个系列自从Paul Walker离开后就垮了。,Fast & Furious Presents: Hobbs & Shaw
芦哲峰,2,2019-09-21 10:58:56,速度不快，激情不再，嘴炮打得比炮响。,Fast & Furious Presents: Hobbs & Shaw
曹师傅素肉包子,1,2019-08-23 09:12:17,①仅仅是挂着羊头②拖沓③竞速？④圈钱⑤真有人买账？⑥真有人买账！,Fast & Furious Presents: Hobbs & Shaw
有心打扰,2,2019-08-23 19:26:14,个人对于这种无脑院线爆米花动作片的评价标准就是——🈶多爽。这片就值⭐⭐程度的爽，不能再多了。,Fast & Furious Presents: Hobbs & Shaw
逸宸,2,2019-09-13 01:32:27,两位硬汉的重逢，棋逢对手由又免不了相互不屑一顾，各种疯狂吐槽埋汰，讲真已经挺无聊的，而对凡妮莎·柯比的印象是在《碟中谍6》中的出镜的白寡妇，感觉她在两部影片的表现大相径庭，不算太大的惊喜，尤其是白寡妇的印象太深在这片看的时候太有代入感。速度与激情的存在现在几乎就是狗尾续貂，就算是系列影迷，估计也真的太看不上这部，尤其是速7珠玉在前！,Fast & Furious Presents: Hobbs & Shaw
深夜声噎,2,2019-08-23 23:02:03,这已经不是什么速度与激情，而是变形怪与毫无激情，还删他妈三分钟，快让哪吒50亿吧。,Fast & Furious Presents: Hobbs & Shaw
梦里诗书,2,2019-08-20 19:08:51,《特别行动》作为《速度与激情》系列的衍生之作，电影试图用道恩·强森与杰森·斯坦森的嘴炮组合来制造更为新颖的看点，然而这种被很多电影屡试不爽的手法并没有能赋予其以焕然一新的感触，相反两个光头硬汉的喋喋不休不仅成为了《特别行动》最为尴尬的一笔，过强的主角光环更使电影尽失“速激”本色。,Fast & Furious Presents: Hobbs & Shaw
魂,2,2019-08-06 15:43:48,【C】预告即highlights。后半段可以砍个15-25分钟,Fast & Furious Presents: Hobbs & Shaw
蜉蝣,2,2019-07-31 17:56:42,前15分钟一阵惊喜，这么个无趣的系列能用科幻、特工元素维持下去好像也不错，结果结尾就又绕回原生态。动作场面索然无味，像三部电影拼接在一起，靠动作戏或者迪曲而不是剧情逻辑联系在一起。看两个光头粗口互怼，那直接去看相声好不好，包袱抖得精彩多了。据说下一部要找吴京来演，想想都怕。,Fast & Furious Presents: Hobbs & Shaw
SleepWalker,2,2019-08-23 16:02:00,脱离正传基本上意味着要瞎胡闹了，强森比迪赛尔人品好多少咱不说，就拿影片说话，还不如速八好看，而且还是顶着正传的大名圈钱，那也要承担在无形中消耗正传口碑和余热的后果了。这种电影，我习惯叫“楞逼电影”，演员卖力犯傻，情节简单粗暴，反正就是干，即刻开干，来回干仗，如果能看得爽快，那就对得起票钱，反之就是纯粹强奸视觉听觉的高成本垃圾。实际上，二位爷全程嘴炮十分无趣，又不是第一次互喷了，喷来喷去就很烦，还拖节奏，而且还嫌不够话痨，又请了两个更能胡扯的爷来客串，这不是相声电影好吗。伦敦摩天楼跑酷＋街头狂飙就是最好一场戏，还有开头十分钟，ost选得不错，其他的，确实无聊。这片最对不起两位演员，一位是可能成为007的海姆达尔先生，另一位是风情万种的艾莎女士，一个低智商蠢蛋反派，另一个的存在感还不比埃迪马森。,Fast & Furious Presents: Hobbs & Shaw
玉玉的注水阿龙,2,2019-08-24 13:26:11,作为一部脱离于正传的外传作品，尽管观影体验和速激8半斤八两，但很显然这部比8要高明不少。本作延续了正传胡说八道的故事风格，主角仍然是不死之身。诚如热评所言，本片可以是巨石和郭达的任何一部电影，但绝不是速度与激情。弱化赛车元素，强化动作场面，弱化团队协作，重点展现两位大咖的个人魅力，这是确实算不上“速度与激情”（但如果你看过范光头个人装逼秀的《速激8》你会觉得这根本就不是问题）。比起范光头那家族仇人都能接纳的“family”，你会觉得巨石的“family”更能让人接受。本片最耀眼的就是凡妮莎·科比，360度无死角的美女，尤其是她的蓝色眸子。从去年的《碟中谍6》我就被迷上了。,Fast & Furious Presents: Hobbs & Shaw
丁太升,2,2019-08-23 09:24:16,圈钱行动，上映了那么久北美票房还没过1.5亿美元，居然还是票房冠军，我们今年内地票房冠军一周都有14亿rmb，速激8的内地票房居然比北美高了快两倍！国人不要再为这种北美圈钱烂片买账了吧,Fast & Furious Presents: Hobbs & Shaw
Anything Goes!,2,2019-08-25 21:29:24,这部已经彻底成科幻片了，照这样发展下去，速激9到太空上飙车我都不会觉得意外😑,Fast & Furious Presents: Hobbs & Shaw
щит-82,2,2019-11-13 21:33:27,真特么累,Fast & Furious Presents: Hobbs & Shaw
