name,rating,time,comment,title
稍等,2,2015-04-04 16:14:04,除了最后几分钟对于Paul Walker的纪念，全片没有任何亮点。剧情的节奏很乱，整个片子就在不断切换画面和城市中过去了。台词冷淡且生硬。我要是Paul，大概会从坟墓里爬出来干掉导演。James Wen就是个导恐怖片的，何必来糟蹋速度与激情系列。,Furious 7
汪金卫,2,2015-04-12 02:30:35,非常失望。三场飚车枪战戏里，第一场最牛最给力。第二场特效撑场面。第三场拖沓且神棍，简直无力吐槽。至于文戏简直是灾难，台词各种脑残。就像编剧脑子进水。比5，6差太多。我看得直打呵欠。非常怀念当年看完5首映后骑自行车一路狂奔的兴奋。对了，字幕非常坑爹。中国特供3D毫无效果。勉强两星半,Furious 7
猪老三,2,2015-04-10 21:08:58,煽情胜过激情，打架多过飙车，3D效果基本为0,Furious 7
黑狗成,2,2015-04-12 18:46:16,沃克加一星也就这么多，温子仁你确定这种档次的剧本不需要修改？导演费交一半出来送沃克家，麻溜点。,Furious 7
高压电,2,2015-04-17 21:23:12,不谈演员，这个雄性科幻风光MV大片太平庸了。高潮段的悬吊和剪辑简直是灾难，和这种廉价快速剪辑相比诺兰的平行剪辑能被衬托成大师。,Furious 7
布宜諾斯,2,2015-04-29 20:59:50,卧槽，完全不知道在讲神马,Furious 7
三岛,2,2025-04-18 19:29:01,@CBD万达 聒噪得使人昏睡，在汽车跳伞和被导弹追击两部分可看。,Furious 7
Han,1,2015-04-26 10:46:22,Every single shot was a waste of time - nothing cinematic except it's a bundle of images.,Furious 7
留下来,2,2025-04-18 15:50:41,大场面量大管饱，但抱歉，看见范迪塞尔的老爹脸实在是难受.......,Furious 7
看不见的城市,1,2015-04-15 22:44:39,再也不要跟九零后同事一起看电影了,Furious 7
Country Mile,2,2015-04-05 08:48:57,睡着了..,Furious 7
一灯,1,2015-04-16 11:11:15,拍片比决定一切，保罗·沃克成就了这个天时：要是去年和X战警一起上映，和精彩的超能英雄比，这种要逻辑没逻辑要冲突没冲突要颜值没颜值，画面剪辑凌乱的飙车党，完全无感。天时使平庸的片子成就了如此奇迹,Furious 7
小野喵子,2,2015-04-17 21:39:18,boring,Furious 7
魏知超,2,2021-08-01 18:55:34,傻得冒烟。,Furious 7
蜜思❤咪®,1,2015-11-22 19:23:14,one star for Paul.,Furious 7
生菜猫,2,2015-05-04 17:59:31,完全看不来这类电影……,Furious 7
琧婯,2,2015-07-14 16:32:47,拍得真烂啊 差点睡着了，就在那里叨逼叨,Furious 7
安先生,2,2019-02-22 09:14:40,通关游戏即视感,Furious 7
我不在这,2,2015-12-20 22:21:42,无意中看了，感受是卧槽这真的不是低幼片？,Furious 7
粪海狂蛆,2,2020-08-21 00:19:24,为了比利时麦芽酒多给一颗星。,Furious 7
GO,2,2015-04-28 11:03:26,美帝的抗日神剧，配乐比电视剧还电视剧。看看剧情流畅两倍却被高贵冷艳批判的威虎山，想问问那些鼻孔朝天对华语片有病要群嘲没病制造病也要赶来嘲，却跑来跪舔这部赛车网游杰克苏的外国圆月癌们，这片要原封不动就出品转为天朝5.5都够呛吧！凭什么瞧不起抗日神剧，凭什么瞧不起大闹天宫啊，谁比谁膈应,Furious 7
卫析,2,2015-04-30 10:10:15,呵呵呵~,Furious 7
AshtrayGem,2,2018-10-27 12:04:33,一部速激都没看过，直接看了7，什么鸡巴？？？空投汽车？？？这个是科幻片吗？？？剪辑太混乱，装逼装上天。,Furious 7
弥呀,2,2015-04-18 12:13:39,祭出了Paul Walker的煽情牌也掩盖不了烂片本质。bug简直多到满屏乱飞的程度，比如大巴车司机早死了车还在山路上前进了十分钟，比如主角摔下悬崖摔下车不仅各种不死，连伤都没有一个，白色保暖内衣一尘不染，再比如那么多壕车没有一辆有安全气囊的...这绝对是科幻片吧，温子仁这是要做卖拷贝么！？,Furious 7
E°E°,2,2022-06-09 20:25:37,死者为大🙏🏻,Furious 7
有风不骑车,2,2015-05-21 15:28:16,对保罗一直没有爱，跟风看了IMAX，不喜欢那种想吐槽看看四周又把话咽回肚子里的感觉，不好看。勿喷,Furious 7
Beige,1,2016-01-26 14:40:15,硬汉玛丽苏,Furious 7
Augustus,2,2016-08-05 16:39:18,冲着炸楼炸车撞日本兵马俑给两颗星。剧情真是惨不忍睹。投资都用来做特技毁楼毁车了，自然没钱给编剧了。,Furious 7
chiry,1,2017-01-29 01:45:28,突然想起来,Furious 7
刀叢中的小詩,2,2015-10-15 09:33:35,除了偶尔爽那么几下，就再也没有别的什么了。,Furious 7
流星,2,2020-10-25 23:45:09,完全没有逻辑的一部电影，编剧对计算机系统的理解，对黑客的刻板印象让我抓狂。2颗星星给好听的音乐。,Furious 7
罗夏,2,2015-05-17 10:07:02,peng peng！爆炸，小车追逐，开枪哒哒哒！然后嘴炮救活男主角，这TM到底有什么好看的,Furious 7
baniania,1,2015-10-01 01:13:13,男主太丑，睡着了,Furious 7
XD|醒来。你在。,1,2018-05-17 15:03:12,douban人才太多了，竟然发明了“去电影院扫墓”这个活动，LMAO,Furious 7
猪头妖怪,2,2015-04-12 15:32:12,老是在宣传说，啊呀，我们这次用到的这部莱肯超跑，那可是镶了各种宝石各种钻，全世界只有七辆哦。可这有啥稀奇的？堆了那么多大牌、美女、豪车，拍了14年，烂了14年，全世界也就这么七部嘛……,Furious 7
雪樱花,2,2022-08-28 03:42:49,除了重复煽情和炫技还有啥？该结束了，上帝都看不下去了才让……,Furious 7
浮生若夢,2,2015-05-12 21:06:15,简直了，这肯定会被老爷骂惨的呀！米国棒子比变形金刚都好使，duangduang的有力啊！要不是see you again这歌太催泪，全程都能睡过去啊~,Furious 7
娓娓,2,2015-04-21 21:09:11,2015年：看得我有点找不着北，只知道坏人败了。2025年：抓坏人不是目的，让他们合法飙车才是目的。,Furious 7
笛子痞🌈,2,2015-09-09 08:51:35,要不是Paul死了，给这个片子加了点悲剧和情怀，这不就是一坨屎,Furious 7
豆腐脑敢死队,2,2015-04-30 18:37:55,再神点就可以接班擎天柱他们去挑战狂派了,Furious 7
手机用户,2,2015-04-22 15:42:21,看一会睡一会看一会睡一会，电影院有了能躺下的大沙发，才让我勉强坚持到曲终人散。,Furious 7
预见|| X X,2,2015-04-22 15:40:27,不是铁粉，顺便见证跟风婊。前几部不是各种飙车么，现在车呢！有几段飙车大戏？超跑你们看看就行了然后直接摔废了不是开的。范迪塞尔干不过斯坦森所以让猪队友帮着黑掉他于是故事结束了。还有看到for paul哭的，哭你妈比,Furious 7
安然,1,2015-04-14 17:07:56,太失望,Furious 7
Alex,2,2017-02-02 11:31:03,两星给结尾,Furious 7
Dexter,2,2017-01-29 17:53:22,片尾的画面很美,Furious 7
鯨,2,2015-04-25 18:46:05,这种片子和《网球王子》一样，一是不能和它讲逻辑，二是不能和它讲科学,Furious 7
任原,1,2015-04-05 13:04:19,D 一想到这部科幻巨制大烂片是保罗沃克的遗作，就不禁更加难过了。,Furious 7
半弦月,1,2016-02-19 23:21:51,开场太帅了,Furious 7
D I D A,2,2015-10-10 13:19:12,Jason Statham这挂开得我都想举报了。另外有See You Again这么感人的MV，为什么还要浪费钱来看这部电影？,Furious 7
macca,1,2017-08-21 20:18:41,反派明明手里有武器，结果见到男主角就变成赤手空拳了。。。,Furious 7
好大一张饼,1,2022-01-11 14:06:07,终于想通了：这个系列就是给（街头）有色人种用的春药，带入不了说明不是目标人群。,Furious 7
查理曼大帝,1,2019-07-09 10:48:50,杂耍之作。,Furious 7
≌菩提风花,2,2016-11-05 19:54:32,说实话真的是情节老套审美疲劳 都是为了纪念年轻早逝的paul,Furious 7
Messi,2,2015-05-06 18:20:17,Tony Jaa's martial arts ability is not fully utilized.,Furious 7
NamesPitt,2,2015-04-23 16:10:41,温子仁就是属于那种被编剧和片方牵着走的导演，这票房的技术含量比迈克贝还差，毫无创作想法这个系列一如既往的平庸,Furious 7
_Esperanza__,2,2015-04-22 11:39:01,睁着眼睛睡了一觉。虽然保罗沃克一点存在感也没有，但还是要给他一点面子就不打一星了。（并且其实我一点也不喜欢结尾纪念部分处理的方式）,Furious 7
Nightwing,2,2015-08-25 17:19:21,剧情安排惊人白痴,Furious 7
真绪,2,2015-04-19 20:40:51,天朝这种死者为大的文化真心莫名其妙。如果知道一部自己没演完的电影才能成为此生评分最高的电影，PW应该要含恨九泉吧。,Furious 7
dow,1,2015-10-04 09:24:39,飞机上看了三分之二吧……,Furious 7
Frizzo,2,2015-04-27 07:34:21,还能再主角光环一点吗？！逻辑错漏百出，演技浮夸造作。赶路时候能不能好好开车？该打架时候能不能好好从车里滚出来干一场？冷兵器时代早过了能不能好好用枪？这片都能往家庭核心价值靠？拜托，没内核就别勉强了,Furious 7
大麻咧空啪,2,2015-07-05 20:44:20,137分钟的片，睡着了3次~,Furious 7
流弊,1,2015-05-01 23:29:52,素鸡打人贩。,Furious 7
三只龙猫,2,2023-01-06 17:28:59,"这一部车速感觉好慢，给人感觉就六七八十码的样子。没了速度，激情也没了。另外情节设计好弱智啊，救人那段，救到了也不停车还一直开。司机就是工具人，要不是最后中弹了我都以为大巴车是自动驾驶。布莱恩上车时1v5帅气秒杀对方，准备下车和对方1v1居然输了。后面一些离谱剧情也懒得吐槽了。成功晋级狗血科幻片",Furious 7
Wednesday,2,2015-07-26 12:59:16,边看边满脑子吐槽。原来拍成这样也可以很感人。,Furious 7
度過漫長歲月,1,2015-04-14 19:19:39,看到大家都给2、3星我就好意思说我睡着了,Furious 7
Tia,2,2015-05-10 14:11:15,看了一大半才发现我喜欢的那个角色第六部就挂了。,Furious 7
闵思嘉,2,2016-05-02 18:59:09,睡得昏天黑地，以至于忘了标记。,Furious 7
King Sitcome,2,2017-04-14 22:01:16,真是浪费温子仁那两把刷子。,Furious 7
呆毛柒,2,2015-07-30 00:34:32,最后一幕，两辆车驶向不通的方向很赞,Furious 7
狐,2,2015-11-22 00:21:13,拼凑和堆砌,Furious 7
阳光普照,1,2015-04-25 05:35:02,这一颗星是给好莱坞电影工业的,Furious 7
刘浪,2,2019-01-15 21:21:59,#战狼补片计划#好奇是一开始它就弱化了亚文化特征，还是逐渐转向现在这种谍战片模式。实在太缺乏时间标尺，于是需要不断对人说“You are slow”。,Furious 7
Kevin.滨,2,2015-04-20 00:09:53,钻车底，飞跃建筑，跳车，改装等等的特技，目不暇接。最后对Paul的怀念，实在动人。有遗憾的叫青春！,Furious 7
光年‖影视歌三栖民工,2,2015-05-20 13:33:45,耍帅，摆酷，满不在乎……就他们这玩法，别说12分，1200分都不够扣啊！另外，逝者已逝，所以角色的木讷也就可以谅解了,Furious 7
LOONG飞,2,2022-04-23 23:04:18,『速度与激情7』前半部分还算有剧情有悬念，后面差点睡着了，除了特效特效还是特效，除了打斗打斗还是打斗，整部影片大部分时间都是特效和打斗真的好嘛？！当年借着保罗的去世和终结篇的噱头在全球刷票房后，又高调宣布继续拍第八部，666啊！,Furious 7
昶秦颂,2,2023-08-21 23:59:33,剧情几乎为0的无脑装吊动作片。特别枯燥。为了片尾曲和保罗多加一星。,Furious 7
内个死猴子,1,2015-04-28 14:46:14,可别再拍这种片片了，全球都要变暖了。,Furious 7
陈抱朴,1,2023-03-07 21:47:43,你咋不上天呢，从速6开始，已经可以当做超英电影看了，不再需要任何逻辑性和合理性。恭喜片商，用情怀喂翔成功。,Furious 7
心之呢喃,1,2015-07-19 23:39:43,本来这片还是不止一星的，但鉴于24亿的可怕票房以及大家跟风式缅怀明星，就打低平衡一下。客观的讲这部电影也是很牵强的，主角被反派盯上后还要全球跟踪干什么，随时随地反派都会来找你，还努力拉了个新反派，这样的故事真是蠢到家了。就单纯看追车也不够看啊，还是max好多了  20150717,Furious 7
Dicate,2,2015-04-15 21:50:46,有点蠢,Furious 7
肆捕像,1,2023-10-11 16:37:30,好无聊啊……飞来飞去打来打去毁灭一切,Furious 7
段干相若,2,2015-12-23 09:08:24,用电影里的场景可以完美地形容这部电影。你以为这是一场街头打斗吗？这就是一场街头打斗。也许大屏幕下，观众的荷尔蒙能高涨吧。可惜我是在YouTube上看的盗版。,Furious 7
非目标人群,2,2020-11-16 14:41:16,被迫去看的，也不知道看了啥，睡着了几次,Furious 7
Claudia,2,2018-12-19 00:17:01,这个系列正式映入我眼帘的一部，我当时想，这电影是就叫做速度与激情7，还是这个系列已经出到第七部了，之前怎么没听说过这系列呢，怎么单单第七部突然这么有热度呢。后来就跟家里人一起看速度与激情7。看了一半我们一致表示没什么意思而且好困。就去打盹了。,Furious 7
