name,rating,time,comment,title
有心打扰,2,2015-06-10 19:33:11,这片存在的意义难道就是告诉我们22年过去了，人类连在商业片方面都处于停滞不前，甚至倒退的状况？无论是气氛渲染、场面调度的表现还是人文关怀、人性冲突的体现都比不上22年前的《侏罗纪公园》。《侏罗纪公园》是经典名作，而《侏罗纪世界》只会早早被人遗忘，不值一提。,Jurassic World
熊仔面,2,2015-06-11 14:47:22,恐龙你为什么不咬死那个sb哥哥啊,Jurassic World
PixelGirl,2,2015-06-17 22:42:30,这种片再也不碰了,Jurassic World
卷毛山羊,2,2015-06-11 22:26:14,仿佛是个人都能编出来的剧情，亮点是霸王龙跟变异龙的对话啊！“你瞅啥？！”“瞅你咋地！！”,Jurassic World
刘小黛,2,2015-06-15 21:35:29,好无聊，无聊到忘记标记。,Jurassic World
马西嘿嘿嘿,2,2015-06-13 08:27:08,这部电影已经很好地说明了一致重复的错误有多么愚蠢，包括拍这个片的事实在内...,Jurassic World
saturdaylou,2,2015-06-11 21:35:18,散场收眼镜的工作人员聊天“手大的那只是坏的”“嘴大的那只是好的”,Jurassic World
汝就做吾的犬吧,2,2015-06-12 20:35:19,和旧系列的联动做得不错，特多给一星…其实拍到他们从林子里逃出来汇合那里就结束的话大概会给四星，之后的剧情看得简直出离愤怒，居然科幻变魔幻，干脆说是《驯龙高手》的真人版得了…旧系列的主旨是Life will find the way，这部非但和该主旨背道而驰，还大肆宣扬一些莫须有的感情，导演到底怎么想的,Jurassic World
王神爱,1,2015-08-24 01:04:07,是有多幼稚的人才会想用恐龙去打仗啊,Jurassic World
Carf,2,2015-06-13 10:43:07,这种怪兽灾难人祸片的一切都似曾相识，特效看的头晕脑胀，如果没有嘈杂的背景音乐或许能够惊悚一点。,Jurassic World
容安,2,2015-06-16 09:51:24,对其中的任何一个角色或恐龙毫无感觉，散乱的剧情就跟乱窜的恐龙一样没有章法，多么失败的编剧啊。CG是拍不出电影的同学！,Jurassic World
小斑,2,2015-07-13 07:35:41,也可叫「名场面致敬集锦」。霸王龙和迅猛龙表示我们忙了三部能不能你们就找别的龙来当主角啦！团战打转基因龙的时候居然没有出现无人机，21世纪的另一大人类假想敌AI表示不服。整个科技观跟女主的发型一样是80年代的。开头20分钟「特摄片」即视感强烈。男主的存在作用就是谈恋爱。军方智商太感人。,Jurassic World
鬼腳七,2,2015-06-14 21:00:00,燃点有三。一是男主骑着摩托带着迅猛龙狂奔；二是女主踩着高跟引出霸王龙上演美女野兽；三是生物链不会输，最后终结人造龙。但是都太潦草，自我陶醉得厉害，搞不清重点在哪里。,Jurassic World
