name,rating,time,comment,title
乔纳森,2,2018-04-01 19:31:55,对不起。一点都不喜欢。,Ready Player One
桃花石上书生,2,2018-04-03 14:52:34,看完觉得智商都下降了。而且看的IMax眼睛特别累,Ready Player One
阿哲系,2,2018-03-20 07:33:14,"我只是不理解斯导拍此部纯娱乐片的用意，有必要他来这么拥抱虚拟的，特效的，游戏的，娱乐的世界吗... “reality is real”, and there was none here.",Ready Player One
NigelD,2,2018-03-31 20:09:07,meh，我算是那种能会心懂一半彩蛋的人。影片本身就像一个线索和线索的咬合游戏，但实在太没说服力了以及太cliché。不过是另一部元素拼接、亚文化混搭出来的产品罢了。可能有人说只谈梗显得目光狭隘，可这部电影剔除梗之后还剩下些什么？（ps：Abed要是看这部电影一定会高潮）,Ready Player One
🌵🌵,1,2018-04-05 21:19:36,彩蛋、梗、3d、VR、所谓情怀，扒开这些非电影元素，这个片还剩下些什么？那现在的观众对电影的诉求是什么？或者他们看电影是否还有一个基本诉求？我就想问那些看完惊呼闪灵梗牛逼的，你们看闪灵正片的时候有这么激动吗？真这么喜欢那有这瞎跟节奏的功夫为啥不再去看一遍闪灵？还有我们通常说电影造梦指的是它作为艺术媒介的本体价值之一，而不是说所谓科幻特效大片或者内容上构建虚拟环境的电影就叫造梦了。我讨厌这个电影，但真正陷入情怀的人我是可以理解，反感的是跟节奏的人。,Ready Player One
451½°F™,1,2018-04-06 22:54:52,剧情陈旧，反派如同儿戏。讨好游戏屌丝们妄想打打游戏就改变世界的主题恶意得无以复加。堆砌彩蛋的做法无异与「春药式狂欢」，而对于国人，毫无游戏环境与文化语境的叫好，不过是种对于「反叛青春期」的缅怀，以及沦为「病毒营销」的奴隶。,Ready Player One
KREJERK,1,2018-04-02 16:56:18,一星半吧,Ready Player One
Clarke,2,2018-04-02 21:06:41,不具有任何实践意义的结局，消解了前半程的热闹。叙述模式保守到吓人，青年白种男性与其他劣等性别和民族的人们一起完成了天选必胜之旅。拉鸡巴倒吧。你们说这是原著的锅？不不不，这是不吹不黑。,Ready Player One
离净语,2,2018-04-17 01:06:22,一般来说最喜欢玩梗的都是b级片吧？大型kitsch。,Ready Player One
冰山李,2,2018-04-01 17:38:08,大数据终将替代想象力 with Anana,Ready Player One
Alan Sleep,2,2018-03-29 23:46:39,Premature mess. Exposition off the charts. Just don't think about it. Don't think about anything. Then you may actually enjoy it. (not me,Ready Player One
