name,rating,time,comment,title
karim,2,2019-06-28 00:22:44,最幼稚，最低能的一代蜘蛛侠。,Spider-Man: Far From Home
乐乎,1,2019-06-28 00:18:55,有史以来最差的蜘蛛侠电影！蜘蛛侠是漫威第一大IP，不需要蹭钢铁侠这种二线角色的热点好吗！MCU迟早要完。不对，漫威迟早要完。,Spider-Man: Far From Home
😈👿Ryan陳無常,2,2019-06-28 01:22:42,65 「真的觉得无聊 特效也一般 全程没笑一次」,Spider-Man: Far From Home
冬瓜,2,2019-06-28 07:44:29,为什么一跟mcu扯上关系就变得如此幼稚和无聊，漫威流水线真的跟牛皮癣一样啊。索尼前两代小虫，至少不会像现在这么幼稚的像是小孩过家家和马戏团杂耍小丑一般。,Spider-Man: Far From Home
小时候可牛B了,1,2019-06-28 01:59:33,毁了我心目中的蜘蛛侠！！强行捆绑某人，漫威请你你早点去死吧。,Spider-Man: Far From Home
长歌暖浮生。,2,2019-06-28 02:08:59,漫威的下坡路显而易见了。,Spider-Man: Far From Home
嘟嘟熊之父,2,2019-06-28 19:07:32,低幼无比，什么无人机全息投影，这么Low的设备托尼斯塔克要是看到简直能笑掉大牙。但凡是挑几个欧洲城市作为外景地的剧本，无一不显示出创作团队的信心不足。不要想蒙混过关，老子也是经常出国旅游的好吗吓唬谁？,Spider-Man: Far From Home
小河潺潺,2,2019-06-28 08:58:04,要看的是蜘蛛侠，不是钢铁侠舔狗。到第二部了还在努力证明自己，除非编剧要拍到蜘蛛侠34567不然不能理解,Spider-Man: Far From Home
ToBruce,1,2019-06-28 02:34:48,这不就是两个小时加长版的神盾特工局之欧洲大冒险吗？毫无亮点，剧情漏洞百出，漫威历史最差我还以为是黑豹呢，得，又刷新下限了。,Spider-Man: Far From Home
小李嘛批,2,2019-06-28 03:01:01,这哪里是蜘蛛侠，根本就是钢铁侠的番外篇。,Spider-Man: Far From Home
Xcyshusband,1,2019-06-28 10:06:17,不喜欢这种舔狗蜘蛛侠，一分致敬漫威脑残粉。明明是美漫第一大ip，为什么非要情怀绑架铁男。,Spider-Man: Far From Home
我怀念的,2,2019-06-28 00:57:46,蜘蛛侠？钢铁侠？剧情有点弱智，特效一如既往的好。,Spider-Man: Far From Home
宇宙小毛球,1,2019-06-28 01:06:12,我看了一半，我放弃了，这个电影不值得我熬夜，而且也辜负了我心目中最喜欢的超级英雄，我的第一个超级英雄，辜负了我的蜘蛛侠。,Spider-Man: Far From Home
无名,1,2019-06-28 06:37:22,漫威流水线让人审美疲劳,Spider-Man: Far From Home
迦南Canaan,2,2019-06-28 03:06:41,这么大一盘棋，把杰克·吉伦哈尔骗来就是为了推一把让蜘蛛侠成长。重启后的蜘蛛侠系列被嵌套在美国青春成长电影出不来了，整部电影都充满了青春期的乳臭味。,Spider-Man: Far From Home
淋,2,2019-06-28 14:02:19,情怀已经臭了，越炒只会越恶心,Spider-Man: Far From Home
梦醉为红颜,1,2019-06-28 07:27:43,就我一个人觉得荷兰弟演技很尬吗？,Spider-Man: Far From Home
肆拾一,2,2019-06-28 09:19:41,好无趣的电影🎬……当然了，荷兰弟还是可爱的，哈皮也可爱，可这剧情，也太无聊了，看的首映，要睡着了。就这反派？也好意思说自己是坏人？中间有一段好像周星驰电影里面的颁奖片段啊，里面有无脸男那个电影，就差一束灯光了，哎。,Spider-Man: Far From Home
晚不安,2,2019-06-28 02:58:53,幻象嵌套确实和《奇异博士》一样惊艳到我了，这个段落加上贝克的人物设置，一度脑补主创要在特效电影的自反上做文章。。。但其实还是一部裹着超级英雄片糖衣的校园青春片，A线的内核挖得实在太浅了。依旧low-fi影像开场，会心一笑过后，层出不穷的小聪明和类型伎俩时有落空，无聊程度极度趋近旅行流水账。即便不在中段破梗，反派的露出也已经一目了然，他的动机以及带出的媒体操控民众的主题都非常孱弱，最后两个彩蛋试图营造的反转感也不太成立。简言之，两条线做得都不够极致，最遗憾的是它们没有被恰当地缝合在一起。MCU第四阶段以此收尾，不太漂亮。,Spider-Man: Far From Home
木卫二,2,2019-06-28 23:36:06,完全没有了解过剧情，但杰克顶了个球，在那装神弄鬼，山寨斗篷还动辄乱甩巫师绿的做法，不是草包超雄才怪了。无人机瞒天过海，好像把所有眼睛都骗了，但想想巴格极大，且地球政府们一再躺尸状，如果不是青春爱情片，真的编不下去了。,Spider-Man: Far From Home
Sandra J,2,2019-06-28 21:36:50,漫威MCU拍的就不是蜘蛛侠 这是钢铁侠后传斯塔克的遗产,Spider-Man: Far From Home
dayday,2,2019-06-28 02:14:09,- get不到笑点,Spider-Man: Far From Home
Edison,2,2019-06-28 14:15:40,蜘蛛侠已经不是曾经活在自己世界里的蜘蛛侠了。被套在复联里的蜘蛛侠早已失去本该属于蜘蛛侠自己的风采。,Spider-Man: Far From Home
我也不在乎,1,2019-06-28 02:13:15,"Netflix黑镜细作潜入索尼哥伦比亚蜘蛛侠剧组
内心毫无波澜甚至还为熬夜+打车感到不值
折腾完X教授折腾钢铁侠？
这不是我认识的MCU👋🏻 PS.这不还是在讲35岁以上职场焦虑 考虑到最近糟糕的现实新闻觉得没什么希望了 这个世界不会变得更好 MCU十年我也没有什么遗憾 希望人类互轰核弹的末日早日降临",Spider-Man: Far From Home
pissoff,2,2019-06-29 20:24:24,"我他妈都说倦了都他妈什么时候了我们小虫还他妈在为他人眼光彷徨纠结自己配不配?我们谁也没他妈指望他是下一个铁人,我们爱他就他妈因为他是蜘蛛侠是peterparker是我们的好邻居行吗?!老他妈钢铁侠钢铁侠,我他妈烦死mcu了,这么爱沾铁人热度拍你妈的蜘蛛侠你他妈继续签合同拍铁人别他妈让铁人死啊?不是,我说个笑话,蜘蛛侠蹭铁人热度哈哈哈哈!看见刷爱3k遍的都他妈烦死了你们拎得清这是蜘蛛侠个人大电影吗?如果真的有6548493个地球我希望每个地球上的peterparker都快乐.也不知道th宝宝和米老鼠签了几年合同,烦.哦对了别看漫威一天天的喊girlpower玩zzzq大做表面文章实际上虚得要命可别笑掉我大牙,虫1梅姑还在和铁人调情眉来眼去呢虫2这就和happy好上了女性角色是块砖哪需要往哪搬呗",Spider-Man: Far From Home
Morning,2,2019-07-01 00:38:40,平淡，就是鸡肋之作，食之无味弃之可惜，青春的元素在上一部已经用过，这一部没有把这个类型做的更有趣，格局小到讲不了第二个角色，谁会想到连从前可以与蜘蛛侠匹敌的MJ会变成如此被动的角色，这不是好的青春校园的范畴，不要觉得只要是讲校园暗恋就够了，那是在向国剧看齐。比较可惜的是，即使这个世界科技已经发达到如此境界，人们还是无法分辨新闻的真假，这部戏中间完全是一个团队炮制了一个偶像让你爱上它最后又人设崩塌，但没想到结尾留下的引子还在新闻真假性上，个人觉得算是不完备的科幻概念吧，但愿我们的世界科技到那一天是可以区分一定的事件真假的，至少视频组接的真伪，已经多讯息传递的迅速都可以解决一些问题，可不想在蜘蛛侠3还看一个一条新闻引发的故事。杰克的前面演得很好，很自信，露出马尾后的表演有些过火，刘德华风格。,Spider-Man: Far From Home
