name,rating,time,comment,title
次等水货,1,2017-06-23 16:26:31,看睡着的给我点赞。,Transformers: The Last Knight
第三盏灯,2,2017-06-13 23:23:44,两星半吧 视觉高潮很爽 爽完脑子里也没留下些什么 犹如很有职业道德的性工作者,Transformers: The Last Knight
blue三点,2,2017-06-23 00:35:36,150分钟，炸醒三次。,Transformers: The Last Knight
小土,1,2017-06-23 05:24:13,那种看不进去想干点儿别的又不能干，睡觉又震的慌，退场吧又觉得浪费了票，这种纠结了两个多小时的心情你们懂吗？,Transformers: The Last Knight
一桶猫,1,2017-06-15 09:58:45,这次不是舒化奶了 是纯甄,Transformers: The Last Knight
馬抠,2,2017-06-21 15:06:09,比汽车人身体更硬的 是酷狗和二手车的广告植入,Transformers: The Last Knight
私~川流,1,2017-06-22 16:48:50,德军一战被神奇女侠虐，二战遇上超人和大黄蜂。照这个速度编下去，很快共军就能开上高达了吧。// 剧情和人物都不知道在干什么，也都没必要存在。一星给打斗，至少这一部能看清谁在打谁。PS: 香港上一部不是被炸了吗，这集完好如初，太不走心了吧。,Transformers: The Last Knight
朝暮雪,2,2017-06-23 00:04:09,本片又名《和金刚并没有关系》《汽车人总动员》《小黄车大战小蓝车》《TF男孩拯救世界》《一起又看汽车雨》《如何在广告中插播一部电影》《肾上腺素还没爆，膀胱先爆了》《这电影需要9个编剧？》《骗子，等了2小时也没看见他变成金刚》以及《西部世界特别篇：福特博士玩腻了接待员造个汽车人玩玩》,Transformers: The Last Knight
亵渎电影,1,2017-06-23 11:24:55,毫无故事，毫无逻辑，全是套路，又臭又长，全程尿点。爆炸贝这回要讲故事，铺展变形金刚宇宙，结果就尴尬了，叙事上野心十万八千里，深度只有一毫米。手提摄影晃晃晃，剪辑平均每个镜头零点几秒，加上3D，让人头晕，看不到细节，连强迫症都要犯了，人物性格转变一秒钟说翻就翻，笑点还谜之尴尬。负分,Transformers: The Last Knight
LDT李小安,2,2017-06-23 02:34:22,感觉在铁匠铺呆了一宿。。。。,Transformers: The Last Knight
咩咩咩,1,2017-06-23 01:45:07,整个电影除了特效能看，其他都是什么野鸡鬼东西啊。为了特效和植入，剧情编的你妈都不认识了，剪辑和逻辑也是一塌糊涂。前一个小时不知所云，看的人简直想愤然离场。整个过程如坐针毡，全程尿点，讲真，观影过程中请随便睡觉，玩手机，上厕所，错过任何一个镜头你都不会觉得遗憾的。,Transformers: The Last Knight
kakakarl,2,2017-06-21 21:08:39,第一次看动作科幻睡着多次，很多废剧情，还有一些人物线不明所以，黑化洗白靠一句话基情，鼓舞士气也靠嘴炮，画幅不断在变化，并不能感觉视觉震撼，反倒觉得更奇怪，还以为是渲染没完成……,Transformers: The Last Knight
Hanamichi,2,2017-06-21 14:51:35,"故事的转折竟然是还珠格格桥段：“擎天柱，你还记得你的老战友大黄蜂我么？”脑中顿时响起大明湖畔夏雨荷...特效很好，但是编排实在乱七八糟，感觉像是导演想起来谁就让谁进镜头，""诶诶，你好久没上镜了你来！""",Transformers: The Last Knight
