name,rating,time,comment,title
柯里昂,2,2018-11-04 19:08:33,在近几年看过的所有超英片里排倒数了，什么“首位暗黑超级英雄”，基本都是唬人的旗号，徒有个暗黑的壳，本以为这个片长不够看，结果废戏多到爆，逗人笑的功力堪比早期成龙谐趣动作片（有几场戏似乎还在隐约致敬，汗），类似结尾这种得势后去商店惩恶扬善的戏码简直贻笑大方，这个风格放漫威宇宙里大概就是个加了层滤镜的「银河护卫队」，从被附身后开始基本就当成喜剧片看，当然，喜剧片里插条爱情线也就能顺理成章解释过去了，最后一场戏像交作业一般的例行「大乱斗」，整体依然停留在十几年前二流超英电影的水平，实在太让人失望，“软件”上不下功夫也就算了，汤姆·哈迪和毒液的几次面对面都能强烈感受到片方的「经费不足」，加上鲁本·弗雷斯彻的三流导演功底，算是把这部彻底玩砸了，另外，基本也是汤姆·哈迪演过的所有电影里最无魅力的一部。,Venom
汪金卫,2,2018-10-03 09:23:20,这是一个外星屌丝与地球屌丝联手逆袭的故事。区区PG13的尺度小到可以完美通过广电审查的筛子而不必删减丝毫。全程杀人不见血，恐怖惊悚感大减，动作戏来个追车和搏斗就把观众打发了，有时感觉像在看卡通片。包括感情戏在内的剧情非常俗套，风平浪静大家当无事发生过的结尾莫名WTF。唯有汤老师牛逼的演技闪耀全片。变身人生导师的话唠毒液不仅不吓人反而有点可爱呢。以及，腾讯真的没少砸钱。两星半,Venom
殇潮|Enigma,2,2018-10-04 19:14:13,其实这是爱情片吧，霸道外星生物爱上我。打斗场面无比咸湿，体液、舌头、大嘴、哈喇子横飞,Venom
掉线,1,2018-11-11 09:14:56,【C】又想模仿漫威，又想模仿死侍，最后却拍了个“横冲直撞好莱坞”。嘈点实在太多：配型成功的标准到底是什么？这么稀缺的配型为啥三主角全都match？女科学家为何不能自己拍摄然后qq离线传输？为何关外星生物的玻璃房椅子都能砸烂？为何毒液突然被社会主义感染化为人民公仆？请收看腾讯巨制《对不起我们编剧死得早》。除此以外，节奏糟糕，动作戏支离破碎，我反正看不到任何闪光点，这能有7分，我真要为许多“烂片”喊冤了。,Venom
寒枝雀静,2,2018-11-09 15:18:53,2.5 / 反英雄反到什么程度呢？Loser有了神力就可以直接决定他人生死？在自己星球是Loser所以到相对弱的地球来称王？到头来主角一边叫嚣着正义一边回到最简单粗暴的善恶二分，还继承了反派强者通吃的逻辑。这不是反英雄，而是倒退到反智。连自由平等的谎言都懒得编了，可以说是完全匹配当下美帝精神困境了。好莱坞主旋律拍着拍着到这个程度在价值观上已经和《西虹市首富》一步之遥了吧？,Venom
九個9,2,2018-10-07 09:28:44,sony以后还是全权交给漫威制作吧,Venom
亵渎电影,2,2018-11-14 03:30:25,超级无聊的剧本，毒液附体突然非要拯救地球的逻辑恐怕连编剧们自己都不懂，整部电影下来没有暗黑，也没有喜剧，什么都没有，汤老师除了帅，也什么都看不到，如果这部无聊的超英大片有一点好，就是那几个酷炫的特效打斗慢镜头吧，算是良心的烧钱了，确实跟当年的【猫女】那类大片一样无聊。汤老师和女演员之间火花，还不如他和同性的毒液呢，感觉汤老师只会跟同性来电。,Venom
DY,2,2018-10-05 15:25:43,Why does it need to be PG-13? Pussy!,Venom
焚紙樓,1,2018-10-07 18:11:34,可貶的地方很多，但原罪想來想去只有一條，就是作為一種超能力，實在拍的太不酷了。都2018年了，還有人會對Alien、Prototype、甚至Spawn（就是抱著想看本作的影子才進場）都曾翻玩也翻紅過的轉態能力，有多少超乎期待的新鮮感嗎？就像湯姆哈迪和這個主人公設定的年齡差距一樣，掩不住的加齡臭氣。,Venom
邓安庆,2,2018-11-11 11:30:26,看到后面感觉被当傻子一样戏弄了。大哥，你连角色行为转变的心理铺垫都懒得弄了吗？,Venom
