name,rating,time,comment,title
乐乎,1,2019-04-24 00:00:05,将近300元买的杜比首映场，是真的不值。除了花里胡哨的特效外，一无是处，没有插科打诨和反高潮冷笑话，漫威就不会拍电影啦？花了十年塑造的人物形象性格在本作随意全部推翻，每个人所做的决策都不计后果，意气用事，幼稚且儿戏。巨作难逃烂尾，或许真的是个定律。,Avengers: Endgame
晚不安,2,2019-04-24 03:56:56,前20分钟真的以为罗素兄弟要捧出什么好菜，适量精准的文戏和反高潮的设置让我眼前一亮。然后电影就进入了前所未有的格外冗长的英雄重聚段落，紧接着是打着红旗反红旗的罔顾所有悖论的时空旅行。时间线变得空前混乱，拯救世界变得空前儿戏，好莱坞大片标准模式化叙事卷土重来。当生命变成某种可以轻易篡改的东西，它的诞生或者逝去就不会对观众产生丝毫情感冲击。这也就是为什么片末所谓史诗对决还是被世纪初的《指环王》吊打。所以，21部电影的铺垫，媒体的造神运动和公众的趋之若鹜，开启的不过是一场极度粉丝向的闹剧，一次对青春和情怀的过度消费，一次漫威宇宙的自我致敬/重复，一次超级英雄电影彻底暴露其娱乐商品属性的全民跟风运动。在零点场的抽泣、欢呼和掌声里，我感到自己是个彻底的局外人，是时候警惕创作者对荷尔蒙居高临下的操控了。,Avengers: Endgame
笑嘻嘻,1,2019-04-24 02:18:00,无聊，文戏多到过分了吧。,Avengers: Endgame
神秘金针菇,2,2019-04-24 03:05:02,I'm not satisfied.史诗级的片长，这么多年的铺垫，漫威本可以靠这部最终篇跳出商业爆米花的标签，谁知最后端出的依旧是段子、爽点的乱炖。一切都那么的刻意和不自然，就像女士们的突然齐步走，就像最后那一个响指，就像明明该是巴基却给了山姆。,Avengers: Endgame
焚紙樓,2,2019-04-24 22:29:57,片長災難，前兩小時既臭長又走板，最後定住全劇的還是第三集就埋好的隱寓──鋼鐵人和薩諾斯，其實是同一個人。他倆將正義（秩序）追求訴諸於力量擴增（擴軍／鐵甲）的最終結果，必然將是自己輾壓其他種類的正義，例如彼此。直到絕對力量套上手指的一刻，薩諾斯選擇成神，東尼則選擇成仁，才劃出了他倆靈魂的分別。MCU的十年，本質是屬於鋼鐵人的十年。,Avengers: Endgame
wuwu-qq,1,2019-04-24 07:14:10,剧情太容易被猜想到了，有点假，虽然是系列终结篇，但真的觉得没意思,Avengers: Endgame
fanwiki,1,2019-04-24 07:52:05,"剧情混乱不堪，科幻的成分几乎为0,也就剩下情怀了。",Avengers: Endgame
趴,2,2019-04-24 06:13:50,铺垫又臭又长，核心人物逻辑崩坏，并且永远在该认真的地方搞笑，你看我笑了吗？🙄️,Avengers: Endgame
外出偷狗,1,2019-04-24 23:27:12,比预想中还更糊弄的剧情，比上一部更少的人物，场面却更加失控，全靠观众自我感动。MCU十年，留下无数烂梗，即便被打碎也不会化成灰散落风中，恐怕再过十年也不会消失。,Avengers: Endgame
雅典娜,1,2019-04-24 23:07:42,果不其然战斗场面仍然只会八百标兵奔北坡两方人马跑跑跑。对前人作品的恶意醋意溢出屏幕。抖机灵，把所有时间穿越类科幻作品鄙视一遍之后自己搞出来一坨屎，屎上还爬满bug。锤哥真是倒了八辈子霉，角色直接被毁，其他角色也没好到哪儿去。节奏一塌糊涂，煽情刻意，西皮则当作嗟来之食望你脸上扔。唯一一星是给各位演员的，这样豪华的阵容怕是很长一段时间都难再见了。,Avengers: Endgame
Lycidas,2,2019-04-27 12:43:10,冗长无趣，全程被巨大的尴尬笼罩，一群女英雄站在一起那幕政治目的明确得我快吐了。即使拖沓成这样戏显然还是不够分，导致所有人物基本上跟会动的手办没什么区别。一个商品英雄时代终结，必然会有下一个跟上，真有几分感慨之处可能也只是自己再也回不到看这样的电影还会激动的年代了吧。,Avengers: Endgame
白白的,2,2019-04-24 09:54:50,"铁人和灭霸一换一；寡妇一个人来一个人走；美队体验完美人生；灭霸吐槽我他喵被鞭尸两次；吃瓜群众都活了。
拖沓矫情的前戏+智商和实力飘忽不定的灭霸+打架从不抱团的妇联+刻意但硬不起来的牺牲+你不是漫威粉+死贵票价和时间=平庸的句号",Avengers: Endgame
猫小珥,2,2019-04-24 04:03:18,从首部到终篇因为故事线过多而剧情显得散乱的问题如今倒也成了风格 尽管觉得从某个角色着重讲述会有更好的结果 但也只能说是萝卜青菜 可为了煽情而让某人没有足够铺垫的拿起某个东西实在让人莫名其妙 当然这是小问题可以忽略 然鹅前半部分缓慢的节奏（后半段有所改善）和后半段祖母悖论导致的无法自圆其说的逻辑漏洞实在让我忍无可忍 当然对于狂热粉来说可能根本不会考虑到这些吧 早就被十多年狂热的情绪无视了一切bug 所以电影啊终究看个各自欢喜 但是如果想自己好好享受这部作品 切忌粉丝场 吵得影响观影体验,Avengers: Endgame
白死,1,2019-04-24 04:22:24,BUG太多，穿越设定太落下风，打斗还不如上一部，一个有印象的打斗镜头都没有。美队结局大BUG，地球科技太无敌，只要你想，无限宝石可以批发了。作为系列终章，太失望了,Avengers: Endgame
JeanChristophe,2,2019-05-05 21:38:45,"只此一次,下不为例.""电影宇宙""是不准确的概念,基耶斯洛夫斯基、林奇、王家卫等人的作品都自成贯通的""宇宙"";借用信息科学的术语,不如说漫威发明了新的类型片:分布式电影.文本分散在作为节点的影片中,通过指涉联结形成网络,部分的失败不足以影响分布式系统整体表意,廿余部庸作集合起来便成为高鲁棒性的文本库.""复仇者""概念无疑是时代的症候(向谁复仇?)――它揭示了幸福感恰恰建基于(假想的)敌人的存在,标靶的现身在场予生活以意义;当杀死反派也不能满足这战斗欲,人们只得视死亡和记忆中的缺憾为仅存的对手来填补对幸福孜孜以求的冲动.复仇者不会离去,除非他们自愿如此――当敌人再次无力地化为齑粉,面对着彻底虚无的幸福,他们似乎除此之外也别无选择了.或许唯一勉强可算作遗憾的是,系列片的拍摄进度没能赶上我成长的速度.",Avengers: Endgame
Y,1,2019-04-28 23:27:27,她不配有家人，不配有童年，不配有战争，不配有爱情，不配成为英雄，也就不配有结局,Avengers: Endgame
Tyger Tyger,2,2019-04-27 20:34:31,对于没什么漫威概念的我来讲，这片子真是粗糙到可以，到最后挤进一大堆本集前三分之二根本没出现过的人物，想来是几部前集的，根本就是百货公司玩具柜台货品盘点。另外，千万不要看粉丝场，我出了近五年最贵的票钱，结果边上三个小伙子一路奉送评论音轨，不晓得自己是赚大了还是亏大了~,Avengers: Endgame
风间隼,2,2019-05-05 10:47:49,一个剧本同时用上“时间旅行”加“平行宇宙”的时候，就不要对剧情合理性抱任何期待了，再加上10几个主角的前史负担，不可能翻出任何新意，只能在每场戏里抖抖“美国屁股”这种小包袱。动作戏量少质差，再加惊奇队长这种bug式的设定，还有啥好打的？缺乏悬念，卖情怀又对我这种非粉根本无效，整部片子看的好生无趣。两颗星给勉强及格的决战。看完我只想说：终于结束了。,Avengers: Endgame
