name,rating,time,comment,title
朝暮雪,2,2018-06-10 21:57:09,因为不能让恐龙死，就把恐龙放出去吃人？恐龙比人命还重要？不愧是《猪逻辑世界2》，猪一样的逻辑，而且还很2。把恐龙放出来表面上是保护动物，其实是为下一部拍恐龙入侵人类世界做铺垫，首先非常伪善，其次说明下一部才是高潮。《侏罗纪世界2》只是一部《侏罗纪世界3》的加长预告片，只是一件牺牲品。,Jurassic World: Fallen Kingdom
你就叫我蕉大吧,2,2018-06-15 17:51:53,都是造出来的恐龙，你们的恐龙就是可爱的生命可以放出去残害人类，反派造出来的恐龙就该被残忍地扎死？不懂这种逻辑。,Jurassic World: Fallen Kingdom
亵渎电影,2,2018-06-16 15:20:05,剧本单薄，逻辑经不起推敲，典型的脑残商业片写法，还在炒几十年前的冷饭，真没觉得这算是致敬，只觉得片方保守没长进，唯一的亮点就是导演加入了一些恐怖元素。最后把恐龙放出来杀人，为了续集编剧不惜做圣母婊，真想知道恐龙来到几千万年以后的地球怎么生存，估计不用打，生态环境就直接灭了它们。,Jurassic World: Fallen Kingdom
焚紙樓,2,2018-06-06 23:54:40,以一部兩小時的片而言，劇情漏洞實在有點多......唯一一個恐龍醫生從沒見過真恐龍、真恐龍研究幾十年的生科團隊連抽血都不會、機密牢籠直接蓋在金主家裡、時有時無的麻醉彈、可有可無的男跑腿......但最受不了的還是，前段把第二集和第三集混著演混得好好的，怎麽後段倏地變成《小鬼當家》了？,Jurassic World: Fallen Kingdom
一只华猪,2,2018-06-15 02:12:58,"我们迎来了史上最全能的一只龙——暴虐迅猛龙，这货能开门开窗还能掀小妹妹的床单，居然还能做引体向上！用星爵的话说：""这画面真的毫无违和感""",Jurassic World: Fallen Kingdom
托尼·王大拿,2,2018-06-15 18:29:10,生命不息，作死不止，续集不断，捞钱不停；除了巴约纳标志性的180°倒转镜头外就再无亮点。,Jurassic World: Fallen Kingdom
王大盆,2,2018-06-17 12:35:34,这结局我他妈的都惊了！我希望那个小女孩可以被判刑。,Jurassic World: Fallen Kingdom
文森特九六,2,2018-06-08 10:52:55,全片就像两位主演的身材那样臃肿和无趣，倒是没想到Bayona的个人标签能有这么多。,Jurassic World: Fallen Kingdom
猪头妖怪,2,2018-06-16 19:43:52,曾经的侏罗纪公园如今被拍成高斯福庄园了；从来只听说过放生鲤鱼、鲫鱼的，没听说过还有放生恐龙的。放也不放远，就放在城市郊区。蠢得理直气壮。,Jurassic World: Fallen Kingdom
clover,2,2018-06-07 06:48:54,恐龙是这部电影中唯一有那么一丢丢智商的动物，鉴定完毕。,Jurassic World: Fallen Kingdom
