name,rating,time,comment,title
掉线,1,2016-06-08 02:37:32,【C-】我看过剪辑最烂的电影之一，不夸张地说剪辑水平几乎是小时代的级别，基本的剪辑点不对，基本的景别选取不对，基本的素材选取不对，基本的故事剪不清楚，烂到我怀疑环球是不是为了坑传奇故意派的人毁掉电影的。,Warcraft
二月鸟语,2,2016-06-06 19:19:51,点映看两遍，看得昏昏欲睡，无聊至极。故事又老又俗套又狗血不说，故事都没讲明白，打来打去都没高潮，人物性格又太单薄，真是失望。讲真，就整体而言和指环王差了100部变形金刚！这种消耗情怀而不顾观众感受的片子真是够了，回头想想，这其实就是拍给魔兽粉丝看的而已··就像小时代···没必要争,Warcraft
rainmanyuan,2,2016-06-07 22:59:42,故事一般，特效凑合，排片量太大了，ume23:59居然排了8场，加上0点的，2点的午夜场一共11场，太惊人了，营销做得不错，前无古人啊，故事没有太多惊喜！,Warcraft
地平线的旧火车,1,2016-06-08 07:53:24,魔兽≈周星驰现在的电影≈小时代……,Warcraft
放心办事员小李,2,2016-05-31 04:05:04,你们的世界好难懂…为什么人类首领那么弱…为什么人类首领不会魔法…为什么会魔法的隐居了还要被揪出来打架…哎……,Warcraft
元成,2,2016-06-07 22:53:15,剧情不新鲜，特效早都视觉疲劳了，魔戒之后，都是山寨… …后续冒出的魔兽2、3、N，魔兽前传、后记，魔兽精编版、浓缩版、黄金版、白银版、钻石版，魔兽5D复刻版、加长版，魔兽5周年纪念版、十周年、N年纪念版（等等变种版），嘿嘿，也，坚决不去看首映凑那个热闹了！,Warcraft
豆瓣酱,2,2016-06-08 00:42:53,男票说魔兽相当于手机界的苹果，没玩过游戏，今天陪他去看的，可能预期太高，并没有想象中的传奇，是游戏粉太多还是有些人跟风头脑热，不过拍片很高，可以期待一下他的票房。,Warcraft
键盘侠,1,2016-06-08 07:40:31,剧情乱的不行,Warcraft
影评终结者,1,2016-06-08 06:52:58,先不扯情怀回归电影本身可谓无聊至极，人物塑造和叙事结构极其平庸，场面调度分镜设计和剪辑简直灾难，剧情老套俗气又狗血不说连个基本故事都没说清楚，尽管视效和打击感出众但一帮蹩脚演员全程叨逼偶尔没高潮的打2下还是让人昏睡，讲真就整体而言与平庸的霍比特人差了有1万部指环王，消耗情怀真是够了,Warcraft
纸巾跪族,1,2016-06-08 07:38:09,所以说情怀很重要，这个东西在国内非常吃得开，反正我个人觉得不是一部好电影，但是看看国内影评，简直爆炸了一样，我们看的是一场电影吗？别的大片首映场imax 100左右，这一部要200……卖的是情怀，看的是情怀，情怀永不为奴！,Warcraft
