title,comment,rating
12 Angry Men,"I remember watching this movie on one my last lessons in Legal Studies in Australia because there's not much else to do besides the exam prep. I don't understand the appeal of this movie at all. All it is revolves around twelve angry men yelling at each other for the entire movie, in one room. Sure, it tells the story (and I'm seriously stretching the term for this particular live action reel) of a jury made up of 12 men as they deliberate the guilt or acquittal of a defendant on the basis of reasonable doubt, forcing the jurors to question their morals and values. This works well as a play and I like the acting and dialogue in this, but does not translate well onto movie at all. That's what Parliament Question Time TV show is there for. This movie is so boring, forgettable and torturous that this is the third time I literally fell asleep a half hour in besides Transformers: Age of Extinction and the new version of Independence Day. Because movies are meant to entertain people, even Tommy Wisseau's The Room and the animated Titanic movies are watchable compared to this torture device. This movie is generally studied in English (lucky I never had to do that, even though there was no way I could escape seeing this movie), and I feel for the high school students who have to watch this for study, and fans of this movie who would throw their money at everything they see.",1
12 Angry Men,"In the movie The 12 Angry Man, I didn't like the choices that the director made in the movie. First of all, the actors were overacting and they don't sound and their emotion doesn't look believable. For example, when the juror number 3 was having his moment talking about his kid who he ""made the man out of him"" by abusing him and later his kid punched him and ran away. His emotions and the way his voice sounded doesn't seem convincing to me. It seems to me like they are just reading their script out loud. Secondly, the camera angle wasn't good. The camera was mostly close up and it was quite boring. You want the audience to look excited or interesting so they will pay more attention to the main points but this movie didn't do that much of a good job. For example, in the jury room, when they were voting one by one, the camera was close up to them that I didn't get to see the reaction on other juror faces when they were voting one by one. I think it will be good to see other juror face and trying to make eye contact with juror to change their vote. Finally, the actor that they chose to play the role of the boy who was abused all his life and is a trouble maker, the actor looks nothing like his character in the play. So there fore I think the choices that the director made in this movie weren't that bright and it could have been better and more interesting.",1
12 Angry Men,"It goes on and on, they are talking in a small room and it's not a good set because it makes the viewer feel cramped and claustrophobic. The movie should have shown other places, because you get bored in like 5 minute of the same damn room, that you're in for the whole movie. We want to see other places which are more interesting! The actors are mediocre and make their characters seem just like some random person on the street, and not like a spectacular character who is larger than life in some way, and that's just boring ! The script isn't that good, they just talk back and fort and don't seem to get anywhere, everybody could have said what they wanted and been done with it in at least half the time.

And let's talk about the ending, you don't even get any closure, you don't even get to know if the boy was the murderer for real! Then what's the point of the whole MOVIE? Where you're trying to find out if he did it or not. All in all, it's a pretty mediocre film, which would have benefited from some better acting at times and not being in black and white.

I give this movie a 5/10",1
12 Angry Men,"This movie is horrifically boring. Your time would be better spent staring at door handles. I wish I could give this a 0 out of 10. I feel robbed of my time and sanity by this experience. I could go on and on, and in fact I will because IMDb apparently requires that I take 10 full lines of text to communicate to you how utterly awful this movie is. How is this considered a great film? Was life really this boring in the 50s? I've always mocked people that enjoy the Lord of the Rings trilogy, but I'll take 9 hours of that over 90 minutes of this excruciatingly boring drivel any day of the week. Let's recap: only one set, no true rising or falling action, no satisfying conclusion, no compelling characters (because none of the characters are developed in depth), no meaningful relationships between characters, no romance, no action, no... anything. Words are inadequate to describe how betrayed I feel be the various friends and reviewers that have recommended this movie to me (and, yes, I am deliberately using the term movie instead of film). Do yourself and America and favor -- rent the copy of this movie from your local Blockbuster and put it in the microwave.",1
12 Angry Men,"I cannot believe I was forced to endure this movie in a class I took at college. Synopsis: 12 men sit in a room and talk for the ENTIRE movie. It's about as fun as sitting in the doctor's office listening to the chit-chat of other patients. I know it's supposed to be good since it has the noble purpose of pointing out the already obvious fact that some accused people, if the jury does not consider carefully all the evidence, will be wrongly convicted. Also, some of the ""evidence"" presented to defend the accused is sketchy, at best. It seems too many jurors have taken this movie to heart -- in this country we turn people like O.J. Simpson out on the street.

I might have liked to read this as a book, where I could at least dream up my own characters and give them more to do besides sit and talk. The two main characters were also pretty flat; one is your all-enlightened bleeding heart liberal who thinks a crack dealer that has been arrested 42 times will straighten up if given ""just one more shot at 'rehab'."" The other is the typical conservative loudmouth whose values are rock-solid and self-righteous and he's going to scream louder and louder until you agree with him. This movie isn't suspensful, it's laughable.

Rating: 2/10",1
12 Angry Men,The movie is a one time watch. They have just over thought all the evidences provided and declared it's not true. Total nonsense. They should have atleast shown how the killing took place. Waste of time. It's literally takes place in one room . They could have atleast shown flashbacks. The acting in the movie was okaish. Pls give it 1 star so that the average goes down and people don't have to waste their time seeing it. I don't have anything else to write but my review won't get posted if I don't write atleast 600 words. I had to write it so that people don't waste their time. Pls don't waste your time.,1
12 Angry Men,"First thing the defendant was guilty in ""12 Angry Men,"". However, this movie exposes the huge flaws in the jury system. Even when evidence and testimony supports a guilty verdict a single self-righteous bully swayed the decisions of other jurors,

Juror 8 is portrayed as a champion of justice, but his methods of jury tampering by introducing an identical knife and speculating on witness testimonies, steps beyond courtroom protocols. He dismisses the old man's account and makes assumptions about the female witness's eyesight all based on personal experiments and conjecture, not verified evidence.

Juror 8's tactics and amateur detective work, created bias on the jury with emotional appeals rather than sticking to the trial facts, and undermining the judicial process. Thank goodness this movie is a fictional, account using dramatic license, and should not be taken as a real case study.",1
12 Angry Men,"I'm one who likes to look at IMDb and watch some movies based on ratings from this site. This one is probably the most overrated movie I have ever seen.

People who are rating this movie great are just trying to impress you with the fact that they watched something that came out before they did. Seriously awful waste of time here. If you want a good older movie watch Treasure of the Sierra Madre or Casablanca or just about anything else over this.

I try to find good in everything and I just don't get why people give this one such a high rating. Nothing great about it. Boring as hell and not one thing good worth mentioning. Because of IMDb i had high expectations and boy am I rethinking this sites reviewers.",1
12 Angry Men,"12 Angry Men is a pretentious amateur ""detective"" story who's manipulative intent was easy to spot a mile away. As soon as they showed Henry Fonda's character of the The Architect (Juror # 8) I knew he was going to be the only one emotional enough to vote not guilty and with the help of very poor writing convince everyone else to do the same. Sure enough I was right.

Juror # 8 starts off just believing the 19-year old suspect was abused by his father for ""years"" with absolutely no evidence other than his bleeding heart and not simply disciplined for all the crimes he committed which included mugging, auto theft, robbery and knife fighting because as we know no one ever lies except of course all the eye witnesses in this trial and the detectives.

The Architect just makes one nonsense argument after another and every valid point brought up by the skeptics is just brushed aside until they finally change their mind for no logical reasoning whatsoever.

For instance, juror # 8 just manufacturers a time frame with no evidence to support it about how long it takes elevated train cars to pass by a single point. He does this based on his alleged past experience of living in an apartment near an elevated train line and everyone just buys it with no argument. This is embarrassingly bad for a number of reasons;

Since the film is set in New York City around 1956-57 we can find that during this time period there were 3 distinct elevated train car types (MUDC, Q-CARS and LO-V) from 7 different manufacturers (ACF, Cincinnati, IRT, Jewett, Pullman St. Louis, Wason) operating. It is just assumed in the film that every elevated train in NYC is made up of identical length, height and speed trains with the exact same window dimensions and placement when nothing could be farther from the truth.

What year did Juror # 8 have this apartment and what exact trains were running on the line at that time? Were those the same type's of train cars involved in this case? No answer is given. This is the equivalent of saying that you flew out of an airport years ago therefore all planes are the same and fly at the same speed with no control by the pilot.

Trains are operated by conductors and are variable speed, they speed up and slow down. At any given day a conductor could be running a train faster or slower for any number of reasons. They could be trying to make up time being late and running the train faster, they could have been tired and running the train slower to be safe or any number of other variables. There is no way to know the exact timing of the train that day unless you were there to time it.

Then the old man juror becomes an amateur criminal profiler and accuses the old man witness of lying to be important with no actual evidence to support this just his worthless opinion based on how he looks.

A juror not remembering the details of a movie is not an argument. The day a family member of mine died I have the movie I was watching seared into my head and will never forgot it. During times of increased stress like this you become hyper aware of everything.

The entire debate over how the suspect would have stabbed his dad is waste of time, all that matters was if it was plausible. How a juror would hold the knife is irrelevant.

Apparently the jurors have never heard of reading glasses or sunglasses which first became popular in the 1920's and The Stockbroker (Juror # 4) just decides to become an idiot on this point for no reason.

This is a manipulative and poorly written film designed to sow doubt where none exists and to instead have you believe in emotional reasoning over logic.",1
12 Angry Men,"The main reason that I dislike this movie because it is played in black and white. It made feel tired, so I cannot concentrate in the movie.

Another point is that it did not change much scene, they mainly acted in the jury room. They stayed in there for most of the time that made me feel uncomfortable and closely packed together.

After that, I think they had talked to much about the case and they waste so much in talking the same thing.

All in all, I don't like this movie because it is black and white and it seems to be that they were repeating the same point again and again. Therefore I don't like this movie at all.",2
