title,comment,rating
2001: A Space Odyssey,"For years I herd ""How great this film is"". Well to me at the beginning I thought I put on ""Planet of the Apes"". It was a silly way to show how man evolved from ""Ape to traveling into space"".

We then get what seems to be hours of ""babel"". Then when the main plot kicjs so does the ""Ambien Effect"".

If people really love this movie fine but, ""I never will"". Somebody will have to pay however $1000 in order for me to sit this stupid movie again! If you are under 50 you will mot likely hate this!",1
2001: A Space Odyssey,"I first saw 2001 in a theater, big screen, big sound with my high school class as a field trip. I was speechless on the trip home.

This movie still evokes the same feelings 50 years later.",1
2001: A Space Odyssey,"You see those paintings in which a single colour is spread over the entire board and people gazing at it as if it is quite interesting and to dig deep to find any hidden meaning in it!!!!!

This film is just like that...All through the film i felt the need to know what was happening. I gazed at it like an idiot! And they attached some ugly theory to this film, which in itself it like 'nonsensical'!

This has become a trend to utter idiots to rate a film high when they actually don't understand even a part of it! Please people, if you really don't understand a film, try to know about it and if you still think it's ugly, please don't rate it high. It really really messes with the time of people who are genuine and want to spend some happy time watching movies !

This film deserves a punching ovation!",1
2001: A Space Odyssey,"BOOOO!!!!!!

STANLEY KUBRICK JACKS HIMSELF OFF FOR 20 MINUTES!!!! WHERE IS THE LAMBORGHINIG?

I Survived 7 Days In An Abandoned City

""Cars 2"" takes Lightning McQueen and Mater on a global espionage adventure that diverges from the original film's racing theme. While visually stunning with Pixar's trademark animation excellence, the movie received mixed reviews. Some praised its action-packed sequences and the introduction of new characters like Finn McMissile, a suave spy car. However, others felt that the plot was too complex for a children's movie, shifting focus from the heartwarming friendships central to the first ""Cars"" film. Additionally, Mater's expanded role as a spy led to divided opinions; while some found his comedic antics entertaining, others thought it overshadowed McQueen's character development. Overall, ""Cars 2"" offers a thrilling ride but falls short in capturing the charm and simplicity of its predecessor.",1
2001: A Space Odyssey,"Yes, wow! They ought to give you an award if you're able to sit through this whole monstrosity. The effects, for the time, were great. Unfortunately, it's an Arthur C Clark story. I can see why druggies went to see this movie. I, in fact, could use some serious medication after wasting this bit of my life. The best option for this film is to destroy all copies of it and pretend it was never made. Better yet, let's seal it up on a black rectangular box and launch it into space - maybe the moon, or possibly Jupiter.

Wait, I've got it: replace the entire soundtrack with polka music. Watch this movie, and you'll agree with me.",1
2001: A Space Odyssey,It's almost as bad as Interstellar! Slow. Boring. Could have been done in half the time!,1
2001: A Space Odyssey,Extremely so so so so so so slow! Extremely so so so so so so slow!,1
2001: A Space Odyssey,"Monkeys jump around and fight for 20 minutes before it even starts...you can actually skip this part of the film until the first space sequence

Then the first f several overcooked space sequences. I watched all o these sequences on 3 x speed...the music was quite good but not worth the wait - these sequences take up about 25% of the film at a rough guess...the first one is OK for the first couple of minutes, but they get boring after that.

The story - erm.....there's a conspiracy about some form of disease - let's keep it quiet

That's about it - utter rubbish",1
2001: A Space Odyssey,"If you want to spend 15 minutes watching a space ship docking then I'd recommend a NASA video on YouTube, then spend the other 2 hours of your life watching something that is actually entertaining. Nothing really happens in this movie, how this film is one of best of all time I've no idea.",1
2001: A Space Odyssey,"Nothing happened, I just kept waiting, and nothing. The most painful expirience of my life.",1
2001: A Space Odyssey,"This is the first movie I stopped watching less than the halfway point out of boredom. I tried 1.5×, also 2× but it was still boring. I just skipped to the end knowing I wouldn't give this another chance.",1
2001: A Space Odyssey,"""2001: A Space Odyssey"" is a bloated, self-important turd that dares you to stay awake through its endless nothing. Stanley Kubrick shoves a camera up his own ass for three hours, calling it art-monkeys screeching at a rock, spaceships twirling to elevator music, and a computer whining like a needy ex. It's supposed to be profound, but it's just a smug middle finger to anyone who paid for a ticket. The plot's a void-some guy named Dave drifts around, mumbles at HAL (a glorified toaster with a god complex), and then gets puked into a psychedelic screensaver that means jack squat.

The visuals? Overrated-slow pans of plastic toys in space that scream ""look at my budget!"" The music's a pompous snore, like a classical mixtape for pretentious clowns. Keir Dullea's a wooden plank with no pulse, and HAL's the only one with personality-too bad he's a nag. That ending? A kaleidoscope of nonsense and a giant baby staring at you like you're the idiot. One point for the apes breaking stuff-only part that didn't make me want to claw my screen off. A masterpiece? Nah, it's a cure for insomnia that hates you back. Skip this garbage.",1
2001: A Space Odyssey,"This movie contains some very well made, interesting and realistic parts, but in overall I still regret spending my time to watch it, because unfortunately the rest of the film is totally awful, and as a whole it makes no sense at all. At first a large black stone(?) slab seems to have some important role (first it enlightens some prehumans, then astronauts find it and research about it) then after about one third of the movie we never hear about it again, it loses it's importance in the plot and a completely different story starts. At least this other story makes sense, except for it's ending which is a total nonsense again - even worse than the first part, because here you don't even know what's going on, it's totally random and has not much (as nothing) to do with the story it should end. The parts that worth watching are between the parts I mentioned before. I'll write more about them later. Apart from not making sense this movie will try your patience in other ways too, especially in it's first half. For example the film-score is horrible. Not just because that music sounds very bad, but also because it's style is never appropriate to the actual scene of the movie. For example many times there is a dramatic music when actually nothing special happens. Then there are parts, very long ones in which absolutely nothing happens. You are to watch an empty desert for long minutes, a spaceship docking for at least 10 minutes and probably other such things I don't remember. During these scenes of course you can listen that ""masterpiece"" film-score I just wrote about. (Some say that docking scene is the best part because ""it's so artistic and beautiful"" - well maybe I would agree with them to some degree if it wasn't longer than 2 minutes, but too much is too much!) Now let's get back to the part I wrote about that it worths watching. It's the part which pictures a space mission to some distant place (I don't remember where) - hence the title. It is surprisingly realistic: there is weightlessness everywhere in the ship except for a large block witch rotates to provide gravity; outside the ship(s) there is gravely silence, the route takes years - so most of the crew are hibernated; and when a TV station from Earth makes an interview with the (awake) crew members they tell the viewers that it takes minutes for their question to reach the spaceship (and also the answer to reach Earth). They must have used some experts to design this, it totally lacks those fancy but unrealistic stuffs we got used to in the modern sci-fis. If this was the whole movie it would worth much more than like this. But it gets screwed too when the computer, Hal makes a small mistake and many very illogical decisions ensue from both its and the crews part!",1
2001: A Space Odyssey,"This is a video not a movie for me. Too long and too boring for today's standards. Visually amazing, but nothing more than that. For a video it is 10, for a movie it is 1, no plot, no arc, just random events... Expected much much more from it...",1
2001: A Space Odyssey,"I love science fiction, philosophy, history and so on. But, thanks the gods this wasn't influenced by this movie. This movie is the master piece of boringness, and has the potential to demotivate anyone interested in the science, futurism, technology, ...

Sometimes people say that the more you see the movie, the more you love it. Well... this looks like the human phenomena that people simple get used to bad things when exposed enough to it.

Perhaps the movie is a classic for _film-making_, but that's it. Watch it from the perspective of the technique, or perhaps using drugs.

(I wanted to vote 3/10... but the movie is TOO overrated, so i changed my mind and voted 1/10 to help a bit)",1
2001: A Space Odyssey,"Aching slow, exceedingly ""atmospheric"" and i use that word with great contempt, as that is all this film has going for it. What would usually be transition or showing the scene drag on interminably, making it a fantastically dull waste of time

Non existent plot or character development, I can see how this could be interpreted as some kind of abstract or modern art, but as film which i thought are supposed to entertain, educate or open your mind it does nothing.

The only upside to watching it was noticing some of the pop culture references which link to it, such as the computer brain room which is in an episode of Futurama, some other Simpson's related jokes and ""I'm sorry, Dave. I'm afraid I can't do that""",1
2001: A Space Odyssey,This film is the most boring thing in existence. It has no redeeming features.,1
2001: A Space Odyssey,"This movie was just plain awful!! I feel the people that rated this a 10 just want to feel they are superior over others by sounding they were able to get from this terrible movie something so much more then what it was. Now, this was visually good, colour sequences were nice, musical score was good, however 2.5 hours for all that is insanely boring and just plain torture at times! At the 1 hour 10 minute mark, you have a scene of the astronaut go out into space, then for 6 and a half minutes there is just what can only be described as the sound of a pressure cooker whistling constantly! After 3 minutes of this I almost wanted to poke sharp instruments into my ears to stop that sound from making my brain feel like was about to explode! The movie is just filled with endless silence, or repetitive sounds that for the most part were just annoying after 10 to 15 seconds, funny enough, some of these irritating sounds caused my dogs to react and start looking around and have to leave the area. Dialogue is very minimal through entire movie, instead this movie is just filled with instrumental musical score in all the spots not in silence or with annoying sounds.

Then the plot is not really clear, besides a computer named Hal being evil all for the mission, which at that point it turns on the 2 astronauts, not sure if the attempt was to be comedic, or just ended up being like that, but Hal starts to tell the astronaut he is better now, and to please talk to him, (at least it cracked a smile from me).

One of the worst movies I have ever saw, and frustrating that is so highly rated and so many people spewing out comments of how brilliant of a movie this is! Then that lightshow moment late in the movie, I get it was 1969, but c'mon, I felt I was in a lava lamp at some point!.

This should of been an old Twilight Zone episode from the 1950's, 20 minutes would probably of been enough to get the point across of this treaded 2.5 hours masterflop!",1
2001: A Space Odyssey,"I had to watch this monstrosity 2 times, because it's soo long and boring and I fell asleep the first time. Watching this in 2020, I can't imagine who will understand this film? It's horrible, slow, boring, the people and some scenes make no sense if you didn't make the film.. It does not make any sense!! It's just a painfull way to destroy 2,5hours of your life.

If I could, I would destroy every copy of this film, so no one has to suffer through this film again.",1
2001: A Space Odyssey,"Kubrick's film gets the science correct? Who cares... The story begins and ends with who cares. Its basically like watching a science film about space physics. No drama, no comedy no nothing.... Just yay they got the science right. WHO CARES...

People who claim this movie is great are bandwagon Kubrick creeps. Clockwork orange wasn't amazing at all. Guy is just weird and goes on a tantrum into correction. Like a bad version of trainspotting and yes BORING. A lot of people don't like to be entertained and if they say yes to this would you ever want to hang with that person ta a club? EVER? Don't worry these 10/10 creeps don't go to clubs they attend science fairs for 2hr screen stares.

This film really nails did i say Boring. Yes boring boring boring. Would you actually invite your friends over to watch this? If you said yes your the guy who sits in an empty house, drinks tea, talks about vain banal projects of so called creative masterful vapor wear pretending the seriousness doesn't fall into simply your too ""serious"" lighten the hell up person.

The best part of the film is when it was over and i didn't care. If your idea of a good time is how well they got the physics correct and not an actual entertaining plot enjoy this drivel.

BORING!",1
2001: A Space Odyssey,"First of all what was the comment about - is the worst ever SF movie ever made.The action - if there is an action - take place over 2 and half hour and if u would made it normally time (21 century) - u would see that the action takes about 5 minutes to take place.Is very boring the way it moves,sloooowwwwwwwwly like the watcher has all the time to see about 10 minutes as an astronaut gets out of the ship with a shuttle.I recommend if u want to watch this movie always to control your forward button and maybe u will be spared about the pain watching it. Second - it might have been greatest movie off all times but in the 70's. The effects and the details about 2 min per object maybe interested older guys,but now is not at all like this.I want to apologies to whom feel offended about saying this about one of their favorites movies but - Third off all - i think that the base is not updated correctly.I am not saying all of this because i spend over 2 hours trying to find why is on top 10 but i am saying cause i took your top as a good top. I think the administrators of the site should do also a top bye time,like for 10 years,and not to gather all the voting over here that are miss leading,making the movie one of the best of SF when now a days is one of the awful movie. And 4 - i think i will be banned from writing again a comment from the administrators,although they say i'll be blacklisted by the others viewers.In this time the human still controls the computers!!",1
2001: A Space Odyssey,2.5 hours for nothing.. It is very funny the way the airhostess walk in the spaceship. Are there any turbulences? :),1
2001: A Space Odyssey,"Boy, I would've liked to hustle the fool for the money used to make this crappy thing.I cannot even call it a movie.The only good part of this piece of garbage was the ending credits. The actors were about as entertaining as watching the wind blow, absolutely no personality.The concept was a joke and terrible writing.Like most of Stans work this also sucked. Well at least FMJ was O.K.Now all you weirdos who thought this was a masterpiece sorry but, yes Lord of the Rings sucked........ ............. ..................................... ......... ................................... ......... ............................. !",1
2001: A Space Odyssey,"Hi

Just a warning, if you want a in deep review why it's so bad, find another user's review.

I'm so mad i found out how to review movies in text just to tell you how bad it is.

I half watch, fast forwarded the movie almost to the end. Didn't get it, had to read a summary to get it, and its clear the movie don't have it all.

What i hate is that it is SOOO slow, Heck the first 3 minutes is black screen with some strange noise. And there's even more black screen further in. It takes 25 minutes to get into space. Every moon landing takes lots of time.

Also they think noise, high frequency pink noise is something you wanna listen to for multi plate times in 20 minutes in a row.... Strange again.

Don't want it. Don't think about it. STAY AWAY! SAVE YOUR TIME. If you wanna know what happens, find a good summary. You will read it quicker, understand what happens and be more happy.",1
2001: A Space Odyssey,"Space Odyssey is too slow, to bland and too boring. The special effects look cheap compared to what's available now. This movie demands too much patience from it's viewers without giving anything in return. It surprises me that a lot of people think that this movie was in anyway good.",1
