title,comment,rating
Avatar,"Having seen the trailers when this film came out in 2009, I decided that it would probably be all CGI & little else, so I didn't bother watching it. Everyone said it was good, so recently I bought the DVD. The film came down to my expectations!

The plot is thin & weak and basically that of European settlers colonising America in the 18th & 19th centuries & ignoring the rights of the Native American Indians.

The character of Grace was largely insignificant and I can only assume that casting Sigourney Weaver in the part was to ensure it had at least 1 well known name.

Colonel Quaritch was ridiculously and excessively gung ho.

Parker Selfridge was ludicrously 'the company man' who doesn't give a monkeys about the natives.

The transfer of Jake Sully's 'brain' into that of a native was somewhat pathetic, but predicable as how else would he be able to live happily ever after with Neytiri if they were different species?

Given a choice of watching Avatar 2 and having a hedgehog inserted backwards, it's going to be 'Hello Spiny Norman' every time.",1
Avatar,"Way too long and way, way toooooooo boring. Slow moving, unbeatable characters, and just way, way too long. Go outside and watch the grass grow or paint dry and both of those are mire interesting than this crapfest. Yawn.",1
Avatar,"What is wrong with you guys? I left out the story. But what are people really attracted to? I can't fathom what joy they find in the blue-eyed men and women and the leaping dragons and robots. Unfortunately, I have to see part 2 in the theater tomorrow. In order not to lose money, I watched the first episode at four times the speed while drinking alcohol. Watching a three-hour-long stupid movie in 45 minutes is a little less regretful, I must say!

Where is the director's credit for making such a movie? Filled with clichés. Nothing new. No artistic excellence. Just bare technology. Yeah, it is okay for kids. But grown people going to the theatre and enjoying this is totally beyond my understanding.",1
Avatar,"You will enjoy the movie if you have lower than average intelligence. Mind you, I wasn't expecting anything intellectually stimulating walking to the cinema; it's a James-Cameron movie - who does? The only thing going for this movie was the visuals, but even that was offset by everything else. Obnoxiously bad. The dialogues were laughably terrible & there is virtually no character development. I didn't feel a hint of emotion when the eldest son died. By the end of the movie, I desperately wanted the movie to end. The only thing gave me some relief is the fact that Cameron is 68 years of age this year; hopefully he won't be alive to make the next sequels.",1
Avatar,"James Cameron made good a movie, it's called Titanic. Those others not good, but this one is really bad. At least the Terminator series is exploring the possibility of AI to get out of control and for this he deserves credit since he was one of the firsts who has foreseen this even before AI was nothing more than a project.

Avatar is CGI applied to a very thin story. I hoped there will be no sequel but since there are a lot of people who like this kind and studios need money...

I guess when humanity will be over this CGI phase and directors and actors will go back to making real movies we will have the chance to watch good ones again, but I don't put too much stock on that.

Big companies are making a lot of money from movies heavily based on CGI, games, VR and AR. They will always push products which brings a lot of profit.

One must ask himself/herself if immersing into a fake reality is a good thing and if that is not addictive or even worse.

Artists have explored tat territory even before the existence of TVs or computers but they had a good reason. Nowadays we are in this frenzy.",1
Avatar,"Synopsis-An Alien planet is under attack by a human corporation who want some resource (no specifics as to why), located in the alien's home land and who are reluctant to move from their natural and mystical habitat so the corporation send a marine in alien form (avatar mode), to reason with the aliens only for the marine to conform with their way of life and join the resistance. You probably know what happens as it's a predictable plot with a ton of cliché's.

Visuals- Complete and utter pain for your eyes. The 3d glasses makes the screen seem darker and so loses the sharpness of picture and what's worse, gives you a headache because your eyes just can't take the strain, anyway the 3d effects aren't all that impressive. Without the glasses, the graphics are astonishing but because it's intended to be 3d, there is a noticeable blur that is very noticeable.

Plot- This is where even a multi million pound budget cannot save a film. The film seems to be split into 2: Avatar mode and Human form. The film switches between the 2 and this is bad because human form is boring and drags the film. Every time there is a high in Avatar mode such as riding dragons; it is killed by the exiting of Avatar form to the tedious human form.

The film just doesn't have any substance. If you took away the graphics, then you are left with a very predictable plot (Wall-E?). You know it's inevitable that their will be romance, that the undercover marine will turn sides, that there will be some cheesy deaths to add motive etc. The dialogue would make the pope weep (line from American Movie) the worse easily being ""you're not the only one with guns bitch""...(shudders). There are also parts of the films where only average movies or poor movies would get away with such disbelief i.e. being able to escape from an army base so ridiculously easily.

Overall the film is eye candy if your eyes can take the strain but the plot is an equal let down that offers nothing new and is another piece of clutter in the top 250 along with Requiem For A Dream.",1
Avatar,"I can sit through movies I don't enjoy for the sake of family, friends, and significant others but this movie is hands down one of the worst films I've ever seen. The storyline and plot is so unimaginative and uneventful, much to my disappointment as so many people had talked it up to me, that I got my phone out and played on it for the rest of the movie (it was a living room viewing, before anyone comes for me about being on my phone). 30 minutes in and I thought ""oh, it's Pocahontas with blue aliens."" I saw once when it came out and no one could pay me enough movie to watch it again, let alone one of its sequels. How it's getting 4 more movies is inconceivable to me; I just pray that the second one flops and Sony cancels the last 3.",1
Avatar,"I saw AVATAR today. It was a boiling 40 degrees Celsius in Australia. I caught a bus and train to get there. I spent months on a forum before that. Incremental stops included a scriptment, stills, a teaser, a foot, AVATAR day and a full trailer. Now released I have had many reviews to read which have been mostly very positive.

It is a marvel to watch. The opening scenes are very sci-fi with a glimpse of low gravity aboard a space-craft. Sam Worthington fills us in with a short narration. He is taking over his diseased brother's role in the AVATAR program. These opening scenes are actually among the most effective 3D in the film, pulling you into this story, tracking shots putting you into the steps of the characters.

I jump ahead, like the film, to The world of Pandora which is lush with earthly life as seen through pulp fantasies. The rendering of this world is terrific. The life and activity is in the plants as much as it is the animals. Wonder is generated with this ambitious creation. Cameron has lifted the bar. The CG is the best I have ever seen. Everything you have heard is true. The 3D enhances this with leaves falling and swaying branches life-like in the foreground.

The realisation of the Navii is also ambitious. They are CG but there are many moments that make you think they are real and in terms of the story they are more than good enough to propel the narrative with strong emotional content.

I went into this film knowing mostly everything within it. Hours of reading, some from the treatment and pages of the recent reviews. It is very much a family film like ""Nealz"" said in his IMDb review. There is a moment where one of the ferocious animal species that earlier were attacking Jake are seen with a litter, the children in the audience loved the cute pups! The spiritual side of this film is much better than expected. It is in fact a beautiful story. The structure is classical film-making but with amazingly new scope in CGI to express grand images. An epic

The journey that Jake takes through Pandora is lovely. He is taken in by the Navii and explores their culture, language and habitat. Natirii, the female Navii he meets while lost, helps him through this journey. This is a love story of both soul mates and with a wider picture. Existential connections with the natural world. Personal destiny.

I had tears in this film. I tried to hold them back but by the roll of credits they came. This is a movie that I have anticipated for so long. I think the ingredients of its story and my connection to this films production gave me a very emotional response. I cant imagine this disappointing any of the fans on the board. Keeping in mind that it is a family film but delivered everything I wanted.

Expect a special edition. After AVATAR is a hit, a special edition will make its way to the cinema. I can understand why they would cut the earth scenes and it works. The actual film seems pretty brisk and it could also have more padding out. You want more of it and that is a triumph for this type of film running two and a half hours. It is a good balance because at two and a half hours AVATAR is aimed directly at the cinema going audience. Broadly appealing with elements for everyone. My earlier prediction of a billion or more world-wide seems safe.

I don't want to go on about visuals too much but the lovely shots of the natural wonderland of glowing life in still 3D shots is magical. Something to take kids to see. Floating tiny neon li

fe jellyfish their way through the air with grace. The monkey-like extra-limbed creatures with the peeping eyes flock through the forrest quickly. The creature design is done in a clever way with the motion of a living thing. The action is over the top, epic, frenetic and a new take on the battle sequence.

James Cameron didn't stuff this up. He probably pressed the studio way beyond their comfort zone with the time, money and effort that has gone into this. Sam Worthington is excellent casting choice. Sigourney Weaver ads frank reason. Stephen Lang chews the scenery as the ultimate you know what. Zoe Saldana is beautiful as Jakes guide into this world and.

I went to the cinema and it was a very hot day. By the time I left the cinema, the streets were wet with rain. A warm humidity was thick in the air. Lightning splashed my walk to the train station with white light. I honestly wondered if It was my time to be struck down with a bolt of electricity from the sky.

Watch this film. It is destined to become a childhood classic to many little-ones too young to be on this forum. It will be talked about at high school by male and females as spectacular. It will be watched multiple times by fans. I loved it but beyond my appreciation for the film itself, is the the message of love permeating from this movie that I hope enters the zeitgeist like elements of Cameron's other stories have. At its heart is a soul. AVATAR is an achievement in many technical departments but I wouldn't say the story is deficient. It is a beautiful experience and the story is surprisingly what I loved most.",1
Avatar,"I will say that I have never been a fan of 3D movies. Whether the ones from the 70s with cardboard glasses out of a comic book or the new wave that James Cameron started with Avatar. So for me, I am reviewing the story more than the visuals. Watching it in 2D, the visuals are ok but he leans too much into them and the story suffers.

The story is reminiscent of better stories like District 9 (which I know came out the same year hut did the trope of not understanding a people until you walk a mile in their shoes) or Dances With Wolves. It is not original and comes across very heavy handed about environmentalism. So bad that the this the antagonists are trying to get from Pandora is ""Unobtainium"". Seriously. That's his MacGuffin.

I know there are people who love this film and I am happy for them but for me, it was unoriginal, derivative, visually overwhelming, and WAY too long. Jimmy Cameron please learn to edit like you did on T2.",1
Avatar,"With the sequel coming out, I was curious to see what the most recent reviews had to say. I noticed most of the poor reviews, all but one, start with the general theme of ""visually stunning, but..."" This primer added to the reviews compelled me to add my own review.

It is not visually stunning, or to be fair, it is as visually stunning as a windows 97 screen saver which was mesmerizing for short periods of time. This movie is the epitome of a computerized world. Any time a computer can do what humans use to it is deemed brilliant. Anime is more ""visually stunning"" than Avatar and the movie doesn't even compare to a Studio Ghibli quality of animation.

There are plenty of live action films that are more stunning than this. I feel like the wes anderson's film color palette is more stunning than the Avatar CGI. And recently, the lighthouse, directed by Robert Eggers, was far more stunning and that was a black and white film.",1
