title,comment,rating
Black Swan,"As a guy who has always felt that the only thing more hideous then opera is ballet, I tried to watch this because of the rave reviews. The sensibilities that celebrate art forms like this are so opposed to my nature that it really wouldn't be fair to comment but most men's feelings are on lumped on this side of the spectrum. What more is there to say? The box top photo tells one all they need to know. It's awful and none of the lead's whimpering and whining and prancing and simpering redeems it. It's sickening.

As a guy who has always felt that the only thing more hideous then opera is ballet, I tried to watch this because of the rave reviews. The sensibilities that celebrate art forms like this are so opposed to my nature that it really wouldn't be fair to comment but most men's feelings are on lumped on this side of the spectrum. What more is there to say? The box top photo tells one all they need to know. It's awful and none of the lead's whimpering and whining and prancing and simpering redeems it. It's sickening.",1
Black Swan,"Skip this one, I wish I had. ""Black Swan"" was even worse than I expected. I had hoped that there was enough artistic beauty in this film (between the dancing, costumes, music and filming) to make this depressing story worth watching, but much to my chagrin all those elements were lacking and certainly not good enough to make this poor film worth watching. Even the camera work was shaky and terrible.

I had thought that the Oscar winning performance of Natalie Portman would make this worth a watch, but it was not memorable in a good way. The content of the film was awful -- nothing positive here, a demonized woman obsessed with perfection and professional success has her ego fractured and her life destroyed by her quest. A sad film. 1/10.",1
Black Swan,"Perhaps in life good and bad are always evaluated. The main theme in this movie was about the weighing of the two sides. Like Star Wars between the Jedi and Darth Vader. Or like the ying and yang in Eastern Religion. This movie was about opposites. Not just good and bad but also the differences between reality and non-reality. Between success and failure. Between famous and destruction.

Throughout this whole movie, I felt that someone was pulling my hair. The movie was so uncomfortable to watch. I found the whole content and graphics very disturbing. The blood from Nina's fingers, the blood and scratches on Ninas' back. I felt shaken inside when watching this movie. This is one of movies that I went to were people actually left the movie theater. Last night 4 people got up in the movie theater and left their seats - not returning either. The only other movie that I experienced that happening to was with Schindler's List.

If I put this movie into perspective, I must admit that the movie was one in a million. That I have not experienced anything quite like it before. That I could actual feel the frustration, pain and complete loss of control and the gain of control all in one. So in that viewpoint the director succeeded immensely.

I think the ratings 14A should have been put up to 18+ and Restricted because the movie has lots of blood and a very destructive intertwined story.Even though it was a story of a ballerina, the graphics, were almost like watching a war movie.

I must commend the xtc scene and the hard dancing combined with the flashing paused cinematic photography. That conveyed an incredible real, life-like feeling. And I loved the metamorphose effect when Nina changed to the Black Swan - in one of the final scenes. Her skin started to change into scale-like features, and black patterns and wings started to appear on her body. She became the Black Swan in her being and it came out in her dance. That dancing display of blackness was amazing and empowering. It really gave a good impression of what was going on inside her head.",1
Black Swan,"This is lesbian hardcore porn wrapped up in a little girl's pink and white dream life (and bedroom). It doesn't get much more perverse than that. There is the message that pursuit of perfection leads to ruin, but it is lost in the blood, violence, and--again--the pornography that the director decides to use. This movie was hyped, but it fails to deliver. Too bad. It could have been great. As it stands, I give it a 1 because I can't give it anything lower. I expect so much more from Keira Knightley. Not so much from the high-school faced ""star"" of That 70's Show (which had nothing to do with the 70s. I know. I was there.)",1
Black Swan,"A low bass sawtooth note being driven through a resonant low-pass filter with slow but constant ticking of a clock playing over it is heard over the title cards listing the creator, episode name, storyboard artist(s), and creative director.",1
Black Swan,"Good acting and directing does not mean the movie is going to be good !! Natalie Portman was in her best performance, the directing was really good but the movie was really bad ! It was OK in first 10-20 minutes then I just waited for something to happen. Waited, waited, got real bored, and then boom! the movie finished !! I don't even know why they made this movie !! just to make a movie what is going on in ballets life, competition and the effects on them??? Well they could just made a 30 min. documentary instead of a long boring movie. Anyway I see there are many fans that like this movie. Well I am not one of them. This was a boring time wasting movie with a very small point. 1/10",1
Black Swan,"Am I the only one who notices Portman never does any ballet, she shown from the waste up---or from the waist down, in other words she never actually is doing any ballet herself

may as ell have some one dubbing singing and then giving the actor on screen credit for it

A complete sham movie",1
Black Swan,"I don't think Portman is a good actor. I thought she was absotely horrible in Star Wars and when I saw her on Broadway in The Diary of Anne Frank, half the audience left early and the other half was praying for the Nazis to come and get her so the play would end.

That said, her performance here is also weak. Just not believeable.

The look of the picture is disturbing as well. It's shot in this overly grainy style and I don't know why. It's like they over laid grain on to the film.

The story for me wasnt especially compelling. In fact, it was rather slow and boring. The soundtrack was worse. It was almst like they pulled stock music out of a catalog.

Overall all I found nothing whatsoever to like about the movie.",1
Black Swan,"Dear oh Dear! Darren Aronofsky you sly dog you. Took one of the most promising actresses in the world, wrote a god awful script, shot it in a room with no lights and a 1999 hand-held jvc camorder, added some dodgy CGI, and now your going to win 5 bloody Oscars! This movie is the worst I've seen since TRON:LEGACY unfortunately ""gifted"" our local screens. As stated above, i have no love for this film. Don't get me wrong, Natalie Portman and her supporting cast were awesome, kudos to them.. BUT whats with the HUGE lack of dialog. I get that the director wanted the audience to interpret all the pretty dancing and awkward sex deprived Portman moments in our own way, but honestly THIS WAS A JOKE! SHoddy camera work, shoddy lighting, shoddy production. The score was the only thing thing that kept me half interested in what was going on up on the screen. I was originally incredibly excited to hear that MR Aronofky was set to helm he new ""wolverine"" movie, but, after paying 11 bucks to watch this??? Not so much. Mila Kunis is wasted, as i feel is Winona Rider, the whole crazy bitch thing has been done numerous times, see ""GOTHIKA"" with Halle (black catwoman WTF) Berry or Leo Dicaprio in that Scorsese movie that made not much money. I would honestly have given this 0 if i were able. Sad that this will probably get best Picture over films as great and ORIGINAL as Social Network or THE KINGS SPEECH. Strongly do not recommend!",1
Black Swan,"OK so I was forced to go see this film with my girlfriend. That's a given in my situation. I choose a film to see and next time my girlfriend chooses. Fair is fair.

I watched a trailer to this and figured it would be kind of a crazed serial killer/ murder movie. Was I wrong! A load of ballet dancing and men in tights. This film tries so hard to be arty that it comes off as being full of itself.

A weak plot that takes so long to unravel you almost go insane. Looking around the theater I noticed one other guy. An old man with his wife. Same look on his face as I did. Other than him it was old lesbians and rich looking hags all around.

If your a male who likes male things and isn't at all interested in ballet skip this load of tripe of a film. An hour and a half of a little rich girl crying and whining and dancing around. Blah blah. Not even a boob in this film.

Its a yawn fest.

Dave",1
Black Swan,"The dancing is wonderful, however you are not Anne. I hate transporters, I hate Anne for not sticking up for herself while in the headquarters of majestrate of Israel.,, please let Natalie go. She is old, thank you. ANNE ROCKS I thought of thee with no passionate behind your equinox timing, on your relooks crooked dance moves. You looked great just not the professional that Anne could of been, I need you to be a friend, so you can introduce me, If anything I need someone to talk to, and not go away into a shell shock of cryer. Get me out of here before you jump at me. Thanks. I LOVE ANNE!",1
Black Swan,"Black Swan could have been a wonderful story about the hardships that ballet artists suffer without all of the perverse self cutting and filthy mouthed females.Why oh why can't Hollywood produce a good movie that is not disgusting and shallow?Fox Pictures go back into your film vaults and watch some of your vintage films and see what you don't know how to do anymore.What a waste of Natalie Portman's talent.What is with the disgusting lesbian scenes in the movie?Is that necessary?Barbara Hershey is looking really horrid with all of her plastic surgery.Hey Barbara it did not make you look younger.Look in the mirror Barbara.Hollywood is obsessed with plastic surgery that does not make actors and actresses look younger.The plastic surgery that is prevalent in our society is not making people look better,only freakish.Black Swan could have been good.Chalk Black Swan up as another Hollywood failure.",1
Black Swan,"I really don't want to be mean, because the reason why I had chosen to watch this film is that I had already watched many films with male protagonists. The Black Swan doesn't help me though... Many things are wrong, but I will just mention the most important to me: 1) How come Nina is so shy? Aren't professional dancers supposed to be confident? If not, then why there is an absence of her background? We don't know anything about her past, for instance when she started ballet etc 2) Lily is a ballerina who has a visible tattoo, smokes, drinks, eats cheeseburgers and apparently has enough free time to go to a club! And apparently she can be late for ballet practice and dismiss the warm up without a problem!

3) Most characters cuss as if they work in mafia or something. Isn't this a ballet company?

4) MOST IMPORTANTLY, I was felt with the impression that the film romanticizes sexual harassment. Really awful to watch, although this is a stereotype that we see too often in commercial Art.

All I'm saying is that watching an original ballet performance on Youtube would be much more entertaining...",1
Black Swan,"I went to see this film this weekend, and came away feeling I was glad to get away.

This film certainly should not be classified as a 15 as there was a lot of unnecessary violence and was too sexually explicit for a 15 year old to view.

Felt very let down by the people who classified this film and if it was classed as an 18 I would be better prepared as to what I might see.

In all truthfulness, I would not have allowed my 16 year old daughter go and see this with her friends.

The story line was good but spoilt it for me by the degree of violence and sexual activity.",1
Black Swan,"If you wanna see a movie full of disgusting lesbians then be my guest. Some how the movie crossed to a lesbian love story in the middle of it. It was disgusting, i threw up in my mouth and walked out of the theater. Absolutely the worst movie with Natalie Portman ever. It went from being a thriller, to a ""love story"". It's pretty much a little porno. I hope i never see a movie like this again. I wish the movie info would tell you there will be homosexual relationships in the film. Hollywood should inform people what it is the movie so it does not offend. We say if there is killing, why can't they say there is homosexuality? I was not happy with this movie, and it should NOT receive any honors or awards.",1
