title,comment,rating
Django Unchained,"this movie is really 1 of d worst movie ever because it does not have any logic....when Calvin candy asked doc to just shake hand with him,,the doc shot him,,,what is d fun of shooting him now when he has struck the deal with you.and when he shot him he didn't shoot the other man holding gun who killed him!!!very long and very boring i should say and its a pure waste of time to watch this movie...I do not know how this movie got such a great rating on IMDb...in my view this movie stands no where,,,its better to watch a Hindi dramatic movie than to watch this movie...moreover i do not appreciate the death of doc in this movie as he was one of the best characters in this movie.i totally see it as a waste of time so no fun in watching this guys",1
Django Unchained,"This movie was melodramatic and bloodthirsty. I'm not sure who is more sadistic and psychopathic, the characters, Tarantino, or the audience for actually making this movie a blockbuster.",1
Django Unchained,"Filme ideológico da extrema-esquerda, que estimula criação de ódio entre raças. Ideological film of the extreme left, which encourages the creation of hatred between races.",1
Django Unchained,"""Django Unchained"" is a film that, in my opinion, completely misses the mark. Rating it a 1/10 feels justified when considering its numerous shortcomings. Firstly, the script is a chaotic jumble, filled with excessive, often pointless dialogue that lacks the sharpness and wit typical of Tarantino's work. The characters are shallow and unrelatable, making it difficult to care about their fates or motivations.

Jamie Foxx's portrayal of Django is disappointingly flat, lacking any real depth or emotional range. Christoph Waltz, usually a standout in Tarantino films, delivers a performance that feels phoned in and uninspired. The supporting cast does little to elevate the film, with each character feeling more like a cliché than a fully-realized individual.

The pacing of the film is another major issue. At nearly three hours long, it drags interminably, with scenes that feel unnecessary and indulgent. The excessive violence and gore, while a staple of Tarantino's style, seem gratuitous here, serving no real purpose other than shock value.

The film's handling of sensitive historical topics, such as slavery, is also problematic. Rather than offering thoughtful commentary or meaningful insights, it often feels exploitative, using the horrors of the past as mere backdrop for its sensationalist storyline. This approach can be off-putting and even offensive to viewers looking for more respectful treatment of such themes.

In conclusion, ""Django Unchained"" is a disjointed, overly long film that fails to deliver a coherent or engaging story. Its lack of character development, poor pacing, and insensitive handling of historical issues make it a disappointing effort from Tarantino. A 1/10 rating reflects the myriad of flaws that ultimately render this film unenjoyable and forgettable.",1
Django Unchained,"It's an OK movie to kill time on a long flight.

Silly script, poor acting, exaggerated gun shot effect (unless cowboys used miniature canons), unmemorable story, and unfit and loud music.",1
Django Unchained,"This is a mess. It's boring to the point of screaming. Not like Tarantino at all. The finish is absolutely absurd, unrealistic and preposterous. The ending ruins the entire movie. True crap here.",1
Django Unchained,"As the U. S. grows less and less informed and educated, these types of movies absolutely do not help. Too many will actually think this (what ever it is) somehow accurately reflects 19th century America. If that sounds unlikely, doubters should watch Jay Leno's street question and answer segments or the countless copycat Q & As with the average U. S. ciitizen. Facts that were known by the worat high school students in the past are unknown to America's modern culture. Crazy that this fantasy of bloodshed, murder, and gross violence was given awards by an industry that reports itself as generally liberal, peace loving, and anti-gun. Awful story; just terrible.",1
Django Unchained,"I was excited to see a Tarantino Western, but there was no enjoyment in this film. In fact it took me years to get the stomach to watch the whole thing and I would have been happy to not have bothered at all.

In Pulp Fiction and Reservoir Dogs the characters were multi-dimensional. He portrayed their motives, their contradictions and their many sides convincingly. But he has lost his genius as a director and a writer. And now makes horribly cardboard characters, acting pn very serious issues.

While Kill Bill and Inglorious Bastards were confusing, disappointments this one was the worst yet. Why take a serious issue and make a film like this? Just read all the other 1 star reviews - they put it better than I can be bothered to. This should have been a massive flop. How it gets a rating like this is extremely worrying.",1
Django Unchained,"Its really Not worth to watch this movie, its trash, pure garbage. Its madeup concept and tried to hype everything and trying to defame.

Their is no strength in the story.

All is senseless fight scenes and I don't like it at all.

Way long back I wrote the in-depth review but not sure why they didn't publish it.",1
Django Unchained,"I honestly don't know how all these people can vote this crap so high. This movie deserves a 3 maximum rating..

The amount of racism in this film is insane and crazy and judging by the previous reviews, It shows how many people really are racist and find racism to be of humor.

This movie is nothing but offensive to the darker skinned people. I'm surprised it hasn't been pulled or sued. bad movie bad!

I really cant think of anything else to say, this movie has left me speech less. For this reason im giving this film a 1, And i am not recommending anybody watch this junk. Please be warned..",1
Django Unchained,QT thinks he's a good enough director to make a 4 act film but honestly this one didn't deserve 1 act.,1
Django Unchained,"I am disappointed in this movie. It was extremely slow and tedious to sit through. It was only brightened by the presences of Leonardo. Btw, it really annoyed me when Leonardo's character died. They should have let Django die instead.

Also, the final shoot out was unrealistic. There is no way he could have survived all those people shooting at him, without suffering any damage at all.

Other than that I enjoyed Leonardo's performance. His character was well played and easily the highlight of the entire movie. He is a very good actor.

He should have been the main character.",1
Django Unchained,There are no other words to explain this movie than complete theft. Hollywood is a complete joke that can cannot come up with anything original. They only steal original pieces and then virtue signal by flipping the script. Not an original American piece and does not represent original americana. Shame on you QT for ruining original art.,1
Django Unchained,"I'm an hour in and not sure I can finish it. Is it supposed to be funny? Dramatic? I'm not sure. I can't make heads or tails of it. Like it almost seems like a joke, but it shouldn't be. It's just weird. And not in a good way. I'm not sure why this movie has such a high rating.",1
Django Unchained,"Level of nudity is not necessary. Not sure why an R rating is allowed to do this, its garbage.",1
Django Unchained,"Normally, I avoid Tarantino movies, as most of them are a pure waste of time.

Having said that, I thought Pulp Fiction pretty original at the time it came out but since then my tastes have probably evolved. My intention to re-watch it a few years ago ended with a hearty laugh and cease of those attempts in about 20-30 minutes.

After that I never watched any of his films. That is to say, until this garbage, in which Tarantino simply outdid himself.

Without belaboring the points well-articulated in the negative reviews, I will make just one comment: To describe this as stupid is a huge insult to stupidity.

Even the talents of Waltz, DiCaprio and Foxx could not change a thing; it is a uniquely idiotic balderdash of that level.",1
Django Unchained,"Usually love Tarantino but my god this is one of the most boring films I've ever seen. Just scene after scene of long, drawn out and pointless dialogue intercut with action violence.

Has to be one of the most overrated films of the decade, if not for Tarantinos name this would have had no audience.",1
Django Unchained,"My name is Connor, and I don't like this movie. I think its the worst in the collection of Tarantino movies. The scene with the white masks seems so out of place and does not belong. It is as if Judd Apatow wrote it. Two thumbs down. Chaz",1
Django Unchained,"Made an account just to write this. I just finished this movie and wow it was awful. I'm a 22 year old woman so i guess i'm not exactly the demographic but still, i expected at least a tiny bit of entertainment? Didn't get it.

Everything was expected. I know what they were gonna say before they opened their mouth. No twists. No surprises. Nothing to keep you engaged in any capacity. Just dramatic shots and a whole lot of n word which idk about you but i have a million other fun things i can think of to do rather than listen to the n word being said over and over.

If you realllllly have nothing better to do with 3 hours of your life. Go for it i guess.",1
Django Unchained,"waste of time and resources ... , (from an artistic point of view, from other, is just investment) ,

...the author must be a withdrawal junky .............. the film, is, although, viewable, mainly for Waltz ................... and mainly, for understanding, ............. how this business works ..................... you pick a notorious director...( preferably something cheap...)......... notorious casting..................

shocking...something (exploding blood...when someone is shoot, the stupid physics momentum drives the victim aside...) .............. massive advertising...scandalous interviews ...including Oscar nomination ... then....................... collect the money ............................... easy",1
Django Unchained,"No idea how this could be ranked #47 out of the top 250 films of all time. Boring. No character in this I cared whether they lived, died, or got tortured to death. Tarantino himself looks fat and wasted in his cameo. Give me a break. What a waste of time. How to become a film critic? Easy. If you are looking at your watch, you are watching a TURKEY. Four thumbs down. (Use bystanders' thumbs...really bad movies, and they will join in!) And I love Tarantino for Jackie Brown, Res Dogs, and especially Pulp Fiction... That is probably why I am bitter...I expected and hoped for so much, and got jilted. Inglorious Basterds should have been enough of a warning that the well was running DRY, but Django proved it. Go hide your heads in shame, all of you...we expected so much more.",1
Django Unchained,you will be better watching an old jet lee movie or something because if you are in this movie for the good acting of Leonardo you wont find it. Jamie fox and his bad acting.. not that good really. the movie does not build up to the quality that we have seen in previous movies that talk about racism nor it shows anything real for that matter. the movie does not deliver the message that you might expect,1
Django Unchained,"I can't believe this trash won 2 Oscars.

I couln't even maki it through the whole thing, but that's what I've now come to expect from Tarantino. His early movies were pretty good but I just found this awful.",1
