title,comment,rating
Good Will Hunting,"Good Will Hunting was first recommended to me long ago because I grew up in miserable poverty in Massachusetts in a horrid dysfunctional family yet rose to academic splendor because of a caring friend, my intellect, hard work, love of learning and faith in God. In the 90s, I borrowed this film from a Blockbuster store but part way thru the images blurred and the sound faded and I left it until recently when I watched it from start to end, only because of Stellan Skarsgard who is always wonderful. But Oh, my, ugh. UGH! Even Stellan can't save this bucket of slop. What a dumb childish fantasy and such potty mouth trash talk from start to end - written by a kid who for real grew up on the right side of the tracks and thus has no idea about the School of Hard Knocks. Hard to unsee and unhear. Probably the stupidest thing about Good Will Hunting is the expectation that a smart delinquent with a long rap sheet can go straight from the streets to top-knotch employment without becoming, if it were possible, civilized is NUTS.",1
Good Will Hunting,"As a person interested in math who also happens to be seeing a psychaitrist. I was both disgusted by the portrayal of the math ""ingenuity"" and the therapy sessions, the film was absolutely disgusting and toxic in a way that it grossly exaggerated talent and discredited hardwork.

In the movie Matt Damon spent his day time working and nighttime drinking, yet he was portrayed being so good at math. No mathematician in history has ever done that. In truth in most fields of mathematics, even the fields medal level geniuses could not understand any research papers until they finish their grad studies.

And don't even get me started on the therapy sessions where the dominating theme was confrontation,. Anybody who's been to a therapy session will know that couldn't be further from the truth.",1
Good Will Hunting,"This movie is a very weird story about a smart cleaning man whose obsession with telling apple jokes threatens to ruin his having a happy life with his muscle bound secret genie therapist played by that Robot Williams guy.

All the while his working class buddy guys played by the Afflack brothers try to get him to invest in crypto currency and a math nerd professor chud man experiences sexual feelings he doesn't understand.

Im not sure what the point of this film even was. Who benefited from me watching this poop mess? Not me. Not you.

Definitely not Idris Elba, who isnt in this movie. 1/17 never view this.",1
Good Will Hunting,"Terrible movie about a whiny rebel that Treats women really bad. Dont want to get rich, whine and whine. And Is Will supposed to be portraid as a genius? Every character in the movie tries to explain to him but be just doesnt get it. Wow.. I hate this movie so much. And how he treats the girl, jeeesis its sad.",1
Good Will Hunting,"I won't reveal anything about the plot, it just wouldn't be fair. But I will say one thing: Unique screenplay and great actors always guarantee a memorable movie. And this film makes no exception to that. I've never seen Matt Damon in any other film before this, and I have to say I was simply blown away by Damon's superb acting and his and Ben Affleck's first-class screen writing skills. Robin Williams is the right choice as the unconventional psychiatrist, Will's friends all do a great job and Minnie Driver plays an excellent role too. Good Will Hunting is at the same time funny, fascinating and touching, and avoids turning into an embarrassing study of how human mind really works. Even clichés don't feel like clichés in this brilliant film. These kinds of movies really make your brain tick. Well.. Mine at least.

As a closure: GO RENT THIS MOVIE ASAP!

(You won't be disappointed or if you are, blame yourself for not understanding a masterpiece when you see one.)",1
Good Will Hunting,"Good Will Hunting could have been a great movie, but it's nothing more than an average movie. It's been hyped up by so many people in the media, that the viewers are actually getting convinced that Matt Damon is the new miracle giving Hollywood new hope and glory, but it is quite the opposite. As an actor I think he's not convincing enough, maybe in the first part of the movie he seems to be able to let you forget he's just an actor, but at the end of the movie he starts to act out his character in such a way it actually brings down all what he did in the first part. As the writer of the screenplay he's not such a star either, again the beginning is okay, but the ending seems like a bad headache after a night of partying. The only truly remarkable thing about this movie is the excellent and undervalued performances by Robin Williams and Ben Affleck. Matt Damon and Minnie Driver should have been the last choices for their characters.",1
Good Will Hunting,"I can't believe how melodramatic, dull, boring, and overrated this movie is. This is one of the most well-loved films ever, but I hated this movie. Absolutely hated it. One of the worst movies I have ever seen. :P

Normally, I like Matt Damon, but I couldn't stand his character was in this movie. For an actor who was just starting out, I think he might have been trying a little bit too hard, if not way too hard.

This is an over-dramatic and boring movie, and Robin Williams didn't help. Robin Williams was such a funny actor (RIP), but his character was dull and boring. I don't think any comedian's character should be this serious. How about a little bit more pizazz? I'm sorry. I know several people like this movie, but I feel guilty for wasting two hours of my day sitting through this movie. :(",1
Good Will Hunting,"I'm being pretty harsh but this is just not a serious project. This is basically written by a 1st year undergrad, could not be more tacky, predictable, boring and superficial. We've heard those lines before, we've seen those scenes before, the story is far too unbelievable and reaches too much. What is the story even about ? Please the confrontation in the bar with Havard student, the ""owe it to me"" scene that is incomprehensible, the numbers of slurs in it, the ""it's not your fault"", do these people even speak English ?

All it is, is a genius that happens to be the most brilliant genius yet no explanation is given why, in the entire country, even the world ! No rally it's a chip flick, the sentimentality is throbbing, the dilogue incorrect, the ""jokes"" cheesy and incomprehensible.

In no way, deserving best picture and original script.

Matt Damon is a poor actor.",1
Good Will Hunting,"I went with my wife to see this in the theater. When the plot failed to go anywhere after an hour, we left.

I finally read the entire script, and haven't changed my opinion. Why should I care that this guy is throwing his life away? If he can't stay out of trouble, they should have just thrown him in jail. End of movie.

0 stars out of 4.",1
Good Will Hunting,"The constant profanity jarred rather than added realism, and did little more than distract and make it seem the actors were trying much too hard. Though Will may have been a genius, but the writers sure are not. The formulas in this film are familiar to any 2nd Year maths student in university. The performances and direction, however, are very appealing, turning the cliched and typical plot into an enjoyable film.",1
