title,comment,rating
Inglourious Basterds,"A typical Tarantino pastiche. Neither a comedy nor a serious drama. With Pitt and Waltz laughably overacting, as are most of the other characters clichéd. Waltz getting an Oscar? It must be for some other reason that his acting, if you can call it acting. All characters are under- developed, just standing there without anything to say. Tediously long scenes with talking heads going on and on. It is may be OK flick for people who have only seen recent films and have no reference to compare them with some truly great films from the past. Also, the subtitles are tiny and translated in a rather stilted English. The only nice thing I can say about the film is the cinematography. It is inconceivable to me that the Weinstein Brothers would have so much faith in Tarantino and allow him to do his thing. They should have looked at any Coen Brothers film before letting Tarantino go ahead with this script.",1
Inglourious Basterds,"I do not consider myself a fan of Quentin Tarantino, namely because I find the constant overworked theme of revenge pointless and classless, not to mention the overkill of gore mundane. But I do tend to watch his movies because, I guess, the subject matter of them always appears to be interesting and possibly different, almost as if I'm trying to like him as hard as I can.

I loved Django, and it got me thinking I could like another. I turned to this movie and I feel compelled to record my confused reaction.

Character depth and development is almost totally nonexistent in this film. The viewer is left feeling inclined to side with the basterds only because of the overwhelming bias the film shoves at you. You kind of feel like you're not sure, though. The characters, even (especially?) the main ones do things for seemingly no reason (Why did Hans violently attack Bridget at the cinema but spare the fleeing Jew at the beginning of the movie, or imply that he knew who Soshanna was when they saw one another again but apparently didn't?) or they don't do things at all. I challenge anyone to name one character with depth. Reading other reviews, it seems most pick Hans, but I'd have to disagree. Him wittingly questioning people for an unnecessary amount of time is the basic extent of his role. The closest thing we have is Soshanna, because we feel sympathy for her as we saw her family murdered during the first scene. Aside from that, not one character holds any significance. Not Soshanna's lover, not Raine, not Hans, not Bridget. As a fan of Brad Pitt, I really wanted to like his character and cheer him on but I again found myself confused. He was so stiff and anticlimactic as a leader. I liked the line about how it isn't okay with him that Nazis get to take their uniform off at the end of the day so he has to permanently mark them as evil, but that's probably the only positive thing I can say in regards to character or meaning. I was very offput when suddenly Bridget became a main character because I and the rest of the audience didn't know her, was wondering where the hell she came from, and felt like I was being flung around the room with each unfolding event.

The plot needed a basis. Nobody's motivation was ever clear, no part of the story really made any sense. Unnecessary emphasis and focus was put on details that ended up amounting to nothing (the Jew bear, a black man working as the projectionist, 100 scalps of Nazis we never heard about again, why the hell Bridget was involved and why she was risking her life to help the anti-Nazi group??) Hitler and most of Germany's government and soldiers going out for a movie at some no name cinema about a German man shooting 300 people? These are just examples but there are countless more....

I can't help but feel like this movie would be hugely insulting to a person who served in this war, to history itself, to anyone who stands for a cause.

This only goes to prove that QT isn't all he's hyped up to be at all. Django is still the only likable movie under his belt, especially if you think about the Kill Bill series (shudders.)",1
Inglourious Basterds,Very very very bad Very very very bad Very very very bad,1
Inglourious Basterds,"Insulting word in title, but an even more insulting for potential viewer! Watched 15 minutes,15 to many and the DVD box should say not for children or anyone else. This film would make a nice interrogation device forcing your capture to cave in and tell you every bit of Intel the prisoner knows about the forces their own side! If you can watch the entire stink bomb burn after watching. If you are like me destroy the DVD after five minutes viewing. Have never been a fan of Quinton Tarintino's spaghetti war comedy movies and after 5 minutes of watching I have even less respect for the director. Certainly not to be acclaimed for any award, but worth target shooting",1
Inglourious Basterds,The only thing you get in this movie is Germans are stupid Germans are idiots they are worst people in the world it's like USA is kicking German ass from usa to German what the hell man no real fights it's only slaughter and the whole movie is so boring you don't wish to ever watch it for second time the damn director had so much grudge I would give 0 if it was one and the story wasn't based on real I watched midway and Fury movies they were great but this is a total trash a complete trash movie.,1
Inglourious Basterds,"What utter garbage made by a talentless coward , its made for sad people with no lives .",1
Inglourious Basterds,Not so much It is very fantacy and so I did not like it anymore,1
Inglourious Basterds,"It feels like this movie script was written by a kid. Everything is so random and ""unpredictable"". There is really no protagonist to support, and everyone dies. The end.

If you want to watch a black comedy watch Fargo, Big Nothing or Hot Fuzz. At least they're funny and have a good script writer.

P.S. The only good thing here is Christoph Waltz",1
Inglourious Basterds,Some of the scenes were so disgusting. One of the worst movies I have ever seen. Totally waste of time.,1
Inglourious Basterds,"A lot of scenes in a lot of Tarentino movies are hard to get through; he loves to film long drawn out dialogue between characters that goes on and on...and on. If you enjoy his movies, and I have enjoyed some of them, you put up with it and just wait it out.

In this movie however, he not only took this method of movie making to the extreme but, just to make it even more tedious, he did most of it in subtitles. Subtitles that move across the screen so quickly that you spend most of your time speed reading instead of watching the damn movie. It was annoying, it was boring, it was not at all entertaining. I think Mr. Tarentino has cashed in on the gravitas he's built up in Hollywood to completely toss aside his inhibitions (and good sense) and let his penchant for endless dialogue run riot. The result is an almost unwatchable film.

Add to that several other drawbacks and this becomes a movie to avoid at all costs. And yes, I know it did good box office, all I'll say to that is there's no accounting for taste. Jackie Chan movies make money too...it doesn't mean they're good.

The two female leads could be twins, did Tarentino do this purposely? I didn't see why it mattered if he did but I did at times confuse one for the other. Also, both came to violent ends. And again, yes I know that Tarentino movies are ultra violent but it's starting to seem that he takes special pleasure in portraying attractive women being killed in gory detail. I've read that he even insisted on choking Diane Kruger himself, to the point of her losing consciousness, to make it look realistic. If anyone has seen Atomic Blond with Charlize Theron there's a scene in that movie in which a female character is strangled to death as well. They didn't go to the extremes Tarentino did in this movie and it actually looks much more realistic and disturbing....it's called acting. Is Sofia Boutella a better actress than Diane Kruger, I doubt it. But Kruger never got the opportunity to demonstrate that. Could it be that Tarentino just wanted to see what it was like to choke a woman? Just like he insisted on spitting in Uma Thurman's face himself in a scene in Kill Bill?

And never mind the total lack of historical accuracy in the film, I didn't expect it to have any, especially after I watched part of (couldn't finish it) Brad Pitt's last WWII entry; Fury. This movie was just one long, boring conversational circle jerk interspersed with moments of over-the-top violence. Which is of course classic Tarentino but this movie took it much too far...or maybe his act is just getting stale.

Don't bother with this movie, it's not worth your time, or the effort expended trying to keep up with the flying subtitles.",1
