title,comment,rating
La La Land,"Thought this was the ""Lalala"" bbno$ movie. Nah, it's just two hours of jazz and emotional wreckage. I bought popcorn with the last of my money, thinking bbno$ would drop a sick verse. Instead, I got Ryan Gosling playing piano and Emma Stone crying. Where's the rap battle, huh? Where's the ""Did I really just forget that melody?"" I was ready to vibe, but instead, I was stuck watching a love story with no trap drops. I'm suing for false advertising-Lalala my butt. Now I'm driving around, crying to SoundCloud, dreaming of a world where bbno$ is the lead in La La Land. This movie promised me happiness and gave me existential dread. Jazz, you did me dirty. I wanted a banger, but you gave me a slow piano solo. Never again, La La Land. Never. Again.",1
La La Land,"The most boring musical to come out besides Rent. Except in Rent they could actually sing. Why do they keep using mediocre singers? Oh ya, use big box office actors to get people's attention. It's all about money, and not quality. Take me back to the 40's and 50's musicals, or at least Moulin Rouge and Chicago where all the big time actors COULD sing well.",1
La La Land,"After hearing all the praise and glory of this movie on the radio and TV, I've decided to give it a chance and couldn't believe what I've seen. There were terrible numbers, terrible dancers, terrible acting and terrible songs. I could hardly get to the end of this movie as it was a complete torture and pain for my ears and eyes. The main actors can't sing and can't dance, the songs are of the same low-level and it all seemed to me like a low budget movie. Hearing it'd got so many Oscars was no doubt the last nail in the academy's coffin. What were they thinking ? Oscar for what ? Two new actors that bring nothing to the screen ? No feelings no acting no singing and no dancing - nothing ! Look carefully at their dance - they simply can't and don't dance. Hear carefully their singing - they can't don't really sing. Do you remember any tune from the movie (other the one they keep playing on the radio) or any dance ? This was a clearly PR movie full of buzz and empty inside. I highly recommend avoiding this one. Don't see, and don't waste your time on it. If you wan a musical to love - see The Greatest Showman - that's the right way to go..",1
La La Land,"Music definitely good but if this movie won 6 Oscar ""The Greatest Showman"" better win 'em all. La la land was nothing special to me. Just another movie",1
La La Land,"I'm amazed that this film has created so much noise. I found it empty and leading nowhere. I hate to leave a film unfinished (curious to see how it ends), but this one was just impossible for me. After 30 mins of stoic patience, I just gave up.",1
La La Land,"I finally got around to watching this film and going over other peoples reactions to it I find there is one thing that doesn't get touched upon so I felt it needed to be said.

I had no problem with Gosling or Stone in these roles. I thought they did fine with the material they were given. My problem with Goslings character comes from him being the stereotypical and unoriginal Jazz Purist with a chip on his shoulder.

What really set me off about this film was the ending sequence. After 5 years going their seperate ways and both being successful, they see each other one night in his club as he's going to take the stage and play. At this point Stone's character has become a movie star and is married with a cute little girl. When Gosling starts playing he plays the song she first heard him play all those years ago starting a dream sequence of what their life would have been like if they stayed together. But not just if they stayed together but if they had the perfect life. Instead of rushing past her in that club and bumping into her as he leaves he instead grabs her and kisses her. When she has her one woman play she, for some reason, has a full crowd of theatre goers that love it. She still gets her big role and he ends up going with her to Paris. And when they have a child it's a Boy...

What is the point of this whole scene? Who is this point of view from? Her? Him? both? It doesn't make sense and is poorly contrived. Plus in their perfect life they had a Boy and not a Girl? What's that about? That's the part that really felt off to me when I saw this film and started to upset me more and more as I thought about it the next day.

Screw this movie.",1
La La Land,Don't waste your time ... it's too long and too boring ... i wasted 2 hours of my life. Can't get them back.,1
La La Land,Characters too fake and their problems too insignificant,1
La La Land,I didn't realize it was a musical. Not my thing. Thought it would be good based on description. Then figured out quickly it is a musical. Maybe weird people who like musicals would like it but not the normal man.,1
La La Land,There was hardly any story or character development. What did I just watch??,1
La La Land,Terrible acting forgettable songs and boring story.,1
La La Land,Did not enjoy this movie one bit. Too much awkwardness.,1
La La Land,"Save your time and skip this awful ""movie"". I'm really puzzled. How this obviously awful movie win a reward !",1
La La Land,Absolutely AWEFUL! This disaster is a 2hr and 8min waste of time. Without a doubt this is one of the worst most pointless plotless movies I've ever had the misfortune of watching. Terrible acting. Terrible singing. Just a complete disaster. Proof that money buys academy awards because on merit alone... this one just adds to the fact that the academy awards are nothing more than propaganda not merit based. Wishing I could un see this one. Painful to say the least,1
La La Land,Ending was so poor. It did'nt mean what it meant to be.,1
La La Land,"I almost gave up just two minutes into the diabolical opening sequence and I wish that I had done. What a pile of absolute dribble with the lead actor and actress lacking any characteristics that made them likeable and there was zero onscreen chemistry between them.

This film should never have been released as it's so very bad, it was torture to watch but against all the odds I got to the end.

What type of film was it supposed to be, Fred and Ginger on drugs perhaps? Buzby Berkley rides again?

Once upon a time, at least 30 years ago, an Oscar winning film was worth watching but since then it's more of a guarantee that it's going to be terrible.

The sound was bad with the dialogue muffled and too quiet and the very bad music deafening, I was constantly turning the volume up and down.

Contains zero entertainment value so avoid at all costs.

January 2025. Vulcan, God of Fire, the world's harshest film critic.",1
La La Land,"We weren't able to see this in the theatre and I'm happy we only paid the on demand rental fee to finally watch this movie. It is a thinly written story of 2 struggling artists and, randomly, the cast break out into mediocre song and dance. Since it is an attempt at a contemporary musical apparently the critics felt it necessary to give the film an ""A"" for effort- hence all the awards- but we were not impressed, at all. 😕",1
La La Land,"Just didn't get it. Every cliche from every film ever. I'm a HUGE fan of musicals - but the music is MOR, and the singing isn't great! Dancing - meh. And as for a plot? WHY oh why was this nominated for so many Oscars? Maybe because it's about Hollywood? Having recently seen The Greatest Showman recently why hasn't this been nominated for more? HUGE injustices and understanding about what makes a good musical with the Oscars. (Although they didn't get West Side Story wrong or The Sound of Music! If you like music don't waste your time.",1
