title,comment,rating
"Lock, Stock and Two Smoking Barrels","Like nearly all of Ritchie's ""films"" overstylized, over dramatic, unfunny, complete garbage. There ate too many of these types nowadays. It's too bad Tom Hardy was dragged into his latest mess. I blame Tarantino, who himself has a parody of himself, for giving guys like this hack to have the nerve to direct. In his mind, Guy probably thinks ""this is so cool"" , it's NOT. He is in the same boat as another trash filmmaker , Troy Duffy, but at least he had the common sense to realize his movies were garbage and quit soon thereafter. Hey Guy, go away, you'll never be classic! Ince Madonna was done with you , that should've been your cue!",1
"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels (1998) attempts to be a clever, edgy crime comedy but ultimately feels chaotic and overrated. Guy Ritchie's flashy editing, fast cuts, and nonlinear storytelling prioritize style over substance, making the plot feel disjointed and hard to follow. The humor often falls flat, and the characters lack meaningful development, making it difficult to connect with their motivations or struggles. While the film's gritty atmosphere and creative visuals initially grab attention, they fail to compensate for the weak narrative and shallow writing. The excessive focus on visual flair overshadows the storytelling, leaving little lasting impact. Despite its cult following, it lacks the depth and originality needed to be truly memorable.",1
"Lock, Stock and Two Smoking Barrels",This is got to be one of the stupidest most pointless movies I have ever wasted my entire time on I truly regret ever watching it and the minutes of my life wasted for nothing,1
"Lock, Stock and Two Smoking Barrels","I chose to watch it because of the high ratings it received. Over 8 out of 10 is the average so I thought this has to be good but it was truly painful to watch. I don't grasp why so many are giving it a 10 out of 10. It's predictable and not funny. The plot is dull, the dialogue juvenile, and the quality of the visuals cheap. The acting was decent but given all the other negatives....just couldn't get to the end. I terminated it just past the midway point because I could not watch another second of it.",1
"Lock, Stock and Two Smoking Barrels","Where do I begin? The number of down votes I'll get on my review for this one will really be massive but I have no idea whatsoever why people love this movie so much.

It was so hard and painful to watch this piece of garbage, and that's not just because of the really bad editing to make it look like a VHS tape from a time we had grayscales and sepias as the only colortones.

This movie failed to make me care about the characters or the story at all. And not once, did it make me laugh. The utter nonsense it seemed while this was on my TV screen, it couldn't even be treated as a background noise while I cooked in the kitchen, because it was pure noise. The dialogues are so painful to listen to and it's not solely because of the hard to understand accents, it's also because the dialogue is delivered so painfully.

Pure noise. I had to switch it off after an hour!

I couldn't believe it when I learned that Bollywood had copied elements from this movie to make the classic Bollywood gem ""Hera Pheri"" (transl. Monkey Business).

I guess sometimes originals are not better. I will rather watch the Bollywood remake/inspired movie 100 more times than ever looking back on this filth. And I say that despite not liking most Bollywood films, as they are pretty garbage too, usually.

But here we are!

Judge it for yourself. After all, it's among the Top 250. Everyone has a different opinion and that tag of IMDB achievement is quite enough to make you watch this. I for one, completely despised it.",1
"Lock, Stock and Two Smoking Barrels","What a carry on, the franchise reinvents itself with the poorest incarnation of an actor that ever kicked a football. Coupled with the wooden performances of the rest of the cast, diabolical dialogue and timing - you can almost hear the words 'Action' and 'Cut' as the pantomime continues - this has to go down as one of the worst British films ever made.",1
"Lock, Stock and Two Smoking Barrels","It's just bad plot twists over and over again. Terrible performances. The 8.2 rating is very shocking, I've never seen a movie that bad with that high rating .",1
"Lock, Stock and Two Smoking Barrels","This movie is so bad, it is an insult to all those films it ripped off, particularly Reservoir Dogs, which I didn't even like all that much anyway. I know the director claimed that he never saw any of Tarantino's films, and it actually shows in just how terrible Lock Stock and Two Smoking Barrels was.

Let's see, take four or five white guys who look more or less exactly the same, write an overly complicated crime plot, make it as violent as possible, presto, you can impress people with low iqs. 1/10",1
"Lock, Stock and Two Smoking Barrels","The praise which has been heaped upon Lock, Stock & Two Smoking Barrels is more an indicator of the power of hype than anything else - the film is just plain awful! It is so frustrating to see how the media have built it up so much that people are afraid to declare it a pile of poo, for fear of being uncool...

I present my case thus: 1) the acting is almost uniformly dreadful - real school play stuff. Can anyone out there honestly say that this is otherwise? 2) the script is equally crap. The story is an amalgamation of every gangster film you've ever seen, totally unoriginal, and the characters are so jaw-droppingly cliched as to stagger belief! I could just about take the Cockney wide boys, the naive students and the nasty neighbours, but what on earth were those two Northerners all about????? 3) I'm told that there were elements of comedy in the film - I, frankly, found it as amusing as those terrible, bland sitcoms we Brits are so good at making these days. I've seen more sophisticated humour in an episode of Sesame Street! 4) and the direction was way over the top - if you want to know how to be flash, Mr Ritchie, I suggest you go back and watch the real masters (again, since you so obviously pinched many bits straight from the likes of Scorsese..!).

In conclusion, it's no points for LS&TSB, and a bottle of cider for the marketing men, who seemed to convince enough of you that this was a ""with it"" film.

Cool? There's more cool in a single frame of Get Carter, or The Long Good Friday than in the neverending 105 minutes of this rubbish...

Say ""NO"" to peer pressure, and admit the unmistakable truth about this awful piece of work!",1
"Lock, Stock and Two Smoking Barrels","I missed this at the cinema, but heard many good things from my friends about this. I finally caught it on Sky last Saturday, and what an overrated film I saw. The film didn't contain a decent actor to take the lead, and comprised rejects from 'The Bill', sitcoms and Wimbledon F.C. The film didn't contain an original idea, and stole shamelessly from 'Reservoir Dogs', 'Trainspotting', 'Goodfellas', 'Only Fools & Horses' and 'The Italian Job'. The humour and stereotypes were like a bad episode of 'Minder'. It was shot in a grainy stock to compare with some of the British 70s classics. However this most certainly is not a 'Get Carter' or 'The Long Good Friday'. It was more a wet dream for FHM readers. All stylish clothes and no substance, and where was a female character?",1
"Lock, Stock and Two Smoking Barrels","Maybe us Brits are just good at this pie-in-the-face type of humour - it was hailed as ""The Long Good Friday for the Trainspotting generation"", but is actually more like ""Bugsy Malone (remember Parker's awful splat-gun farce?) for the Grange Hill generation"".

Apart from the bits stolen from Scorcese's Mean Streets, the film's cinematic construction is amateurish. The acting is weak, but if you consider the script they had to attempt to make a drama out of (but only succeeded in creating a crisis for the standards of British cinema), one mustn't pass judgement.

If you like slapstick, go see a Chaplin classic.",1
"Lock, Stock and Two Smoking Barrels","...that could be a metaphor for the hype surrounding this - it's the worst British film since 'Big Zapper'. The only time I have been more disappointed was when I rented 'Driller Killer'.

If you locked me in a room with Guy Ritchie, Abel Ferrara, a gun and only one bullet, then afterwards you'd find Guy Ritchie beaten to death :)",1
