title,comment,rating
Léon: The Professional,"This movie is very DISTURBING.. Also very bad!

I'll discuss the things i like and dislike

First... the story is disastrous!! It's terrible!! It starts with the guys killing the family because of the father's mistake... what's the father's motive ??? Why did he do it?? Nothing Also.. how could the Mathilda the kid be so cold and emotionless.. she cares for her little brother because he cuddles with her but not everyone else? She's a kid!! She has to have a little bit of heart no!

Also.. the story continues where Leon and Mathilda grow a bond.. ITS DISTURBING AS HELL!!! She's so sexualized, her clothes attitude and the profanity! Also, she doesn't love him as a father figure!!! NO! As a lover. How could you like this as a viewer?

Also.. from the beginning shooting scenes to the later ones.. WHERE THE HELL IS THE POLICE ? Why aren't they there after the shooting like it's some kind of a lawless state? Come on! The movie acted like they're not existent in this city. So.. if a place gets shot insanely like that they'll not respond? Why are they weak

Moreover.. I hate the plot How not any employee in the DEA not suspect them? A coldless guy and a Jamaican wearing guy! What! Yes there is corruption but not to the point where this guy controls them! He sends about 200 SWAT members to kill one GUY! That's insane!

Also.. after showing such disturbing profanity.. why doesn't she finish him?? Why does it have to be the bomb? Then what's the whole point of the movie? Why did she train if she doesn't participate or finish the guy who assassinated her whole family?

UGGGHHH ITS SO BAD!!

Frankly..the only two great things are Gary Oldman and the direction which i like. Many shots and scenes were great.

Other than that.. it's not only Overrated.. it's disturbing and shouldn't be made like that showing small girl with an old man like that.",1
Léon: The Professional,"I heard great reviews about this movie... but turned off after 10 minutes. I literally fell off to sleep. Maybe 10 minutes doesn't warrant a review but I litereally couldn't plod through past the cheesiness. Robotic goons. Too artsy such as the well of staircase from below or the reflection from the sunglass in the opening scene... Unnecessarily artsy. Just get to the point.

Maybe it would have worked back in those days when people waited for days and went to theaters and bought into sunken cost fallacy, but now where everyone is vying for attention, it just doens't cut it for me.

""We got company"" is just one of the cheesy 90s dialogue. It failed to grasp my attention and didn't interest me. Some of the other scenes I saw on Youtube were extremely boring.

Perhaps it is a generational gap... For instance, Jack Nicholson's Joker, Pulp Fiction - I just don't buy the hype.

Sorry - it's a no for me.",1
Léon: The Professional,"Has anybody seen Cassavetes's ""Gloria""?It's the same story,particularly the beginning.A rip-off,a shameless plagiarism,Luc Besson's only stroke of inspiration,so to speak, being the sex reversion.

Jean Reno is listless and totally inexpressive and Natalie Portman is totally bland:the nineties Judy Gardland,she definitely is not;her dramatic ambitions are limited,as ""star wars "" and co will demonstrate later.Nothing to do with Gena Rowlands in Cassavetes ' movie.

It's a crying shame that the first movie-the second now,cause of ""Amelie""- made by a French director on the top 250 should be this appalling piece of garbage.""Leon"" epitomizes what's the most despicable: a French director trying to ape the American to earn a lot of dough.Besson should direct Christophe Lambert,whose ambitions are similar.

It makes you sick.Yuck!",1
Léon: The Professional,"There aren't many words I have for this film. First of all it STINKS! Sure the story is okay, but it doesn't fit with the rest of the movie. The part that I hated the most was at the beginning where they made leon some sort of teleportation machine and he appears everywhere. Totally unrealistic. And lastly, The cover of the tape is so BORING! Don't see it. It's a waist of time. You'll never get that 2 hours back. Yep, It's just that bad!",1
Léon: The Professional,"No Special Thing Just Useless Movie With Something Unusual Mindset Wrost Movie It's just idiotic movie with no sense and with awful storyline Wrost movie If I could stop it from making for sure I would have done it

Just pathetic

And This IMBD Site is also wrost Which don't allow me put my negative review about movie and request me to delete my negative but true review

If you are reading this please do not watch it If you want to watch the. You can watch John wick franchise for action The nights comes for us The Chaser The Wailing Kingsman Unhinged If you want to watch This is long because Imbd site was not allowing me to write a negative review about movie.",1
Léon: The Professional,"slow movie, had to fast forward half of the movie. Story line was boring. Promoted a distorted relationship between an adult and child.

Acting was fine, however due to the story line it seemed inappropriate.

Only good parts were the few (hardly any) action scenes that were dominated by different types of weapons...interesting

really didn't like the actor that plays the cop...the character was stupid..tried to act "" crazy"" however came across as lame.

I would not recommend this film.

Worst movie I have seen in a long time.

Boring and not worth the watch, unless you want to go to sleep",1
Léon: The Professional,"Judging from the French names in the credits, this was not an American production. Euro influence also shows in the misplaced cultural references in the script. An American child in the 1990's imitating Charlie Chaplin or Gene Kelly - give me a break! All those tourist shots of the Manhattan skyline; maybe that sells in Hong Kong, but I'm not buying. I don't understand why this film is rated so highly by IMDB users. It's a standard violent action movie with a bit of Lolita thrown in...nothing wrong with the concept, but really, what's so great about it? Jean Reno is very good, Gary Oldman is annoying as usual, and the kid is just another movie brat. This film faded from memory as soon as the credits were over...barely worth a rental.",1
Léon: The Professional,Not a good movie the police who go to take Leon out have not got any brains between them especially later when they use a rpg in the apartment block and I was lent the uncut version Leon comes across very sleazy in it avoid,1
Léon: The Professional,"I went to look up 'The Professional' thinking I was looking up one of the most underrated, cultural classic films ever. Then I saw the rating - 8.6. What... Now I realize that 'The Professional' is the most overrated movie on this entire Top250 list. An 8.6! That is absurd! Do not get me wrong, this movie is so great. Gary Oldman is my favorite actor. This is maybe his best performance. All of his scenes are fantastic. It is all of the scenes without Gary Oldman that I have a problem with. What is so 8.6 great about the give and take between Jean Reno and Natalie Portman's characters, which essentially dominates the film. Those scenes are sort of boring. The story is too over the top too, and the things that happen and the things that the characters do seem too unbelievable. The action is not all that believable either, although it is very well done. As great as Gary Oldman's character is in this movie, he does not elevate it enough to be listed as a top 30 movie of all-time. I am laughing at that rating. This flick should be in that 7.9 to 8.2 realm, not 8.6! I would truly give this movie an 8 out of 10 rating, it was an awesome action-drama, but I got to give it a flat 1 out of 10, just because so many people drastically overrate this film.

According to the Top250, 'The Professional' is better than 'Saving Private Ryan', 'Gladiator', 'Braveheart', 'Aliens', 'The Departed', 'L.A. Confidential', 'American Beauty', 'Unforgiven', 'Die Hard', 'Heat', 'Fargo', 'The Lion King', 'The Sting', 'Raging Bull' and about 50 other movies it shouldn't be in front of. Ch'ya! As if!",1
Léon: The Professional,"Leon/the professional is unoriginal, badly shot and just a terrible action movie. Anyone who liked this must be out of touch with what a good movie is.

Leon/the professional should NOT be rated higher than The Man With No Name trilogy, Yojimbo, the killer, desperado, THE Terminator trilogy and other movies that are painfully more awesome then this is.

This movie is unoriginal, full of stereotypical characters and old, man has to deal with little girl, not fitting his life style, with hilarious results and love Plot line. The movie also has a sense of humor that does not fit the feel of the movie.

The action is unmemorable and laughable. ""WHAT? an entire swat team and not one throws a smoke grenade or teargas bulls***"" -thats me screaming at the fake stillted ""action"" in a later scene. The bad guys also look so overly menacing they're funny. The main bad guy wears all white and reminds me of Moco from El Meriache except Moco was cool.

I don't have enough space to say all the reasons why I hate mediocre action films like this, they make the genre worse. This movie also bothered me because it is badly edited with useless segments, a boring overall feel and no story arc. It looks like it was made by pedophiles because they put that little girl in every sexual look they could. It makes you feel sickened.

If you liked it please watch the movies I mentioned during this review. Then you will understand. Bottom line: mediocre films like this with lame dialog, LAME action, bad acting, no message/point and nothing new weaken the action genre!",1
