title,comment,rating
Mad Max: Fury Road,Lil pump is not ion the film really sad about this directors please add him next time and please dont report me or delete my comment thanks dudes,1
Mad Max: Fury Road,"The entire movie has no story whatsoever. The action is bad, the effects are worse. Don't watch. Nothing makes sense at all.",1
Mad Max: Fury Road,"I watched 30 minutes of this movie and had to turn it off, for a few reasons, for one I got tired of seeing hot looking women, it is almost a contagion of ""hotness"", and second the endless chasing on foot, cars, etc.. After 30 minutes I still couldn't tell what the movie was about. The previous Mad Max movie were a novelty, out of the ordinary, exotic, not erotic like this pathetic movie. I did like Theron and Hardy's acting, it was a class above the rest of the movie.",1
Mad Max: Fury Road,"My actual rating would be negative 10, if only to balance one of the obviously paid shills that gave this a 10. In reality, it should have an average score of around 3. Rotten plot, pitiful acting, and marginal effects (except some explosions). This drivel makes The Expendables look like Schindler's List by comparison.

An even bigger shame is that a lot of untalented losers made a shitload of money at moviegoers' expense. If you liked this, chances are you are just another loser (with 10 dollars less in your pocket.)",1
Mad Max: Fury Road,"1 thing made me watch this movie & thats Tom Hardy who is one of the finest actors of his or any generation but oh my god how i wish i hadn't of bothered Tom Hardy i completely Wasted in this film & i hear there's to be a sequel!!, I'm not gonna give any spoilers as I honestly can't remember any worthwhile parts of the movie to talk about oh wait I've thought of one... there's lots & lots & lots & a little bit more of driving in dust!! So I'll end this review by saying if you want to see Mad Max then see the REAL Mel Gibson Mad Max don't waste your time on this dross!!",1
Mad Max: Fury Road,"Do people actually pay money to watch animation and CGI ?? Throughout this crap no one eats a meal ... or use a bathroom ... and all seem to super strength and durability ! AND that's the women !!! Funny these futurists still rely on old-fashioned shot guns and .45 pistols ... but where do they get their gasoline from ?? Not from a friendly Mobile station !

A waste of Namibian / South African / Australian sand ...",1
Mad Max: Fury Road,"""Mad Max: Fury Road"" defies the typical breakneck speed associated with action films, opting instead for a deliberate and measured pace. Unlike its counterparts, which often prioritize relentless action over narrative depth, ""Fury Road"" takes its time to unfold, allowing for moments of introspection and character development amidst the chaos. This deliberate pacing invites viewers to immerse themselves fully in the film's dystopian world, savoring every detail and nuance along the way. Far from being a drawback, the slower tempo of ""Fury Road"" serves as a testament to its directorial prowess, offering a refreshing alternative to the frenetic pace of traditional action cinema.",1
Mad Max: Fury Road,"Yes, it is good. Also fun. But the editing is a lil distracting. My third favourite mad max movie behind Mad Max",1
Mad Max: Fury Road,"I guess I couldn't expect it to be as good as either of the original movies. Mel Gibson was the perfect role for an ill-fated hero, and the originals were a tribute to muscle cars and engines in a post apocalyptic era. The new series is just a play on weirdness. I found it boring and incredibly disappointing.

They could have given Max the ability to talk more an actually play a part in the movie versus being an ignorant mute who just happens to be around during the action.

Nothing really else to say but these reviews require so many words (normally there's a limit preventing too many words).",1
Mad Max: Fury Road,"What was the purpose of this film? It has a budget that is many times greater than the original film, and none of the qualities that Mad Max had. The 80s film was great fun and it reflected much of the spirit of that decade. It was also simple, sincere, and despite the violence, quite innocent in intent. But what about this new version? It has no reason to exist, other than to make money. It is not an homage to the 80s in any real sense, it exploits that era's cinematic ingenuity, bastardizes it and throws in all kinds of nonsense that plague our nihilistic age. The new film is a film about nothing, it is sterile and empty of meaning. It is a p.c. nightmare in which lone women drive cars in deserts and beat men up to survive. It's kind of ironic that a film about anarchy, rebellion, and brute struggle for survival actually caters to the sensibilities of a weak, entitled, spoiled, deluded, politically correct generation that conforms completely and indulges in fantasies about human nature that have no basis in reality and that would be shattered in an instant in the kind of universe Mad Max depicts.",1
Mad Max: Fury Road,"Fairly good movie visually and when it comes to stunts. The story? Max and a few others flee from a place the villain controls, 80 min car chase. Then they turn around immidiately and kill the villain on the way back, 40 min car chase. Braindead action is a common movie genre, not necessarily bad and always with some kind of plot or interesting characters.. This movie is literally just braindead action ... literally.

Imagine watching the grand finale of any action but not the rest of the movie, so you got no idea about why things happen or care enough to root for any side. This is that, for almost two hours.",1
Mad Max: Fury Road,"This adds nothing to the character or the franchise. It utter lacks the sociopolitical commentary of the other films, the women are never more than commodities, the world they create makes little sense, and the chase scenes are so cliche as to be meaningless. This is not the same Max. The only similarity is the name. Save the 2 hours and watch Star Trek reruns, you'll have more fun.",1
Mad Max: Fury Road,"Lacked everything that made the other Mad Max movies brilliant. No atmospheric cinematography just CGI and too much colour. No cleverly shot action with humour just generic action x10. No Mad Max just a grunting oath. The makeup was ridiculous as it attempted to be styled like a superhero movie so the kids could relate and like it (the demographic.) The bad guy was also a type of comic book creation because that's what kids like and they can cosplay easier. A water shortage yet was anyone really suffering the effects? Not really.Blood transfusions? Right. Why are people so muscular? Post-apocalyptic gyms? The plot? Least have one. Dialogue? Mostly grunts and garbage. Unbelievably predictable in every way. Not stimulating despite explosions and loud noises because it gets boring. 8.1 rating? Should be 1.8.Hype, Hollywood advertising, pretension, positive paid critic responses and the self-delusion of the viewer that they're seeing something good doesn't make a good movie. A good movie makes a good movie.",1
Mad Max: Fury Road,I had such high hopes for this movie but clearly they paid off all the critics because this thing sucked.,1
Mad Max: Fury Road,"Convoluted, too stylised, no plot. So many bad points I failed to see anything good worth mentioning.",1
Mad Max: Fury Road,"In my eyes, it still is a monumental waste of time and digital space - if that's even possible. I took a long break before revisiting this item. Believe me, there will not be a third go around. I've learned my lesson.",1
