title,comment,rating
Memento,I didn't much care for the use of the F word. It made me uncomfortable and sad and I lost all ability to function. This movie is not for anyone under the age of 65. Hello btw.,1
Memento,Carrie anne moss should get a mouth piercing this is not fair.,1
Memento,"first off all I don't remember the hospital scene you are talking about, when does happens in the film the first half or the second half? can anyone give me a clue??? secondly the town Lenny is shown appears to be a ghost town there's hardly anyone around where is it? in one scene he says he's from Frisco,and what about his parents relatives anyone who could help collaborate his condition? who's he talking to on phone all the time? not police? and this teddy character pops up numerous times in the film and repeatedly and there're a lot of repetitive other scenes in the film just to confuse the audience, and Teddy was a police man or his friend he can't be the police man because in one scene he says 'police will be looking out for you so leave the town..",1
Memento,"Worst movie ever , total time waste on this movie.

Total lame story. I don't know how this movie got 8 rating.",1
Memento,"I got it, in the first 20 minutes, very clever, but I got it. The whole frigging movie, come on--I fell asleep and saw the ending and didnt get it. This is a BAD movie and is now opening on Cinemax. Need I say more. You can catch a double feature of this and Crouching Tiger on Cinemax.",1
Memento,"This movie is so amazing. But it freaks me out. I didn't want to leave the house the next day but I forced myself to in order to avoid waking up in the same room not knowing where or when I am. Some of the films detractors say there are plot holes in it. But I think most of them can be explained away be the human condition (people in the movie making dumb decisions and forgetting things). I noticed one or two of mistakes in peoples assessment because they weren't really paying attention (Carry an Moss takes pity on him and helps him after she manipulates him but it's hard to tell because you see the action backward).

This is what the film is about. A man who is constantly forced to trust his instincts and the mistakes and victories that go with that. It's not about philosophy or society cause frankly, most people don't think about those things on a day to day basis. It's about one guy in a unique and truly frightening situation. A couple of words of warning. This is not a sit back and relax film. Throughout the movie you find yourself trying to connect the dots. You think you're looking for one very simple thing; who killed this guys wife, but the real answer turns out to be something far more simple and sinister. There are a couple of lies they throw in at the end so you can feel like there's unanswered questions but I prefer to chalk that up to Eddy's lies.",1
Memento,"Bad movie for the rest of us.

Dumb people are just going to say, ""huh?""

Intelligent people are just going to roll their eyes at the stupidity.

Besides the ""how can he remember that he can't remember"" flaw, which makes a roll of toilet paper out of the whole movie all by itself, you have the obvious plot twists.

Everything is so predictable. It's a twisty movie, so you're looking for, and seeing, the twists. Natalie has bruises on her face when we first meet her? She's going to be hit. Lenny has scratches on his face? He's going to get his face scratched. Teddy starts to get in the old car, not the Jag, but Lenny says the Jag is his car, and Teddy laughs and says fine? We know the Jag's not Lenny's car, and we're just waiting to see how he got it. Teddy says roll up the window, and Lenny can't because it's been shot or busted out? We're just waiting for the shoot-out-the-window scene we know is coming. And on and on and on.

And is there anyone, even one person with a triple-digit IQ, who didn't know, upon first hearing that Natalie is helping Lenny out of pity, he thinks, that she's using him? Even one person? IT'S A TWISTY MOVIE! That means that everything you have to believe to keep the movie obvious, can't be allowed to be true, so you know right away that she must be using him.

The worst thing about the movie: the ""it's all been *beep* ending. Once you put in a movie anything that says ""it's all been *beep* then the whole movie becomes *beep*

How do we know the opening scene isn't a dream? Or any other scene? Because if the narrator is/may be lying/misrembering any scene (as he obviously is re his wife's death) then the whole movie becomes suspect. There's nothing left to chew on. After the very core of the movie--his wife's supposed murder--is exposed as possibly untrue, then what are you left with? Everything he's telling you/showing you might be untrue, might be misrembered or a lie. The opening scene might, if the writer later needs to, be untrue. I can see the Nolan brothers, when confronted with any logical flaws, saying, ""well, see, uh, that part, uh, that didn't actually happen, and you were supposed to figure out that Lenny didn't really kill Teddy, who, if it leads to further logical flaws, didn't exist. Uh, duh, uh, I think.""

The absolute first golden rule of movie-making must be: you can not ever say or show that anything we've been shown as movie factual (as opposed to character factual, that is, a character's opinion, or interpretation, as in Usual Suspects), isn't what actually happened. We can be lead to or jump to wrong conclusions that are our own fault (more intelligent twists). But the movie itself can't be allowed to lie to us.

Think of how easy it would be to be ""twisty"" (that is, mentally challenging to the average IQ crowd), if you just show X killing Y, and Z investigating, and at the end reveal that the director was just kidding, Q shot Y. It's just stupid, poor writing.

And in Memento, a movie told from Lenny's POV, if we're to believe anything, we have to believe that he remembers everything until his wife's murder. So once we see him with tattoos, with her, the whole movie becomes a joke. An idiocy. And it is scary that so few people posting here can't see that.",1
Memento,"Anyone who says that this movie is good should be punished to watch it twice; this movie is bad and ultimately unsatisfying – who could possibly stand this double torture? Memento (2000) is a failed experiment with motion pictures (these experiments with motion pictures begun in the late 1880s). However, there is also the excitement when an experiment goes wrong and yet you discover something no one else has discovered before: you give to an ignorant audience of moviegoers something they don't know what to do about it and this same crowd will be endless fascinated figuring out what it is. This film should be distributed worldwide for free in a - how to cut a movie back in place editing software package - for laptop dudes.",1
Memento,"In short: this is an arty-f*rty, unbelievably overrated, I-would-like-to-be-David-Lynch movie without any interesting acting or a story worth remembering.

There are major plot holes that don't get filled. The acting is below average: three sorts of expressions on the main character is all we get.

It ends before the story starts (telling a story backwards, means you stop with the beginning, doesn't it?).

Some may think that people with high IQ's would probably like it.

Trust me, they don't.

This is a real waste of time and a major contender for the ""overhyped motion picture of all times"" award.",1
Memento,"Yup! Only nerds will love this movie, a lot of geeks who like the complicated and boring Christopher Nolan's movies, will like this kind of films, it kind of makes them feel genius and special, I'm pretty sure the film makers are smart and had the courage to make a distinguished film with a new idea, but many viewers including me do not really care for this type of films, if you want to show your directing-filmmaking abilities make a special film for critics and filmmakers and do it in some film festival away from me.",1
