title,comment,rating
The Curious Case of Benjamin Button,"I use this movie to compare all BAD movies with. For example I would say a particular movie is bad but not as bad as ""The Curious Case of Benjamin Button"". Nothing about the movie caught my interest or imagination. Probably because the premise is so utterly stupid and uninteresting.

I am normally a very open minded person, enjoying a wide variety of different kinds of movies. However, this one was too dumb for me to remotely enjoy. I HATED THIS MOVIE. I wasted 2 hours of my life that I wish I could get back.",1
The Curious Case of Benjamin Button,"First of all it is kind of good not much in some parts, but the thing in this movie the mine character they made him do stupid choices that makes me angry in some parts of the storyline.",1
The Curious Case of Benjamin Button,Dodged this movie for 12 years put it on to be horrified by the most disgusting looking baby and plot ever captured on film. Skipped through it because you have to be very desperate to waste 2.5 hours on this steaming pile of garbage. Brad Armpitt is the only reason anyone cares about this film. Goes to show what you can shove down peoples throats when you are a famous actor.,1
The Curious Case of Benjamin Button,"I can't start to explain how terribly boring this movie was. It's easily the most boring movie I watched in years, probably because it's the most boring movie that spent so much in marketing to get you to watch it.

The whole movie is a depressingly slow series of events about the life of a guy that starts looking ancient and dies looking like a kid, as biologically impossible as it is. Unfortunately, this is the only fictional element of this movie: not enough for a decent fiction movie, and not enough for a decent real life movie.

Everything in this movie has to be so terribly slow it'll make counting sheep a thrilling experience in comparison. The movie could be compressed into a 15 minutes short film and it'd still be depressing because save for a couple of moments, the overall situation only goes from bad to worse. There's nothing special in the end; no surprises, no plot twists, nothing that will make the hours you've spent watching this worth in the least bit.

The leading cast's performance was alright, though nothing spectacular except perhaps by the old lady telling the story. I suppose it's quite an achievement though; if I had a role in such a movie I'd fall asleep in the middle of my performance.",1
The Curious Case of Benjamin Button,"If you loved Forrest Gump, you'll love this film -- if, on the other hand, like me, you thought Forrest Gump was vapid, saccharine and soulless, then you'll find this movie as infuriating and awful as I did... every step of the plot is painfully, agonizingly predictable, and as cheesy and syrupy as a Hallmark card. The film is stunningly shot and very well directed, and the performances are uniformly solid, but the script is unforgivably pointless, empty and shallow. As with Forrest Gump and similar films, there's something deeply offensive about treating complex subjects like aging, illness, pain and death with sweeping ""aw, shucks, everything turns out for the best"" generalizations...",1
The Curious Case of Benjamin Button,"I simply fail to understand how this boring and very 'hard-going' movie has managed to garner so many positive reviews. I had trouble staying awake! The whole idea of a person born an old-man-baby(?)and ultimately reverting back to a baby - but this time,an old-young-baby(?)Is the most puerile, pointless,laughable and unbelievable 'plot' I've ever come across.The write-ups claim that the film centres around a man who ages back-to-front, i.e. gets younger as time passes - instead, we have this mixed-up, silly premise In which an old looking baby becomes an adult, then reverts back to a 'REAL' baby - but who then dies presumably of old age! Quite how this project cost 150 million dollars to make Is beyond me, and I was left wondering on what,exactly,such a huge sum was spent? If you are considering watching this movie for the first time, I suggest that your time would be better spent watching paint dry - It would certainly be more entertaining.",1
The Curious Case of Benjamin Button,"There have been at least three occasions, when at the end of a movie, my wife and I will look at each other with an amazed disappointment. ""The Butterfly Effect"", ""City of Angels"", and now ""The Curious Case of Benjamin Button"". Granted, we enjoy Pitt movies and consider him extremely dynamic, but the story here failed to hold to its own. And there was no return on investment. As expressed by well-spoken critics, there were way too many Jump-the-Shark moments that tended to insult what little intelligence it required to watch such a film.

Intertwined with the impending threat of a Hurricane (to pay homage and toss a few coins toward the Army Corp of Engineers) was an outlandish and entirely uninviting display of single-dimensional character-building. No fault of the collaboration, just too great of an attempt to reinvent the wheel.",1
The Curious Case of Benjamin Button,"I hate giving up on a movie but really wanted to do so with this overlong, totally boring film that amounted to precious little in the end. It was good to eventually see some reviews that gave it 0/10,seeing it in the same light as I did. I can only guess that some wannabe film-buffs gave this film a high mark and pontificated on it at such great length. I wanted to keep this review short but I have to add more lines they say, though the film doesn't warrant it. I didn't want my review to be as long and boring as the film was!

However, I can add that the film was unnecessarily dark throughout, the dialogue was often hard to distinguish and it really came over as a poor quality 'Forest Gump' - which was a really great movie.",1
The Curious Case of Benjamin Button,"Well, this is the quickest I ever deleted a movie. I couldn't make it through the horrendous performance of Kate Blanchett as the old lady. Fake Southern drawl, fake weakness in her voice, one minute she has trouble speaking, the next, she is giving a speech. That entire scene in the hospital was so fake that hit the delete button before it was over. Man....that was bad! Don't bother.",1
The Curious Case of Benjamin Button,"Do a favor to yourself and forget that this film exists. DOES NOT EXIST! :-) It will explain. Makeup is for laugh. Both when they want to grow old the characters as when try to rejuvenate. Brad Pitt is in the more displease role of his career, but unfortunately will give him the Oscar for it :-( This guy is great, but I think that has only played this character for the money and I hope he use it for charitable purposes. Brad, honey, do not take it so seriously this role, because it is unpleasant. The problem is that the producers (Kathleen Kennedy and company) and the entire team, claim that we take seriously a story that is impossible at all, and that is the key of the issue. WE CAN'T TAKE SERIOUSLY SOMETHING LIKE THIS!!! Go and see ""Aliens"". Great Movie :-)",1
The Curious Case of Benjamin Button,"A disappointing film based on an idea that has become so commonplace in English literature that it is difficult to find a book without time-travelling factionalisation. The execution was disappointingly tacky with playground techniques used for showing past events, including the sort of sepia effect you would expect from a schoolboy's first forage into the genre. Sound was appalling so that the Titanic-lady lookalike was impossible to hear, although that might have also been down to the incredibly unsubtle switch of mood lighting at the hospital bed (gosh, we've never seen that before have we?!). A film that is attempting to be masterful and clever but ends up being neither.",1
The Curious Case of Benjamin Button,"I am certain that this film will be compared to Forest Gump. People will no doubt call Benjamin a literary masterpiece. But to me comparing these films would be the same as comparing a fine piece of art work with a cheep knockoff found in the bottom of a cereal box. to explain. I found most every character to be shallow flat and uninspired. do not misunderstand they had potential, in fact the film as a whole had potential. the problem is that it just did not deliver. this is what i got out of the three hours that i had to sit threw.

#1 If your born as an old man and grow young you apparently have the rare ability to have relations with every woman you meet and some how manage to hold on to the title gentleman. #2 If you work on a tugboat. every one around you will die in a battle royal with an enemy sub but some how you will come out victorious. the best part about it is that you don't have to care about the crew because nobody watching does ether. a side point. Your captain will be reincarnated as a humming bird and then will visit your girl years after your dead.. Kinda creepy #3 clock makers that are blind make clocks that run backward and for what ever reason this allows one man that doesn't seem to be connected with that event live a backwards aging life. i just don't get it #4 If you have a troubled relation with your father he will most likely will you his button factory and his house which you will immediately turn around and sell. Benjamin BUTTON, BUTTON factory hmm I wounder why that factory had absolutely nothing to do with the plot. oh well.....NEXT #5 how many characters do i have to meet that do nothing but leave me with more questions,A piano teacher, where is her personality and and what did she have to do with the story? The man from Louisiana, who was he? where did he go? and why did he appear sitting in a field making a profound statement at the end of the film? and then there was the mysterious woman who was married to the spy. what ever happened to the spy? hmm that must be top secret.

now lets take these elements and throw in a heavy does of commercialism and and a heavy dose of CG and we get a film with more holes then swiss cheese. not to mention that the whole point of him growing younger had any thing to do with any thing. the movie would have played out exactly the same had Benjamin lived a perfectly normal forward life.

All tho i don't know for certain i would guess that the short story that this film is derived from is probably an enchanting story and possibly well worth a read. I just cant seem to make myself read it for fear it will be worse then the movie.

If you like story telling do yourself a favor and watch a classic Forest Gump,Big fish,Secondhand lions,or The princess bride. and pass on the confusing mess that is Benjamin Button.",1
The Curious Case of Benjamin Button,"David Fincher, Seven, The Game, Fight Club. I love David for how he has inspired me in the past and that I will not forget. I write this review only out of frustration over what seems to be be, unfortunately, a story that is not new to me. I've witnessed the fall of so many artist's over the years into mediocrity that is painful to for me to witness and it plagues my mind indefinitely. I hate people that don't take the time to watch and listen to what they are viewing before making these statements but I have thought long and hard before even thinking of writing this down. Of course, I don't know what Daid Fincher was thinking when he made this film. I think to myself, ""Was it the influence of the producers in his ear, the promise of money, or pure experimentation with the notion of making a hammed up piece of redundant slop like this to see how it felt to be a true official Hollywood A-lister untouchable, or purely a bad decision from the start due to the downside of fortune?"" but I refuse to believe that Fincher is not a great artist!

I don't need to say much about the ingredients of this film because I think you have already guessed how I see it. All I can say is-David Fincher, Remember me? Im the outsider in this world searching for meaning everyday that I wake up to a commercial world wanting only what it can gleam from my unfulfilled soul. I will continue to carve out my place in this world through my art. Will you join me again?",1
The Curious Case of Benjamin Button,"I don't know how they managed to take such an unusual and interesting topic, with countless opportunities for interesting plot development, conflict and excitement, and turn it into 3 hours of dull, drab, disjointed episodes and characters that add nothing to the story and cause no major difficulties or consequences for them main character. Scene after scene I just kept asking myself, what the hell was the point of that? If there's anything curious about this movie it definitely isn't Benjamin who turns out to be, despite having a disorder that should have the scientific community in a frenzy, a complete and utter bore. He meanders aimlessly through every scene barely expressing an emotion greater than mild excitement while spouting trite, corny phrases like ""I was just thinking about how nothing lasts...and what a shame that is..."" Is that supposed to be deep? I mean really.

Really, the curious thing about this story is a number of other things besides the main character.

-for instance, how can a movie about a black woman in the 20's/30's raising a white baby outright ignore any consequences that would have come from the racist attitudes of the time...especially in the south! yet the movie doesn't even mention or acknowledge this. preposterous.

-another thing that was very ""curious"" about this movie was how nobody seemed very surprised at all at his condition. he doesn't even so much as get harassed about it. the guy is the ultimate freak of nature and all anybody can ever comment on is how good he looks as he's getting younger?? give me a break! why isn't he being poked and prodded and taken apart by the scientific community? WHY ISN'T ANYBODY STUDYING THIS OR EVEN BEING INTERESTED IN IT AT ALL. ack.

-curiosity number 3: something about a tugboat.......then something about an affair with a swimmer....wait what does this add to the plot? oh right, NOTHING. again and again the films creators seemed to purposely avoid any potentially juicy plot twist to focus on things that are mundane, boring, and pointless.

and I'm not even going to go into the nonsensical mechanics of his aging disorder, but ultimately I ended up wondering what the point of it all was, as the whole movie didn't seem to have one. the storyline appeared to be devoid of cause an effect which is an essential part of a good story.

for not evoking any emotions other than boredom and mild confusion, for having a weak plot that's full of holes and lacks any real meaning, and for giving us a visual treatment that's either drab or just plain ugly, this movie fails on all levels. I wish I could give it a zero.",1
The Curious Case of Benjamin Button,"This movie was ""good."" Yes. It won a couple of Oscars. But it wasn't that good. First, it was too long! And it was so boring! They added the Hurricane Katrina plot to try to make the movie more interesting. It was great to see Taraji P. Henson play a different type of role. She did not act like a sassy woman in this movie, but a warm loving mother. This is a movie about an old man who became younger. It seems like Benjamin was very strange as a very old toddler and a very young senior citizen. The only time when he was normal was when Brad Pitt played the role of him. I finally found some plot in the movie when I discovered that Daisy's daughter Caroline was Benjamin Button's daughter.",1
The Curious Case of Benjamin Button,"Yes, it won 3 Oscars, but those were for Art Direction, Make Up and Visual Effects. So all the people that feel guilty they fell asleep, were bored or during the viewing did their manicure and planned their holiday: even the 'real' experts realized that it maybe looks OK, but should not be rewarded for content or entertainment value. I think the movie was made so irritatingly long to be sure everyone falls asleep and then decides that they must have missed a masterpiece.

It took my ultimate willpower to keep staring at irrelevant scenes (someone that our hero has met once comes by to say he leaves forever. ""I will miss you, bye"" and there he goes and never comes back .... another minute filled) and the pretense that every meeting the main character has is with 'meaningful people' that have a 'deep bond' with him while constantly nothing meaningful happened and all conversations were as shallow as in a porn flick.

Somebody had a nice idea (a life going backwards) and then forgot he can not write and made a whole long boring story about it desperately trying to impersonate John Irving (Life according to Garp, Hotel New Hampshire). The difference is that in Irvings work funny things happen, and weird scenes take place. Not things that soap writers would kick out of their scenarios as being too cliché.

A waste of talent (the actors), a waste of a potentially nice story, a waste of money and surely a waste of my time.

PS What sad people you Americans have become that the movie is rated PG 13 for, amongst other reasons, smoking! Does that mean all movies from the 20th century are PG 13 now? And all the cartoons that have smoking in it? And will people that smoke in the street and are seen by someone below the age of 13 be accused of molesting a minor? Keep fighting for your right to own guns and burn petrol, and keep forbidding people to do what only bothers themselves (smoking, drugs, loving somebody from the same sex) and then wonder why your society is going bonkers and you have a weekly random killing spree on your TV.",1
