title,comment,rating
The Dark Knight,We have been subjected to enormous amounts of hype and marketing but we dont have seen joker scavenger hunts and one of the largest viral camp so it s basic story is about history and it culminates with the actual release of movie....,1
The Dark Knight,"Sucks, doesn't even Match up to masterpiece that is Baby Driver smh, guy tried saying it was better but let's just be Honest that's a Straight up lie",1
The Dark Knight,"I found this movie particularly annoying mainly because Heath Ledger's monstrously serious Joker doesn't fit in with the corny plot. This Joker should be in another movie. If the plot had been serious, then Ledger's character would have been appropriate. However, Batman stories are corny and tongue-in-cheek. So a tongue-in-cheek Joker (Jack Nicholson) goes well with the tongue-in-cheek corny plot. Nicholson and Keaton for me.",1
The Dark Knight,"I CANNOT FULLY EXPLAIN MY PURE HATRED OF THIS ""FILM"". I'D RATHER WATCH MADAME WEB ON LOOP FOR THE ETERNITY OF MY FORSEEABLE FUTURE, UNTIL I FIND OUT THAT IM ACTUALLY THE OPPOSITE OF TERMINAL BUT ACTUALLY ETERNAL AND WILL HAVE TO WATCH THE HEAT DEATH OF THE UNIVERSE UNTIL I AM EVENTUALLY REBORN AND REMADE IN THE 8TH REMAKING OF THIS UNIVERSE WHERE I WAIT OUT ALL OF HISTORY AND TIME TILL IM AM LEFT WITH THE INEVITABLE CHOICE OF SNUFFING OUT THE HELLSPAWN INFANT THAT IS ONE CHRISTOPHER NOLAN AND MAKING SURE THIS FILM IS NEVER MADE IN THE FIRST PLACE... Heath Ledgers performance is adequate and i hope he's doing okay.",1
The Dark Knight,"I can't understand what people like about this movie? I was a Heath Ledger fan and enjoyed his other movies but this one I could not enjoy. I don't think the acting is bad in anyway but his Joker just did not seem very joker like to me. I get that it was darker and more of a psychotic take on other performances and agree that he steals every scene but no matter how hard I try I just don't enjoy it.

I have tried to watch this movie many time over the years and I can honestly say I have only ever made it through 2 showings. I know I have probably not given it a chance but every time I try I just can't relate to it in anyway. This is my worst Batman movie of all time which is an achievement as all of Christopher Nolan's trilogy have been rubbish I guess I am just not a fan of his work. Sorry to everyone who enjoyed this.",1
The Dark Knight,This is modern movie making at it's worst. No redeeming qualities at all. Dialogue is stupid. The only thing that could make it worse is profanity. Horrible from beginning to end.,1
The Dark Knight,The acting is the only great thing!!!!!!!!!!!!!!1!!!!!!!!!!!!! bbb,1
The Dark Knight,"OVERRATED. The Batman is way better. Poor fights, that Batman Voice from Christian Bale is truly awful and laughable. Joker is good that's it. Call this Joker instead. Joaquin Phoenix joker is my personal favourite but Heath did very very well.",1
The Dark Knight,I think joker is not here this movie not inside top 50,1
The Dark Knight,"I do not understand why so many viewers like this instalment of the trilogy. Yes, Heath Ledger went to the limit and did a fine job as the Joker but the rest of the instalment was terrible. The storyline did not add up in multiple parts like the ending. There was not enough commitment from the cast nor from the crew. This instalment of the trilogy could have been created better by the crew. The storyline did not go in one direction. It went in several directions and it was also confusing. Viewers of this instalment can get lost throughout this film. This is a bad second instalment to the trilogy that it would be a waste of time for everyone to watch.",1
The Dark Knight,"First of all TDK surely surpassed every hype made before. An amazing acting of a crew assembled, beautiful direction made this movie memorable. I stunned to watch the scene in which Batman was flying with wing after jumping from that amazing designed building. It had never been used such beautiful scene before. The whole movie was full of thrills and overall impact was so laud. But the trump card of this movie is the card of joker. A joker usually comes in movie or drama to put an element of entertainment in it.But many time many director use it to express some complex thing, because common audience can also understand the language of a joker. I remembered very well about my childhood that I could understand only part of the joker in drama which I saw then. Hence V for vendetta or or others of same type movies put their things beautifully in front of common of common audience. The Joker of TDK have also to say something to this common people but he show his dark side.The character of Joker in TDK is the best of all time joker.Heath Leather, we will miss you. Nolan is a great genius.",1
The Dark Knight,"I've given the film a rating of 1 for two reasons:

Film is of poor quality.

Film is overrated to the point that I can no longer conjure images of it without immediate hate. This film is my 9/11.

Why I didn't enjoy the film? Batman's voice resembled a cigarette smoked by Joe Cocker. Plot holes. Dialog written by a 15 year old who read a wiki article on philosophy but wants everyone to speak in Matrix vernacular. Poor choreography.

In a film that had the presence of Michael Jai White, the fight sequences somehow felt like an episode of Kung Fu. On the bright side, we got to discover Batman's weakness through a un-Lucky surprise attack from....killer robots? No. Aliens? No. Superman? No. Dogs? Yes, Batman was incapacitated by two dogs. Not even Cerberus dogs, who would have 1.5 heads per limb on Batman.

""You either die a hero, or live long enough to see yourself become a villain."" Because, uh, um, it's convenient to say the plot. Seriously, I've only had this statement come up in casual conversation when talking to interns.

Boring, pretentious, clumsy movie with a soundtrack that sounds like beached whales emulating a dying keyboardist.",1
The Dark Knight,"This movie is ranked as the 4th best on IMDb that pisses me off because so many people think IMDb top 250 is the definitive list, it is not in fact it is not much different from all the other voting lists done by the public and people who put this in there top 10 you will find have not seen many of the classics or don't like them cos they are stupid or just in there teens or both like I am but I know movies now just know this is not a top 10 if anything it is at the bottom off a top 100 list, Im not saying this cant be in your top 10 favorite movies it can, it can be number 1 if you want but don't say it is one of the top 10 best movies ever, because it is not, the same with a lot of other top 250 films, Shawshank is NOT the best film off all time, I will give you my list of my 10 favorite films off all time 1. The Godfather 2. Pulp Fiction 3. Raging Bull 4. Apocalypse Now 5. The Good The Bad and The Ugly 6. A clockwork orange 7 . 2001 8 Life Of Brian 9. Taxi Driver 10. One Flew over the cuckoo's nest. only 2 maybe 3 of them are top 10 material and those are The Godfather, Raging Bull and maybe 2001 but I can admit that those others are not as high as I would place them all you Dark Knight fan boys should start, like a lot of the other overrated movies on the list it is still great but it doesn't deserve to be so high for better lists of best movies off all time look at AFI 100 years 100 movies and sight & sounds poll",1
The Dark Knight,Too slow. Should have shot some good day light scenes. Acting was good,1
The Dark Knight,"I watched this movie recently in Netflix,I don't why it's rated 9 above even the The Dark Knight Rises(Ben performance) far better than Dark Knight.

In my opinion The Dark Knight Rises is the best movie ever made.",1
The Dark Knight,"For ALL of you people calling this movie the greatest thing since sliced bread, stop and think for a second what this movie is really about,A MAN IN BLACK TIGHTS TRYING TO STOP A KILLER CLOWN. OK? Enough already with this movie and all the rest of these superhero films trying to morph into Kubrick. Joker wasn't bad but terrible overacting. Nicholson's was better. Evil to the core but charming as hell. BTW Christian Bale's Batman is the absolute worst. Sounds like a jackass. Clooney was better in a better Batman movie. Yes this is worse than B&R. Pre 2000's got it right with these superhero flicks. Keep it light and fun(aside from Superman) with some dark humor and a bit of campiness. This movie glorified fluff trying to be hard,nothing more.",1
The Dark Knight,"Cons: Since when did Batman talk like Cookie Monster? I couldn't even understand what Bale was saying half of the time. Seriously, there's a difference between hiding your real voice and Cannibal Corpse try-outs. The plot was terrible, and they ""modernized"" Gotham City. Sonar and Cell Phones, now he can see like a BAT! Really? They didn't even show how and why he could see in the dark using the ""pre-made"" sonar capable bat mask. You've GOT to be kidding! Then there's the ending, which seemed to me like a huge rush of different movie clips they had saved for outtakes and random lines that, absolutely, had no real meaning, just sentence fragments of what has happened and what will happen. Batman isn't supposed to be looked at like a cop killer, which is what the ending basically insinuated. They ruined Batman, and our culture is eating this crap movie up like imported chocolate.

Pros: I did, on the other hand, love how Christopher Nolan hardly used any CGI in the film, which brought realism to the action sequences. CGI is ruining films and it's great to finally watch one with ""real"" objects being destroyed. The only great thing this movie had going for it was Heath Ledger by a long shot, he carried and stole the show in every aspect. At times, he reminded me of Brandon Lee. Truly Epic.

R.I.P.",1
The Dark Knight,"I actually enjoyed this movie, it was a little too long and it doesn't give anything new, it has just the same as any average action movie: a hero, a very bad man, innocent lives in danger... But it didn't turn out bad, the result is a pretty good action movie. Something's just wrong here though, the Joker was horribly characterized, I mean what they did with the Joker is actually cool, it gives him a very chaotic image, but I can't say it's the Joker, that bad bad BAD man from the Batman comics and from the TV series, I remember him as an always clean and always refined guy, with his perfectly applied makeup just like a real psycho would, in contrast with this movie, where we see him like some kind of chaotic crazy hobo, it bothered me so much. Anyway don't get mad for the rating I gave this movie, I won't give it more stars because this is already #4 in IMDb's Top Movies on History and that's just wrong for this completely average movie.",1
The Dark Knight,"I am shocked how many people actually rate this movie. The whole idea of a Batman was dreamed up by Bob Kane to entertain kids - so the idea of making it into this 'serious' picture is laughable. Bale's acting is terrible as the man in black, especially the way his voice changes in costume. As for the Joker Heath Ledger - no menacing at all, in fact so far-fetched its pathetic. The Batmobile has now become nothing short of a Hummer, what are they gonna do next - use an M1 Abrams Tank? You can't have it all - a tense thriller with this many childish ideas just doesn't work. As for Gary Oldman - he must have been broke to get involved.",1
The Dark Knight,"This is one of the worst films I've ever seen... and there's been a few. It's typical Hollywood... at least modern day Hollywood, where special effects stand in for the absence of narrative, characterisation, and purpose. The story meanders all over the place, the violence & gore rating on the film is ""moderate"", it's anything but! The violence is off the scales & it's there purely to make up for the total absence of a storyline!

There's no moral message, zero characterisation, no humour content and people die relentlessly throughout the script! And there's no conclusion to the story! You're left feeling like you've wasted 2hours 32 mins of your life. The only redeeming aspect of the film was the soundtrack!

Yes, it's clear kids love the film, although what psychological effect it has on them is questionable. I wouldn't allow my own children anywhere near it! Had these teens grown up in a time before CGI and grotesque violence made up for the lack of script, and in a age where morality and decency would have trumped this promotion of pointless gore and violence, then this film would have got the rating it deserves... 1!",1
The Dark Knight,"To make it short, the movie is not that bad, its a 6/10 movie for me, but the overrated ratings, some maybe even paid, are ridiculous. This movie belongs not in the Top Ten or even in the Top Hundred Movies of all Time. I hope this gets fixed over time, and hope other movie fans are rating it the same way I do.

Can't say anymore, won't bore you, but have to get the lines full, so I would like to to push some other movies for you to watch, some real Top Ten or Top Hundred movies, some classics like:

The Apartment, Alien, Terminator, Blade Runner, Brazil, 1957, Fight Club, City of God, Seven, The Intouchables

etc. etc.

Go watch these movies, and then tell me in all seriousness, that The Dark Knight is better...",1
The Dark Knight,Just toooooo bad don't watch it You gonna waste your time,1
The Dark Knight,"One of the most boring superhero movies and movies I've ever watched and i barely watched it because it was putting me to sleep. This movie is so boring that calling it a superhero movie would be an insult to superhero movies.

Its about some guy that talks dumb who is trying to get a clown but can't until he tries to bomb boats. Boring movie that went no where. All 3 are boring wasteful movies.

DC hasn't learned because MOS WW and JL were also great lullaby movies.",1
The Dark Knight,"I just saw it. This is the most horrible movie i have ever seen. Please don't waste your time. The story makes no sense. The characters are stiff like frozen cucumbers, the purpose and motivations are completely ridiculous. This is a disgrace of a movie. It is as if the director wanted to create the antibatman. Oh My God! Oh My Buddha! Wasted life! There is no logic, the characters are half-dimensional, the star is beyond ridiculous and annoying, the joker is on drugs, the pace is awful they jump from scene to scene like monkeys jump from tree to tree. The director clearly had no vision. I don't know what to say other than STAY AWAY. STAY AWAY.",1
The Dark Knight,Boring and weak. Not being nasty but I think Heath Ledger got a sympathy vote. He is no way the most psychotic killer I've seen in a film!! If you want to watch an absolute nutter at work watch Wolf Creek ( 2movies and two series) this film is the most overrated film of all time.,1
The Dark Knight,"This film does not deserve to be in the top 10, without Heath Ledgers performance this film would be thoroughly mediocre with weak action scenes and terrible screenwriting.

And while I don't think this film is worth a 1 star, I'm going to rate it as 1 star to counteract all the Nolan fanboys giving The Godfather (best movie of all time imo) a 1 star too prop The Dark Knight to the top spot in the IMDB top 250.",1
The Dark Knight,"The movie was good but to have it rated as the top 10 movies of all time is absurd! If you are a child or you like movies that you just sit and watch like a zombie... this is your top 10 movie! Come on a superhero move being in the top 10... are you kidding me. I can't believe people are putting it in the same league the God Father, SS redemption, LOTR... the list goes on and on.

I have to say the graphics are some of the best I have seen. The actors played their parts great. I just thought there was not much story line. If you like movies with substance I would wait until it comes to a movie channel or video.",1
The Dark Knight,"about 40% give this a zero. Even if the Loved it group all gave it a ten, I think that this makes the movie about a 6. Still too high in my estimation. If you can't give zero, you certainly can't give negative numbers. Worse movie ever, especially considering the budget.

I kind of get the Heath Ledger business. Especially after Brokeback Mountain. Which was a remarkable performance. But that's it.

Maggie Gyllenhall just disappears. Gary Oldman, a lovely baddie. Who came up with his character. Did he realize how bad this movie was and boycott it.

It's been a while since I've seen it, and I actually thought that I should see it again to try to understand what the fuss was about. Its a phenomenon that I don't quite understand. Encourage your friends and acquaintances to have a really painful experience as part of a bonding process perhaps.",1
The Dark Knight,"I had the honour of watching TDK during a screening and was completely blown away! This isn't just the best Batman movie ever made, this is one of the best movie ever made. Everything in this film is excellent, not one piece of annoyance.

Bale marvels as Bruce Wayne/Batman, Ledger has made The Joker in to an iconic movie villain. His performance belongs there at the top with Hopkins Lecter. The Joker has finally been portrait properly on film, he has earned his place between the big boys in movie valiant. This is the true Joker every Batman fan knows, loves and fears. Ledger deserves any and every movie award known to man for this brilliant display.

Nolan has made his ""I will always be remembered"" movie, this is the crown jewel in his portfolio. Perfect directing, perfect story, perfect balance between action and drama, everything is perfect.

Even if you hate Batman, you will love this film. If you don't, then something bees wrongs with yours!",1
The Dark Knight,"Nolan and Bale absolutely destroyed Batman. Bale is just too cardboard for this and Nolan should stick with sci-fi strange stuff like Inception or Interstellar. This is not a guy to give Batman to. Ledger was pretty good. Nicholson was still 10 times better. And then the biggest insult to the viewers: Those GIGANTIC plotholes and ridiculous timejumps.No movie with holes like that should get even a 6. And that end fight.... They all stand squared off against each other, guns cocked, and then.....they run towards each other to have a big fist fight. SERIOUSLY? I really wonder where these hordes of schmucks that give this turd a perfect score come from.",1
The Dark Knight,"One of the worst movies I ever seen. I didn't see it when it came out. I saw it on my 50 inch flat screen, hooked up to my stereo.

All my friends were telling me how good this movie was so I expected a lot.

Heath Leger was good cause everybody else was so bad. This was one of the most boring Batman ever. He spoke in that deep voice with no personally.

All the scenes were dark. It would have been nice if a little bit more of the movie was bright.

My main problem watching this was the sound. When they spoke, I had to turn to volume way up. Then when the special effects took place, I had to lower it. Then I had to turn it up again when they spoke.",1
The Dark Knight,"This is some serious trash overrated junk in name of movies and comic book movies are not cinema this is a proof of it,there are tons of movies out there that deserves to be rated higher than this nonsense,and heath ledger other movies are way better then this this is horrible joker sucked so is batman this was supposed to be a batman movie but became about the bad guy joker he is not even a proper villain just so called tough guy it would take one hitman with sniper rifle to end this fool,batman also is a looser because he not kills bad guys and let innocents die,this is just bad writing as most of comic books are filled with ficitonal junk crap and they tried to makes this realistic and it works for a cash grab but not as a batman movie,,or a movie in general,this is horrible so is the new joker 2019 movie.",1
The Dark Knight,"Really this movie is wrong in every way it is an example of how not to tell a superhero movie placing it in reality is OK but then you are bound to the rules of reality and this movies applies superhero rules in reality(jumping on a car in the car park without breaking legs ??) And it also defies logic(henchmen who keep getting killed and still there is an ample supply of to fill the ranks,these guys must be dumb.) A villain who act contrary to what he proclaims he isn't funny(he is not chaos he acts to much like like an Einstein for that). needless sidetracks that lead to nothing(the whole bullet set-up). The philosophy 101 scenes that interrupt the flow of the movie just to make a point is so lame. The totally wooden acting from everyone except Ledger and Oldman(as if they edited all the worst takes of the other actors to give Ledger's performance some shine??) Setting is not Gothic it is dark techno-punk or tech-noir the city doesn't look like the city in Batman Begins(which was a great film). This part is not needed if you look at the three movies because it has nothing to do with the story-line of Batman Begins and The Dark Knight Rises (Dent was not in BB and TDKR and Two-Face was killed in this movie and Rachel whose part had a different actress than BB is killed of and for the plot of TDKR Rachel is only needed to be reminded that she is dead ,and would not have waited for Bruce.) Even the Joker's performance isn't that great either but it stands out because all the other acting is wooden. I can continue about more things that annoy me about The Dark Knight but then I can write a page full of things.What surprised me what rating this got and that is too much for such a bad movies that tries to be two movies at once but fails at both of them. (and the raspy voice and way to prominent soundtrack)",1
