title,comment,rating
The Godfather,I can't believe this movie got 9.2 rating. Maybe people think everything Italian is good.,1
The Godfather,"I don't know why this is rated so highly. It is dated and I kept waiting for something to happen. Nothing happens for a very long time and when it does, it is ok, but this ""great"" film represents three hours of my life I will never get back. Better watching ""The Sopranos.""",1
The Godfather,"While The Godfather is often hailed as a masterpiece, I find it to be highly overrated. There's no denying that the actors are professional and the direction is solid, but to label it as the best movie of all time feels excessive. The film is good, but it lacks the elements that would make it truly exceptional in my eyes. The storyline, while iconic, doesn't stand out to me compared to other crime movies that offer more engaging plot twists and intricate narratives. There are countless other films in the crime genre that I believe are superior in terms of storytelling, character development, and overall execution. I think the film's reputation is more about its cultural impact and historical significance rather than its actual quality as a movie. While it may have set a standard during its time, I don't see how it surpasses many other films that have come since. For me, it's a decent movie, but far from deserving of the overwhelming praise it receives. I give it a low rating because I find the hype around it to be disproportionate to its actual merits.",1
The Godfather,"If you want a portrait of all that is wrong with America, look not only at this film but the fact that so many people have immortilized this overrated, grossly violent movie with no redeeming qualities. This shouldn't even be top 1000. It's boring, WAY too long and has terrible story writing and pacing. Who the hell loves this atrocity???",1
The Godfather,"Such a boring movie. I'm a very well established psychiatrist and I was disgusted and bewildered by the lack of care the characters had for themselves in this film. What on earth was Michael Corleone doing not taking antidepressants?! Michael was a very depressed character and the fact he didn't seem to take any antidepressants in this film baffles me as I thought that would've been obvious for him to do.

Antidepressants may be undertested a lot and may frequently make people infertile but it's totally worth it if it means stopping a potential suicide of someone like Michael. I'm disgusted with this movie and my heart ached for the Autistic man known as Michael Corleone to get help and good drugs from a pharmacy in this movie.",1
The Godfather,Terrible movie just terrible... its not good at all. Its not true its a lie,1
The Godfather,"Whilst I'm sure I could easily get frustrated by its popularity, and perhaps the popularity of it gave me to high expectation, after all it felt like a movie from the 40s or 30s whilst I guess I was expecting something with this popularity to be in some way revolutionary, although I do appreciate Hitchcock and so forth.

I suppose what I'm trying to say is that I spent a lot of it confused as to it appeal. The caricatures where undeniably very emotionally uncompelling. Maybe the dramatic flaw was there to be realistic, if that is what forensic physiology implies but I don't know, but it still gave all the sad moments a detached fell and because it followed so many people I don't feel I had time to trust them. I suppose if it only follow one chariture like the series Ripely that could of been I starting point.

Most of all I guess my biggest question that I suppose might shut me up is what was this supposed to make me feel about the mafia. Naturally if it was a glorification then same on them but I suppose if I tried to make me empathize with victims of the mafia then I guess I can respect that even if it defiantly hasn't worked in my case because I have to ask.

To summaries what was I supposed to feel and how one earth dose this movie accomplish that? I am geniuenly asking.",1
The Godfather,This movie is not as good as it is made out to be and very long. Most of the scenes seem unnecessary and make the movie overly long and boring.,1
The Godfather,"And somebody has to do something about this hype Honestly bad acting, boring and shallow plot the movie is beeing watched only due to its hype",1
The Godfather,Dude it's not that good. Just sayin. IMDB-users just have to watch more movies so that The Godfather stops being on the top of every film-list on this site.,1
The Godfather,"Bad movie In The Godfather, Francis Ford Coppla is either a bad director or a hypocrite. The audience cheers for the Corleones, despite all Coppola points to to try to prove he disapproves of the mafia. Can Al Pacino portray an ordinary American? Brando nearly sinks Part I with his Hey! Look at me! Performance. He was never an ensemble actor.",1
The Godfather,"Boring just boring , I mean how can this sheet get 9.2",1
