title,comment,rating
The Green Mile,"The movie starts in a very slow pace and takes a good lot of time in building and defining characters. Performances are great. But its the plot that fails to deliver. Movie ends in a void and leaves you unsatisfied. You wont be able to derive any conclusion or a point when it ends.

Few questions that i feel shall be answered were:

1. Percy introducing John as ""Dead man Walking!"" 2. What was point of light bursting every time John took someone's pain.

3. Everybody in movie suffered their Karma. Then why did John got executed if he didn't commit any crime and only helped everyone throughout his life.

4. If Paul got John's power passed on to him, why wasn't he shown healing people afterwards and use his power for people's good.

5. What did the writer wanted to emphasize on by making the mice and Paul immortal.

There's no solid plot in the movie. It feels like being inspired from some sort of fairy tale. After investing 3 hours into this film. When I reached the end, I felt cheated.",1
The Green Mile,"This is the worst thing I've ever seen. Tom Hanks looks like he is a prison guard, Michael Clarke Duncan is taller than me, the plot is dumb, Stephen King looks like a skeleton right now, the set design was terrible, the acting was the worst I've ever seen, and the quality is not 4K ultra HD. In fact, this thing was such terrible quality that my eyes literally got lit on fire and melted in their sockets before regrowing and getting stabbed with pens. This could have been a classic movie if they decided to cast Shaq instead of Mr. Duncan. If you've seen Kazam you know that Shaq is easily one of the best actors ever. Anyways, I don't need to explain anymore, the character minimum has been reached, and remember that you told me to do this darling. Sent with love, this idiot.",1
The Green Mile,"6'8 guy could easily beat up all of those guys at the start and why didn't he just take his own pain away when he died, just a dead film innit. Maybe if it was more realistic then I reckon it would be better.",1
The Green Mile,"The film was too long, dark, depressing, uninspiring, & overrated. The only thing that I liked was Tom Hanks. Coffey dieing is sad but I was not pouring down tears. I think that too much of the film was about the mouse, it felt like the whole first part of the film is about the mouse. I would have preferred the story being a friendship between Paul & Coffey, & when Paul found out that Coffey was innocent he should have done something about it. I would, even if I lost everything my job, my friends, my reputation, you have a duty to save that man's life. I think they should have not done the supernatural thing it's just unbelievable. It should have had a happy ending.",1
The Green Mile,I think I'd rather walk the green mile than watch it again. Terrible.,1
The Green Mile,"Pretty sure I lost some brain cells.Pathetic first hour with the main charecter making weird faces,predictable. btw why does michael keep on sweating the whole film?",1
The Green Mile,"The film did not live up to expectations. The plot is absurd, it does not touch because of its implausibility, and tons of sentimental moments (the same severe male tears every minute) do not save in any way - there is too much with them.

It immediately catches the eye: the characters are either 'Good' or 'Bad'. Tom Hanks plays a typical Good Guy, his antagonist in the story, Percy, - well, just a Notorious Bastard, a real evil who was not even given a chance to improve, but simply - in a very Christian way - 'punished'. And who is the perpetrator? If you close your eyes to the impressive color and size of the character, this is just an imbecile, a creature that did not show its personality in any way (does it have one?), except for the use of a 'gift', it is not clear why it was given.

What justifies such a fantastic insert - the healing of some random prisoner? What is the MEANING of the plot revolving around the imbecile? It's like Emelya caught a talking pike, and a superpower fell on a black man? But the pathos of history claims higher, universal human values. And what then are they expressed here? Where is the heroism here? The Negro was killed (well, they cried). Here again is the 'Emelya effect': the hero Tom Hanks is lucky to meet the 'magic Negro', lucky to get 'life' from him. So what? Where at least some inner work of the character?

And this is not to mention, for example, the strangest scene of the healing of a woman who immediately throws herself on the neck of a black man, who she allegedly dreamed of. Her hubby also somehow resigned himself to the fact that his colleagues decided to visit his bread house at night with guns and a prisoner - and almost silently watched.

In general, a somewhat delusional plot, sugary characters and school, strained arguments about good and evil.",1
The Green Mile,Satanic Voodoo is presented as good miracles. I find it offensive that what is obviously black magic is presented in a positive light. This is obviously demonic healing and obviously not a gift from God - it is a gift from the devil. It was sickening to watch.,1
The Green Mile,"I read the book-I love Shawshank when I saw it in the Theater (yes, I'm one of the 10 people who saw it.) This movie had promise.

I walked out-of the room where it was playing. A third of the way through I was really getting tired of them going over every point twice (in case I missed it). By the time the (unneeded) execution scene appeared I had enough. This scene was simply too graphic and tasteless, was not needed for any plot or character development and reinforced every idea that had been covered in the prior 'practice' scene.

Before you think I'm a prude -I've also seen Henry and Natural Born Killers without any problems.",1
The Green Mile,"Over the top in every way imaginable. The whole movie seems to be filmed in someone's basement made to look like a prison. The scenery is dark and dreary. The villain is a diminutive sweaty little clansman-like guy who's behavior is frowned upon yet strangely tolerated by his superiors and peers. The black guy on death row possesses supernatural abilities transcending this horrible film into the sci-fi genre. Yet don't look for cleverness, technology, or fantasy because it lacks all three. For some reason, this movie is highly acclaimed both critically and publicly. For the life of me I can't figure out why. I guess perhaps for the same reasons people went crazy over such stupidity such as Forrest Gump, Armageddon, and Independence Day. I also can't explain why the masses think dogs like Jenna Jamison and Nicole Richie are good looking. I guess I'm just weird like that. Perhaps it's because when something is marketed aggressively, the sheeple respond positively to it.",1
The Green Mile,"A short time before seeing this film, I had seen ""La Vita È Bella"". Naturally I compared these two films. I can't say that they are similar, but I found terms to compare them. I need to state that I loved ""La Vita È Bella"" and hated ""The Green Mile"". The first film teaches us to enjoy all the little pleasures of life, to try to always find the positive part of ones life (even if we are locked in a concentration camp). It is a difficult idea to accomplish but if we have that in mind we will probably have a much happier life. The second film ""alerts"" us to the awfulness of life, all it's tortures and injustices... It makes us really feel sick about ourselves and, for instances, you can only wish to die and be freed of this terrible life. If life is so painful and hard, the only thing you can do to make it better is to try to live it the best way possible, loving every moment of its short duration! We can't spoil life by feeling miserable every instant, that would be a waist of time and nothing would ever change. The negative message I found on this film made me dislike it and be thankful for other films which still make us view life the best way there is!",1
The Green Mile,"This movie is so pompous and cheesy, that i can't believe it's in the top 250. Although i'm only 30 years old, i'm wondering a lot about the general filmtaste nowadays. There was a time in cinema, i'd say from circa 1945 to 1975 when movies from all over the world had a chance to be seen in the main cinemas. But when the Blockbuster thing started at the end of the 70's and since then the only purpose of Hollywood is to promote a 200 or 300 Mio. movie so intensive that everybody believes this must be the peak of inventive cinema today, since then it is really hard for true filmmakers to get only a little space on the market. I'm not saying that all the Blockbusters are crap, but mostly it's just overblown action nonsense. Hollywood today is not a place for creative film-making, because the producers must be sure to get at least the amount of money back they are investing on it. But how can there be art, when money plays the central role???? And is it necessary that a film costs 200 or 300 Mio. dollars although there is definitely no need for that for making a brilliant and innovative film. For example ""one flew over the cuckoo's nest 1975"" = 4.4 mio. There are loads of movies the costs were uner 100000 dollars, but even then many of these films are uknownn masterpieces!",1
The Green Mile,i m a great lover of film ..but this time a just want to say u i don't like this movie at all.it is very slow.acting is good but story having no content .. why this movie come in 100 of IMDb.?some movies make u nuts..some time i think why matrix comes in top 100 of IMDb ?it is bore.it is weak.it is lengthy.no acting.it is awful movie.i have seen many movies in my life but never see such kind of ..i m really getting fart in my head right now.how can a director make a .. like this .no contain.it is weak don't try to see it.i m writing this review because i wanna save everyone to watch this movie.bed acting .bed story .how can a person like this kind of movie n how can a movie come so popular.it is a movie of bad direction .,1
