title,comment,rating
The Imitation Game,I choose to write a projekt on this movie about enigma because it sounded inspiring and interesting.... next thing i know i was cryinng myself to sleep bacause of the math this damn enigma had behind it's dechiphering...,1
The Imitation Game,Cumberbatch was a poor choice for the lead in this movie. Couldn't watch more than 15 minutes without wanting to gouge my eyes out. Terrible acting.,1
The Imitation Game,The movie tries hard to create a classy feel but ends up boring the audience to the core. Unnecessarily stretched. I couldn't finish the movie till the end and decided to stop it half way.,1
The Imitation Game,"I was really enjoying this movie until they changed the movie from a courageous story of bravery to glorifying sexuality. This movie has one purpose, to promote the homosexual agenda. I thought I was seeing a real courageous act of humanity, instead I got a propaganda movie the Nazis would be proud of. Please keep your money and skip the wanton propaganda waste of time.

I am sure IMDb will not allow me to post this as free speech is not allowed in this country anymore but I am trying to warn you anyhow to the true nature of this movie.

Homosexuality is a sin and I did not appreciate being tricked into wasting my time watching this movie and I feel duty bound to warn others who might be of like mind.

This is a quote from the bible about homosexuality, it clearly is a sin and should not be glorified. ""Because of this, God gave them over to shameful lusts. Even their women exchanged natural relations for unnatural ones. In the same way the men also abandoned natural relations with women and were inflamed with lust for one another. Men committed indecent acts with other men, and received in themselves the due penalty for their perversion. Furthermore, since they did not think it worthwhile to retain the knowledge of God, he gave them over to a depraved mind, to do what ought not to be done.""",1
The Imitation Game,"Falsified history. Enigma was cracked years before WW2 by Polish mathematicians - in 1932. They cracked several versions of Enigma machine, they created mathematical models, a few versions of Enigma machine prototypes, basing only on encrypted data, and they created tools for decrypting messages. Suddenly Germans and Soviets attacked Poland and the possibility to continue their efforts has been lost, so they decide to get through to Great Britain to continue their efforts, and Alan Turing help them to create more powerful tools for cracking more advanced Enigma codes (brute force approach), but his participation was only partial. It was the great success of: Marian Rejewski, Henryk Zygalski, Jerzy Różycki mostly - not Alan Turing!",1
The Imitation Game,"The Imitation Game is a sad attempt to portray a suicidal homosexual, responsible for the death of thousands as a hero. The homosexual indoctrination was at the ending of the movie, but nowhere in the preview. Keira Knightley's character was well plaid she was perhaps the most intelligent of all the scientists, and a bright delightful woman. The huge mechanical calculator they were developing was a masterpiece of engineering, and would probably still be working today. The audience wants to walk out of the theater feeling good, and there were so many opportunities to create that ending. It's a shame this could have been a really great film. I didn't walk out, but I did ask for a refund.",1
The Imitation Game,Unwatchable due to fake story. Polish mathematicians were the first fo crack enigma. What a shame....great cast.,1
The Imitation Game,"If you want to learn about history or code breaking you'll find little of that nonsense here. Rather, this movie is a stark reminder that one gay guy and a woman won won the entire war and defeated the nazis. This finely crafted piece of wokeness that is not constrained by the draconian practices of truth and facts; some things are just too important for such trivialities. I would have given it more stars if the writers/directors had truly checked their privilege and made room for more POC, I mean come on!!! It's the current year!",1
The Imitation Game,"This movie had potential but it is marred by a historical inaccuracy, a slander, really of such magnitude as to make the movie unwatchable.

The entire espionage/blackmail subplot is a fiction created out of whole cloth. It is unnecessary to telling the story and detracts from far more interesting aspects.

Alan Turing is a historical figure guilty solely of being different. Homosexual and probably autistic. These factors along with his work on enigma and related work are more than enough to making a good story. But no, I assume some brain dead studio exec or bad writer felt a need to turn it into a police drama.

As Turning says in the movie ""People like violence because it makes them feel good."" This is yet another act of violence against Turing.

I feel bad for the actors involved.",1
The Imitation Game,That movie lies about how enigma was really broken. I found it very sad and basically insulting for all people who work on breaking the code.,1
The Imitation Game,"I was expecting a historical movie and then it became all about homosexuality. Neither the trailer or description of the movie showed anything about the agenda of the movie being about homosexuality but essentially that is what this entire movie was about. Also, the way he treated his fiance was horrible, essentially he had lied to her and told her he never cared for her, he was just using her. In the trailer it makes it appear that this a romance movie between him and her, but it wasn't, essentially he was a horrible person to her. And this won an oscar for best writing? How can it depict him as a horrible human being for hurting her so much with no remorse whatsover and then it wins an Oscar? It only received an Oscar because of the homosexual agenda, had it not had anything about homosexuality it would not have won an Oscar I guarantee it. HORRIBLE MOVIE - DON'T WASTE YOUR TIME",1
The Imitation Game,"Movie is filmed nice but Enigma wasn't cracked by British but by Marian Rejewski in 1932. British only improved our ways of decode enigma, based on documents and machines which we gave them. We were not able to continue our work because our country was conquered by nazi Germany. It's sad, that man who really cracked enigma isn't even mentioned in this movie. It's sad that British people calls breaking enigma code ""their victory"". It's such unfair. I know that otherwise it wouldn't be such a great material for Oscar movie, but if we show something to people, we should care about at least about main facts. Yes, you guys helped a lot. But begging was few years before war in Poznan, Poland.",1
The Imitation Game,"It's becoming annoying that movies nowadays are based so much on the artistic part rather than delivering a message and telling a compelling story to the audiences so that after you watch the movie you'll say ""it was worth it!"". This movie is no exception from what I wrote above, here's why:

The Science: In a movie about the invention of the first computer, you have to be scientifically authentic and I mean to use scientific terms or at least try to explain to the audiences what the hell is Enigma? In this movie Enigma is as enigmatic as the tesseract in MCU... The only moment when there's actually a hint of science is the scene between Alan and Joan where Alan tries to explain enigma to her but that scene makes Alan look like an idiot.. I mean a guy who knows so much about decrypting codes should sound like a guy trying to speak on understandable terms even though he might struggle with that due to the fact that he knows so many scientific things... Benedict tries so hard and I appreciate his effort but the writers are to blame here for a lame and hollywoodized script.

The story. I don't know the actual historical facts but the way the characters are presented to us make them unbearable and way too clichéd. I couldn't care less for Alan who's story was just used only to gave the actor playing him a great performance in order to win the Oscar. The scene at the end where he is shown to have hormonal problems is supposed to make us care for him? Why didn't they developed that early in the movie so that his character had a reason for being this way. Remember when biography movies told us from the beginning that the main character had a problem that made us care for him and even start the plot (see King's Speech) , while here the protagonist's problem is thrown in the movie at the end like ""Hey! Here's Alan's problem and you should care for him!"" disgusting... There are tons of examples of great performances within movies that have great story and make you care for the characters and for what happens in the story. Take for example Colin Firth's performance in the King's Speech. That movie actually had a compelling story that made you care for the main character's problem, while here is just a display of Benedict's and Kera's acting. This movie's story has so many clichés, even more than Spider-man 3 I should say and here are some examples: A girl is ridiculously smart and finishes the test so fast it just points to her BING! There's the hot smart girl in this movie. The only way to make her more clichéd I guess was to write a note on her forehead saying ""This is the hot and clever chick in this movie and she'll have a relationship with the main protagonist!"" Anyway moving on... Alan is being bullied like a high school kid for being to clever, this is worse than Tobey's Peter in Spider-man(at least that movie had a compelling story and a fantastic heart to it)... I could go on like this but there's a word limit.

The music: Bland and typical Alexandre Dumas... although his score for Godzilla was way more epic and inspiring than this garbage which by the way gets nominated for Oscar, while the other score doesn't even gets nominated for an Oscar. Surprise? Just another soundtrack made to please the Oscars. There are tons of great soundtracks that didn't get nominated for Oscar and are way better than this sh*t. This just shows that not everything that is nominated for Oscars means is the best there is out there. This movie is again, no exception.

To sum up my review: This is a typically Hollywood ""trying to impress and win Oscars"" movie that has no heart and no clever or intriguing plot. I rated this movie with 1, since it can't be compared with biography masterpieces like The King's Speech for example or Rush. This movie's real rating should be around 6-7 probably more towards 7, but with IMDb's rating system and with all the so called ""critics"" here, this movie's rating inflated to 8.1, which is even higher than The King's Speech.",1
The Imitation Game,"hidden socio-political agenda. Too bad, because I really like Benedict Cumberbatch and Kiera. It was really, really boring and hard to follow. Revisionist historicity (for those with degrees in history). Not really about WWII. Will not inspire a new generation far detached from historical events, but then it really wasn't about the World War, was it? Snore... yawn, just like having to write ten lines of ""review."" Characters are too full of themselves. Maybe the characters played by Cumberbatch and Knightly should have had a nice little traditional romance to have something actually interesting and human happen. Very poor entertainment. Read a good book, instead.",1
The Imitation Game,"OOOPS lie story. In 1939 United Kingdom received copies of ENIGMA MACHINES and all codes from Mariana Rejewskiego, Jerzego Różyckiego i Henryka Zygalskiego, soldiers from POLAND. They broke ENIGMA in 1938, and build copies of ENIGMA machines. So there was nothing to discover, nothing to break. Marian Rejewski, Jerzy Różycki i Henryk Zygalski worked for British SECRET SERVICES for the whole war, helping to fix all ENIGMA MACHINES. Polish soldiers did break every order coming from German ARMY. President Roosevelt and president Churchill in 1943 in Jalta offered POLAND and half of EUROPE as a gift to JOSEF STALIN, since that we could hear so many lies about breaking ENIGMA MACHINE",1
