title,comment,rating
The Intouchables,"Untouchable is the cinematic equivalent of lukewarm tea: inoffensive, predictable, and inexplicably beloved by millions. A true mystery.

The film follows the tired trope of the ""unlikely friendship"", this time between a wealthy quadriplegic and a streetwise drifter, hitting every cliché along the way. Groundbreaking it ain't. Allegedly based on a real story, though the filmmakers decided that real life wasn't clichéd enough and sprinkled in every stereotype they could find.

Omar Sy's Driss is an exaggerated caricature, from his jobless status to his obligatory petty theft when casually pockets a Fabergé egg while being interviewed. Naturally, only to give it to his overworked mother, who is drowning in an excessive number of children. Cliché.

The film sticks rigidly to the ""unlikely buddies"" formula. At first, Driss is inappropriate, brash, and completely unfit for the job. But wait! Just when you think Philippe might give up, a miraculous transformation begins. Through a series of manufactured heartwarming moments, the two start to bond. Driss, with his street smarts and carefree attitude, teaches Philippe how to really live. Philippe, in return, introduces Driss to art and classical music - because, naturally, he's never encountered culture before.

Safe, shallow, and designed to make audiences feel good without provoking real thought, The ""Intouchables"" is not terrible, just profoundly unoriginal.

But apparently, if you slap on an uplifting soundtrack and sprinkle in some ""deep"" life lessons, people will eat it up. Given its absurdly high praise, a rating of 1 feels entirely justified.",1
The Intouchables,"An awful movie. Its extremely unrealistic, and i guess i dont like these types of movies, Especially not when its suppost to be one of those ""deep deep"" movies about life, friendship, poverty etc. Not sure if its because im not french, but i didnt like the humor in the movie either. Its not a very exciting movie either. I would have liked some more depth, a deeper story, and to see more of Driss challenges. We never Saw which problems he had with his new job, comming with no experience etc. It was just so painfully unrealistic which is annoying, when its suppost to be a deep meaningful movie. So not my cup of tea, and frankly i Think its Way too overrated. I dont get the High ratings.",1
The Intouchables,"After i watched this move for the first time, i could say i honestly would go as high as 4! Maybe even more.

After the 5 time however (all seen involuntary in school) I would rather eat a spoon of cinimon.",1
The Intouchables,"Not my type at all! Have seen it too many times and it honestly gets worse each time. The first time I saw it, I have to admit it was an ok movie. But after having to watch it more than once, I've realised that there's not really that much going on in it at all.",1
The Intouchables,"Black guy takes care of white guy. Black guy is poor and white guy is rich. They teach each other how to live better. Isn't it touching? Oh my God, I'm weeping right now, while I write these lines... NOT! This film is pathetic and the only way to explain the high ratings and its success is through the fact that most people are easily touched by stories that are sentimental and about friendship and moral values. Similar to why Paulo Coelho's books are bestsellers, for example.

To compare: Little Britain's Lou and Andy are funny exactly because they are not trying to teach you a moral lesson or show you how important it is to have a friend or help someone.

Simple story. Cliché. Sentimental. Boring.",1
The Intouchables,"The film did not impress at all, fell asleep several times. I would not advise watching this film, the storyline is boring, there are a million such films, and this one was shot worse than others. I wouldn't write this if it was a lie.",1
The Intouchables,"Apart from the great acting of the protagonist (francois cluzet) there is absolutely nothing so special in this film!

The relationship of a wheelchair and his"" savior"" This story has been done thousands of times and in better ways than this movie! EXTREMELY OVERRATED! I would have given it a 6 or 7 but due to being so highly rated I will give it a big 1.",1
The Intouchables,"How this is in the 57th highest rated position on imdb is beyond my understanding Too much cliche, too much recycled plot, the wheelchair user's performance is the only thing that can be saved this same type of movie has been made countless times and any one is better than this version! Why this is so highly rated is beyond my understanding!",1
The Intouchables,"Good day, dear friends and readers! Recently reviewed the whole family the film ""1 + 1"". Great movie! A lot of reviews have been written about him and probably everyone has already seen him. But still I want to write a few words about this picture. This movie evokes a lot of emotions in me. It's full of drama and humour. The French are good at films like this.",2
The Intouchables,"Some friends suggested this is a great movie to watch, a definite must-see. I am no longer friends with those people.

Well, I suppose if you are a superficial kind of person, without profound thinking or the ability to feel real emotions then you might think this is really something great. In any other case you will find this to be a childish, shallow, naive approach of the subject.

A waste of time. I truly cannot understand anyone who liked this piece, felt moved or shed a tear while watching it. For God's shake people, familiarize yourselves with true quality and don't praise ""art"" that is not actually art. You can do better than this, I promise.

P. S. Shouldn't forget to mention how horribly unrealistic was at many points.",2
The Intouchables,"One rich, one poor, one black, one white, one sunny, one snowy, and one li ba people. In reality, it is unlikely that there are two people who meet each other in a wrong way. They gradually run in, understand each other, care for each other, complete each other, and make up for each other's deficiencies, thus achieving their own new life. The film is dream making. Although it wakes up, it is joyful.",2
The Intouchables,Really such high marks? For what? I guess for the emotional defects of all who see in this good cinema ...,2
The Intouchables,"Based on a true story, but in the true story it was an Arab and not a black person who was his assistant. This is an insult to the real person. The narrative is created to fit the political correctness. I assume more then the color of the characters was change to fit it, I guess that even the sexuality of the characters was made to fit.",2
The Intouchables,You will know what happens in this entire movie just looking at its poster. Typical Hollywood trash. Waste of time. Don't bother.,2
