title,comment,rating
The Lion King,I now hate you're whole Lion King series. After seeing the latest movie why?why did you turn Mufasa hate Taka at the ending can't you just make Mufasa forgive Taka bro that was heart less .They were brothers why?bro why?pls make a hole new series that Mufasa and Taka actually get a happy ending.pls sir/ma'am anyone pls I'm begging you pls.for sake of the people. Thank you for reading this pls acknowledge my cries of disappoinment and sadness 😭😭😭😭😭😭😭😭 😭.why not just let them be brothers again why. I am crying right now typing this review to the people who want Mufasa and Taka to live a happy life to gether role as brothers .,1
The Lion King,"The movie may be a childhood classic for many, but for those who look beyond nostalgia, it falls surprisingly flat. While the animation is undeniably impressive for its time and the music by Hans Zimmer and Elton John is iconic, the film suffers from a painfully predictable plot and overly simplified themes. For viewers seeking layered storytelling, emotional depth, or character complexity, this film offers very little. The dialogue is often shallow, and most characters feel like one-dimensional archetypes rather than real personalities. The villain, Scar, may be memorable, but even he is more style than substance. It's a film that relies heavily on visual spectacle and catchy songs to mask a weak narrative foundation. While it may entertain younger audiences, The Lion King does little to challenge or move the viewer. For a film so celebrated, it ultimately feels hollow and overrated.",1
The Lion King,"This is one of the worst movies I have ever seen.I will give you a few reasons because of that.One is it's too mushy,most Disney Movies are much better than this.Second this is a very violent movie, seriously I mean with all that killing and stuff.Another is the animals have vial table manners. They just gulp down food like the big bad wolf.Also the jungles don't look colorful enough.There should be more deatails.5th there are not cool animals like market young children won't understand that.I myself was saying boo in the theater.I can't believe we got the the DVD.If you like films about the wild I suggest Dreamwork's Madagascar.Letter Grade:F Number Grade 1/10",1
The Lion King,"The Lion King?!?!? MORE LIKE THE LION LOSER!!!!!! THIS IS DEBATABLY ONE OF THE WORST DISNEY MOVIES OF THE 90S!!!!!! A RIPOFF OF KIMBA THE WHITE LION!!!!!!!!! The plot is generic, the characters have no likability at all and do not have any development in them, and the songs are some of the worst that I've ever heard in my life!!!!!!!! Its 2019 remake was worse!!!!!!! Whatever you do, DON'T WASTE YOUR TIME WATCHING THIS ATROCITY!!!!!!!!!!!!!!!!!!",1
The Lion King,The Lion King is one of the worst movies ever made. This movie uses slapstick and other juvenille tricks for the humor. This movie is aimed at little kids. I hate this movie and I always will. Damn the lion king ! Damn it to hell!,1
The Lion King,It sucks!!! it seriously does...ive seen crap that was better then that movie.. and its the highest grossing animated movie of all time?!?!? what on earth were people thinking when they went to see that...it was just terrible..a waste of money and time on disney's part.,1
The Lion King,"This movie is way too overrated to be in the top 1000 of any lists. Why? This movie's plot is way too generic. A lot of movies that were made before this had the same plot of someone trying to impress the people around him and becoming the hero while a villain tries to stop them. Movies like avatar are WAY underrated for their fantastic storyline and effects. Be sure to like this review, so people can get their ratings right to today's times, and not let NOSTALGIA get in the way of honest ratings. If you haven't watched this movie as a child, you definitely won't enjoy it watching it now. This is not the only one, as series like avatar: the last airbender also confuse people into thinking that the movie Avatar is in any way linked to that series, which is not true at all. It's all nostalgia feelings and will pass when the next generation of people who haven't watched this empty movie will start writing reviews.",1
The Lion King,"The top 250 films of all time this apparently is? Well obviously a bunch of chimpanzee's must be deciding what films are featured on this list. The Lion King is a terrible film that is massively overrated. After watching it I felt I had seen the film before. The ideas were stolen from the films Tarzan and Ice Age! I couldn't believe the people who made this film had ripped off two other films and got away with it, an absolute disgrace!

There are some poor elements of the film: 1. Hyenas. Hyenas got a lot of bad press because of this film, thousands must have died since it's release. Anyone involved or who even bought or watched this film has the blood of innocent hyenas on their hands. 2. Animation. Very poor quality. We live in 2016, can we not get better technology now to produce better animations? 3. Jeremy Irons. Whilst not a bad actor, he is a complete hypocrite. There is a video where he actively speaks out against the death penalty. That's pretty funny Irons considering you acted the role of Scar and had no problem killing off your own brother Mufasa. Hypocrite much?

Poor film that is not worth viewing. Don't waste your time.",1
The Lion King,"Hyenas are now hated for this stupid movie. And lions are not the kings of the beasts. It just sucks! It is my least favorite movie of all time. If I was to chose between watching the lion king and Attack of the Killer Tomatoes, I would chose Attack of the Killer Tomatoes. I have no idea what people see in this movie. I would give it a negative number if I could. HYENAS KILL LIONS! I just hate it. TIGERS ARE THE KINGS OF THE BEASTS! NOT LIONS! I have to say, I was very disappointed, the only good thing was the music. Honestly, I wish those lions starved to death and I am glad that simbas father died. I hate Disney for making people hate hyenas. I LOVE THOSE GUYS! They are AMAZING! In fact, I like them better than humans! I just can't wait to be king. To bad you will have to wait forever. By the way, wildebeest can not trample and ADULT MALE LION! Way to go on the details there. Disney has to make a movie about hyenas being good because honestly, hyenas are not more evil than humans. AND THAT IS A FACT!",1
The Lion King,"Taking Kimba and claiming this mess ""original"" is just unforgivable.",1
The Lion King,"I will admit whether they are original cartoons or CGI, Disney's G-Rated are typically nothing but lame ""sweet"" crap. The story was lame, and (even worse) the movie had terrible music through all of it. The Lion King is one Disney movie that I saw when it first came out, and it proved this very well in 1994. The whole movie is simply telling kids to be brave and do what you're told.

The memories of having to watch this movie will simply give you nightmares. Just watch something like the original 60's ""Flintstones"" cartoons instead, they were much more entertaining than ""The Lion King"".",1
The Lion King,"I used to like the lion king since i was a kid, but after knowing that the movie that promoted as ""Disney's first original movie not based on anything"" is actually stolen from anime called ""Kimba the White Lion"" created by Osamu Tezuka. I stopped liking the lion king, and lose all my trust in Disney.",1
The Lion King,This movie is a complete and shameless rip off with no credit given of the original Kimba the white lion made in Japan in the 50's or 60's that I remember seeing as a kid. While the animation is bright and the voice acting is bearable I cannot bear to see Disney continue to take credit for another's work,1
The Lion King,"The Lion King is easily one of the most popular Disney movies out there and perhaps that's because it was very popular with kids at the time and those kids who have grown up now still consider it Disney's best. It is a visual treat which underlines themes of love and loss.

But people call this the ""adult"" story of Disney and honestly, I find it to be one of the more childish entries in the Canon. Yes, Mufasa's death is pretty hard for a kids film but after that, the movie just continues with a very childish tone. Take Timon and Puumba, for example, who are thrown into the plot to remedy the movie from being too heavy-handed.The scene where they're looking up at the stars and make fun of Simba is rather disconcerting - they literally just laughed at him for speaking of his late father's wisdom. Really? In general, the story is weak and really loses itself after Mufasa's death.

The characters also weren't as good as everyone says. Everyone claims Scar is the best Disney villain....but all he really did was kill his own brother, that's literally it. Why would he send his minions to kill Simba when he's knows how unreliable they are? And when he is in power, he's just lazy. How did Scar gain the title of best Disney villain? Timon and Puumba are also extraneous to the plot just to keep the kids demographic interested. But the worst is Simba and Nala. Not only are they both bland and boring but the romance between them is rather questionable considering they could be brother and sister (or at least cousins).

The music is fine but it doesn't quite live up to the works of Alan Menken and Howard Ashmen in previous Disney movies. The only two songs I loved were The Circle of Life and Be Prepared. Other than that, the soundtrack is somewhat weak. I just can't wait to be King is frivolous and random to the plot, Hakuna Matata has some very stupid lyrics and a whole verse dedicated to a warthog's flatulence, Can You feel the love tonight is a very syrupy song which just doesn't work with its very weak lyrics - ""Why won't he be the king I know he is. The king I see inside"".

The Lion King can't seem to keep up with its own maturity. The fart jokes, the bi-polar tone of being serious and silly, the questionable incest within the romance....it all just doesn't work for me. A highly overrated movie.",1
The Lion King,"I usually enjoy Disney cartoons. However, I remember first seeing this film on the big screen in 1994 and thinking how Disney could have green lit this film with so much cartoon violence.

Sure, the story is one of self discovery and finding one's place in the ""circle of life"". But there are many, many ways to tell the story without senseless violence. I played the film for some small children a few months back and they cried because of the death that happens during the Stampede.

To be honest, I can't put my finger on it, but there's just something about this film that makes it unlike the other Disney cartoons and very, very depressing.

By the way, the word SEX appears twice in this film. No, it's not the suggested ""SFX"" and no it's not ""unitentional."" I will never watch this film if I don't have to; I would rather watch the Chipmunks. 2/10.",2
The Lion King,"What could I say ? Disney simply copied one of the most popular japanese animated series and destructed it ! What makes me laugh is that Disney pretended to have worked hours and hours on the backgrounds (if you see a good one, phone me !)...God ! If you want to see the real one, go see ""Jungle Taitei"", you'll see something really different !",2
