title,comment,rating
The Notebook,"I've watched countless dark videos on the internet and I've heard about this movie from a lot of people and I randomly decided today, over 20 years since it has premiered to give it a watch. I am absolutely disgusted by the concept and the conclusion. No one in their right mind would want this to happen to them and even from a fictional standpoint it is utterly disgusting. This movie romanticizes cheating and plays cheerful soundtracks at moments where I just felt my heart drop. If there is anything positive to be said about it then it would be that the characters suffer at the end. I hope that the people who sees this as ""peak"" romance get their brain rewired in the most respectful way possible.",1
The Notebook,"This movie is horrible ,Is tedious boring repetitive. I was just bored one day and I just saw this movie on my TV and now I'm wishing I'm going to look at the trailer first and I want to save me a lot of time. Now I got to say I didn't actually finish the movie, I only watched 30 minutes cuz it was boring. I actually have high expectations for his movie cuz I saw some good reviews and how it was like other movies that I already liked. Man I was so wrong this is one of them overrated movies that everybody likes but I seem they hate. It's just about a rich girl who falls in love with a poor boy. I'm not to big on romance movies but I did want to give this movie a try. But in like the first five minutes I was ready to turn off my TV. But I will wait a few more minutes because I thought it would get better but it didnt. I seriously wasted 30 minutes of my life that I want back. I would seriously rather watch Twilight then this. And that movie was horrible. Do the little part I did watch , I didn't see any chemistry between the two characters. I just don't see why so many people praise this movie, I guess people like boring , ridiculous , and predictable love stories these days. But if you want a good romance movie to watch I recommend La La Land. Now that is a good romance movie. Now not only do the characters have chemistry , It's not boring , it's entertaining it doesn't make you want to fall asleep like this crap.",1
The Notebook,A truly terrible film about truly terrible people. The two protaganists are genuinely awful people and they are in an extremely unhealthy relationship. There is not a single redeeming feature about this film. Avoid it.,1
The Notebook,My girlfriend asked me to watch this film with her and I was pretty disturbed after I watched it. How does a man get that sensitive and womanly? Hollywood staff must be targeting feminine males because this is not what a man should be like unless he is raised without a father. If he is raised solely by some sort of feminine figure then it should probably fine. Show this man a baseball game or something! I've tried to watch the film a few times but with not luck have always decided that this film is not for me. My girlfriend keeps telling me that I should give it it another chance but after 2 times I believe that I've given it enough chances. Maybe in some other lifetime I will let this film in but at this time I think I've made my choice.,1
The Notebook,"***THIS IS A PARTIAL SPOILER! DO NOT WATCH UNLESS U WANT THE ENDING RUINED********

this movie was a horrible movie in my opinion. its so predictable. it was easy to find out whats coming up. and Allie being the old lady in the beginning and Noah being the guy reading to her was so obvious. i figured it out 20 minutes into the movie. how does that keep a guy guessing. i was so bored i had to make jokes to keep me awake.

but for people who watch this movie watch when Noah has Allie against the wall and is making out with her, watch his hands cause he grabs her BREAST. now thats hilarious!

the only unpredictable part was when they died together on allies bed that really touched my heart. but watching a movie for just one scene is not worth it.

instead go to the movies or rent the interpreter. thats a movie worth watching. it has action, adventure, good acting, a good plot, and a UNPREDICTABLE ending.

I'm WRITING THIS JUST SO I CAN HAVE 10 LINES LONG REVIEW. I WILL REPEAT TYPING Y JUST FOR FUN.YYY YYYYYYYYYYY YYYYYYY YYYYYY YYYYYYYYY YYYYYYYYYY YYYYYYY YYYYYY YYYYYY YYYY YYYYYYYY YYYYYYYYY YYYYYYY YYYYYYYYY YYYYYY YYYYYYY YYYY YYYYYY YYYYY YYYYYY YYYYYY YYYYYYYYYY YYYYYYYYYYY YYYYYY YYYYYYYYY YYYYYYYYYYYYYYY YYYYYYYYY YYYYYYYYYYYYY YYYYYYYYY YYYYYYYYYYY YYYYYYYYYY YYYYYYY YYYY YYYYY YYYY YYYYYY YYYYYYYY YYYYYYYYY YYYY YYYY",1
The Notebook,"Hot garbage. Noah was basically going to kill myself because the pretty girl wouldn't say yes to him WHILE SHE WAS ON A DATE. He brought her to an abandoned house and didn't wait for her when she left. The only good character was the guy she was going to marry because he still loved her enough though she cheated. My friends are all against me, saying Noah is all green flags, but how? He was absolutely obsessed immediately to the point of threatening suicide. I would like to see this movie with a different cast. Cast Noah as someone ugly and I'm sure the response would be completely different than with Ryan Gosling.",1
The Notebook,"Poor poor Gena Rowlands : playing in this after having had the glorious parts in John Cassavetes films... I remember watching this as a teenager, even then I felt uncomfortable: why would such a formidable actress play in this cheap whatever you want to call it, ""chick flick""?

It's not just the shallowness of the romantic theme, it's the absence of deepness in every aspect of it. Its the poor depiction of late age dementia, and the devastating effects it has on a family, the complete lack of empathy toward the children, the stupidity of the younger version of Gena (is this supposed to look like independence?), the cliché (suddenly she is a nurse without any qualification whatsoever and straight on, she goes back to her ""The Great Gatsby"" life), the sheer emptiness of her life, same with the husband, who seem to have completed his life time achievement by restoring a mansion for the bride to be. What for? I mean, are we supposed to fill-in the blank and make up for the story by inventing what they did, the building up of a family. But, when and where do we see this family?

Poor story, poor dialogues, excellent promotion team, oh and nice landscapes - you definitely should have included a clip with the address of a local tourism office.

Watch it when you are bored, a Sunday evening, and you don't want to think. Listen to a podcast at the same time. It might ease the emptiness.

Poor poor Gena Rowlands.",1
The Notebook,"I don't even know where to begin with this... travesty of a film. I reluctantly subjected myself to The Notebook-I was told it was 'a timeless love story,' but let's be honest, it's nothing more than a nauseating display of weak-minded people wallowing in their own mediocrity. The Notebook, directed by Nick Cassavetes, has this grotesque tendency to attempt emotion-but the entire thing is just an endless parade of sentimentalism and lowbrow theatrics.

First of all, Ryan Gosling's character, Noah, is meant to be charming, I guess? But he's nothing more than a half-baked, idealized version of the ""perfect man,"" which, I assure you, no one can live up to. His hair looks slightly out of place in a few scenes. I found that deeply irritating. The dialogue-don't get me started on the dialogue-it's so stilted, so obvious. These people, Noah and Allie, have zero substance. They scream indecision and emotional chaos, which, honestly, does not fit with my worldview. Love? Romance? These are concepts that belong in a quaint 1950s novel that's best left untouched.

Then there's Rachel McAdams, who gives an awful performance. She's too much. She cries, she yells, she smears emotion everywhere, like some kind of uncontrollable beast. Do you know how revolting it is to watch someone spill their pathetic feelings all over the screen, letting everything fall apart for nothing? It's embarrassing. It's vulgar. And the music-God, the score. It's like an insipid background noise meant to manipulate the viewer into feeling something that's not there.

If this film were an artwork, it would be that disgusting impressionist garbage you see in some low-tier galleries. Colorful, uninspired blobs that somehow make it to film festival levels. Not to mention, the theme of this whole charade, 'true love,' is so passé. I'm not a man of sentimentality-I'm about cold, hard facts, not this gut-wrenching, melodramatic nonsense.

And don't even get me started on the ending. What is that? A tearful, emotional reunion that, I assume, was meant to evoke feelings of joy. I was disgusted. It's an ultimate betrayal to every man who values control-to watch this, this chaos, and pretend it's 'romantic'? I think not. It's messy. It's too much.

But, perhaps the most painful aspect of this film... is that women love it. It's the emotional equivalent of fast food: instant, disposable, and ultimately empty.

In conclusion, I would not recommend this film to anyone who's sophisticated or values order. It's unrefined, chaotic, and honestly, it was a challenge to sit through. 0/10.",1
The Notebook,"I found this film to be uninspiring and slow-paced. Despite hearing and reading positive reviews claiming it to be an emotional and tear-jerking movie, I only found one scene to be moving, which was towards the end of the film when Allie and Noah are in the care home, and Allie finally remembers that the characters in the story are actually herself and Noah, but her memory only lasts for a short time and She then starts screaming for help, leaving Noah sitting on the bed crying. Apart from this scene, I didn't find anything else in this film to be emotional or inspiring. The film felt like it was just another typical romance movie that repeats the same old cliches found in countless other romantic films.",1
The Notebook,"Okay, first off, I didn't much care for this film. My significant other wanted to see it so I had to go. Now, I have no problems with romantic movies, I think Serendipity and Sweet Home Alabama were great movies. But this Notebook fluff? I got bored from the beginning while they were on their first date. Lying in the middle of the road? WTH? ""Me and my dad used to lay here and watch the lights."" I'm thinking, the girl should say ""What the hell is wrong with your family?"" But anyways....

I just don't get how people are claiming how great this movie was when the story was just so...ummm...dumb?

SPOILERS***

And the letters, all 365 of em. So Allie is so hung up on Noah but she never tries to check the mail once out of a whole year??? Aw cmon!! What a load of crap. And towards the end, Allie's mom drives her out and tells her daughter about the secret love she had/has. At this point, I'm thinking, why is she doing that?? Does she have regrets? All she says is that she loved/loves this bumpkin yet she still truly loves Allie's father. So this is the same lady that pulled her daughter away and hid letters for a year? Is she telling her daughter to go with Noah or not?? And if she is, shouldn't she had done that after she saw 365 letters??? That must mean something if a guy writes your daughter 365 letters.

FINALLY, the whole way the story was told from the nursing home and the ""Notebook."" This will sound like 50 First Dates, but here it goes. Instead of reading that whole damn book to her over and over just to have his wife come back for ""minutes"", he shoulda just made a video tape, showing who he is and who she is and who their kids are. Bam, that would straighten her up in 15 minutes.",1
The Notebook,"After reading the book, the movie was a disappointment. In movies, usually the things that are changed are scenes and little twists but in this film they have changed the behavior of the characters, from awesome gentle people to social idiots. The way they have changed the behavior of the characters was a huge disappointment. The movie wasn't even close to what the book was portraying, the main theme to ending, everything is changed. The movie had no depth and it seems like a B- class romcom.",1
The Notebook,"If you have read the book, then you will see how much this movie is unlike the book in every aspect. I'm sure the movie would have been better had I not read the book. I know movies are different from their books, but this simple yet amazingly romantic story was lost in this movie that makes it seem like everything happened because of the girl's parents. The typical 80's love story involving parents against their daughter's lover is not what this story is about. If you want real romance and want a story to really relate to, read the novel. The movie leaves out important things such as the letters that Noah and Allie wrote to each other as her condition was progressively getting worse. I watched the movie with my girlfriend and after wards I read her the letters from the book and that made her cry more than the movie's ending which in a way kills the story. How can you make a movie based on a hit-selling novel and COMPLETELY change everything. This movie is more like Bridges of Madison County 2: The Search For a Good Romantic Movie. If you want a romantic movie, rent Bridges of Madison County. If you want to read a romantic novel, read The Notebook, don't settle for the movie.",1
The Notebook,"so, why did I bother even turning it on? It was at the senior citizens club, I recognised some of the actors names and Gena Rowlands had rescued (from a 1 rating) a previous film, so I gave it a try. But not for long, after about 10 minutes I'd had enough, but then stuck it out.. til the 30 minute mark. That's enough.

The deleted scenes on the DVD showed the explicit sex scenes if that's all you want to see but don't expect to learn much - except the vagaries of the MPAA values? PG 13? they're nuts.

The basic story is flimsy, the acting is forgettable, there are zero especially good scenes, nor any memorable lines of dialogue. Anything to feel good about? Nah. Some views of the ""Single Style"" houses of the locations might make you think a bit about the way America's history?",1
The Notebook,"Don't waste one minute of your life on this!! Ryan Gosling is a crap actor, and a gooney dude anyway..",1
The Notebook,"The beginning and middle of this movie was really great and what I was expecting. The ending however was not. I still won't say how it ends but I was in tears for about 30 minutes. I felt stupid crying over a movie but this really got to me. I rented it on Valentines day because I thought it would be a good romance movie to watch, but I was hit with a ton of bricks. For about the last 10 - 15 minutes of the movie it seamed like they were really trying to drag the sadness on and on. I would not recommend this movie to anyone I know.I know that not every movie or love story can end happily ever after, but I feel like they took things too far. They acting was great. You could actually feel the pain the two characters were going through. The whole experience was a little too real for me. Things come out at the end about how the notebook even got wrote, that will break your heart. Seeing the husbands devotion to his wife, and what it is putting him through, seeing his tears, just killed me inside.",1
The Notebook,"i was really disappointed when i watched this film. when i saw the rating i was so enthusiastic to see it. the movie is predictable, the acting is awful, boring, and shallow. the film is so slow. the thing is i couldn't stop laughing on some emotional events. this is a movie were you wait for something. something to move you and make you say this touched me. but you will be struck by bad acting of Ryan Gosling and Rachel McAdams. especially Rachel McAdams. she gave me the feel she was really acting!! the film is kind of like mass production of media crap. sorry!! it is not worth seeing either in your home or in the cinema. a complete waste of time.",1
The Notebook,"The only thing worth watching is Gosling with his shirt off, but only with the sound off. Chick Flick of the worst kind.",1
The Notebook,Sigh another movie celebrating toxic behaviour from men and calling it love. Threatening to off yourself if a woman doesn't go out with you? Yeah don't do that. I checked out mentally after that riveting opening scene to the couples story. Then the rest of the movie is about Allie constantly wishing she was with Noah for some reason instead of Lon who clearly loves her. If you want some dreary clichéd love story that makes you cry uncontrollably then be my guest. I however found the whole thing insulting and another example of what Hollywood sells to young women what love is. I know what love is and its not this.,1
The Notebook,"I'm a romance and cheesy movies lover. I watched this when I was 15 years old and when 'cheesy' was one of my favorite genres... Everyone I knew talked about this movie saying how ""perfect"" it was, the best movie of all time, etc, so I gave it a chance.

I got bored the first 10 minutes. I was so annoyed by the cliché dialogues and scenes, the unrealistic love, the story itself seemed pretty dull and lame to me. How could anyone like such a predictable and infinitely cheesy story? I must be part of the 1% who dislike this film. One of the most awful films I've ever seen, to be honest.",1
The Notebook,"I only give this one star, because it is not possible for me to give zero or negative stars. To say I do not like this movie is being kind. I abhor this movie. Usually I can find at least one redeeming quality about a movie, but this was not the case here. It is not because it is a romance movie, I love A Walk To Remember. The premise is good, the whole thing is just poorly executed. I will never suffer through this movie again, and all of you that rate this ten stars, please, I mean that seriously, please explain to my why.",1
The Notebook,"The best part was Noah building a new house with no money... I would like to read a book about that. The rest was clichéd, no normal conversation just manic overacting arguments to no purpose.

Suprised that the story included absolutely nothing about their family, the main outcome from their supposed romance, except at the end.

Dreadful.",1
The Notebook,"So much of this movie is just a variation of Titanic with Leonardo DiCaprio and Kate Winslet. Rich girl, rebellious, falls for a poor guy and her parents don't approve. The dinner science despite not being on a luxury cruise ship feels exactly these same as the dinner scene from the Titanic. The rest of the movie, the two secrets the mother keeps, the restoring the old house, the geese, the war it's all been done before. It's either hallmark or lifetime channel that has at least one romance movie if not an entire series about restoring old houses and people falling in love. Parts of it reminded me of Forest Gump and parts of Romeo and Juliet and parts reminded me of scenes I've seen in other films just don't remember the names. I watched it one tv and by the first commercial break I thought to myself this is one of those films but why is it 2 1/2 hours long unless they go this route with the storyline. They did, probably to add drama which failed. I know it's based off a book but the storyline regardless of how it started is a collage of clichés if it was any more unoriginal it would be a copyright infringement.",1
The Notebook,"The first thing i thought was the best way to ruin the movie was using Rachel Mcadams. I mean don't get me wrong the girl can act and I don't think anything negative about her, Its just after seeing her in mean girls and the hot Chick i will always see her as the person good to play the part of a preppy girl who is spoiled and doesn't have a care in the world. Also the movie is supposed to be set like sixty, seventy years ago and they did not do a good job at acting like they were living that long ago. I admit it was a good love story its just a few things that spoiled the whole movie. If you watch this again just pay attention to the way they act instead of the story line and you will get a good idea of what I'm talking about",1
The Notebook,"I'm puzzled at how popular this sentimental melodrama is. The on-off couple at the centre of this aren't likable, nor are they believable together.

Perhaps it's impossible for me to like it simply because it's intended for a female audience.",1
The Notebook,"call it predictable, sophomoric,clichéd up the ying yang,badly scripted and the worse direction,in a film that could have been lovely.there is not a truthful moment here. everything is so forced and the end result is boring.

questions to ask and remarks #1 who on earth did Gena Rolands make-up and hair? i know of no nursing home that has professional hair and make-up people on staff.this looked ludicrous.also, there was not one old person using a walker or a wheelchair. #2 David Thornton performance as Allies' father was out of a comic book along with Joan Allan as her mother. #3 the costumes were terrible.in the flash back sequences which there were plenty not one woman was wearing slips. WOMEN WORE SLIPS. #4 the only spark of energy is when James Marsden appears.sadly more people will see this piece of trash then another film he is in that is a small indie masterpiece, THE 24th DAY. #5 the only good performance in this mess that WAS truthful and heartbreaking was the widow that Ryan s' character is sleeping with. #6 Allie in her wedding gown soaking in the bathtub was so stupid. #7 Rachel McAdams was so annoying during the first hour i was hoping that someone slap her. #8if you are going to make a period film get your details correct.notice Joan Allans manicure. she has a french manicure, unheard of in the 40's.

i wanted to like this film but that was impossible after 10 minutes .

i could go on but i think i've made my point.",1
