title,comment,rating
Toy Story 3,Should have quit while you were ahead. Like shrek the series continued on a downward spiral.,1
Toy Story 3,"I'm a big fan of Toy Story 1 & 2, I grew up with them. Toy Story 3 I didn't need to see! I didn't need to see Andy getting rid of his childhood's toys, I didn't need to see that horrific-for-kids 3rd act in the firing waste treatment process. What does this have to do with the lovely Toy Story 1 & 2 at all?",1
Toy Story 3,"These days, I watch movies in two ways. First, do I like it, second, would I show this to my children. As for the latter, I would not show this to my children (2 and 4) anytime soon. It has many dark scenes which would be too much. As for the first, did I like the whining and complaining and the occasional joke? Nah, not really. I don't understand why the rating on IMDb was so high. There is way too little humor in this movie. The rest of the scenes is not really anything we haven't seen before. A big Nazi bear who locks the hero's up and they try to escape the camp... did not get me smiling. And then all the whining, we have to get back to Andyyyy, Andyyyy loves us.. bla bla bla Now for the positive part of the review: it looks amazing! Just look at how Barbie and Ken are animated (there was an occasional smile there). Pixar really is leading in the animation field.",1
Toy Story 3,"My family rented the movie when it was hot, right off the promos.. it was so disappointing. It gave me chills and creeps to watch too. I liked Toy Story 2 way better, nicer overall I think",1
Toy Story 3,"Took my children to see this when it was released. My children were 8 and 3. My son and his friend were horrified by the whole storyline that was SO dark and dystopian. I spent most of the movie assuring them that it was going to be fine. When they were on the conveyor belt to certain death, the boys were in hysterics. My 3 year old daughter, who climbed in my lap after the first 20 minutes, was literally climbing over me to get out of the theater because she was so terrified. I literally cannot believe this movie was greenlighted. I'm still traumatized by the experience. I don't think my kids remember but I sure do. What a disaster!",1
Toy Story 3,"This is not a movie for young children. New characters are villains in the guise of toys, sections of the film are dark and too scary for toddlers, and rarely will you hear children laugh during this film. Our local theater reports quite a few unhappy parents abandoning the movie before the end and complaining on their way out. Past experience with Toy Story movies and other Pixar products had us hoping for an enjoyable movie and this was anything but. Technical wizardry will only carry a film so far and this movie needed a much better story. My four year old preferred a day at home to this movie and my seven year old expressed her distaste for characters who never do the right thing even when it's really important.",1
Toy Story 3,"Honestly, I don't understand what most here are blathering on about,...most of you must not have seen many great movies if you think this movie was great and ""life changing"". I just don't get it. (Especially with how amazing the first two T.S's were) This movie started off with the characters in trauma, and kept it that way all the way through, with each situation growing more and more sinister. This is supposed to be a kids' movie?? How is it appropriate to insinuate torture and prison in a kids' movie? Seems to me the writers ran out of ideas and rehashed almost the same plot (the toys need rescuing) from the previous movie, only this time involved more times riding in a garbage truck, involved a scary, crushing, fiery furnace, and and evil bear who in my opinion was a borderline racist casting (started off southern black-friendly and ended up sounding like a black thug)! and let's not forget to mention the disturbing and demented ""Big Baby"" dragging off beloved Mr. Potato Head to ""teach him a lesson"". I am almost laughing as i write seriously here about the torturing of Mr. Potato Head, but honestly, my boyfriend and i felt traumatized watching this movie. Kids may be immune, but we weren't! Laziness on the part of the writers, perhaps. Definitely -not- ""best picture"" material!! I honestly do not mean to offend people here, but what are you people thinking?? peace, S",1
Toy Story 3,"This is basically Toy Story 2 again, but with better animation and graphics. There is nothing new here. And I was left very disappointed.",2
Toy Story 3,"Alright! I can feel the controversy beginning!

But this was easily Pixar's worst movie. And the only one that I managed to properly dislike.

Of course, being Pixar, it can't be all bad, and the plot, and the visuals, were pretty good. The plot in particular was great, except for one thing.

This is not a kid's movie. How is it rated G? How? Why?

The reason I hate it, and why it shouldn't be rated G, comes from one fatal flaw in the plot.

It was terrifying! This might as well be a freaking horror movie! I saw this when it came out, when I was about six. And it traumatized me! It freaking traumatized me to the point where I still sometimes have nightmares about Big Baby and Lotso Huggin Bear killing me in my sleep!

Not kidding. It's just terrifying. it might as well be Child's Play. Before watching this, I had no problem with dolls or anything. Now, I can't look at a baby doll without being terrified, all thanks to this movie.

I can't even fathom how scary this was for me. I think that maybe now as a teenager I might have enjoyed it, but seeing it at the age of six has forever tainted my opinion of the toy story movies and toys. Would not recommend to anybody but horror fans. That's how scary this is.

It's a straight up horror flick. That's all I can say about it. Don't show it to your kids.",2
Toy Story 3,Why is the word or description of SUICIDE needed to be used for a children's movie? It's terrible!,2
