name,rating,time,comment,title
更深的白色,2,2015-04-24 13:01:42,非常失望，剧本完全敷衍了事，主线剧情没突破大家可以理解，可所有的人物都缺乏动机，正邪之间、妇联内部都没什么火花。团结-分裂-团结的三段式虽然老套但其实也可以利用积攒下来的形象魅力搞出意思，但剧本写得非常肤浅、平面。场面上调度混乱呆板，满屏的铁甲审美疲劳。只有笑点算得上差强人意。,Avengers: Age of Ultron
有心打扰,2,2015-04-26 09:48:04,2015年度最失望作品。以为面面俱到，实则画蛇添足；以为主题深刻，实则老调重弹；以为推陈出新，实则俗不可耐；以为场面很high，实则high劲不足。气！上一集的趣味全无，这集的笑点明显刻意到心虚。全片没有任何片段给我有紧张激动的时候，太弱了，跟奥创一样。,Avengers: Age of Ultron
ZephyrO,2,2015-04-22 22:11:35,虽然从头打到尾，但是真的很无聊啊。,Avengers: Age of Ultron
Dany,2,2015-04-23 07:25:42,只有一颗彩蛋必须降一星。外加漫威的编剧是有心无力了吧。复仇者联盟只能永远着手与团队的和与不和。这种东西重复到第二次就是隔了三年，还是心有余而力不足吧。只好来三个新成员，但是认真地，有必要加一条家庭线么？妇联以后也是要走赛车帮的，we are familly 路线？？？,Avengers: Age of Ultron
亵渎电影,2,2015-05-12 22:43:00,承认这货很烂很难吗？混乱的节奏，人人都可能冒出来即兴插一腿，糟糕的3D也是毫无必要，就连特效大场面都没有什么令人惊艳的地方，其实这些都不重要了，我只想知道一点，黑寡妇下一部的时候会跟哪位队友搞暧昧？这种“白痴专供”片子如今算是彻底找到自己的死忠了，漫威可以继续一招鲜吃遍天了。★★,Avengers: Age of Ultron
高压电,1,2015-05-08 09:09:14,什么破烂反派，毫无戏剧冲突能消耗两个多小时生命，还强加爱情戏。脑残片好圈钱倒是真的。,Avengers: Age of Ultron
随时流感,2,2015-04-28 15:18:24,奥创弱爆了弱爆了弱爆了啊！！！！！！,Avengers: Age of Ultron
抽先桑,2,2015-04-29 00:29:40,"结局就差寡姐握着绿巨人的手说：”我的意中人是一个盖世英雄，有一天他会turn green来救我，我猜中了这开头，没猜中这结局......""",Avengers: Age of Ultron
荔枝超人,2,2015-05-11 13:49:20,只有粉丝兴奋，其他人呼呼大睡。漫威，再见。,Avengers: Age of Ultron
木卫二,2,2015-05-13 00:35:17,越是一本正经，就是越是无趣。个个死不了，撕了扯了砸了死了的，你也不关心。全程梦游。,Avengers: Age of Ultron
Ck,2,2015-04-28 09:45:16,倒退回到卡通片一樣為打而打的特效畫面... Ultron其實挺幽默的，是James Spader的功勞。看到Julie Delpy和Vision小激動了一下，看到Cap在派對上想起Bucky心塞了（不止）一下，看到Quicksilver Scarlet Witch什麼什麼哭了一下... And Idris Elba is a liar! >:(,Avengers: Age of Ultron
蒙小厨,2,2015-04-28 17:08:01,劇情弱，純賣特技,Avengers: Age of Ultron
LuDada,1,2015-05-12 13:00:18,不出意料得烂，喜欢这部电影的孩子，大概也喜欢变4……,Avengers: Age of Ultron
白,2,2015-04-25 11:06:12,一般般，然后为什么澳洲电影院的爆米花是咸的！！！！！,Avengers: Age of Ultron
帕拉,2,2015-05-13 00:20:11,胸大无脑式的超级英雄无基腐与逗逼救场显然乏味许多，观众要开始厌烦漫威大法了，没啥创意的打斗与爆炸除了带来视觉疲劳还有什么？镜头语言为零，像电视剧，不如《美队2》的手持有感觉。尾灯大神要想想新招了，不然下坡路就在眼前...重点：你们在第几分第几秒见到我女神了？？麻烦请告知！感觉被骗了。,Avengers: Age of Ultron
小黄,1,2015-05-12 09:18:56,谁再喊我看这种电影我和谁急！实在是接受无能。。。,Avengers: Age of Ultron
Nina,2,2015-05-12 06:31:41,超长版运动产品广告,Avengers: Age of Ultron
潇湘烟雨,2,2018-05-05 20:16:55,一直在打小喽啰机器人，反派太弱，毫无气场，剧情也很无聊，比第一部差远了,Avengers: Age of Ultron
Lynchman,2,2015-05-12 18:26:04,故事烂爆，打斗雷人，无聊透顶，浪费时间,Avengers: Age of Ultron
王食欲,2,2015-05-12 04:00:26,奥创设定太差。,Avengers: Age of Ultron
大奇特(Grinch),1,2015-05-19 17:26:38,昏昏欲睡 一盘散沙,Avengers: Age of Ultron
二月鸟语,2,2015-05-12 15:24:38,零点场IMAX#复仇者联盟2#，劇情有点鸡肋，引出了幻视他们，给下集做铺垫。反派奥创不够强大，场面不过瘾！快银的死法太不科学！钢铁侠比绿巨人厉害，基情爱情继续发酵！台词还行，翻译不行！只是每次都是地球保卫战，太腻！请下回换成银河系宇宙什么的吧。目测票房不会超速7！,Avengers: Age of Ultron
蓝下老婆,2,2017-02-21 17:39:16,听说这电影很好看所以去了电影院，中途尽然睡了两觉，平时看电影我只睡一次的，可能对这类电影不感冒，我也不能说它不好看，因为我没弄明白讲的啥,Avengers: Age of Ultron
旺财,2,2015-05-02 20:25:35,avengers1睡着1次 avengers2睡着两次。。。,Avengers: Age of Ultron
荞麦,2,2015-05-19 10:49:53,难看死了。但我们都是鹰眼：“整个城市在飞，我们在跟机器人打仗，但我却只能使用弓箭……我跟谁说理去？！”,Avengers: Age of Ultron
树,2,2015-05-12 08:57:46,这是什么鬼啊！！,Avengers: Age of Ultron
bella,2,2015-05-11 03:49:48,3 hours of my life that I'll never get back,Avengers: Age of Ultron
托尼·王大拿,2,2015-09-22 15:54:37,一部耗资贰亿柒仟玖佰玖拾万美元的预告片，堪称历史最强。,Avengers: Age of Ultron
Qian,1,2015-05-12 08:07:42,简直看不下去,Avengers: Age of Ultron
犭星犭星,2,2015-05-12 04:01:07,一顿瞎打,Avengers: Age of Ultron
.,2,2015-05-14 00:38:56,"寡妇那句""我不能生，我也是怪物""太扯了",Avengers: Age of Ultron
海底的毛衣,2,2015-05-12 06:08:59,算是很普通的超人片子了，两星分别是scar和maximoff twins哒,Avengers: Age of Ultron
巢菜,2,2015-05-12 03:55:47,漫威编剧实在是脑洞太大了。。。而且没有loki。。。,Avengers: Age of Ultron
华盛顿樱桃树,2,2015-05-19 23:47:06,难道才到第二部就已经没得可编了吗？可怕的节奏让整个电影看起来像一部巨大的流动PPT，相信我，它真的没比小时代好多少，只是这一群明星的确颜值高得不像话。,Avengers: Age of Ultron
本味何知,1,2023-11-02 21:09:27,引火烧身，再引一把火解决问题，可是问题也没完全解决，然后就是面对天空之城加机器大军加一顿乱扫，再然后借由方舟救走城中人，一锤子买卖毁城救世。,Avengers: Age of Ultron
张小强,2,2015-05-12 22:48:29,给五星的是不是看了两遍然后把分数加在一起算的？,Avengers: Age of Ultron
左胸上的吸盘,2,2016-03-27 01:11:59,反派太弱了，感觉一个幻视就能搞定了。打机器人军团这种戏码也没什么吸引力,Avengers: Age of Ultron
徐若风,2,2015-05-17 12:58:17,复1后整整3年的期待被毁掉，连彩蛋也不想看，只想愤然离场。无论从哪个角度看都非常蠢的一部作品，让观众感受不到任何感情流转，各种无关紧要的闲笔拉垮节奏，到最后凹造型的高潮，都是在做着各种拉高预算又伤害票房的蠢事，我就算不心疼观众被骗的钱，我心疼三年过去还不如1的票房和过耗的IP。,Avengers: Age of Ultron
皮革业,2,2017-08-07 09:06:18,突然想明白了，建军大业是照着漫威的路子努的……,Avengers: Age of Ultron
Nineveh,2,2015-04-26 01:14:51,Shi一样的剧情啊,Avengers: Age of Ultron
反派自带眼线笔,2,2015-05-13 01:04:18,通篇洋溢着「我鸡巴大我先说」的直男气息，但紧身衣又出卖了它,Avengers: Age of Ultron
黑狗成,1,2015-05-13 17:42:55,邪典风采伊丽莎白·奥尔森好胸值一星。,Avengers: Age of Ultron
Tom Light,2,2015-05-13 07:55:32,不好看，就不打三星,Avengers: Age of Ultron
Ky!on.,2,2015-05-12 04:30:34,图个热闹..6人一起看首映..仅此..,Avengers: Age of Ultron
momo,2,2015-05-12 13:05:44,鹰眼的死亡flag从去他家开始立到了最后，后半截就一直在等鹰眼什么时候领便当，好不容易以为他要死了结果被跑得快就了，不过还好是中弹挂了，结果……特么什么事都没有！！,Avengers: Age of Ultron
Obtson,2,2015-05-11 15:59:26,你确定这是Stark工业而不是Wayne集团？基调太沉郁了，超级英雄们“神”的外壳被尽数剥掉，露出来的是他们作为人所持有的情感软肋，这种设定对照前作的欢乐吐槽世界观显得很违和。虽然手撕机器鬼子延续了天然萌，可漫威情怀硬生生变成少女心真是谁都救不了。,Avengers: Age of Ultron
Franny,2,2015-05-12 20:05:59,超级难看。。。,Avengers: Age of Ultron
大宸,2,2015-05-12 23:04:17,真心烂到家了啊，电影院一直期待电影结束！,Avengers: Age of Ultron
赱馬觀♣,1,2015-09-12 11:26:59,东方不败加入下期复仇者联盟的时机已然成熟。一，为了迎合日益重要的中国电影市场，东西合璧，势在必行。二、候选人的技术能力毋庸置疑：早在风云再起时代，就会空手接炮弹；隔空撕劈对手，甚至不用火球中介。……导演彼得·韦伯说：为什么我们痴情于超级英雄大片？因为两件事：1、我们正在感受到迫近的生态灾难。2、我们似乎无法改变自我拯救的方式。,Avengers: Age of Ultron
bpaqq,1,2015-05-13 07:57:21,老子睡了一个小时，我老婆睡了一个半！,Avengers: Age of Ultron
羊羊羊,2,2015-05-12 19:08:48,跟第一部一样睡着了,Avengers: Age of Ultron
JoeyLu陆柏宇,2,2015-05-15 23:13:18,闷得很严重，骚的很离谱！,Avengers: Age of Ultron
阿尔法,2,2016-01-14 16:33:53,就是一堆明星作秀的感觉~,Avengers: Age of Ultron
谋杀游戏机,2,2015-05-29 19:24:25,时差党回来都要睡死了。第一部优点就剩组团打怪长镜头（其实也没什么新鲜感了），小loki的邪魅，基情，钢铁侠的雅痞这些趣味通通不见，缺点倒是成倍滋长，节奏拖沓，转折突兀，动机不明，人物单薄，奥创除了有几个克隆小喽啰以外还有什么本事啊。只能拿寡妇和绿巨的人兽恋反复说事，漫威不久矣,Avengers: Age of Ultron
林文清,2,2019-05-16 03:02:37,"犹记得多年前坐在家乡唯一的影院里看第一部复仇者联盟，它给我的感受是，无聊至极。数年来我从不为如潮好评所动，never laid an eye on another Avengers film... 直到今天，为了在不远的将来陪小B和小W去影院看那场终局，我放下偏执，开始看更多的复仇者联盟，only to find myself in the same situation again as many, many years ago, bored to death  in that little, crappy cinema…",Avengers: Age of Ultron
汝就做吾的犬吧,2,2015-05-20 17:56:44,想做得面面俱到，结果啥都没讲成…一群人从头吵到尾，最后莫名都和解了，实际上Captain America和Ironman之前吵的事情还没吵出结果，居然就被Thor一拨闪电这么敷衍掉了…废了好大劲儿造Vision，除了封了网以外毛用没派上，打架简直弱鸡，Falcon更绝，开头打了盘桌球，最后穿了次制服，其余时间全程掉线,Avengers: Age of Ultron
OreoEmpanada,1,2015-05-29 05:50:08,无，聊，到，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆，爆。,Avengers: Age of Ultron
欢乐分裂,2,2015-05-12 15:28:12,超级英雄排排坐，142分钟镜头分赃吃果果；从头突突到结束，间隙对话无聊琐碎；高科技武装的新科学怪人，对抗反派高潮逆转段落永远奥特曼即视感，幻视你这么能耐，怎么到最后才展身手？综合感受：编剧想怎么写就怎么写，连第一部的有趣都失去了，看得呵欠连连。,Avengers: Age of Ultron
槍櫻,1,2015-05-24 18:57:12,no zuo no die tony why you try,Avengers: Age of Ultron
十八爷,1,2015-06-19 23:24:56,什！么！鬼！,Avengers: Age of Ultron
裘笛,2,2015-05-09 03:53:57,現在這類片型第一品牌就是漫威了，熱鬧打鬥大場面，人神機甲齊飛，各型超級英雄齊聚。但講真的，2不僅劇情更平板(內鬥也就這樣?) 節奏也比1差。角色過多把戲撐散了。而且漫威的反派真的不加強一下? 把奧創拍那麼弱...比起去年X戰警拍哨兵的強度差多了吧..,Avengers: Age of Ultron
azurebleu,2,2015-05-16 16:20:01,已经能预见一周之后啥都不会记得。还是要少看这种内心戏为零的片子。,Avengers: Age of Ultron
陈蜀黍,2,2015-05-11 03:09:19,难看一笔,Avengers: Age of Ultron
嘛哭当拿路哆,2,2015-05-14 13:27:38,一个3D电影，镜头没有过去稳定，观众的视点可能跟跟不上摄像机的焦点的变化。动作戏多眼睛酸，不知道看哪。最后还是得等下载。故事渣渣没什么好提。,Avengers: Age of Ultron
JoshuaLi,2,2015-05-13 16:53:00,5.4 这一类电影你并不需要去分析它，因为你知道它是通过什么模式架构它的叙事，所以你也会知道它剧情的走向，因此为何不点一杯午后的咖啡，或许再抱着一桶爆米花，坐在电影院里好好来享受一下这种不用操心的闲暇时光呢,Avengers: Age of Ultron
潜鸟,2,2015-05-12 06:11:53,赶上了首映,Avengers: Age of Ultron
完颜穆尔登格,2,2015-05-15 09:37:54,这个故事告诉我们：不经论证随意进行的科学实验是可能毁灭人类的。各种英雄齐聚一堂看个热闹而已，漫威的英雄系列拍的越多姐姐越看得疲劳益发觉得无趣了。,Avengers: Age of Ultron
谋杀电视机,2,2015-05-13 22:56:32,乔斯威登拍的比1稍微好了点，至少镜头和剪辑上不神游的次数明显增加了，不过这个主角和主要配角加起来都快20人的电影，我看除非阿尔特曼复活恐怕世人没一个可以拍得像模像样了，你们干脆把它改成连续剧吧，要不真心没法看了。,Avengers: Age of Ultron
凹凸,2,2015-05-17 10:21:14,恭喜漫威系列又回到雷神1和美队1的水准 给我汤包找绿巨人当CP的编剧你站出来 我保证打死你,Avengers: Age of Ultron
小肥啾～,2,2015-05-14 04:40:05,出场时间最长的美队竟然是最没有存在感的一个人。。。。。。。汗,Avengers: Age of Ultron
小尼尔森,1,2015-05-16 00:36:34,可以列为我心目中最难看的电影No.1了，第一次看电影有逃出电影院的冲动 (~_~;),Avengers: Age of Ultron
东林君,2,2015-05-13 01:09:50,之前瞧不起去电影院看小时代的女生，当面把她们说哭，这次轮到自己身不由己高高挂起了。我再去电影院看这种大片+烂片=大烂片，我就是狗。,Avengers: Age of Ultron
浆糊骗子,1,2015-05-19 13:09:06,帅是没错，但电影/漫威太没诚意了。不值0元票价,Avengers: Age of Ultron
BBpanda,2,2015-05-13 00:28:58,能力差距如此大，怎么做朋友？,Avengers: Age of Ultron
vivi,2,2015-06-21 13:33:12,1.5 从头到尾不知道他们在干嘛，似乎演得最认真投入的是Elizabeth Olsen.,Avengers: Age of Ultron
hikaruleon,2,2016-01-24 16:42:18,又臭又长，看你下次怎么编,Avengers: Age of Ultron
路人甲先生,2,2015-05-18 21:24:43,如果说第一部是漫威英雄的集结号一样让票价物超所值，第二部就直接沦落到了商业元素的混乱大杂烩。打着高端幌子的撕逼还不如时代姐妹花来得惊心动魄，寡姐绿哥之间莫名奇妙的情愫在白发魔女传前都黯然失色，倒是几个把人从恍惚梦境里拉回的笑点印象深刻。卖座的只是情怀和特效堆积的美国式英雄主义。,Avengers: Age of Ultron
火龙果不耐受者,2,2015-09-20 16:45:12,失望，奥创好弱，快银就这么酱油了？打斗戏也不行。,Avengers: Age of Ultron
Aoki,2,2017-06-05 21:38:15,没有任何突破，没有任何亮点，唯一的作用就是承上启下，那不如来个Marvel One Shot来的痛快。,Avengers: Age of Ultron
godannar,1,2015-09-08 22:31:07,体制内能拯救漫威的办法大概只剩下Deadpool Kills Marvel Universe了,Avengers: Age of Ultron
刘建明,2,2015-09-11 20:18:19,居然没迟到！但是很无聊。,Avengers: Age of Ultron
快门熊,2,2015-05-21 12:25:12,期待国产版卡通妇联,Avengers: Age of Ultron
顗礼,2,2017-06-30 11:49:50,MCU最差,Avengers: Age of Ultron
Nenya,2,2015-05-02 11:53:31,我就说我不想看，你们非逼我。装作有很多人的样子，其实只是我的不同人格而已。,Avengers: Age of Ultron
小米=qdmimi,2,2020-05-03 12:22:29,上次感觉解说强过剧情，还是看中国队踢球……,Avengers: Age of Ultron
烟火,2,2019-04-29 22:21:53,我始终觉得复联不如独立英雄电影好看。,Avengers: Age of Ultron
平喵喵喵,2,2015-05-27 09:14:18,blablabla打打打blablabla打打打……基本差不多是这个节奏吧,Avengers: Age of Ultron
обломов,2,2015-05-20 23:40:57,ts版比较适合，奥创个杀马特死有余辜,Avengers: Age of Ultron
娱乐圈梗姐,2,2016-04-15 15:53:04,不是漫威迷，所以看了半天并没有看懂。就知道两个不知道什么侠的人没说几句话就开始打架了，大家就不能和平相处吗？,Avengers: Age of Ultron
容貌焦虑主理人,1,2022-03-24 08:55:14,特效和对白实属上乘，但双胞胎的故事让我想起了北约轰炸南联盟大使馆。这是要翻转历史啊。这个复仇团体身材不好的都不招，是不是？,Avengers: Age of Ultron
烟雨弥漫虚弥境,2,2015-08-25 21:24:50,只想说，没意思了。1还蛮好玩，现在么,Avengers: Age of Ultron
ZeonGin Sou,2,2015-05-12 03:05:23,我猜，乔斯韦登一想到“黑暗”，就想到仿效“权力的游戏”，结果学虎不成反类犬：为节约打戏特效预算各种堆废话，还努力地想要证明鹰眼不是妇联中最废的人——但失败了。文武交替节奏感渣爆。幸好，还有一系列豪华动作设计自救，从室内到室外到肉搏到追逐到塔防——我想说，闭上嘴少说点对白这片就不会显得那么傻逼！,Avengers: Age of Ultron
熊阿姨,2,2015-05-17 21:27:19,什么垃圾剧本啊！,Avengers: Age of Ultron
雪,1,2021-10-12 22:52:17,奥创和幻视两个都莫名其妙,Avengers: Age of Ultron
悄嬛,1,2015-05-27 12:52:57,马了个比的怎么这么难看  够啦羊肠子一样 老不结束老不结束 个狗比电影还踏马的能拍到两个半小时 日了,Avengers: Age of Ultron
马克西米利安,2,2015-05-17 00:05:52,空洞而无味,Avengers: Age of Ultron
小桥流水,2,2016-05-02 15:25:14,不可否认《复联2》是一部极具魅力的爆米花电影，其中高科技的特效更是为影片的“灵魂之处”增添了些许色彩。然而，剧情的牵强，主题的混乱，让再炫酷的特效也依然无法掩饰内容和情感匮乏的事实。除去坑爹的翻译，影片本身也是槽点不断，在此之外，主线核心的不明确，也让影片中打戏的精彩变得黯然失色,Avengers: Age of Ultron
峰峰峰峰,2,2019-01-01 20:02:12,文武间隔的戏，夹杂着英雄们的幽默,Avengers: Age of Ultron
Chery,2,2015-09-18 11:51:13,拜托不要再拍续集了！,Avengers: Age of Ultron
年上党怎么办,2,2016-05-13 21:39:15,为了看《美队3》提前把这个补了，结果这都什么跟什么。。。好无聊，都没有一好看，还是继续看美队和冬兵吧  （不过终于看到了PB本人出来演了，虽然造型有些哭笑不得）,Avengers: Age of Ultron
ibelieve,2,2019-05-03 22:11:35,乐趣是看一群ip在一起聚合成大ip。伊丽莎白奥尔森太好看了。,Avengers: Age of Ultron
离离塬上草,2,2017-03-31 10:46:48,非常失望,Avengers: Age of Ultron
七月的旅人,2,2017-01-12 19:17:54,动作和特效场景虽然很多，但一点激情都没有，完完全全的沦为了三流拉队友打怪升级无脑特效片，反派简直中二。总之，电影精彩程度不及《美队2》十分之一，听说妇联3人更多？科科。,Avengers: Age of Ultron
双层芝士,2,2015-05-27 22:24:08,很糟糕，伤害无辜俨然成为整部电影串起来的主线——从双胞胎对复联的仇恨、到地铁戏、到浮城救人、到最后快男救小男孩死掉... 我想问你们这么关心无辜在立交桥上追逐时候车仰马翻反而就没事啦？其实本来想给一星...,Avengers: Age of Ultron
Wongwongwong,2,2015-05-24 19:12:24,睡了快1小时 对漫威无感,Avengers: Age of Ultron
天天把豆豆来豆,1,2017-03-04 11:57:29,真的很无聊啊。,Avengers: Age of Ultron
Aislinn,1,2023-08-10 11:34:12,补标,Avengers: Age of Ultron
固力果guriko,2,2015-05-17 20:23:56,反派太弱，也无笑点，沉闷啊。,Avengers: Age of Ultron
老滚,2,2018-01-26 19:12:18,补一下，因为当初预告的原因，去电影院看的时候感觉精彩不够，在预告里面给的镜头太多了，然后。。。看电影的时候就感觉看过了一般，不过也是因为复联2口碑是失败，让漫威在预告方面吸取了教训，过后的很多电影预告就很遮遮掩掩的了，也挺好的,Avengers: Age of Ultron
路人彦小二,2,2021-12-19 12:08:14,"这一部整就没什么看点，比起「复联」第一部差太多了，全片没什么高能部分，几乎通篇打斗，反派还菜得不行，又加入3个超英角色，人物刻画上根本没有足够篇幅，单薄得不行，简直就是超级英雄拼盘电影
这讲的是人工智能的危害嘛🤔（大雾），真的是没事找事的一部，没有反派自己造，造出boss，再造打手
现在战力已经看不懂了，绯红女巫、幻视感觉都很强
最后的boss战，还不如绿巨人大战钢铁侠“大白”。美队的攻击画面感觉一点也不刺激
韩国投资，要放现在是不是不会引进了。“整容”找韩国倒也没错",Avengers: Age of Ultron
洋洋,2,2015-05-12 14:09:46,跟第一部比差很远，人太多了，没有故事。黑寡妇跟浩克的感情真心不能理解。后面出来的很厉害的人不知道干嘛的。失望,Avengers: Age of Ultron
榜上有名猫,2,2015-05-21 23:56:22,我不反感加特效的爆米花电影，但这部续集沉闷得连爆米花都快吃不下，真不知道导演在拍什么鬼，情节快餐拼凑、人物形神俱散。,Avengers: Age of Ultron
###疼,2,2015-05-13 18:16:40,预告片啊，前传啊,Avengers: Age of Ultron
第四公民,1,2015-05-24 17:43:13,感觉不会再去电影院看电影了,Avengers: Age of Ultron
周末不上发条,2,2016-03-22 22:24:10,就是不感兴趣 特别是没看1 又是中文配音,Avengers: Age of Ultron
琧婯,2,2015-07-14 16:36:24,漫威也就是这样了，用金钱堆出来的超级英雄除了光鲜的外表 空洞无物，奥创弱的和屎一样，看来拯救超级英雄还得靠银河护卫队那帮逗比和文青。,Avengers: Age of Ultron
阿吉娃娃,2,2015-08-15 07:13:11,对于这种超级英雄堆砌走马灯，随便搞个boss出来打打的商业片实在无感，漫威不能这样粗制滥造的骗粉丝钱吧，一点剧情没有，以后可以不用大费周章把人聚齐拍了，直接从各个单人电影里抠出来，再电脑合成个机器人反派不是更快更省钱？,Avengers: Age of Ultron
弥呀,2,2015-10-05 13:09:06,什么鬼，没high点没笑点，寡姐每集泡一个队友是什么情况！？,Avengers: Age of Ultron
公園仔,2,2019-05-11 20:45:55,"20190511 Google Play Movie HD on 43""",Avengers: Age of Ultron
Vince♫,2,2015-05-16 23:34:33,最后出场的灭霸是唯一的笑点吧？,Avengers: Age of Ultron
