name,rating,time,comment,title
武侠小王子,1,2017-04-14 10:53:03,这种电影和抗日神剧在本质上是没有任何区别的。,The Fate of the Furious
皮卡皮卡皮卡啾,2,2017-04-12 09:57:16,速度与激情就是老太太的裹脚布，又臭又长，有完没完。,The Fate of the Furious
掉线,2,2017-04-15 01:41:20,【C】干脆给布莱恩设个灵堂好了，每集结尾让范迪塞尔上柱香，再眼眶含泪的说一句伐木累，倍儿有情怀。这个系列再拍下去，复仇者联盟都打不过他们。,The Fate of the Furious
有心打扰,1,2017-04-14 02:32:46,1.新世纪全球头号装逼范·迪塞尔，感谢李安在去年让他死了一回；2.整部影片都不知道在干什么，情感感受不到温度，智商感觉不在线上，场面越是严肃壮烈，就越是觉得脑残儿戏；3.那么问题来了，大家猜猜这集的大boss塞隆（弗）会在第几集被洗白？,The Fate of the Furious
花间一壶酒,2,2017-04-04 12:03:55,再拍就该打外星人了吧……,The Fate of the Furious
安德烈大叔,1,2017-04-15 13:51:16,速度与激情系列为什么在中国受到狂热追捧以及景甜的后台究竟是谁，可以共同列入中国院线电影十大未解之谜的前五名。,The Fate of the Furious
二月鸟语,1,2017-04-13 02:17:35,完全就是照搬007，上一部可以炒保罗，这部炒啥呢？《速8》《变5》这类片子其实就是检测一个国家观影群体电影欣赏水准的行业标杆，因为这些国家的大部分群体对电影的审美一直都停留以视觉特效来衡量电影好不好看这件事上。这也是那些在北美市场早已扑街的系列还能继续输出到这些国家的原因。,The Fate of the Furious
朝阳区陆依萍,2,2017-04-10 15:37:04,郭达真的太帅了，又gentle又萌！但除了丧尸车那一段，几乎所有引以为傲的炫目场面都毫无想象力，看的好累....#斯科特·伊斯特伍德是要立志成为美国景甜吗？在大片里混眼熟#,The Fate of the Furious
余小岛,1,2017-04-14 12:34:30,这已经不是飙车电影了吧，都快赶上科幻片了。。。天眼这么牛逼，核潜艇这么牛逼。。当然最牛逼的还是车，连热追踪导弹都出马了，还炸不死一辆车。。。,The Fate of the Furious
金敏丧,1,2017-04-14 23:57:58,我以为我会被这群老司机带上车感受速度与激情，谁知道只是去影院体验了下速8酒店的睡眠环境。,The Fate of the Furious
搬砖侠,2,2017-04-14 09:49:51,这大概是强行续命的下场，以为靠着接连不断声势浩大的动作场面便能够吸引观众的注意力，但在剧本和情节上却几乎一无是处，编剧不求有功，但求满足观众的所有情结，不管反派杀了多少小伙伴，只要不是自己家人，编剧说洗白就洗白，你还能怎么样，看完感觉非常视觉疲劳，却什么都不记得了，完美诠释爆米花,The Fate of the Furious
