name,rating,time,comment,title
桃桃林林,2,2014-06-30 19:04:25,不看这片总觉得少点什么，看了之后却发现实在是没有什么。大概很多人都以这种心情前赴后继吧。,Transformers: Age of Extinction
狐神,1,2014-06-26 19:13:58,导演你何不直接让李冰冰穿着VS情趣内衣坐在盘龙大观楼顶喝舒化奶呢？,Transformers: Age of Extinction
伍德与夏洛蒂,1,2014-06-29 15:50:35,太！难！看！了！又！臭！又！长！卖拷贝这个直男癌晚期到底多恨变形金刚才能把它毁成这样，头一次发现，催肾上腺素的动作片也能无法给人带来任何快感，只有无止境的生理不适。变形金刚成了彻底的神经病，没完没了的撕逼，像一场对金钱和特效丧心病狂的家暴。中国元素没必要说，傻逼火上浇油。,Transformers: Age of Extinction
同志亦凡人中文站,2,2014-06-27 17:59:27,麦拷贝终于把这个系列做成了一砣屎，还是又臭又长、废话和特效齐飞的屎。拍到中国后只剩两样东西了：一是雾霾，二是广告。,Transformers: Age of Extinction
软蛋黄,2,2014-06-27 03:28:07,首映场。卖拷贝终于拍到让我看见视觉效果就吐的地步了。,Transformers: Age of Extinction
更深的白色,2,2014-06-27 13:45:25,“中央政府一定会全力支持香港的”雷翻全场……然后听到巫刚又说“战斗机起飞了”一阵兴奋，以为要按着前几集路子来换我军力量上阵，真的从美帝主旋律变党国文宣了。又喝舒化奶不吃周黑鸭差评！感觉收党国的钱活做得糙了啊，剧情完全乱来嘛。不过鉴于我又睡过了前一个小时，加一星……,Transformers: Age of Extinction
左胸上的吸盘,2,2014-06-27 11:08:29,迈克尔·贝不入流的片子基本是臭贫戏加动作戏的组合里前者的分量过多，本片的臭贫部分主题是男主角对闺女的保守主义管理方式，而且臭贫的没什么意思，笑点基本全在一个个中文硬广的时刻，广告做成这样也太没技术了，虽然这片子不沾艺术的边儿，但作为一个产品，也需要广告商的尊重啊，不是有钱就牛逼。,Transformers: Age of Extinction
张小北,2,2014-06-28 20:38:42,这种螺丝打螺母的机器人色情片拍到第四部了居然还能继续这么差，卖拷贝真是令人无语了……（四部电影我依次从5星给到2星，如果这个系列还有5的话，估计就该给1星了）,Transformers: Age of Extinction
翻滚吧！蛋堡,2,2014-06-29 02:42:20,香港这么多内地品牌真是沦陷了,Transformers: Age of Extinction
荔枝超人,2,2014-06-23 00:26:33,基本上还是那套模式，震到屁股麻掉，吵到你耳聋。,Transformers: Age of Extinction
亿万露电,2,2014-06-27 14:01:11,爆炸贝丧心病狂，系列最差毫无亮点。,Transformers: Age of Extinction
荞麦,2,2014-06-28 11:52:48,1、根本不需要去看IMAX版，因为大部分时间都在无聊的拌嘴。2、新式变形根本就是偷懒，以前那些灵关一闪的东西统统不见了，只剩爆炸爆炸爆炸。2、广告植入愈发恶心。最大的植入是中国政府，表现对香港的无限支持。3、女主角不美，整部戏她好像是一直在演hillster的广告片。,Transformers: Age of Extinction
