name,rating,time,comment,title
AuraWang,2,2016-03-04 19:30:22,我不喜欢 近年来的最差 预告片把笑点亮点都透干净了 视效观感好差 大部分场景在黑夜 3D看得real心累 而且3D很差劲= =本来以为会对真实世界讽喻 结果肉食动物发狂的原因竟然那么无脑 前半段的bully情节 各种过分的嘲讽 兔子绑架狐狸过分 动作场面也拍的很一般 看完只觉得浑身不爽,Zootopia
喷子,1,2016-03-23 23:49:43,白男意淫新高峰。明确的种族与身份划分，且几百年前血腥屠戮不该影响几百年后和平共处（继续奴役）。白男成功学贩卖，乡村有色裔女性无比向往的X国梦实现。市长是无辜的，警长是用心良苦的，小流氓是心地善良的，人性化背后是现有权力结构的巩固确认。树濑呢，不过是再次对少数族群做出番温和取笑罢了,Zootopia
淡島百景,2,2016-03-05 12:47:05,感觉这个片的白左癌非常严重啊。,Zootopia
九尾黑猫,2,2016-03-28 15:42:18,不是塞了很多隐喻就是好故事，放在人身上没意思的故事，换成一群外形可爱的动物依然乏味。到最后，可爱变成了刻意，“内涵”变成了说教，几处致敬也毫无新意，乏善可陈。,Zootopia
朝阳区陆依萍,1,2016-03-04 20:54:41,天了噜，这居然是一部迪士尼动画.....,Zootopia
godannar,2,2016-06-10 18:33:32,如果说Frozen是在放弃传统，Zootopia则干脆就是在逃避传统，就这点上看机动条子TVA和逮捕令真是高到不知哪里去。也别拿童话来做挡箭牌，文艺复兴后迪斯尼从来没拍过童话作品。,Zootopia
申公豹,1,2016-03-04 23:10:52,迪斯尼你们这群毛孔里都流黑水的渣滓们！白左都要死！,Zootopia
feifeiRun,2,2016-03-07 09:25:02,不是我故意唱唱反调，只是动物托邦强行粉饰动物庄园到了不惜“请和食物做朋友”的地步实在令人不愉快，结尾那场歌舞秀和五十六个民族是一家的大联欢实则毫无区别，迪斯尼的美式民俗汇演并不能掩盖其下残酷真实的问题：究竟谁是野蛮？谁又是文明？,Zootopia
mOco,2,2016-10-05 21:57:56,虽然有政治正确的隐喻，但是这碗馊鸡汤真的好喝？！,Zootopia
介意,2,2016-03-25 23:58:16,強者憑藉改良舊有的刻板印象製造了全新的政治正確。,Zootopia
обломов,2,2016-05-21 11:04:02,如果把狐狸等等食肉兽换成绿教徒，泥萌还会觉得萌吗？,Zootopia
