name,rating,time,comment,title
FISH,1,2018-04-12 12:11:54,众英雄靠什么打败灭霸？集体尬舞,Avengers: Infinity War
urmommytiger,1,2018-04-25 22:33:26,看完之后很生气,Avengers: Infinity War
大奇特(Grinch),2,2018-05-02 15:56:48,一向不喜复联系列，像肥皂剧拍到季终。有罗素兄弟加持，至少不是混乱爆米花。不过这集只是赋予一层假惺惺的悲壮，下集还要逆转。团队角色依旧走马灯，多数沦为跳梁小丑，甚至背离初衷的性格。可喜的是灭霸被塑造成有血有肉的灵魂角色，用的是“天之道，损有余而补不足”的道理，最后还能做到清净无为。,Avengers: Infinity War
裘笛,2,2018-04-26 11:57:20,人物過多到每個都只是出來露個臉表示我在。戲份較多的是反派Thanos，但也不覺塑造有到豐滿，連父女情都頗單薄。武戲精彩度也有降...且漫威一直加插笑點的路線，頻頻打斷這部正劇走向的劇情情緒...而所謂3和4實際就上下集關係。至於映前猜測誰死的話題...其實...根本不需煩惱吧...,Avengers: Infinity War
全声波频道D,2,2018-04-26 05:19:39,从无特效无颜色的片尾字幕能看出它很努力地让你感受“悲壮”的上坟气氛，但是仍然阻挡不了几乎满场情况下多数人在这时发出爆笑。几场战斗看似宏大实际无限自嗨，作为连续剧的高潮情节性为0可以理解，最后剩下的就是崩塌的动作剪辑和来自淫威和绿巨人一点都不好笑的笑话了。,Avengers: Infinity War
噼里啪啦筱譚子°,2,2018-04-25 20:21:56,漫威电影有史以来最不照顾路人的一部电影了，混乱时间线，草率的结局，过于强大的反派，几处剧情衔接不流畅，香港尖沙咀影院25号13点 看完留。,Avengers: Infinity War
傲娇凛冽雷大山,1,2018-04-25 20:05:29,特别特别低龄的超级英雄大乱斗居然也能称之为科幻。笑掉大牙,Avengers: Infinity War
蜉蝣,2,2018-05-04 23:05:16,看片之前男朋友说怕被我剧透要分手等到上映之后再和好…==无可救药的混乱和自大，分开看所有人物都是满满的槽点。对于非粉丝来说，看剧透比看电影清晰多了。【重看2019.05.11】,Avengers: Infinity War
焚紙樓,2,2018-04-25 23:27:33,復仇者覺得地球碰上霉運，我倒覺得是薩諾斯矇中了好運──試想，如果洛基不偷方塊，方塊留在阿斯加，薩諾斯和泰坦族即便本事通天，又焉能在場地Buff下火力無限血條無限的奧丁家長女面前奪寶？怕不是一進神域就被扒了手套暨頭皮。你大姐還是你大姐，就算戲約不在依舊能刷存在感阿。,Avengers: Infinity War
Zipporah,1,2018-04-28 01:50:21,把我基神写成智障，辣鸡mcu,Avengers: Infinity War
...,2,2018-04-28 12:59:27,讲道理，没那么好看。这一代主打的感情和英雄迟暮，有点硬。结局很惊，随后很蒙，明明知道变土的都能回来，所以看到各种真情流露就有点僵。彩蛋就是在问观众要钱，谜底和新坑明年揭晓。妇联也变的像春晚一样，看久了没啥感觉了,Avengers: Infinity War
HenriqueZZZ,2,2018-04-29 09:53:28,极讨厌漫威的搞笑桥段，不断打断剧情气氛。角色太多，全片没有一个可称为人物，150分钟一直在说话，结果尽是下集的铺垫，连基本的发展、高潮都不及格,Avengers: Infinity War
andarta,2,2018-04-26 04:09:40,关键点都好傻，我知道你要拍续集，我知道未来可以被重写， 但那一拳真的有点傻。,Avengers: Infinity War
江湖制霸小天王,1,2018-04-26 20:55:44,什么傻逼电影能不能稍微尊重一下角色。所有人强行降智降战斗力故意打不过的吧？现在看时代杂志的评价真的中肯，一部没有条理、温度，并且缺乏人性的电影。,Avengers: Infinity War
马小褂,2,2018-05-11 10:57:29,听我一句劝，非漫威粉丝真的别来看了。这片是我看过最不照顾路人的超级英雄电影，何必浪费两个半小时在影院里睡觉呢。所有角色基本都只有功能性，非常依赖粉丝对他们的场外了解去补完个性。完全靠虐粉来营造出伪莎剧式悲壮感，然而只有情绪却不存在动机，路人只会觉得廉价可笑。,Avengers: Infinity War
舌在足矣,2,2018-04-27 13:45:54,“妇联3和4是独立的故事不是上下集” 呵呵呵。这部不仅不是一个完整的独立成章的复仇者电影，甚至都不能算“复仇者”电影。多名核心成员未出现，没有一次集体亮相，哪怕是各小分队内部也缺乏协作，作为绝对精神领袖的队长甚至还不如星爵塑造的丰满。这部顶多只能叫“灭霸狂虐钢铁侠和雷神的小伙伴们”,Avengers: Infinity War
\t^h/,2,2018-04-28 18:53:48,就和拍了十几年的剧集变肥皂剧后，series finale里各种角色都出来打个卡一样。继上一次的城市地名幻灯片后，这次来了宇宙地名幻灯片，求求他们能选个好看点的字体吗？对比之下愈发体会到了锤哥的帅还有马脸声线的出众。,Avengers: Infinity War
风间隼,1,2018-05-11 23:01:39,不爱任何一个超级英雄，但是也知道他们中每一个的魅力都来自不可复制的身世和独特人格，现在被批发到一部太空肥皂剧里，纷纷沦为人肉道具，吸引力不是N倍增加，而是变成了N分之一。战斗戏的编排和想象力都严重欠费，最后的反高潮透着一股市侩——真有本事你就到此为止，别拍续集。,Avengers: Infinity War
汽车大师,2,2018-05-08 22:49:04,作为几亿级的大片，视觉想象力之匮乏也是没谁了，偏偏还是部靠场景划分的情景喜剧。美术指导、动作设计都是零分级,Avengers: Infinity War
kc,2,2018-04-26 21:03:43,好了可以了。再也不看Marvel了。我努力过了。实在是。。啥呀这是。🙄️,Avengers: Infinity War
冰山的阴影,2,2018-05-11 02:39:09,凌晨两点半从首映的影院散场出来，空旷的街道仿佛确如半数以上人类消失的世界。路口的指示灯零星地闪烁，只有角落里的一只猫转过脑袋从容地和我对视，另外一只翘着尾巴从墙头跳下，钻进无人的车底。你是否愿意付出所有的市声喧嚣、尔虞纷争只换此刻永恒的宁静？突然就懂了灭霸。人间不值得。,Avengers: Infinity War
