title,review_text,stars,url
Avengers: Age of Ultron,"看到标题可能很多人就要骂。说实话，被骂我心里也不会特别好受，尽管我知道很多人都是瞎他妈骂。

该尽的人事我都尽了。我看过钢铁侠以来所有的Marvel电影，包括X men在内。当然看了这些也说不上是一个漫威粉，但既然是一部号称要破纪录的电影，你不能说只适合真爱粉看，对吧？总不能说全世界好几亿买票去看的全是漫威粉。有那么多粉丝的虚构宇宙，顶多只有一个，共产主义，是吧。

尽了人事之后我还认为这片没法看。很简单，太散了嘛，好多东西就不交代。主要角色双胞胎和红人，片中连个名字都没出现，我还是事后查才知道他们都是谁、有什么能力；黑寡妇和Dr. Banner怎么又搞上了，也没交代——上一话明明是在和鹰眼搞嘛；还有Ultron与设定不符的弱，不算欺骗观众智商吗？

还有种种一系列其它的问题，不细说了，要辩欢迎评论里来辩。总之烂片。

就这样一部烂片，按常理说该打1星，但我犹豫了：

-是不是我的问题，应该再补补漫威漫画？
-是不是因为我没看懂哪句英文？
-是不是我漏看了哪句重要台词？
-画面好像还行，打得也还凑合，是不是1星太低了？
-毕竟是部爆米花片嘛，何必较真？
-周围的漫威粉丝朋友跟我掰了怎么办？

以至于最后我怂了，虽然给了1星，但简评写得是：
“本来想给两星，但考虑到诚意之差以及刷新Marvel电影下限，给一星以资鼓励。”

这多多少少有些逃避嘛。我甚至那天晚上写了半篇影评吐槽，管这部电影叫《漫威的小时代》。但后来还是想想算了。

不该就这样算了。

我看到国内上映后，很多人在豆瓣打分的情况非常矛盾：

“再看这种烂片我就是傻逼” -两星

“2015年度最失望作品。以为面面俱到，实则画蛇添足；以为主题深刻，实则老调重弹；以为推陈出新，实则俗不可耐；以为场面很high，实则high劲不足。气！上一集的趣味全无，这集的笑点明显刻意到心虚。全片没有任何片段给我有紧张激动的时候，太弱了，跟奥创一样。” -两星

“看腻了这些打来打去的烂片” -两星

“我看了一半就出来了” -两星

“睡着了” - 两星

“不！好！看！” -三星

“毫无亮点的烂片。连爆米花电影都不够格，除了为打而打和一堆隐藏细节，毛都不是。” -两星

“一般吧，就是一部爆米花特效片”（大意） -四星

“你们既然都不肯给差评，那么我来吧” -三星

“漫威粉勿喷，真感觉比第一部差了些火候。没想到奥创竟然这么弱，出来失望之极。。。” -三星


不列举了，总之两星的打分和评语之间都比较违和，而三、四星的也有这种情况。


我们是否都受了强大的舆论影响？

有了成功的漫威系列电影，包括不错的《妇联1》，我们是否不太乐于接受其中出现一部毫无水准的烂片？

身边多出那么多“漫威粉”，你是否不太好意思打低分，万一哪个朋友真是死忠……

我们是否会担心：我，我是不是太激进了……

有以上种种考虑，你是否多少有点心软了？

我们可以心软，毕竟只是一部电影，一点钱，将近三个小时的时间。

但我们允许漫威这样无耻圈钱一次，那以后就有第二次、第三次。

事实上现在的情况就是这样。虽然有《冬兵》、《妇联》、《铁男3》这少数不错的电影，但漫威近年来的电影多数其实只是他们宇宙观的宣传片。什么《铁男2》、《狼人2》、《妇联2》，这几部简直2到家好么！要么剧情逻辑一塌糊涂，要么就几乎是另一部电影的宣传片——还美其名曰“铺垫”、“伏笔”

WTF!

几次三番这么玩，真当我们是傻逼？

纵容的结果就是，妇联2简直是系列新下限。

当然，脑残粉们那句废话怎么说来着？

“然而这并没有什么卵用，xxxxxxx”

是，票房您牛逼。

但现在的情况是，我们这些能看出本片是烂片的人都要受到舆论的影响难以打低分。

所以，先从敢于说出心里话开始。



另，我可以理解种种不给本片打低分的理由，但有一种我绝不能接受。估计看此篇影评的人有人会想到这个理由，故写于此：

妇联2这种都1星了，那国产那些烂片怎么打分？

很简单，不看啊，让丫们负分滚粗。

好多嚷嚷着电影一般般，但还要N刷的，连个好点的娱乐级电脑都买不起？电脑上看好片呗。",1,https://movie.douban.com/review/7470929/
Avengers: Age of Ultron,"奥创这么弱，很让人失望

我真的很为奥创抱不平，按人工智能的设定，它会不断自我设计，自我更新，短时间内应该就会变得很聪明，原本以为会有精彩的智战，没想到只会死磕。

每次英雄们劣势都会战略性撤退，然后回去重整旗鼓，或讨论新的战斗方案，或去寻找新的力量，完成自我增值。

如果他的目的是想毁灭人类，去搞些裂变物质来造原子弹就行了。如果裂变原料难搞，可以造氢弹，聚变物质很容易得到。

造这么多不堪一击的机器人，感觉主角们就是在玩割草无双，为什么不全部造成本体那么强？至少造成实心的，数量少也无所谓，兵在精而不在多，孙子兵法里就有，强人工智能为什么就不懂？

就算铁了心要用人海战术，让敌人淹没在人民战争的汪洋大海之中，就不能弄点精英怪出来吗？

为什么奥创没有任何高新技术？为什么不造一种新材料来打造钢铁大军？以增强他们的强度？奥创军团和本体的武装为什么这么差？给全部小兵装上机枪和导弹，再用饱和攻击，我就不信那几个人还能扛得住。

奥创军团这么不堪一击，随便来个人就能打散架，这跟徒手撕鬼子有什么不一样？

造肉身的时候为什么不弄懂原理带回基地自己操作？肉身被夺，可以等待机会造下一个肉身，摇篮装置不会全世界只有一台，再说自己也可以仿造。那些金属原料是钒合金（不知道官方会不会乱翻译，也可能是艾德曼金属），钒合金不是人造的吗？没了可以再找啊

最后只剩一个的时候为什么不躺着装死等待机会东山再起？

综上所述，奥创有很多路可以走，好汉不吃眼前亏，没必要死磕，我明白两个小时不可能拍太多内容，但至少给他一次重整旗鼓的机会啊，没想到只会死磕，最后被一波团灭。

是我期望太高了吗，原本以为奥创会像超验核客那样，用各种高新科技取得优势，没想到只会批量生产钢铁杂兵

电影感受不到一点诚意，老套路，反派只为衬托英雄们，弱智到爆，看到中间就能想到结局，如果没有特效和英雄，只不过是一部烂片。",1,https://movie.douban.com/review/7471272/
Avengers: Age of Ultron,萨诺斯全局那么厉害，到最后被雷神一斧子定位，无限手套的射线都挡不住，纯属扯淡，你们这群屌毛还在那吹雷神超神了，那同样的剧情，为什么隔壁dc你们就说超人bug，双标狗，那也是被你们垃圾复联的导演拍成那个样子的，无脑的人看无脑的电影，漫威的电影就是适合无脑的人看，正常的人还是去看dc电影吧，漫威的电影好看的就那么几部，不包括复联三部曲，尾灯不得好死   这部电影就是没有敌人制造敌人，尾灯，别让我抓到你，不然我把你活生生的阉了,1,https://movie.douban.com/review/13328141/
Avengers: Age of Ultron,"高颜值的演员阵容，气势磅礴的打斗场面，震撼的后期制作……这是我对电影《复仇者联盟2》的评价。然并卵，我能说我智商有限看不懂剧情吗？
在我看来， 外国科幻电影有三大特点1.缺乏逻辑性，剧情凌乱。2.专业术语多，让人费解。不过正是因为曲高和寡，所以很多人都以看懂科幻片为荣。3.基本都是关于拯救地球，拯救人类的高逼格题材。再加上特有的外国幽默，呵呵，我看不出笑点。

        尽管我对科幻片诸多嫌弃，但不代表其他人想法也跟我一样。据说 一个韩国首尔大学教授特地对中国人做过一个调查《看片类型与中国人收入学历的关系》。调查显示，高学历，高收入的中国人都比较偏向于看美日大片，那些收入学历低人则偏向于韩剧和台湾剧。

        韩剧，台湾剧是适合思想单纯，头脑简单的人观看。因为它逻辑简单，看时无需动脑，就可以猜出故事结尾，可以满足单纯的情感需求。相反，美国和日本片故事情节考验人的逻辑思维，看时需要动脑，有时候还会牵扯到一些科学理论知识，这对于没有一定的基础知识的人来说就是一个门槛。

       看片就能暴露学历，收入信息。还好，美剧日剧韩剧台湾剧我都说不上喜欢，我最喜欢看书。照这样推断，估计不久后，又会有一个调查报告出来《看书类型跟收入学历的关系》。

       其实也没必要太较真，看什么片不都是为了找个乐子，消磨一下时间。你不能指望大妈陪你去看美国科幻大片吧？雅俗共赏，因人而异吧！",1,https://movie.douban.com/review/9540733/
Avengers: Age of Ultron,"看完了一，怎么能不看二呢，虽然两者都是评了一星。
复联2对我来说，比一还要差些。关键还是在剧情
不写了，不能再逃避工作了。要去工作的。
长影评原来要最少140字吗，长见识了，早知道写个短评就好了。
646646464618188184646186161854166461615463564616464316",1,https://movie.douban.com/review/9315163/
Avengers: Age of Ultron,"看到妇联上映我还是很激动的，克制自己没去看剧透，抱着满腔期待去碎了一地玻璃心回来。
一开始的场面还是很赞很不错，然后，黑寡妇和绿巨人搞上了。。。搞上了？？？搞上了！！！
我嘞个去，因为妇联就那么一个女的所以所有单身男都要排列组合一下吗？妇联1里面和鹰眼好一下，美队2里面调戏一下美队，妇联2里面换成绿巨人，这真是。。。
反正每次看黑寡妇和绿巨人的感情戏我就出戏。还不如之前在微博上看到的那个“漫威懂女人”的黑寡妇传好呢，至少里面的娘炮雷神还不错的。
整个故事情节可以自圆其说但是总感觉不太舒服，托尼那么机智直接被红女巫正中（看的粗心我都没发现红女巫怎么出现的）反正就这么陷入幻觉神经发作，先不说如果真的团灭了美队会不会把责任怪到一个人身上，要这么重视团队那有问题大家一起想办法么，土豪表示我不要，我要发明我都没弄懂怎么回事的机器人保护人类，然后大家可以吵架撕逼拯救世界了。
和托尼一样的，所有受到红女巫精神伤害的超级英雄都没想过和大家分享解决，都是独自想办法，解决的了解决了，解决不了的，只能呵呵哒一下。
只能说除了一起出动打架，我就是没看到妇联最后是怎么团结的。
对了，当中有一段很爽的绿巨人大战钢铁侠，看到很爽，感觉是打的最舒服的一段，其他的出场人物太多看起来很累。
顺便吐槽一下在天空之城最后一战的时候，超级英雄都聚集起来了。。。聚集起来了！！！我嘞个去，鹰眼你一个玩远程的弓箭手也在里面。
最后，快银死的真不值得",1,https://movie.douban.com/review/7473751/
Avengers: Age of Ultron,说实话，这部电影特效做得真的很差，同时镜头太跳跃了，一会是这个人在打斗，转眼间就变成另外一个人了。观众看的不仅是特效，还有这部电影到底在讲什么，整部电影仿佛就是那几个超级英雄在自娱自乐，讲的我们都不明白，我相信连演员自己都不知道自己在讲什么。这样的电影就算有巨星加盟又有什么用呢，一点实际意义都没有。,1,https://movie.douban.com/review/7594423/
Avengers: Age of Ultron,"很久很久以前，有个英雄叫草泥马，他以一己之力拯救了草泥马星球。

大家为了感激它，拍了一部极其燃的电影，叫第一部。

反响非常好。

后来，又出了一部和英雄有关的电影，叫第一部2。

大家以为，英雄又做了什么丰功伟绩。

一群人纷纷去看。

尼玛，原来把英雄某天放了个屁的过程做了大特写拍成一部电影。

***********************************************************************
建议：以后英雄吃饭也可以拍一部，
 
          拉屎的时候脱裤子也拍一部，

          抠鼻屎也可以拍一部，

          打喷嚏也拍一部。

后面我就不屑写了，因为无限可能嘛。。。。",1,https://movie.douban.com/review/7481136/
Avengers: Age of Ultron,"一开始说要去看仇富2我是拒绝的，因为第一部还在我电脑里躺着，进度一直停留在不到30分钟。

后来我还是去了。

这部片子不同于普通烂片，我没有睡着，也没有去看时间，但是整部戏都乏善可陈，没有亮点。


首先说剧情，和我想象的剧情有些出入，既然以Ultron之名，又是个大BOSS，起码也得拿出来的看家的本领。我以为会是BOSS出来，一堆漫英或组团，或采用车轮战，最终打败奥创。最好是搭上一个半个的。

然而剧情却跑偏了",1,https://movie.douban.com/review/7477774/
Avengers: Age of Ultron,"不说我是一个美式英雄大片的脑残粉，反正每次上新我都会捧场。从一开始《钢铁侠》，到现在《妇联2》；从一开始看完“回味无穷”，到现在看完还庆幸自己买的是特价票。漫威电影的可看性呈一种跳楼下降的趋势。说回正题！
全片亮点完全是字幕好吗！拖沓的剧情，贪心的导演要在每一个角色身上编故事，连贯性没有，记忆点没有，内涵更没有，空有特效和泪......
愚认为，本片看到完全是字幕。在我大天朝愚民热衷于吐槽字幕的同时，何曾想过字幕人员用心良苦。
强烈建议教育局以本片作为英语听力考题，听英语挑中文，无剧情，炫效果。考英语听力，考专注能力，二者兼得。棒！",1,https://movie.douban.com/review/7476442/
