title,comment,rating
Bohemian Rhapsody,"What an amazing film totally spoiled by the absolutely freakish makeup on Rami Malek. Whoever designed his makeup must've been incapable of doing photographic research, totally destroying the legacy of Freddie Mercury. Absolutely ridiculous looking teeth totally distracted from the film every time he smiled, sang or spoke.

Great cameo appearance by Mike Myers as the EMI executive. The music in the film is awesome, and the sound editing is superb. I have tried watching this several times and just cannot get past the makeup.... Hopefully someone will someday produce a better biopic, but if you're going to watch it I suggest watching it with the screen off so you can enjoy the music without seeing the freakish look that the makeup people did to Malek....",1
Bohemian Rhapsody,"Queen and Freddie Mercury in particular are global cultural treasures we deserved to lose. Freddie was an unimaginable icon and a star, in the true sense of the term. Bohemian Rhapsody lacked the respect and the nuance and the empathy portraying Freddie. Bohemian Rhapsody made an amazing job making a movie out of Queens procession, but it ultimately rang hollow of the glamour and excitement Freddie brough while alive. Emphasizing the loss music at large suffered when he passed away.",1
Bohemian Rhapsody,"After 60 minutes I couldn't and turned off the movie. It was so boring, always the same: performance, singing, chatting, ...",1
Bohemian Rhapsody,"It's tough to make a movie when they only have few good songs to start with, which was obvious... acting was sub par, the plot was awful, the movie never got going and the music was not good throughout, how can you screw that up? It was such a disappointment, the best part was the end because that's when it was over. Don't watch, it's a trend that never should have started!",1
Bohemian Rhapsody,"I am struggling to understand why the film has received such good reviews, as apart from the soundtrack, the film was very bland.

Malek is like a spitting image style caricature of Freddie Mercury, and does not have the physical stature to play the great man. The supporting cast (Myers aside) are television actors at best - and that shows.

When you get to the ""story"" it is very weak, and almost entirely made up. Such as Mercury splitting the band (Queen released several albums during the alleged split up), timing of releases, how they apparently got added to Live Aid at the last minute, when Mercury finds out he has aids. The list goes on!

The music is incredible, and was the only reason that I sat through the entire film.

I can see why Sacha Baron Cohen and Ben Whishaw decided against filming this poor interpretation of Mercury and Queen.",1
Bohemian Rhapsody,"This is bright and flashy but thats where the positive aspects end. Its loud and tries to grab yer attention like an idiot waving his arms and yelling ""hey! hey!"" but thats excatly what this movie is and giving it yer attention would be a waste of time",1
Bohemian Rhapsody,"So so so boring. I struggled staying awake the whole time watching this. I guess the last blu good thing is that it gave me good rest. But wow, soooooooo boring the whole time. seriously, how did anyone rate this movie more than one star.",1
Bohemian Rhapsody,I watched this movie 2x didn't want to miss **all the hype** and came away wondering how anyone in this pic won any Oscar for this pic **it was terrible**.. What an insult to Freddie Mercury this 'movie' is and I am an 80 y/o Queen/Freddie Mercury fan.. The only one in the pic that played the part true to form was Gwilym Lee & in many scenes I had to look twice to realize he wasn't really Brian May at least they got that right.. The final 'scene' Live Aid concert was actually the best for the music and of course all the cats watching Freddie on TV was a perk.. Still cannot believe this movie won any awards & Lord in the future hire a professional dentist to fake the teeth..,1
Bohemian Rhapsody,"Long live Lady Gaga and Brad Coops.

Done my nut in that this is probably going to take the title of 'Best Film' at the Oscars.

I mean, it was just...alright.",1
Bohemian Rhapsody,This movie is a piece of trash. I am no longer a fan of queen after watching this movie.,1
Bohemian Rhapsody,This film is utter confusion and trash. There is nothing but Queen classics t enjoy about this film. The entire movies pacing is terrible and the film lacks any kind of descent writing and style. The only reason this film is watchable is because of Rami Malik's performance. He does pretty good. Otherwise the most boring and unoriginal film to be nominated for Best Picture.,1
Bohemian Rhapsody,"The movie had nothing to do with the band. It was just about Fred's gayness and his affairs. It would of been better if they focused on the band and how they came together. The end was predictable. And cheesy. To end with a band playing on stage. Every damn movie about a musician or band end with the ""let's end the movie as they play a great song on stage and slow motion the walk off or freeze frame the moment.""",1
Bohemian Rhapsody,What a horrible movie The acting was as some 12 year old spoiled kid directed it. Bad dialogues Characters not believable Freddy's parents worst acting ever Plus there are a few scenes where they age And their make up and all looks as take from a fifth grader play so Fake It's all just bad. I really waited for it to End already,1
Bohemian Rhapsody,"For Queen fans it is the bomb, for movie lovers not so much. I am not a fan of the music of this band Queen. I still don't get it after this movie. I even hate the music and songs more.

Hate it or love it. I will mute it!",1
Bohemian Rhapsody,"From the opening few minutes this has the feel of one of those awful , made for TV music biopics that you feel compelled to watch purely for the fun of it. Rami Malek desperately tries to mimic Freddie Mercury in the way that a awful stand up comic does and is about as convincing as Elton John playing a US Marine. The dialogue and conversational scenes are so poorly scripted and predictable with the usual themes and you feel almost embarrassed for those on screen. Queen fans will no doubt love it but they....well they like Queen so enough said. Shocker",1
Bohemian Rhapsody,"Good and exciting movie. But ignore lots of important facts and phases of the band. The movie selects specific moments over the years, but it's too superficial even when tries to tell Mercury's life story. Worth to watch though. Excelent acting, soundtrack and atmosphere all over the movie.",1
Bohemian Rhapsody,Why didn't they show us how he got his singing voice?,1
Bohemian Rhapsody,"As a true and a life-long Queen fan, I was offended by everything in it. Those 2 vultures are still trying to get more money for themselves by collaborating with equivocal substitutions of Freddie, but this movie is the last drop in the bucket. Rami Malek severely suuuuucks! Who could give him an Oscar??? For what exactly??

But of course those who know nothing about the life story of Queen and Freddie are enjoying this pop piece of crap.

This show MUST NOT go on.",1
Bohemian Rhapsody,I found Rami's portrayal of Freddie to be ridiculous and borderline insulting.,1
Bohemian Rhapsody,A series of trivia questions about Queen sloppily pieced together pretending to be plot. Everyone is good except the evil guy. Everyone gets along except for a few seconds of brief conflict. This movie is a nothing. Listen to a Queen album and watch old videos on YouTube. You'll get more out of that.,1
Bohemian Rhapsody,"The thing about a cover band is that it can sound like the original, it can kind of look like the original, dress like the original and mimic the movement of the original, but no matter what, it ain't the original.

At no point did I ever feel like I was watching Freddy Mercury. Now in fairness some of the problem is what a unique person Freddy was, it would be nearly impossible to do him justice. Having said that, I think there was more attention given to making sure his teeth looked the same than to who he was or what he represented. I'm sure the story follows relatively closely that of Queen, in a Cliff Notes sort of way. But it never felt like it ever really got to the heart of the band and most certainly never went past the most facile surface of Freddy Mercury. Sorry.

The only thing this movie did was make me want to watch the real Queen and the real Freddy Mercury in concert. Seeing them perform live at Wembly is the difference between watching true genius at work and watching a pale imitation performed by a nice little cover band.",1
Bohemian Rhapsody,"I don't know the purpose of the director in making this movie. Because the movie is with full of mistakes about the facts.In internet, you can find many articles explaining all these critic mistakes! It is the waste of time to watch such a movie because of all those mistakes!!",1
Bohemian Rhapsody,Any mention of them breaking the cultural boycott of apartheid South Africa by playing Sun City? Thought not. At least they admitted they did it for the money the lovable rogues.,1
Bohemian Rhapsody,"On the surface you will think you are seeing what appears to be a movie, it was advertised to be one and said to be like one , and so it , you thought appears to be so. It must be one you thought , it is shiny enough , it looked like it has all the elements of a movie didnt it? It had actors a director a scriptwriter (The Worzel gummidge tv show writer) and had money, a budget of $ 50 million, but once the opening credits have rolled you see it is not a movie at all but a real piece of excrement but even worse! it is a cleverly disguised piece of excrement that is actually one of those fake plastic pieces of excrement that are so cleverly designed to look wet and real and squishy so you dont want to tread on them in case you put your foot in it. ... But , truly I am not exaggerating when I say this is infact the worse movie I have ever seen in my entire life of seeing movies . With the promise of the interest of the subject matter being a total missed opportunity, the dissapointment is compounded by the fact that this literally is one of the worse made movies ever. It is exploiting the sadness of Mercury's death, but ends up attacking him personally. Zero out of ten. A lie of a movie .

And as for the ten star reviews? I do not even trust the bad reviews! People give it one star then say its a great movie. There's something up something is not right, its obvious something IS going on , its not the real life put it that way. The acclaim is not convincing, how could it be? seeing the movie is soooo bad.

The dancing dinner lady in the trailer never appeared. And the photoshoped young lithe man that was not Rami Malik that was used as the early publicity shot was never in the movie either. For patties sake! Are you people aware that Queen made their first album in the heart of soho in London in the 1970's??!! Dont you know that is ROCK MUSIC HISTORY TIME AND PLACE David Bowie !!! T REX !!! Queen !!! THE 1970 !!! GLAM ROCK and you dont even attempt to convey the situation? The place the EVENT!!? So have you all gone stark raving mad!!! Are you all completely insane? Is this what passes for ART?? FOR MOVIES !! FOR ROCK MUSIC HISTORY ??!! This utter bland fake lit garbage???!!!",1
Bohemian Rhapsody,"This is the worst movie i have ever seen. The actors are Bad, the Story is Not consistent, people apear and you dont who they are and the whole Story does Not reflect the Real Story of mercury and Queen. Also the last 20 minutes is the ugly actor redoing the live aid concert. What the hack? I can See a better Performance for FREE on Youtube. This really is crap.",1
Bohemian Rhapsody,"I really don't get what is all the hyper about this movie. The story is week, boring and stupid, the acting is normal - nothing special. I'm still trying to understand why people like this horrible movie so much.",1
Bohemian Rhapsody,I'm not a super fan of queen but please have the decent respect for Freddie Mercury. After so many years to make such a stupid movie about one of most unique voice that marked those golden years... what a disgrace. SHAME bryan.Please no way any Oscar prize! good damn it,1
