title,comment,rating
Frozen,"Our girls loved the first Frozen and were excited to see the sequel. Unfortunately, small children have short attention spans and adults have IQs over 75 which gives us the intellectual capacity to know when we are being played. We anticipated 3- 4 trailers but we were forced to sit and watch 27 minutes of bad trailers and even worse Maria Menounous blabbering about multiple topics. Just as we thought the film was going to start, Maria Menounous appeared again to introduce her short film. We had enough at that point and just left and got a refund. We have the Disney app which we will keep until the girls lose interest but we will never go to a theater to watch another Disney film.",1
Frozen,"I finally watched this movie and i was imagine it a more different,more funnier.Through hole movie you have singing,which could be replaced with scenes with funny situation like in trailer.I don't know why this scene from trailer is nowhere in the movie.The story is not well developed like in the beginning and doesn't tell why she have that power and how she got it.Don't get me wrong,i watched Disney movies since always,but i'm little disappointed.I have feeling that main thing in movie was soundtrack. This is,by genre,musical in first place,than everything else.And because of that i can't give it a full 10 of 10.The movie is good but don't get high hopes.",1
Frozen,"Tarzan sequqqels are always better boi show me the money



lion king from simba has never looked so majestic i want to pet him

also buzzz littyer was also nice parerance",1
Frozen,First I want to say I like some parts of the movie but I just felt like the whole movie was cliche it just made no sense in the songs of just so annoying. I just feel like the whole movie was just so it has so many mistakes that they were just so stupid. God I feel like I was going to love this movie but they are not it slow and it doesn't make sense,1
Frozen,"Okay movie, till I learned KB was in it. She is the worst!",1
Frozen,This movie sucks. I took my little sister to see this and I did not really like but my sister oh god... All she does now whenever she is home is watch Frozen or play the cd at full blast. It is just a movie for crying out loud I mean Lion King is way better. Now I am hearing from people how it is better than Lord of the Rings and Star Wars. Hahahaha NO! FROZEN IS NOT BETTER THAN LOTR AND STAR WARS YOU IDIOTS. It is a dumb movie with awful songs a predictable story and stupid characters epically Olaf. God I hate that stupid retarded character who is a snowman version of Jar Jar Binks. Let it go is not the best song ever. Not by a long shot. You guys want to hear real music unlike all this modern crap. There is a band called Queen a band from the 70s and 80s that has why better music. Look them up on YouTube and watch some of their music. Email me to tell me what you think at jld24@scasd.org,1
Frozen,"I hate this movie as it contains a confusing story, average animation and characters that are so bland i can't believe it and i think the only reason it got popular because of all the merchandise and literally the only people that can enjoy this is under 10 girls and after that you can't enjoy it",1
Frozen,Generic movie. Very good for 1-3 year olds. Not that good if you're able to analyze movies.,1
Frozen,"No sensitive imagination, no wonderful fantasy, typical unimaginative industrial production",1
Frozen,"Yeah the visuals are fine but Olaf is very annoying I hate the script it makes me look at the wall Elsa is fine but let it go is a annoying song when Anna turns to ice I did not care I didn't cry about it I just want Olaf to melt I really hate how there is a twist villain I do not remember the name

they should have made him the villain in the beginning instead of just making him a twist villain I hate the story very badly

Disney needs to to make a good film

Good princess films are

Beauty and the beast(1991) The princess bride(1987) And sleeping beauty(1959)

It is time to make a good film 1/10 a dissipointnent.",1
Frozen,This movie is the bane of my existence. So incredibly basic and the fact that no one would shut up about it afterwards....super uneventful. Pointless characters.,1
Frozen,"For the longest time, everyone knows what Frozen is. There's a second film now and for years everybody loves the film and say the film has beautiful music and has likable characters and the storyline was good and etc, and points out as a best-selling film of all Disney films, I disagreed because when I first saw it at that time I was 13 and saw it in theaters I don't see anything appealing to the viewer or nothing special about it, all I ever see was about two siblings fighting each other for over a dumb magic, one thing I said to myself was omg shut up. After I saw that film I was thinking there's no way that most people in this world want to see the film after what I watch, however when many people started talking about how Disney Frozen is good and many people like or love the film, but in my mind, I'm thinking, how?! There's nothing interesting or special about the film, all I see are sisters fighting each other. I never see music entertaining to me, nothing. I don't get why most people those days like it so much? I even watch it the second time 3 years afterward but when I'm halfway through I ended up stop watching the film right there. I'm still confused about how so many people like it so much but I couldn't get the full picture. To me, if somebody points out about being the best-selling film from Disney, I like to point out that Zootopia should be the no.1 best-selling film from Disney than Frozen or The Loin King (1994).",1
Frozen,"I went go see this movie when it released in cinemas. The movie has the average Disney movie formula which seems to work most of the time. The film starts badly, which I came to expect. But when the Let It Go scene begins, the film starts to get brain dead and very annoying. The characters are all terrible, even Olaf, who is not funny in the slightest.

One positive I can give to this movie is the nice animation, but that's the only positive I can give to the movie. The voice acting is utter trash, it has boring scenes, the music is trash, which is a big part of animated films. Since animation has to be built from the ground up, you have to have really good audio and sound design which is absent from this sorry excuse for a movie.",1
