title,comment,rating
How to Train Your Dragon,"HTTYD is a generic, boring, souless, energyless, lifeless movie. Everytime I see this movie, I feel a surge of lame rush into my body. All 3 movies are lame with a capital L. These are movies that should not have been made for entertainment. How any child can sit and enjoy this lifeless movie is beyond me.",1
How to Train Your Dragon,"It's April 2019 and HTTYD is on TV. I remembered I loved it when I saw it when it first came out with the kids (and a couple of times since) and thought ""I wonder if it still has its appeal?""

Answer... yes. The animation is beautiful (especially the flying scenes, the varied Dragon breeds and Toothless's facial expressions) but the storyline matches it... the evolution of Hiccups relationship with Toothless and the Viking clans relationship with ALL dragons, is perfectly done - never rushed, never forced and never kiddish/sickly (it's not all plain sailing).

I won't go into too much detail in case you've not seen it but watch.... whatever your age. If you're a kid, you'll love it. But if you're an adult (or a grown up kid, like me), you'll appreciate the animation, the adventure, the characters, the lovely story. Be a kid again, enjoy.

(P.S. I read Roger Eberts review before writing this as I always read his reviews... he was the best reviewer I've ever read. Its the first time I've thought he was wrong... gave it an ""ok"" review, maybe this wasn't his genre/thing).",1
How to Train Your Dragon,"The story is very engaging; there is nothing too sophisticated for kids and nothing too childish for adults. It is instead an intelligent, moving story that moves along at a good pace, and I for one didn't find it that predictable, and I loved the bonding scenes between Toothless and Hiccup which were suitably poignant. The script is also very strong, it is thoughtful and touching at times but also amusing when it needs to be.",1
How to Train Your Dragon,"You can't really say you've seen a bad movie until you watch this one. Basically the story goes like this Hiccup, the awkward son of the village chieftain, Stoick the Vast, whom he looks and acts nothing like, dreams of killing a Night Furry, which is said to be impossible. When he actually does, no one believes him. He is too much of a pussy to kill it, so he trains and befriends it. He suddenly learns to train other dragons which other people think he is really tormenting, which makes him a hero. Not everything about this movie is dreadful, the animation is pretty good, but the idea of vikings going against everything they know and domesticating dragons is both blasphemous and dull. It contains lames jokes that are extremely dry. Basically, you will hate this movie, with the notable exception if you are a pasty-face nerd who wears glasses and spends his free time playing world of Warcraft. When it first came out it received positive reviews for some reason, but like most over-rated movies it will be forgot about in a few years.",1
How to Train Your Dragon,"this film is just awful... this could be easily the worst movie i've ever saw!! i can't understand how this film is best quoted then cars or the lion king. my only explanation is that thousands of four,five year old kids asked their parents to come and vote perfect to IMDb. Open your eyes! if you didn't saw this film, you haven't lost anything because this film doesn't teach kids to have values, it only satisfies small girls who believe in santa claus and in the future they will end up with their prince charming. there are so many kids movie who deserve better quotation then this awful movie. Camon IMDb change the quotation of this film",1
How to Train Your Dragon,"I think this deserves a rating of 7. Gave it a 1 because the rating was way too high in my opinion. When i watched it, i liked it. Good animation, that's the best about this flick. The story is mediocre, nothing exciting there. Don't misunderstand me, it does work! But let's be honest, it's not that exciting.... The soundtrack is what you expect it to be, nothing new/innovative there... So: Excellent film for your kids or for an adult who wants some excellent waste-time. But nothing exciting, innovative, surprising... If you're looking for something to rock your world, there's a lot of better animations out there (try Howl's moving castle, Princess Mononoke, ....)",1
How to Train Your Dragon,"Why is this so beloved? It's just a cliched and boring and pretentious mess of a film that has no memorable characters that are either bland, arctypes, or flat out horrible, confuses style for substance, and has terrible voice acting.",1
How to Train Your Dragon,"It was nothing like the books which are amazing. Only 2% of the source material made it to the big screen.

For one I would have loved to see baby Toothless instead this new non book breed with retractable teeth.",1
How to Train Your Dragon,"This is one of those movies if you watch as a 7 year old (or if you have the IQ of a 7 year old) you will absolutely love it and fall in love with it but if you watch it at a later part of your life (or if you have a normal person's IQ) you will be bored to death.

It has so many boring cliches packed in that you can predict every twist and turn in the story after watching the first 5 minutes. I was watching this with a friend and was able to predict the whole thing and my friend was convinced that I must have watched it multiple times before but I hadn't. This movie just recycles same old cliches already done 100 times in past movies.

This is why Disney/Pixar is the best company when it comes to animations. Other companies don't even come close when it comes to producing high quality stuff.",1
How to Train Your Dragon,"This movie was pretty lame for the following reasons; The characters were crappy, annoying and forgettable (I only remember the names of Hiccup the protagonist, and toothless the dragon), the story was a boring generic fantasy viking genre, dialogue was pointless, music was crap, .

The movie was good for the following reasons; The animation, voice acting, marketing and the title.

So what I take away from all this is while the movie was crap at LEAST I saw it. I didn't just prejudge it, I saw it, thought it was crap and was able to write this comment it the first place.",1
