title,comment,rating
Life of Pi,"To be honest, it is a very mediocre film and at the same time a film that in my opinion is not for children since I honestly did not like at all the message that they were giving seriously. Because the net Why did they want to have a message or who do they want to give it to? A message that you necessarily have to accept religions or you have to be part of three religions or embrace the three religions that are Hindu, Buddhism and Christianity as if it were a path to find God because you don't necessarily have to embrace three religions to find to God it is as if, for example, I who abandoned religion do not necessarily have to be an atheist if I want to believe in God without religions I can do it but seriously it is super wrong that they want to teach that you have to accept God with religions.",1
Life of Pi,"The film's protagonist is shipwrecked on a boat with a zebra, an orangutan, a hyena and a Bengal tiger named Richard Parker for 227 days at sea. The tiger eats everyone but him. At the end of the film gives the viewer a chance to understand that each animal was one of the crew of the ship that also tried to save the boat, and at the beginning of the film it became clear that he had failed to save anyone. So much of the film is wasted with beautiful surreal scenes. The only reflection occurs at the end of the film when the protagonist reflects on the contributions we receive in life, without even having the opportunity to thank those who have provided.",1
Life of Pi,"Whose responsibility was it to see the special effects team got paid? And why weren't they? (See Item 15 under Trivia for this film.) Makes my opinion for this film less than zero. Also my opinion for anyone who profited from Rhythm and Blues brilliant work or who won any awards based on their creativity and insight. I think it's a basic premise on a movie that the employees and contractors get paid, especially on a film with a $120,000,000 budget. Without Rhythm and Hues there would be no ""Life of Pi"", awards, accolades from the masses. Now all I know is what I read in Trivia, which I'm sure is edited just like these reviews. If someone knows this to be inaccurate, please post. Thank you.",1
Life of Pi,"This movie was the Indian rubbish version of Titanic, he's on a boat then all the animals fall off and from there it is awful! It is one of the worst movies to date, i do not recommend wasting you're money on this movie,it is a awful film and it has no famous actors in it either. Well i am not surprised! it is that rubbish it does not deserve to have anyone famous in it, i'm saying 1/10 because thats the lowest you can go, if there was an option for 0/10 trust me! i would go for that, please do not go and watch this it is a boring copy of Titanic and they copied the whole titanic plot completely! Thanks for reading, -James If you see the movie and you think it is rubbish write a review as well!",1
Life of Pi,A movie that tries too hard with too many special effects that in many scenes are poorly done in Canada. In the end I really didn't care what happened to the main character and so I turned it off before it was done and went out for some desert. I enjoyed my life with some Pie!,1
Life of Pi,"I've used IMDb for 2 years and I created an account just now mainly to write a review about how disappointingly bad it was. It starts out quite promising, as though to deliver an insightful message about life, but the conclusion is absurdly ignorant about the nature of life, and especially human nature. OK, so IMDb tells me that I cannot submit my review unless its at least ten lines. Well, to tell you just how bad this movie was I am willing to keep writing. ...But I might even say positive things, because I think I've been negative enough already. The 3D visuals were pretty cool, though not comparable to the awesomeness of Avatar. OK, more negative. I have a feeling animals were harmed for the making of this movie, which is a deal-breaker for me. Oh, but the idea of the floating carnivorous island was pretty cool. In conclusion, I wish I could get my money back, and time",1
Life of Pi,"If you liked torturing animals as a kid then this movie is for you. For the rest of us that do not have sadistic tendencies, I did not care for this movie. I hunt and fish, and I have had to put down some of my own horses. If I don't get a clean shot when hunting I put the animal out of its misery. I found the advertising for this movie totally misleading. It is not about a boy on a lifeboat with a tiger. That is what all of the pictures show. I can't imagine spending time reading the novel that this film is based on. The $10.50 and 2.5 hours i spent viewing this movie were not worth it. The movie is rated PG, but it is not something you would want to take your younger children to.",1
Life of Pi,"You will ruin a precious time of your life by watching Life Of Pi. Its a senseless, dumb and an illogical movie. The movie starts with real bad jokes (no one was even smiling in the whole auditorium). In the mid of the movie few comes a bad logic of training a beast with one scene even in few moments and the rest of the movie he is behaving like a beloved of Mr. Pi. Come on, its not a cub, its a beast. Show it in proper way and make some logic. I liked the end more because by then i was half slept. The ending was a real boring part of the movie, Around 15 to 20 minutes, Pi was telling a story which is so boring, so boring that i saw people yawning even (of course, when i woke up). I don't think i will rate it as an Art movie even.",1
Life of Pi,Could be better if Pi didn't waste time fulfilling Richard Parker 😂 hunger desires. He is a vegetarian- kills one non veg creature to feed another non veg. Pi doesn't believe in God but ends up emphasising on Krishna 😰 He is screaming his lungs out but voice quality is awesome with no broken chords.,1
Life of Pi,"I hated this movie. Pretentious, smug and ever pleased with itself, it actually made the cliche of 'asking for a refund' when it was over a realistic and rightful option.Woeful stereotyping of the main character if memory serves along with huge helpings of completely absurdist Fantasia style elements made for a truly pathetic viewing experience.A cutesy-fool movie for the budding middle class philistine...",1
Life of Pi,"This story had all the makings of something great... and it was expertly destroyed.

The entire aspect of this being a story told with religious intents should have been removed. The religious messages in the actual story told by Pi are perfectly fine, but the messages the movie itself tries to send with the building and falling action doomed the movie to mediocrity.

If you remove the first and last ten minutes or so of the movie, it would have been absolutely epic.

The visual effects, the emotional turmoil, the life-in-the-balance struggles, the twists, all were superb... if only it didn't begin and end with whispers and whimpers... You could remove the intro and ending add just a minute to the story and make this an epic tale of survival in the most incredible of circumstances, albeit with a rather fantastically mystical ambiance at times, but the attempts to weakly convey a religious message ruined the entire drama.

More telling, perhaps, is that it even failed on delivering on its own religious message. Not so much as causing one to think for a second as to its initial claims... except to wonder when the big moment was to come, only to be greeted with the closing credits.",1
Life of Pi,"If I could give ""0"" stars for this movie, I would. If you think you are going to a movie about a kid who survives a shipwreck and then makes friends with a tiger at sea, you will be very disappointed. If you love animals and it breaks your heart to see them hurt, then you will be sick to your stomach. There is not one single thing regarding the animals in this movie that is good to animals. I was horrified at what happens to animals in this movie. So, if you are not sensitive to the pain of animals, go see it. If you are, then this is your warning.

The sad part of this is that the ""regular guy"" on the street, like me, will go to this movie. I cried through half of the movie because it made me sad. Movie critics go on about how great it is. They must be looking at it through eyes of the process, not the heart.

In closing, some of the visual effects are amazing, but for how it made me feel when I left the theater, well,it's the worst movie I've ever seen.",1
Life of Pi,"This movie is bland and kinda empty, i dont understand the hype at all. Also the movie has one of those super super lame twist endings that makes you feel like the writer/director are insulting your intelligence by having plot points so meaningless your only reaction to the movie can be anger",1
Life of Pi,"This is one of the most disturbing movies I have ever seen in my life. And put PG rating on it? Want to scar the kids for life? This is disturbing for an adult but bring the kids to see it and advertise it like everybody does and even give an Oscar to it (i do not care about special effects or sound considering the story line and the violence in it). If the movie campaign was sponsored by Psichiatrist association, i get that, they will have so many clients after seeing this one. I would put this movie on the same list as Hard candy, Anatomy of Hell, Irreversible, Old Boy....none of them for kids but all of them for above 18 audience.",1
