title,comment,rating
"Monsters, Inc.","This is a disaster of epic proportions. The movie seems created to destroy brain cells by the minute. The jokes are made for literal babies and consist of loud and annoying noises, stupid faces from the characters, and idiotic and constant physical comedy like falling down like a clown.

The nail in the coffin is the voice actors that were cast. Every single voice is disgusting, annoying, and unfunny. There is not one charming character.

What surprises me the most is the amount of adults that like it when it is only comparable to the Teletubbies, Peppa Pig and things like that, things that aren't created for even 7 years old.",1
"Monsters, Inc.","This film is a complete mess from beginning to end. It seems to think it's cute and funny but it's neither. It's presumably supposed to be a children's movie, but so much of it is not really suitable for children, at least not young children.",1
"Monsters, Inc.","If there would be one word to describe this movie it would be cute. This cuteness is the only thing that this film has going for it. It generally lacks any humor, minus a bit in the beginning. Overall it was a disappoint, but if cute is your thing then watch it, but at the end of this film the cuteness made my stomach a bit uneasy.",1
"Monsters, Inc.","Would 've been great minus the annoying child. Monster inc starts great. The whole concept of monsters being scared of little children is funny in an ironic kid of way. The depiction of the monsters world is enjoyable although it is filled with clichés that dominate most movies. The movie is an easy 8 up to the point it introduces the annoying child that runs into trouble all the time, but miraculously escapes danger every time although the whole city of monsters inc is looking for it. You have the best of the monsters inc monster failing to get rid of a child who is 1/10th of its size. Then sulley grows fond of it and protects it although its supposed to be toxic and she is moaning, crying and being annoying in every way imaginable. Is it cute when a child misbehaves cries and moans all the time? I guess for the screenwriters of monsters inc it is, proving beyond any doubt that they are useless and incapable of coming up with a sweet character for a child. Those are the qualities people dislike in children. I guess if you are 5 years old you are going to enjoy the movie. Personally I couldn't stand it and stopped watching after 1 hour. Waste of my time.",1
"Monsters, Inc.","I can't see any reason why this animation should be in the top ten of the IMDb list. Having watched it about three, four times yet I haven't found anything that I particularly LIKED about it - maybe it's the way the characters are so-predictably handled, maybe it's the same old Disney-style hero-villain plot, maybe it's just because MI's something that goes in and out of your head so tastelessly it doesn't even leave a trace (I've got the same feelings when I watch Disney's films - but at least sometimes a soundtrack make a little impression - this one doesn't even have a good one).

To say the least I've always treated animes with more respect than American animations - maybe because after all you'll see that American producers have but one way to express their theme. Having excellent CG doesn't cut it, unless, of course, if you're just after the huge budgets. MI just like most American animations on this ""top 50"" is after the ""cool"" look, and no-content. I mean no offense, but if you really liked this movie, you really should be watching better stuff.",1
"Monsters, Inc.","I saw this as squarly a childrens movie. Basicly for anyone under the age of 12. The characters are more annoying than anything. I couldnt stand most of it and the plot was pretty dry. The animation was alright, but so overdone! For familly entertainment, I would recomend something a little funnier and with more of a plot, like Jimmy Neutron.",1
"Monsters, Inc.","I mean. This is a disaster of epic proportions. Boring and lame ""adventure"" type story. All the jokes made for literal babies. The jokes are noises, dumb faces, and phisical comedy like falling down or getting punched. The voice actors casting is criminal. Absolutely disgusting. This movie couldn't be worse even if they would've tried.",1
"Monsters, Inc.","This movie didn't do anything right; the comedy was bad, the characters were completely undeveloped, and the story was just plain uninteresting and unintelligent. This film even failed visually with mediocre scenery. I thought it was a given that Disney would somehow manage to do something right after 2 years of sub par releases. I was wrong. This ain't no Toy Story 2 or Shrek. Safe your money for Harry Potter.",1
"Monsters, Inc.","Did anyone actually watch this? The basic pattern of this movie is roughly 45 seconds of dialogue, and then a LOT of screaming and loud sound effects.

The perfect movie for those of us without any sort of attention span. Laugh at the wacky monsters screaming and hitting things and getting bonked on the head. Don't worry, it's going to happen again soon, so be patient during those three seconds of the characters talking, your mindless garbage is going to repeat itself real soon.

This movie has some neat graphics, big deal. Graphics mean nothing without anything to back them up.

Skip this and give your child a copy of The Hobbit (the BOOK, yes, those things with words printed on paper) instead. It's a good story that isn't dumbed down so much. Give your kids something that's worth their time, not this flashy and loud tripe with no real substance.",1
"Monsters, Inc.","Monsters corporation is not just a few new characters drawn a new setting. This is a whole universe where there are their own rules, their own laws, their own heroes, where each of them is individual, new and amazing. While watching the cartoon, he never ceased to be amazed at how closely the creators paid attention to each, albeit a second-third-rate cartoon character. They are unique and in each of them there is something that cannot smile or at least interest.",2
"Monsters, Inc.","Monsters inc is often celebrated for its creative concept and colorful animation, but it falls flat for me. The humor is too juvenile, and the storyline lacks substance. While I can appreciate that it's designed for a younger audience, the movie doesn't offer much for adults looking for depth or engaging storytelling. The characters, although charming to some, feel one-dimensional, and the plot, revolving around monsters scaring kids for energy, seems overly simplistic and repetitive. The animation is visually appealing, but without a compelling narrative, it quickly becomes dull. Overall, it's an unremarkable film that doesn't live up to the hype.",2
