title,comment,rating
Pirates of the Caribbean: The Curse of the Black Pearl,"An incredibly boring film with a horrendous screenplay, terrible pacing, tons of filler, painfully long and utterly unsuspenseful action scenes, abysmal dialogue, characters no one cares one bit about, a needlessly convoluted plot, lame attempts at humour, an unpersuasive love story, ridiculous CGI, and utter failure to draw the audience into a single scene.

To make things worse, it is ostensibly a film for children, yet its plot contains so many twists and turns, as well as moments where the protagonists' motivation is unclear, that no child can follow it. And what was it for? A series of toothless action scenes and a 'climax' in which nothing really seems to be at stake. The film is painfully long, which makes things even worse. If this is designed for kids, it's a colossal failure. And if they were going for a wider appeal, well, it's an even greater failure. Not even Johnny Depp could save the film when his character was poorly written and lost in scenes that are boring and confusing.

Catastrophe of a movie.",1
Pirates of the Caribbean: The Curse of the Black Pearl,"This is a film that is the sum of every possible cliché to make a film: there is an anti hero that will have to put on the right side, there are proxies who could never have had that behavior for a few centuries ago, the Villains or are silly or predictable and the general comedy tone makes this package that we have seen in a thousand films digestible. The film is well done but the big problem is that little does to offer something that has a drop of originality. And the big problem is that. You cannot insult the viewer with a design product whose only purpose is to bill while we as hostages accept as beggars what they give us. Technically it is good but as an artistic and original product it is despicable.",1
Pirates of the Caribbean: The Curse of the Black Pearl,"Pirates of the Caribbean: The movie is horrible.

1. The lady falls from a height of 30-40 meters and remains alive, and Sparrow manages to pick her up from the bottom, being on the ship half a kilometer from the place of the fall. Well, crap! It was possible to take care of elementary realism.

2. The same lady (Elizabeth) is a super fearless fighter who remains in clean underwear during all the troubles, not scratched or smeared.

3. Jack. This is a separate issue. An absolutely unrealistic hero: neither under the muzzles of dozens of guns, nor in front of the gallows, nor in front of a gang of immortal ghosts, neither fear, nor fright, nor anger or

4. Fights. Especially boarding by ghosts. These immortals slaughter one after another, and those, despite their small number, are not yet exterminated. And so in two scenes.

5. Well, I'm already silent about the predictable and therefore nauseating rescues that are usual for Hollywood at the last second. There are dozens of them here. No variety. And only at the last second. No other way.

6. The general feeling of some kind of dirt after the film is obvious. The cheap morality about a nice pirate guy (scoundrel), who repeatedly and for free saves a beautiful girl, does not roll compared to the abundance of scenes of violence and black magic. Well, it does not outweigh the evil spirits.

I liked it: the scene with a hike along the bottom of the sea under an overturned boat, but this is essentially darkness, because it's impossible to walk along the bottom like that. And nothing more.",1
Pirates of the Caribbean: The Curse of the Black Pearl,"There were only little things to like about this film, like the humor. And even the humor was to be found in the sections 'All Been Done Before' and 'Unoriginal?? What're You Talking About??!' (Cough)*Sarcasm*(Cough) The film was annoying, also because there were a lot of people who died, but only extra's, no one really important.

Maybe kids like it and love it, but this is not a pirate-movie. At least Jack Sparrow is not a pirate; Johnny Depp is a great actor, but the story makes him completely unbelievable, if he'd be a real pirate, he'd be much more of a bad-ass.

There should be no argue about tastes, but I hate to see this movie to be so high rated!",1
Pirates of the Caribbean: The Curse of the Black Pearl,"I can not remember the last time I saw a Disney film that was as bad as this is. Why do people who have had no acting lessons and are not fully trained actors continually get acting work at the expense of those that have been fully trained and therefore can act? Johnny Depp is proof of point of someone who has absolutely no ability to act whatsoever due to having had no lessons in how to act and is the complete opposite of fully trained and yet he keeps getting work in front of someone who is fully trained! The rest of the cast did rather well with the dreadful script, the storyline was almost non-existent, and didn't do anything remotely new. If half of The scenes where buckles were swashed and cut the rest shorter there still would have been far more than enough swash buckling to suit everyone that went to see the film. At over two hours long half an hour could have been taken out and it still would have been far too long! Johnny Depp's English accent was....well....let's just say it was obvious that it was an American trying to speak in and with an English accent, unlike Kevin Costner when he did Robin Hood Prince Of Thieves!

There was ABSOLUTELY NOTHING good about this generic pirate film. It had two story lines in it both of them having been told and shown countless times in far better ways numerous times before I wouldn't be at all surprised. OK so I Told a lie when I said there was absolutely nothing good about the film, as there was on thing good about it, the closing/end credits! Once they come on it means, thankfully, this extremely boring, exceedingly tedious film that has been stre-e-e-e-e-e-e-e-tched to as long as it can be can now be switched off!",1
Pirates of the Caribbean: The Curse of the Black Pearl,"Personally, I found this film to be a great disappointment. I am something of a history nut and so was disappointed by the amount of inaccuracy of the movie. For example:

1) Every cannonball in the movie exploded, yet they were all fired from long guns and so would just have been lumps of metal hurtling through the air.

2) Norrington had a huge ceremonial promotion to commodore. A commodore was not a permanent rank. It was simply a way of distinguishing between a captain who had been given /temporary/ command of a squadron and one who had not.

3) There were never enough sailors on any of the ships. Most ships of that era had literally hundreds of men aboard. The Black Pearl would have had at least 100 as a skeleton crew (no pun intended) and they would not have been able to use the guns or mount any sort of assault. It would have a full complement of something like 500, if not more.

4) All the sailors were bedecked in ridiculous uniforms. All of the sailors seemed to be wearing their dress uniforms all the time, which simply would not happen on any ship. As if this wasn't bad enough, some of those who weren't marines were wearing red, which would make them an anathema to all the other men in the ship.

However, action-wise, the film is very good, though Depp does begin to get on my nerves after a while.",1
Pirates of the Caribbean: The Curse of the Black Pearl,"This movie was absolutely horrible. I want that 2 hours of my life back. It is extremely predictable and written by a formula. Depp did his usual strong performance, but I wonder if he actually read the script before agreeing to do the movie. My guess is that he was looking for a money maker and the Disney logo spelled cash. It must be expensive living in France. Even though Depp performed well, the persistent intentional head bobbing was annoying. It could have been understandable if there was anything resembling a story.",1
Pirates of the Caribbean: The Curse of the Black Pearl,"The Lighting and color was OK in some areas but for the most part it wasn't colorful enough and the lighting was underdone. There needed to be more focus on shiny appearance of gold and classical cherry wood and golden lighting.

I remember some of the Disney stuff from the early 80's a picture book in particular that features the dog holding the keys at a dungeon and a massive cave system with beautifully illustrated treasure. This movie was nowhere near the standard of that. It came off looking as synthetic as the black pearl pirates in their ghost form.

I'm all for CGI in movies but it was very poorly done in this movie, some of the worst I've seen.

I wanted this movie to take me to the place i remember from the picture book I had as a kid unfortunately it failed miserably. Its such a shame more effort wasn't put into the fine details",1
Pirates of the Caribbean: The Curse of the Black Pearl,"Disclaimer: I saw a moderately crappy cam-version with a crappy dub (50% translation, 50% own creation).

Most people seem to enjoy this flick and I guess that chances are that you will too. I saw it (better to say some parts of it) yesterday and to say I was disappointed is to say nothing. After about one hour my dad said he can't bear it anymore and walked out. I followed him, but later returned, since I had to kill time somehow. My mother and 19 y.o. sister moderately enjoyed it (or may be just thought it would get better), but after less than two hours said they will watch it sometime later (read 'never') and stopped it.

Well, my impression was that the movie was pretty stupid and cliche. May be not the worst script, but nothing to write home about. The acting was either over the top (Johnny Depp) or bland and boring (everyone else). There might have been some brilliant special effects that I missed on the cam-copy, but I doubt it. There was hardly any sea worth looking at, and everything else was taken out of the Hollywood library of generic effects.

If you have nothing better to do, see it on the big screen, may be it will look cool (it probably won't). Don't pay much for the tickets, though.",1
Pirates of the Caribbean: The Curse of the Black Pearl,"Lots of action but overly long. Could have been cut by a half hour very easily. Some interesting special effects but the characters are difficult to relate to or really care about. Sheer fantasy that might appeal to those who want some mindless escapism. There are better films to spend your 140 minutes on. The special effects seem to be derivative of other modern action or horror films like Matrix and The Mummy. Most of the acting in this film is rather wooden and the actors seem to be just going through the motions, hoping it will soon end. But it doesn't. It just keeps going on and on and on. The musical score is the best part of the film. It is hard to believe they are making a sequel to this movie, but money talks. It was obviously a big hit and must have brought in a ton of money at the box office. I will take a rain check on the next installment.",1
