title,comment,rating
Psycho,"The films fairly good, except the parts that aren't. I had to study this film for my English essay, I'm having flash backs, that's why it loses one star. I didn't really like how at the start the protagonist was partially naked, it wasn't very pleasant being that it was what my essay was on so I say it loses 3 stars for that. The murderer scene was also boring, since one of my friends in class spoiled it for me, so it loses another 3 stars. And finally i don't really have a reason to remove the last 2 stars really. Overall movie was a great but i cannot watch it again otherwise, I'll be sent to an institution.",1
Psycho,Few movies out there that has left me traumatised. The infamous shower scene is without doubt one of the most terrifying murder scenes in any film. When I first saw that scene on the 100.,1
Psycho,"I literally thought Marion was gonna be alive throughout but instead in the midway through the film, she was then killed by that weirdos mother who is a crazy old hag. I was fairly disappointed because this is meant to be the top movies out there and it just didn't satisfy me.

What i would rather prefer:- Marion surviving the attack and then see her trying to get out of the hotel but couldn't as the crazy psycho mother blocks her every time she would try and escape. I even would like to have seen her and that weird son become a couple if she didn't get killed off so soon. Sure, she escaped to have a new life, why couldn't she go out with guys again? Regardless of that guy being so kiddish, himself and Marion ship would work!

I don't consider this to be the best Alfred Hitchcock film to be perfectly honest with you. If Walt Disney was alive, we would share lots of reasons why this film is crap!",1
Psycho,"Made no sense, boring and needlessly bloody. I don't understand why everyone was raving about it.",1
Psycho,"After having heard all the noise surrounding this film,I decided to watch this film as I had to give a presentation of a Stephen Rebello's book based on this film for my teacher Monsieur François Thomas at Cinema studies section of the University of Paris 3 Sorbonne Nouvelle. I was utterly disappointed as this film was not so chilling as I had expected it to be.Psycho is more of a character study of some oddball persons.In the beginning Hitchcock takes us on a guilt trip of a woman who is in love with a married man.Funny thing is that both of them know that they cannot find any happiness in their so called secret love.Later on we are taken for a ride as this bizarre woman steals a lot of money and without any rhyme nor reason decided to leave her hometown.Now everybody knows what happens after that.Psycho is a film about matter of taste. It might have appealed to the people of the sixties with their fascination for things black and white.But Psycho does not make any sense in the colored era of 2007.",1
Psycho,"OK, I get it. Psycho was filmed ages ago, and we have to watch it with with a mindset of someone who lived in the 1960's.

But, the story is so pedestrian, there is no suspense, no horror, nothing... To be honest, Psycho is a pretty boring film. Compared too Psycho, ""Plan 9 from Outer Space"" is gold, because at least it is fun/funny (intentionally or not!)

And what about the shower scene? What is so scary about it?

Hammer horror films from the same era were scarier and much better than Psycho.

The whole experience was very disappointing. Another example of the Emperor's new clothes.",1
Psycho,"Well, what can I say about this film. It's merely okay and the black and white makes the film seem completely dull and frankly quite boring. I don't understand what all this talk about the color being artistic but I found it repulsive. The acting in the movie was very mediocre, especially from the stiff John Gavin, the ever so proper Vera Miles, and the so serious Martin Balsam. Try watching the new Psycho and you'll find that these characters can actually have personalities. As for Janet Leigh, well she was good, but Anne Heche seemed more innocent, more human, and more sympathetic. As for Anthony Perkins, he's also so monotone, barely ANY emotion, and I struggle to understand why people rave over his dry performance. As for the ""mother twist"", well that was good but there are twists in about every horror film now a days and they are usually more entertaining than this joke. And then there is the shower scene which everyone says is so scary? Where have they been , I could pick out a dream sequence from any A Nightmare on Elm Street sequel that was done more creatively and powerfully. It was a simple knifing in the shower for god's sake, isn't watching the opening of Drew Barrymore in Scream ten times more chilling and exciting? Give me a break, when I went to Universal Studious they said the shower sequence was one of the most famous scenes of all time. Well, give an audience an opportunity to watch either that or the astonishing death of Piper Laurie in Depalma's Carrie, or the thrill of the finale chase in Halloween, and well see what brings more reactionary emotion of the audience. Well, what can I say about a movie that I will never understand? When people made the new Psycho some thought it was stupid because of the story--and so I know I'm not alone. It's just that these old foggies are so hung up on old movies that they are blind to see that modern movies provide for much more entertainment. Some old horror films like Rosemary's Baby are excellent, but this is not. As for Bernard Herrmann score, it's overplayed, can't he think of anything new to compose? Compare Pino Donnagio' lush score from Carrie opposed to this and see what's more creative and effective. What can I say besides people, this movie is simply average and that it might of have been good back then, but it's simply OK now. Do we still rave about the type writer just because it was original back then? I have spoken and I guess that Blockbuster Video agrees with me that the movie is too much of a joke to be placed in the horror section. It's in the Drama suspense category, and certainly a thrilless and dated film to belong anywhere else. Psycho remains as the most overrated film of all time and the new Psycho is a much better improvement.",1
Psycho,"When I read the novel, it really creeped me out. Not long after I watched the film and was disappointed. The only thing I liked in it were the story (which is absolutely the same as in the book), b/w cinematography and acting from Anthony Perkins. Shower scene and the scene when Bates runs in his mother's outfit were hilarious. What makes the film good is its story. Thanks to Robert Bloch, not Alfred Hitchcock! And come on, Hitchcock is overrated. Most of his films are very theatrical and acting in them is not credible. Billy Wilder and Orson Welles are much better directors, in my opinion. Sorry for my English. I'm from Russia.",1
Psycho,"considering this was in the top 250 of IMDb its hard to not watch this movie. i was expecting great things and what not. but alas it was disappointing in every way imaginable. may be it was something amazing or different in 60's but today it is just another predictable movie which wont impress today's audience. Just after the first murder i predicted its ending and not to my surprise the ending was just as predicted by me (trying not to write any spoilers) ..why its in top 30 movies is just beyond me. maybe only old people are rating these movies. and there might be a lot of them.

so yeah. its just not that thrilling or horrifying or anything it claims for today's audience. i am breaking the DVD right now.",1
Psycho,"This has got to be one of the most overrated movies in history. What, pray-tell, is soooo scary about a man in a dress weilding a kitchen knife? No atmosphere, painfully tedious dialog, and a slow moving plot make this ""classic"" not worth seeing. how could anyone be frightned by this piece of rubbish? Not I. If you wanna be scared, go see ""The Ring"" or ""Event Horizon"", two very under-rated movies that scare while making you think. If you want to see a no brain, guy-with-a-knife slasher flick..or better yet, if you need help going to sleep, then by all means, rent ""Psycho""",2
Psycho,"Okay, I'll agree that the shower scene is one of the scariest in movie history. Hitchcock did an amazing job with that. Unfortunately, the rest of the movie doesn't measure up. The scary start whimpers away into a movie of confusion that can only be described as creepy at best, dull at worst. It's a classic, but that doesn't mean it's good.",2
Psycho,"Did anyone of reviewers here actually watch this? Or did you click 10/10 JUST BECAUSE? I don't even know where to start, it would be easier to remember at least ONE impressive thing, than to list the cons. The acting: well, Janet Leigh is incredibly sexy, yeah, but overall it's just a farce in my opinion. Suspence/script: well, Idk, it's stupid even for a ""Dark comedy"". Visuals: one good creepy shot with a cop in the beginning (which leads nowhere at all), and that's it, other film looks just bad, even for ~1930's European films. Audio/music: mediocre at best. I think that it was already outdated when it was released, just watch some German films of 1910's (!!!) and 1920's for example, i'm serious. Better watch The Birds, a really good horror (at least until the middle) and don't ruin your impression of Hitchcock.",3
Psycho,"...infatuated & will mas...te watching a blonde woman murdered stabbed in the shower. Wonder WHY so many get 'fascinated' watching this misogynistic 'classic' of a woman murdered in the shower? Oh, she forgot to lock the door of her bathroom. Oh yeah, we all know about these Freudian guys dominated by their mothers, even after death but I got a better name for these immature, & dangerous idiots: 'mammas' boys'! Wonder why a good actress like the wife of Tony Curtis, Janet Leigh, & Anthony Perkins give themselves to produce this so called 'Hitchcock's classic' except for MONEY!! What ilk me is she was sorry for stealing the money yet ends in a gruesome way, while the murderer is sent to a loony house. In real life NO JURY will have sympathy for this 'Norman Bates', & in Arizona where it happens the story, he will be sent to the chair. Hitchcock did some great classics. I like the '39 Steps' of 1937, British, but don't think this British fatboy was all perfect. He did some good movies, & he did some overrated movies. THIS is one of them. Better watch the B movie classic 'Terror from the Year 5,000. And stay AWAY from the sequel, & the tv shows of the adventures of Norman Bates & his mother!",3
Psycho,"I watched this after some 30 years again.

I remember not being surprised by the revelations than and the rewatch showed why.

It is all very obvious.

Seeing it on bluray the continuation errors jumped at me. Place is dry after heavy rain, slight eye movement ( not the actress fault0 The body position, the trunk.

Some acting was good, other acting left to be desired. But it had more to do with the conversations which were cringe and unnatural.

The unnaturalness can be partly excused for Bates because of his condition. But the scene at the bank were the 40.000 dollar is given is pretty bad.

I do like the camerashots and the music.

Now i wonder if i should rewatch some other hitchcock movies.",3
Psycho,OMG. So obvious and not entertaining. Sorry. Couldn't wait for the end So slow,3
Psycho,"I can't believe this movie is regarded as some brilliant cinema classic. It was going great until the last fifteen minutes, in which it became absolutely ridiculous. It went from being hilarious and intriguing to downright fatuous. The murder scenes are completely cheesy and laughable. Her eye moved twice when she was dead. The monologue the psychiatrist gave at the end was embarrassing. I can see how in 1960 this would have been groundbreaking and shocking, however it does not stand the test of time. I give it a three for good acting.",3
Psycho,"I do not get why this movie is so popular. I wouldn't watch it again either not only because the movie is black and white, but also the story is simple, but crazy. It do not get into time nowadays. But still the actors were good. I knew this movie from my parents but I expected also a bit more than the movie showed. What I actually like is that the movie is about real happenings, so that it interesting on the other side. It wasn't very exciting. The audio is cruel from todays view, but great for older times. The story was not awaited and simple. So for me it is a movie which was good in times before I lived, but I would rather watch horror movies that are in cinemas today.",3
Psycho,"Granted, this movie might be of a lot of artistic value, with all the cinematography amongst other things, and also it might have scared a lot of people in the older generations. But I don't see any reason why this movie should be rated 1st amongst the Horror movie genre top 10 in contemporary times. Imagine an average Joe who wants to spend his precious weekend day watching a good horror flick with his girlfriend to get to cosying up. He would expect the no. 1 in horror genres on IMDb to be pretty scary to say the least.

Not only did this movie failed to ""horrify"" the both of us, we did not find this much of an entertaining thriller as well(as it is just that--a thriller). Not sure why it's listed in the horror category. Do not recommend this movie if your situation is similar to what I described above. Maybe if you're a movie enthusiast who loves the cinematographic detail, go ahead...",3
Psycho,"1960 was in a way the beginning of modern horror. Before that, horror movies featured monsters and mythical creatures, and monster movie was synonymous with horror movie. This all changed in 1960 with the release of this movie and the inferior, controversial, career-destroying Peeping Tom. These movies showed the worst kind of monster: a human being.

The plot follows that Marion Crane (Janet Leigh) embezzles money for herself and her boyfriend, Sam Loomis (John Gavin). She stays overnight at the Bates Motel, run by Norman Bates (Anthony Perkins). It's not a surprise to anyone that Norman Bates is the villain of the movie. That is one of the primary problems with this movie: Norman is the only likable character in the entire movie. He's handsome, but shy and misunderstood, so he can't have a relationship outside of his voyeuristic fantasy life. This is a grave contrast to Marion Crane, a sleazy, immoral character.

All is going well to this point; it looks like it might get interesting, but starting with Marion's murder, it takes a 180. Her murder is one of the worst (not most brutal) I've ever seen. While the killer is supposed to be stabbing her to death, the camera jerks all over the place. Epileptics should definitely skip this part. John Carpenter did a far better, less obvious obscuring of graphic murders 18 years later in his Halloween.

The movie then goes from bad to worse, as we observe some of the going ons in a small town, with Sam and Marion's sister, Lila (Vera Miles). Here is where it gets really boring, showing us inconsequential pieces of small-town life. Unlike Halloween, which was based on the introduction of a madman into the everyday life of babysitters, Psycho's second half is little more than filler. There is essentially no connection between the first half and the second or between the second half and the first. It just meanders for a half hour or so.

The climax really comes out of nowhere. The special effects aren't that good (in fact, they're awful), but it is the best part of the movie: Sam tackling knife-wielding, cross-dressed Norman and the following scene providing a glimpse into Norman's mind, something that nothing before that had done.",3
Psycho,"""Psycho"" was definitely a decent film, no surprise as it was made by the great Hitchcock at the top of his game. But the film was just too predictable and had too many laughs where they were not supposed to be.

I mean seriously. I can't speak for the crowds in 1960, but if anyone watches this for the first time today, it's pretty obvious where this entire picture is going after we go to the motel for the first time. The title itself is clue enough (he's a ""psycho"" after all) but really, I can't see anyone not guessing the big 'secret' of this flick way before the ending.

The film's main characters are cast superbly. Janet Leigh looks great and sexy, keeping the film from being too boring because she's so beautiful and good on screen. And of course Anthony Perkins does a pretty decent job. He doesn't give the awe-inspiring heart-stopping performance that fans of the flick seem to think he gives, but he is very good indeed.

The ingredients of the movie are put together very nicely, with the music and editing utilized for the maximum effect. Hitchcock definitely shows why he's known as such a great talent in these respects, putting it all together beautifully.

Unfortunately, the film suffers from too many laughs where they aren't supposed to be. When Norman first indicated he's a little ""psycho,"" it's very funny watching him and his serious face as he gives clues he's such a nut case. With ""Mother,"" whenever ""she"" talks (and yells), it's just too funny not to laugh at it. Even the scene when Norman carries ""Mother"" form her room is funny, as she talks her nonsense as he carries her out with her legs dangling.",4
