title,comment,rating
Pulp Fiction,"Now I like john Travolta but after his partake in drug fourtay I have been lit, by lit i mean pist off...like how are you going to make movie with kids partake in some movie involving drugs it just isn't a okay it isn't right...not at all...like I outta sign ya both up for jail and drug rehab that isn't funny either...man I like can't see how your able to ever be around children I ain't playing at all.",1
Pulp Fiction,"Witty dialogue about nothing that doesn't play into other scenes is what first time writers do.

WTF is wrong with all you people.

The Action lines in the screenplay don't reflect the good performances of the actors in Pulp Fiction.

WTF is wrong with all you people.

The sensationalised violence is as we all soon discovered, cliched. A cheap device for quick attention and a cult following.

WTF is wrong with all you people.

A tale that doesn't need to be told is recipe for a generation that is lost and dying on the inside.

WTF is wrong with all you people.

A new take on the hitman genre is to be respected but not with such a juvenile character arc that if authored similarly by someone else, would fail.

WTF is wrong with all you people.

Pretentious characters that are almost caricatures of their own lives is not juxtaposed reality as some have suggested it's weak and telegraphed writing.

WTF is wrong with all you people.",1
Pulp Fiction,"Needlessly violent, and gross. Making this film Non Linear just distanced me, so boring. I need LGBT in the film, to make it good. Nothing about it is Modern, just 90's crap that needs to die. One of the worst movies ever made! And I like some of Tarantino's films.",1
Pulp Fiction,Overrated horrible a fully waste of time baseless logicless,1
Pulp Fiction,This movie had a great soundtrack. That was the only great thing about it.,1
Pulp Fiction,"Although i knew that its not for me ... i decided to watch it while i was rooming through tv channels and i said why not , but i was right ... i dont like these kind of movies and i don't think it is very hard , i know its cult and pop favorite but for me its just blood and sex and bad words and very loud music.",1
Pulp Fiction,"Excellent. Excellent. Excellent Absolutely different Excellent, excellent, excellent It is so well written Excellent, excellent. Excellent, excellent.",1
Pulp Fiction,"This is the sadest movie I've ever watched: I was so sad in the, when I realized I've wasted 2 hours and 34 minutes watching this nonsense. This movie has got no meaning and no scenario. I didn't even laugh a second. Definitely the worst movie I've watched and the biggest disappointment. I was hoping for something at least good.",1
Pulp Fiction,Like most Tarantino movies overrated. He has a knack for knowing how to market his films but they seem to be nothing but a collection of disjointed shock value.,1
Pulp Fiction,"Tarantino is EXTREMELY overrated he wrecks every movie hes every made with gratuitous sex and EXTREME vulgarity. To me a great director doesnt need either. You want PHENOMENAL characters watch Tombstone see kurt Russell in a western with a REAL director. Its miles better than hateful 8. You want ultimate dialogue watch Bone tomahawk. This guy is a butcher he uses mother fu.... every other word in pulp fiction he has a guy on guy rape scene in hateful 8. I actually would have watched that with my dad but he wouldn't ever watch a movie with me again if he did. The actors in hateful 8 are PHENOMENAL but the added bullshi. Wrecks it. Pulp fiction is all over the place and the best scenes according to critics and viewers are ALL VULGARITY AND VIOLENCE AND RAPE!! Quit saying how great he is, his movies are over the top violence, vulgarity, and out right BORING!! The best director EVER. Was Alfred Hitchcock!!!by a fricking mile!!",1
