title,comment,rating
Schindler's List,"Spielberg's 70's and 80's movies are all fantastic. I am sorry but this one is not in line with all these former ones.

Liam Neeson is a great actor. And a few others, too. But 3hrs 15 min is way too long for a movie.

And there are so many actors who are constantly mumbling. That makes it hard to understand what they keep saying.

The constant shootings are also terrible to watch. Germany's Nazis were of course brutal criminals, and that needs to be made clear. But the focus shifts too late to Schindler's rescue operations.

The soundtrack is very good. The black & white filming is also good. It would have been better though to let Schindler be clear about his intentions from the start.",1
Schindler's List,"I didn't know that I would ever be glued to a screen like I was while watching this movie and recommend anyone who hasn't watched it to do so as its so thrilling and story telling. As usual if you are a Lian Neeson fan then this movie is for you to watch and trust me, he never disappoints in his movies. By watching it, you can get the idea Nazis and Jews and how Schindler handled his part of the business. I don't want to spoil any thing for you guys as I recommend that you watch it by yourselves and enjoy the thrill that the movie entails. The first 20mins might be heavy but the rest is top notch.",1
Schindler's List,"I think the same way, seeing this again some thirty years later. The first large book I ever read was Shirer's Rise and Fall of the third Reich, when I was eight years old. I learned from that book that my title here was the favored German idiomatic expression as they dropped the hydrogen cyanide down the chutes. Since then I became a student of 'The Final Solution"", and I have probably read every major book on the situation, in English and some in the original German, and many minor works that survived, written by victims, and smuggled out of different camps. There's a wealth of material, as those involved were meticulous record keepers, so it's a gold mine for historians, something I'm formally not, but informally, I am informed. ""As such"", I find Schindler's list just accurate, yet artsy enough, (the little girl in the pink dress) to be offensive. Nowhere in the literature, from. 1925 on, is there a reference re: the ""Jewish problem"", until Saint Spielberg, to the exterminations or the immediate strategies that lead to them, as the ""holocaust."" It took the director and his staff writers to coin that term, to commercialize events sacred in their awfulness. Nothing is exempt from profiteering and it's naïve and stupid to linger on that. It is more enlightening to see some of the black and white still photo's the SS took, or see Kantor's watercolors, or study the precision of the rail system deportations, or read the detailed forensic reports of Mengele's experiments, then to take this calculating tear-jerker, that presumes to hold itself up as ""art', as authoritative. For all its crudity, it pulls punches. It suggests things, then pulls away to let your knowledge and imagination fill in the blanks, to create an ""emotional ride."" The worst of the camps weren't the fast executions by gun-shot. By comparison to most of it, that could be considered compassionate euthanasia. This movie should never has been made. Before this movie, some people's first exposure to these events, there was immense documentation about the extermination, the genocide, and it was not generated to be regarded as art, or designed to make one Jewish man fabulously rich. Profiteering from engineered nightmares is standard procedure for the human race. Schindler himself made his greatest fortune helping Nazis until his moral epiphany. Spielberg, a man upon whom parallels aren't lost, has made a fortune depicting disasters since Jaws; and hardly an irony, looking at the Tarot of human nature, that this great story drove it's real hero broke, but it's celluloid effigy generated some three hundred million in profits. There are not many events in human history, probably none, to equal the mechanization of death and degradation that started in Germany a few short years ago, and the unbelievable profundity and enormity of it can certainly never be forgotten, ever, but we don't need, I certainly don't anyway, to see it commercialized like this. Imagine the most intimate misery of your life being made the subject of corporate marketing. Then magnify that by six million, and you get the idea.",1
Schindler's List,Boring. Wasted my time on this movie. Dissatisfied.,1
Schindler's List,"Schindler's List strives to be hailed as an unparalleled cinematic achievement, yet upon closer scrutiny, it becomes painfully evident that the praise it garners is wholly undeserved. Upon a recent reevaluation, undertaken to validate my initial impression from years ago, it is imperative to call into question the intentions of every individual associated with this production, particularly Steven Spielberg, for subjecting audiences to the cinematic ordeal that is Schindler's List.

Schindler's List falls astonishingly short in delivering any semblance of depth or insight. It possesses neither the intellectual acumen nor the emotional resonance to offer a nuanced perspective on the Holocaust or the human experience during that harrowing period. Instead of grappling with the profound complexities of its subject matter, Schindler's List seems content with indulging in a superficial and manipulative portrayal of historical events.

Schindler's List's aspirations to be poignant and profound are regrettably misplaced. The film's overt attempts at eliciting sympathy and pathos are overtaken by its evident desire to manipulate the viewer's emotions. Spielberg's heavy-handed direction, coupled with John Williams' score that underlines every emotional beat, only succeed in detracting from the authenticity the film aims to convey.

Schindler's List's narrative approach is marred by its reliance on shock value and graphic imagery. Rather than engaging with the historical narrative in a respectful and thoughtful manner, the film often descends into gratuitous scenes of violence and suffering. This reliance on visceral images and sensationalism diminishes the potential impact of the film's central message and serves to exploit the suffering of those who endured the Holocaust.

The performances, while praised, are marred by their overtly theatrical nature. The characters, particularly Oskar Schindler himself, often feel more like caricatures than fully realized individuals. Liam Neeson's portrayal, while lauded, veers into the realm of self-congratulatory heroism, failing to capture the genuine complexities of Schindler's motivations and actions.

Spielberg's choice to accompany nearly every scene with an emotionally charged score is a transparent attempt to manipulate the audience's sentiments. This musical heavy-handedness serves to underscore the film's lack of subtlety and confidence in its own storytelling.

Schindler's List is an exercise in exploitation rather than a genuine exploration of historical tragedy. Its reliance on manipulative techniques and its inability to engage with its subject matter in a thoughtful and respectful manner taints its reputation as a significant cinematic achievement. The film ultimately serves to trivialize the horrors of the Holocaust by reducing them to a spectacle for the sake of emotional manipulation.",1
Schindler's List,"Took me years to finally watch it through. It feels so lazy, cheap and boooringu... That's it.",1
Schindler's List,"I watched this movie twice expecting a great movie as it always seen at the top of the lists, but unfortunately it has been overrated, the sequence and rhythm is v slow, many incidents historically untrue, no scene has left any kind of impact, sorry but the truth is ""easily forgettable movie"". I'm not convinced that the scenes show the Jews in their miserable conditions under the Nazis had any influence on the human feelings, i never felt any kind of sadness or sympathy towards them as the movie should, but monotony and long waiting moments. If there is honest rating for the movie it should bottom the lists, watching such film just a waste of time. No added value or information or any kind of entertainment could be gained.",1
Schindler's List,"I never understood (and will never understand) why this movie is so applauded by such a large number of people! an average of 8.9 seems just impossible to me! I will start from the dialogs. This movie had long dialogs. I've seen movies with long dialogs which I've enjoyed every sentence of it, but the dialogs of this film were just plain boring! Even IF we accept that the dialogs were meaningful, this doesn't cover the serious lack of enthusiasm in the dialogs!!! no excitement whatsoever in their speeches!!! This movie failed to make me care what was gonna happen next. And finally, though it may be appealing to some, I can't come to finding any interest in the Idea of making a black and white movie in the 90s!! I know many people may disagree with what I said, but with the reasons I have given, I believe it's not unwise that I expect at least a fraction of the crowd to agree with me; therefore it's just unbelievable seeing an average of 8.9!!!",1
Schindler's List,"Cinematographically perfect, deeply moving, tragic, horrifying -- and yet I give the movie an F.

The movie depicts a German nazi who slowly becomes aware of the criminal nature of national socialism and from that moment on tries to save the lives of Jews by hiring them for his alleged matériel factory.

Now, the point is, the film premiered at a time when the majority political as well as public opinion in Germany agreed (it still does, and more than ever!) that there should be a close to the debate about ""this darkest epoch in German history"". I have the disagreeable feeling that in Germany - maybe elsewhere, too - the message of movie is: ""Yes, there *were* Germans opposing nazism, but now lets no longer talk about this topic. Period.""

However, as long as the causes for fascist thought persist, history has got to be told!

Spielberg does tell an impressing story, but unfortunately the wrong one; which is not to say that Schindler didn't take the right decision, rather that it would have been wiser to make a movie about a non-nazi antifascist.",1
Schindler's List,"Yet another pretentious, overblown ""meditation"" on a serious subject by a Hollywood director. That is how I would sum up ""Schindler's List."" But maybe my view is skewed by the fact that I have actually seen other movies that deal with this subject -- from ""L'Enclos"" (out of print) to ""The Pawnbroker."" ""The Pawnbroker"" is a devastating indictment of man's inhumanity to man. ""Schindler's List"" pales by comparison.

Looking at the details of ""Schindler's List"", the movie opens promisingly with a wonderful assortment of authentic German cabaret songs coupled with black and white period scenes meant to evoke the raciness and fun of Berlin before the Nazis rose to power.

All well and good. But then the movie falls apart in its depiction of a drunken, debauched and undisciplined SS concentration camp commander whose romps take place in a cliff-hanging house overlooking the camp.

This is so far from the reality of what took place in the camps, and the way they were organized, as to be silly.

Schindler's rescue of the Jews is decently portrayed, but the movie goes into ""overblown"" mode with its drawn-out portrayal of the train approaching the gates of Auschwitz.

Were there crashing cymbals, a hundred violins playing, and trumpet fanfares to signify to the audience that this moment was tragic in case they hadn't already figured that out?

I don't remember. Let's just say that Spielberg's approach -- in this and some of his other movies -- is the very opposite of subtle.

Now, I really have nothing against this movie otherwise. It's okay, that's all.

But I'm amazed at the adulation it is receiving from an apparently uncritical cadre of adoring fans.

Turning the Holocaust into what amounts to a soap opera and an ego trip for the director strikes me as pathetic. It seems that too many young directors in Spielberg's generation were given gold stars before they really deserved them. Not unlike kids in school today getting A's ""just for being you.""",1
