title,comment,rating
Shutter Island,"23 years before Dennis Lehane published his novel, spanish writer Torcuato Luca de Tena published his one, called ""Los renglones torcidos de Dios""

Of course, as it happens often with writers, hollywood, etc, Luca de Tena never saw a dime from this blatant ripoff of his novel

The spanish novel, later turned into a great movie with the same title and an incredible actress, is much credible. In fact, Luca de Tena spent 15 days at a mental hospital before writing his book in order to understand the world of the mentally ill.

Shutter Island is just a mess of a story mixing the usual and irrelevant nazi stuff that every movie Hollywood today seems to always have to have, plus inferior acting compared to the ones from the spanish movie

This is a purely commercial version of a masterpiece (I read the original spanish book as well)",1
Shutter Island,"It was almost like watching Incursion again with all the flashbacks. The movie included nudity and foul language that was not needed. I only got half way through and couldn't stomach it!

It was almost like watching Incursion again with all the flashbacks. The movie included nudity and foul language that was not needed. I only got half way through and couldn't stomach it!

It was almost like watching Incursion again with all the flashbacks. The movie included nudity and foul language that was not needed. I only got half way through and couldn't stomach it!

It was almost like watching Incursion again with all the flashbacks. The movie included nudity and foul language that was not needed. I only got half way through and couldn't stomach it!",1
Shutter Island,"Shutter Island is a 2010 American neo-noir psychological thriller film directed by Martin Scorsese!

Don't waste your time ! I lost 2 hours watching this ridiculous, stupid movie! The worst movie I saw in my life ever! Don't waste your time. Leonardo Di DiCaprio was good but he couldn't save this nonsense! It's crazy, criminally insane! Two and half yours I will never get back. I don't understand why Martin Scorcese directed it! The music at the beginning was dramatic! Everything was ridiculous. Mark Rufalo was ok but nobody, I mean nobody could save this insane movie. The ending of ""Shutter Island"" reveals that DiCaprio's character is a patient himself, committed to the Shutter Island facility after murdering ...",1
Shutter Island,"Just like the Korean psychological thriller Old-Boy, this movie also loses the shape of the plot as we progress towards the end. You keep running behind the back-light of the train, hoping to catch it, and when you are about to catch it, they tell you that's not real.

wasted two hours watching this pathetic movie",1
Shutter Island,"I really wanted to like this movie. I loved the look of the film. I also loved the score. It did a good job of enhancing the film. The first 15 minutes or so were good, but everything from that point to the full reveal were boring and monotonous. It wasn't clever in the least. It all felt like a string of ragtag incidents sort of tenuously strung together that really prevented watcher from emotionally connecting with DiCaprio's character. The only part of the movie that I liked was the reveal. That is just not enough to leave a viewer feeling good about having invested the time in getting to know the characters and following their stories.",1
Shutter Island,"World Premier viewed on Valentine's Day, 2010 at the Berlin Film Festival. A U.S Marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane. ""Shutter Island""-- should be shut down quick before it escapes...

Scorcese's SHUTTER ISLAND is a P.U. (it stinks!) production from Paramount, a picture to commit suicide over immediately after use. But Sir Ben Kingley and the Swedish Angel of Death, Max Van Sydow have at last found their ecological niches in cinema history -- as -- uncompromising ultimate GHOULS! I would have ankled this piece of unmitigated water torture after thirty minutes, but being wedged into a balcony seat at the Friedrichstadt Palast theater and unable to extrude my body without disturbing the whole balcony, I was condemned to suffer through the entire torture session to the bitter end. I did try to close my eyes and think of other things a few times, but even that didn't help much. This is pure unadulterated insanity and mindfuck without a letup. The music selections by Mahler, John Adams, John Cage, and others of the Depressia Profunda School, were carefully chosen to provide the film with a certain intellectual cachet, while enhancing the mood of endless misery with a No Way Out conclusion. In the film the exceedingly creepy doctor Kingsley and his Frankenstein like syringe clutching crony, Von Sydow, on the Evil Island where experimental Nazi type brain operations are going on, are trying to convince Govt cop Dicaprio that he has lost his mind, and finally succeed in doing so --but by this time the audience has also been driven pretty much gaga as well.

Mr. Scorcese is obviously trying to outdo Kubrick in ""The Shining"", but where the Shining had some shining moments, lots of verve, and a bit of a sense of humor, this extended piece of dark mumbo-jumbo has no redeeming moments, no verve or social value whatsoever, certainly no sense of humor, and plods relentlessly on and on aiming for the jugular vein of the mind. This all only goes to prove that Mr Scorcese could probably use a complete brain transplant himself before carrying on. He shoulda thrown in the towel after Raging Bull, but he is apparently too much in thrall with his ""great Hollywood director"" image to know when it's time to quit. (He did say he was ready to quit a few films ago, but has sadly reneged on this promise). ""Shutter Island"" (or, The Isle of Ultimate Ghouls) was definitely one to ruin Anybody's Valentines Day. I needa drink! The location of the film is, incidentally, a Devil's Island type islet off the coast of Massachusetts which will probably not do much for tourism next summer.",1
Shutter Island,"Martin Scorsese will continue to be worshiped by Liberals so long as they remember his profane Jesus movie. They are thus condemned to suck up to awful drivel like Shutter Island.

Who could think that a movie about a mysterious island with a mental institution on it, being investigated by two hotshot federal agents; how could this be boring? Trust me, or suffer for it.

Notning interesting happens after 30 minutes except a brief climb up a sheer cliff.

Besides being boring, the movie is anti-American in its John Kerry-like spin that American soldiers mass-murdered the German guards at Dachau. Never happened, captain. Even though this is taken back later in the movie, the image of the lie stands tall.

It is also one more movie that underlines the lie that World War II was about the death camps and the Jews. It wasn't. It was about the bombings of London, Rotterdam, the invasion of Czecholslvakia, et cetera. Seriously, nobody back then was concerned about the Jews.

In Shutter Island, pretty much everybody goes nuts. Reality is mixed with hallucinations, but in no way is this made interesting.

One last pot shot: I used to like Mark Ruffolo, but not anymore. Too many of these Hollywood empty-heads can't keep their traps shut. So OK just like Sheryl Crow and her one piece of toilet tissue tirade has ruined her music for me, so Mr. Ruffolo's desire that Bruce ought marry Kevin and that Megan ought marry Mary Ann. Go for it, Mark, if that's your thing; too late to put a sock in it.",1
Shutter Island,"What is it with the movie-going public? I finally forced myself to watch this film to the end & couldn't believe how lame it is. (BTW my wife agrees & dislikes it even more than I do, if that's possible). For one this the plot is so preposterous & predictable, I could have guessed the ""twist"" when I was 10 years old. Heck I could have written it when I was 10. Then, what is it with Dicaprio? Why is he wearing that weird 1930s prison gang hair in a movie that takes place in the 1950s? I'm surprised the guy's gotten any work after the Gatsby joke of a film. And Revenant? Come on, I'll take Richard Harris as Hugh Glass any day.",1
Shutter Island,"This is a tasteless movie. At the end of it I had nothing but a feeling of sadness for the wasted time. It is one of those movies that one remembers nothing of it after a few days. And Leonardo DiCaprio was a bad choice for this role. Nothing to do with his style or quality, but this role demands a different type of actor.

Movie has an incoherent plot, ending with a annoying twist, which makes entire thing worse.

Teddy and Chuck are two FBI marshals assigned to find out how a psychopath woman escaped from Criminal Insanity Hospital Prison in Shutter Island. They are not welcomed and cooperated by the doctors, and officers there. As the events unfold, Teddy confess to Chuck that he wanted this assignment in order to found out the murderer his wife, Andrew. According to him, Andrew murdered his wife by burning their house. And Teddy thinks he is in this hospital, and wants to punish him himself. But as the story goes, Teddy becomes unstable. And at the end, story takes a big twist. Teddy is in fact Andrew. He was a sick person himself at the hospital. He was fooling himself and tries to fool others by such a story he invented himself. And the head psychologist at hospital arranged the plot to enable him to play what he believes. Because head psychologist believed that in this way Teddy will come to a point where he will consciously accept the fact that he is Andrew and killed his wife. In fact nine months ago, he confessed that he killed his wife. But after that he again started playing this theatre. Indeed Teddy is Andrew and killed his insane wife, because she has drawn their kids.

At the end, Teddy accepted all the truth consciously, but also chooses to continue to play the game. And as a result of it he will get lobotomy operation, a brain surgery to turn him to a controlled person. Because hospital is also brain research center, and using hopeless cases for Government test, and research programs.",1
Shutter Island,"There are bad movies, boring ones, ridiculous ones, and then there's Shutter Island: a league of its own. It's hard to believe this is a film by one of the greatest directors of all time. This 'psychological thriller' is strangely overrated, badly written, dragged out and utterly boring. ""But, but, but the twist at the end"". Yeah, the twist. It's foreseeable for at least an hour. I never read the novel but would judge it's simply not movie material. Why Scorsese touched this remains a mystery. The script is packed with way too many characters no one cares about. The most annoying of all: Leo Di Caprio. It's all so slow moving and sleep inducing, made worse by that lame soundtrack. And everyone in this movie seems bored. No wonder.",1
