title,comment,rating
Spider-Man: Into the Spider-Verse,"That movie is obvious nonsense. I can't quite pin down how you nail parallel universes. Well, this movie fails at the alternate timelines abysmally. For a starter, you need to see where the alternate timeline went wrong. You're not allowed to spit at our timeline. You can try. But it won't work. Personally, I like that second ingredient of similarity between timelines. I love it when tiny changes of events make a huge difference. Thirdly, I love it when alternate timeline-selves act normal about horrendous things. Rick and Morty is good at that third point. Star Trek The Next Generation's episode ""Parallels"" absolutely nailed all that, for my taste. In the early 90s! TV show Sliders failed at all three points. This movie is even worse. Or maybe I don't care for the alternate Spidermen. Oh, and a fourth ingredient: Nothing could ever be at stake, once you master parallel universes. Just slide into your favourite timeline. To create any plot with a tension, there needs to be something wrong with your sliding. While normally, nothing matters. ""Nothing matters"" becomes the standard attitude, unless you introduce plot devices/obstacles into parallel universe adventures.",1
Spider-Man: Into the Spider-Verse,"This movie has the worst dramatic moments i've ever seen in movies, sound is bad in it, characters are bad, plot is the lamest, lazy writing overall, only first 30 minutes are fine, the rest is terrible",1
Spider-Man: Into the Spider-Verse,"Unwatchable, apparently they had 180 artists on this movie that decided to go with the worst art style ever, after 10 mins I thought my tv was broken so I tried it on another 1, was exactly the same, stupid out of focus backgrounds & trying something that didn't need to be done. I hope they do a in focus version because I would like to watch it. Stupid art department decision",1
Spider-Man: Into the Spider-Verse,"I went into Spider-Man: Into the Spider-Verse with high expectations because everyone made it sound like a masterpiece. People kept calling it ""groundbreaking"" and ""one of the best animated films ever,"" so I figured I was in for something special. Instead, I found it nearly unwatchable.

The animation style, while unique, felt like an over-the-top, chaotic mess. I get that it was supposed to resemble a comic book, but for me, it just looked like visual clutter. The frame rate shifts and flashy effects were more distracting than immersive, and at times, it even felt like my eyes were struggling to keep up with what was happening on screen.

Story-wise, it was just another superhero origin story with a multiverse twist-nothing as groundbreaking as people made it seem. The pacing was all over the place, jumping between action and exposition without giving enough time to care about the characters. Speaking of which, most of the supporting characters felt underdeveloped, and the humor didn't land for me. I found myself rolling my eyes more than actually laughing.

I can see why some people enjoyed it-the visuals are different, and the concept of multiple Spider-People is fun in theory. But for me, this was style over substance. It felt more like an experiment in animation than a film I could truly enjoy. I wanted to love it, but instead, I just kept checking the time, waiting for it to end. Definitely not for me.",1
Spider-Man: Into the Spider-Verse,This movie was an alright movie. However it's not worth the all the hype it's getting. The story is all the same. The movie looks like it was created for small children. Not really an exciting movie.,1
Spider-Man: Into the Spider-Verse,"If I could give this a zero I would. Congratulations. You just bumped Forrest Gump into the second most boring movie of all time, and that is no small achievement. This movie was boring from the start, and only got worse. The voices of the characters made me think they picked people from a junior high play to read the parts and they were reading their lines for the first time, and they were recording in a studio with terrible acoustics. Terrible. Worst voice overs ever in an animated movie. The visuals were unappealing, the music was extremely annoying, and I don't know how anyone over age 5 could enjoy this movie.",1
Spider-Man: Into the Spider-Verse,The worst film I have ever seen. Repeatative rubbish with a rubbish storyline.,1
Spider-Man: Into the Spider-Verse,"This movie is just typical Disney / Marvel nostalgia trap. The plot makes absolutely no sense, and there are no stakes. At the end of the movie, it appears that a main character dies, and in 3 minutes he's totally fine. It's just a Disney money grab and it doesn't deserve to be on the IMDb top 250.",1
Spider-Man: Into the Spider-Verse,"I couldn't stand this ridiculous mess of a film, the animation was horrible & the story was stupid & it was so unfunny & well just a mess in my opinion but I'm sure many will probably love it, glad I'm different",1
Spider-Man: Into the Spider-Verse,"I'm a lifelong Spider-Man fan, and this is probably the worst venture of the whole series. I lost interested w/in about 15, 20 minutes.

Nobody wants Miles Morales as the primary Spider-Man, but that's not even the reason this was so bad. It was just... STUPID. The 1970's TV movie w Nicholas Hammond was better.

Plus, the entire story was already played out on TV (Ultimate Spider-Man?). It was just an unnecessary, unwanted, and poorly executed venture.",1
Spider-Man: Into the Spider-Verse,"Not like the original movies that had you at the edge of your seat with a plot. Very corny. Story very poor with no plot, yet animation good for action.",1
Spider-Man: Into the Spider-Verse,"Popular among fans certainly, its visuals are well done, but for me the plot felt flat, everything else is ok.",1
Spider-Man: Into the Spider-Verse,"If this movie is for the kids, I doubt if any of them will even understand the plot and the purported humor. They tried to complicate the plot too much. So it is the adults who are going ga ga over a kids movie. So much for the purpose. But who cares when the box office cash is flowing. I found the plot to be mushed and too complicated. The animation seemed blurred in many places. I dont know if that was the intention. And the 3D effects are nothing to rave about. Very Ordinary.There are far better 3D animation movies out there and I wont rate this in the list of Top-10 3D animated movies..",1
Spider-Man: Into the Spider-Verse,Everything that was Spiderman and Peter Parker was abused in this piece of video. I have grown up watching Peter Parker and Spiderman and getting inspired from him. This movie annihilation of all it. It's a junk made with a thought. It puts every Spiderman fan to shame. Very poor story that makes nosense. Movie is just commercial cheap flick. Even as action movie it remains dead. Would inspire none. Strange to see critics like it. Well critics usually binge junk either ways.,1
Spider-Man: Into the Spider-Verse,"Awful, just gave me a headache. poorly made. Wouldn't recommend to anyone especially if you like marvel",1
Spider-Man: Into the Spider-Verse,"Saw this today thanks to AMC's A-List. It was truly awful. I fell asleep and when I woke up, Miles formed some sort of Spiderman team with some Japanese girl in a suit, Spiderman Noir(?), Spider Pig, who I actually remembered from the nineties and some other characters. This was just absolutely weird. This movie was just all over the place, I don't think Marvel could possibly have had anything to do with this mess unlike Spiderman Homecoming. I'm at a loss as to why Sony has problems making a decent Spiderman/Venom movie. Yes, I know Venom did well, but let's be honest, people only went because Homecoming was so good, so they thought Venom would be as well. They didn't know Marvel wasn't allowed to have any say on that film though, sadly.

Thanks for wasting 2 hours of my time. Don't waste yours.",1
Spider-Man: Into the Spider-Verse,Bad movie. Very badly made. Too much hype and no content. Will never watch another superhero animated.,1
Spider-Man: Into the Spider-Verse,"No story depth whatsoever. Plot holes everywhere, lack of scientific complexity and explinations, backstory. Yee ha; boo",1
Spider-Man: Into the Spider-Verse,I was so excited to watch this movie..heard so much hype..it was totally disappointing..This is the worst spider-man movie ever..After seeing all those swirly colors- i literally dozed off for a while...so better i would stick to homecoming & far from home. Into the Spider-Verse was nice concept but bad cinematography..No sequel please,1
Spider-Man: Into the Spider-Verse,"I'll give you a point for the animation but nothing else, the historytelling Wars crap.",1
Spider-Man: Into the Spider-Verse,"My Eyes! I couldn't even finish watching because of the awful animation. The way the characters moved was so unorthodox, it became disorienting and eventually painful, I had to leave theater. I was determined to finish the movie so I came back and just listened to it with my head down. Might be a good comic book but for me it was an unwatchable movie.",1
Spider-Man: Into the Spider-Verse,"I though the plot would be more detailed and mature .Instead it is a very generic story that doesn't pick pace . Plot development has clearly taken a backseat to visuals .It feels like watching a 2 hour videogame .May appeal to geeky teen boys , nothing for adults here !!",1
Spider-Man: Into the Spider-Verse,"Terrible music. Entirely unnecessary, useless and annoying music. Ruined the movie. Average movie overall, and incredibly overrated. The worthless and mindless music started blarring at least 10-15 times throughout the film. Very shallow and annoying rap nonsense. Can't deal with it. I have never seen a movie with less fitting music.

Way to many spider ""men"", including unbelieveably cheesy and annoying unfitting representations of the character.

It was just a super cheesy movie, and it was entirely unneeded and directionless.",1
