title,comment,rating
Spirited Away,Im inviting you to participate to an act of charity where you can save 2 hours of people's life. All you have to do is to give the rating 1 and excluding this beautiful film from top 250. Come on man on 28 position means better than The Lion King? with all respect to these 200.000 Japanese users who rated this movie as of now...,1
Spirited Away,"Okay, I'm an American male adult. I didn't see anything special about this film. I still love children's movies, when done well. This one completely failed to capture my attention. Granted, I don't understand (and therefore appreciate) Asian culture, and maybe that's the whole reason for my dreadful review. The value of art is largely objective, and my point of view is that it stinks. Not putting anyone down who enjoyed it. I understand that it wasn't made for people like me, but I saw it anyway, and this is my two cents.",1
Spirited Away,"So bad, so bored, and really, the draws just scared me, they are so horrible in many ways ....",1
Spirited Away,It's so boring. The pacing is so slow. The music was the best thing about this movie. A Silent Voice is way better than this piece of trash. :D,1
Spirited Away,"Hated this movie. Completely nonsensical. A person is human, a dragon, but is also a 3 story tall baby in another scene, and this is supposed to make sense. Just one example of nonsensical events that made me feel like I was hallucinating, high, or had a bad fever. You better love totally nonlinear story telling before watching this.",1
Spirited Away,"I have watched many animes and this one isn't good. I don't understand why people love this anime. Maybe I don't know the background story.

However isn't the definition of masterpiece to be understandable for anyone?",1
Spirited Away,"Wow this... I dont like this. Its the worst of all anime i've ever seen. Studio Ghibli have made better movies. MUCH BETTER THAN THIS. Every time i see it it becomes worse. I prefer movies like pokemon, Shrek, monsters inc, Dragon ball battle of gods and other anime movies i dont remember right now. But spirited away is definitely not as them. I want to see movies like Princess mononoke, grave of the Fireflies, my neighbor Totoro and your name. I think video brinquiédos ratatoing, the little panda fighter and Whats up is better than spirited away. When i saw spirited away. Omg i was disappointed. I hope Studio Ghibli wont disappoint me again. I hate the characters and the buildings and everything else. I cant understand why this won an Oscar or why this movie has 8,6. Even better score than smitsv, upp, wall e, coco, toy story, httyd or shrek or monsters inc. The music and the animation is ok but nothing else is. Thats why i give it 1/10. I wish i could give 0/10. I will hopefully never see this movie again. But i will hopefully see more of studio Ghiblis movies.

Hope this was helpful.",1
Spirited Away,"IT is so sad to see animated films that are just a waste of time. Might as well waste time watching new and dumpy cartoons on television. The director has gone crazy with this one, creating odd looking hags, vomiting freaks and a dumb protagonist. There was no point to the magical elements or even imagination that might have been in this movie because it was bloated with eccentricity.

I wonder why, though, because his other film, Princess Mononoke is a wonderful film with a good theme, meaning and character development. It seems that if you want to see animated films, you should just skip over Spiritied Away and try the Triplets of Belleville - that is truly a fine film.",1
Spirited Away,"The human mind tries to make sense of WHATEVER is thrown to it. Just as everyone tried to make sense of this nonesense and some self diluted people were like wow. The maker of this movie probably wanted to bring the most bazaar weird things that do not make any sense at all.

If you want a movie like this but actually has a good plot it would be Alice in Wonderland. But this!! It is so horrible.

1. No sense, no logic 2. Terrible plot 3. No consistency 4. No clarity 5. No appropriate audience, I mean seriously... It just doesn't fit any age.",1
Spirited Away,"This is in no way a movie children should watch. It is messed up Japanese, violent behavior that in no way teaches children anything but fear, submission, inappropriate behavior and that it is OK to treat people badly. How horrible !!!! I can't believe it has so many good reviews . Such a twisted, sad story. I would not recommend this movie. Calling people names is not nice, telling people that they will be killed is not nice. Children should not live in fear, even if it is just a movie character. As soon as the movie started, I wanted to stop but I decided to give it another chance and I regret it so bad. I was really hoping it will be similar to Ponyo or Castle in the Sky, Kiki's delivery service, those were all fairly decent movies.",1
Spirited Away,"OMG this movie sucks butt!!!!

If there was a worse rating than 1 It would be made just for his stinking movie !!!!

When I was younger it gave me nightmares!!

if you are a parent Don't ever let your kids watch this movie!!it will scar them for life!

if you are someone who actually found this entertaining or enjoyable please read and follow these instructions: 1. Get in your car 2. Drive to the nearest mental facility 3. Check yourself into it. 4. Tell them you liked this movie. (they will know what to do!)

but I do admit the sprinkle eating spiders were cute!!!

Don't judge me for having a decent taste of movies!!!

Top 5000 movies are you kidding me!!?????",1
Spirited Away,"This is so creepy, disturbing, and abnormal, honestly don't know what was going on. Good luck redeeming yourself after watching this...",1
