title,comment,rating
Terminator 2: Judgment Day,"And still holds up as a fantastic film, not just of its genre but in general too. Terminator 2: Judgement Day is considered one of the best sequels ever made, and it is a consensus that I agree with. While it does lack somewhat in its predecessor's darkness and brutality, it delivers just as much in the writing and action and feels bigger and richer.",1
Terminator 2: Judgment Day,"Franchisewise, Terminator II is of course a bridge between I and III. Entertainmentwise, it is merely a bridge from humdrum to nowhere. BTW Every other release is now a movie that is either a sequel or part of a major franchise. People complain a lot about the industry being nothing but reboots, rehashes, remakes, and sequels, but, as the box office shows, people are indeed pretty happy heading out to them. Why is that? I'm not happy. It is a taste thing (I hated Terminator II), but actually much more of a big picture thing. Franchises changed the Industry: Avengers, Infinity War, Black Panther, Captain America, Black Widow, Walt Disney Studios. Hollywood studios have always been a business, but it's in the last few years, where they have become part of big conglomerates, that have shareholders and must answer to Wall Street, that the studios have become risk averse to the point of only putting money behind big films. Nowadays, the studios only do award-baiting, artsy films, or 200 million dollar blockbusters. Most studios only look for blockbusters that can make more than 200 million at the box office, while there are no middle-cost productions, where new directors and actors can tell different, unique stories. In a nutshell, it is Money Over Art.",1
Terminator 2: Judgment Day,"OK... the special effects are incredible. The action is spectacular. The music is great. The acting is very good.

But- arnold- his acting is mediocre, hes just being himself and acting dumb.. some lines are so ridiculous.. 'uncle bob?' and if you really think about these time travel plots.. they make no sense.

But its definitely worth a watch. I will give it a7.5, there should be the possibility of this on imdb.

Ok, apart from arnold who is extraordinarily overated.. i cant think of much bad to say. I watched it when i was 11 and theres some nasty stuff in it.. as was in the first film. But this one was rated 15 in uk unlike the originals 18.",1
Terminator 2: Judgment Day,I like the first one but this one was meh John o Connor I just wanted the terminator to turn around and say you know what I had a thought instead of not killing anyone ive changed my mind and your first! He was so annoying.,1
Terminator 2: Judgment Day,"Not only does it have worst acting I have seen a movie in a long time the Visual effects are so horrible nowadays, how could they want awards for editing what do you mean nominated when almost every window that gets broken brakes or explodes before anything gets near it This movie has the worst green screen visual effects how bad were all the other movies this year for this to win so many Oscars",1
Terminator 2: Judgment Day,"I can't understand how such a stupid argument can be praised for lots of people.

The special effects are good, but it is the only thing you can recognize in this nonsense movie.

For me it is Garbage and a waste of time.",1
Terminator 2: Judgment Day,"It's hard to find nothing to like about a movie, but there's nothing good about this one. The first movie was bad enough, and it served as an excuse for bullies to try to invite people over and try to force them to watch it. I'm not sure what they get out of it. I just know they do it. The films are horribly written movies about machines coming back from the future to destroy a guy who is supposed to be all that and a box of cracker jacks. He isn't. In this movie, he's a brat to beat all brats, even for a kid. You just hope he gets killed and the movie ends. None of the characters are likable. The idea of time travel to change the future could be done better than in this movie series by a two year old kid. There's a lot of noise that passes for action, but the action is shot in such a way that you don't really know what's going on. This is how not to make a movie. Too bad you can't vote negative numbers for junk like this. If you haven't seen it, believe me, you aren't missing a thing.",1
Terminator 2: Judgment Day,"Sometime ago I watched this movie to see what the hype was all about. Clearly it was overblown. This movie is a typical Hollywood shoot 'em up, nothing special. I would never ever watch this movie again or recommend it to anyone. If I could rate it lower than 1 star I would. Movies like this add no value.

There's still something more to say about this film, however. Again, this film, like the first one in the series, in 1984, was directed by James Cameron. Not surprisingly, it received critical acclaim, making this review within the minority of those whom disliked this film. Perhaps what I dislike about this film is the grotesque, unrelenting violence by the protagonist, played by Arnold Schwarzenegger. Otherwise I don't have much else to say about this film.

With that, this film clearly deserves a rating of 1 out of 10.",1
Terminator 2: Judgment Day,What a steaming pile of dog manure Mindless boring noisy assault and battery of the senses all to tell a cliched story line No imagination just an endless barrage of action scenes meant to entertain mindless morons Judging by the reviews a lot of people fell for it So pathetic it kind of makes me lose faith in humanity Mindless trash !!!!,1
Terminator 2: Judgment Day,"Yes, this movie has everything you expected, but is it necessarily as good as it is made out to be? The answer is a resounding no. These movies these days seem to be a dime a dozen, add a big name, add some crazy ridiculous storyline and add a few million in special effects and that equals Hollywood success these days. Great movie if you don't want to think about anything or if you're upset and need to see a bunch of explosions. Arnold is everything he is cut out to be... big and strong and a terrible actor. The movie is worth a watch, but this cult phenonmenon that has arisen from this movie is kind of ridiculous to me. I'd like to see movies that have more thought in them then Terminator 2 start to get rewarded.",1
