title,comment,rating
The Grand Budapest Hotel,"Ever since seeing The Isle of Dogs I haven't been able to look away from the unbelievably prevalent and obvious sexism in Wes Anderson's work. I can't believe it took me this long to realise!

So yeah, this film is about men, for men. It is pretty in the way that all Anderson's films are, and playful and superficial as is also usual for him. Nothing bad as such with any of that - but him being celebrated as a filmmaker genius is a bit much. His work is good fun in many ways, and also quite regressive.",1
The Grand Budapest Hotel,"That's the worst movie I've ever seen in my life. Please, kill me. I can't take it anymore. These are the worst 99 minutes of my life. I know I'm never getting them back and that makes me sad and miserable. God have mercy on my soul.",1
The Grand Budapest Hotel,"I've been wanting to watch this movie for years and I'm finally sitting down today to watch it. This has got to be one of the most overrated movies I've ever seen. No, it's not really one 1 of 10. I will say that it is visually delightful. However, I need to rate it a one to help counterbalance this overinflated rating it has. This movie favors trying oh so very hard to be witty/different over trying to make coherent sense. Since when did feeling smart matter more than being clear. Every minute I continue to watch this movie I wish I were watching something else. However, I need to see how it ends because that's how I am when I watch movies. Also, why does the guy telling the story look nothing like himself as a young man? That makes no sense either.",1
The Grand Budapest Hotel,"For the first time in my life, I forced myself to finish a movie. When the movie ended, I was like, oh, the torture is finally over. I couldn't believe my eyes when I read the reviews. Except for a few sane people, no one has seen that this film is a complete waste of time. Or maybe they have a low sense of humor enough to enjoy this stupid movie. If there's a movie that's more boring and corny than this, tell me. No, you can not. That's another level. This is just a visual feast for the eye. That's it. But the dialogue and the treatment of the film's plot are so disjointed. Tons of scenes that were tried to be funny but couldn't go beyond absurdity. If it were the most boring film award, probably no film would stand a chance against it. God, I want my time back.",1
The Grand Budapest Hotel,"This is undeniably the worst movie that I watched recently, and one of the worst that I've ever watched.

This so-called ""movie"" is pure non-sense. It's nothing but a bunch of scenes put one after another with seemingly no purpose. That's all!

The plot, if one could call it that, is often cut off by scenes with insignificant details which seem to be added just to confuse the audience. The movie was probably meant to be a comedy, but there was not even a scene that I found amusing. I got extremely bored watching it and it took me weeks to convince myself to give it a chance and watch it till the end. To add insult to injury, all the goofiness in the movie looks extremely silly to the point that it becomes exasperating.

In the end, I regretted that I forced myself to watch this idiocy up to the end. It was a total waste of time! I would rate it ZERO if I could.",1
The Grand Budapest Hotel,"Don't be fooled by the people who gave high rating.

If compared to other box office movies, like the Avengers, Avatar, Lord of the Rings, and others, this movie is pretty boring, boring, and boring.

If it's a drama movie and compared to other drama movie you'll also agree that it's boring, boring, and boring.

I just don't know where to start. From the setting, the storyline, the writing and everything else, it's just not interesting.

This is actually a fact for any film which is considered ""good"" by some association of film festival. It will never reach very high revenue as other box office movies because it's just boring, boring, and boring.

I don't know why those people have weird taste in movies?

If you say it's a bad movie, but billions of viewers out there watched it in cinema and the film successfully earned hundreds of millions of dollars, then you can say it's a damn good movie! Your opinion sucks!

If you say it's a good movie, but it's only watched by a few million and won a certain award in some film festival, then your the only weirdo in the world. Well actually you are one of those weirdos with bad taste for movie.

In short this movie is just boring, boring, and boring! Trust me! It won't earn a lot of money in the world! So don't even bother of watching it!",1
The Grand Budapest Hotel,"The Grand Budapest Hotel tries hard to be charming, mysterious, funny and dramatic at the same time but doesn't quite achieve the goal. Plainly, it's just an ensemble of American stereotypes of ,,europeanness'' all put together in one pot. A bit more accuracy (like Tarantino) could have helped. Instead, there are tons of references to historical events, all slightly altered and often very randomly put together. In addition to that, there's a lot of completely unnecessary violence. As for the ,,funny'' scenes - I didn't laugh once. Maybe, if you're not familiar with European history and don't mind the completely random mixing of historical references (and accents) you might enjoy this movie - otherwise it's a complete failure.

What a waste of a good plot!",1
The Grand Budapest Hotel,"Nothing ever happens. There are pleny of things going on the screen, but this movie is void of any fun or meaning or vit. It's just boring and tiresome to watch.",1
The Grand Budapest Hotel,"Silly, unbearable, a huge waste of time, and has nothing to do with a comedy-drama film!

No story Ended badly.

The script is horrible.

The scenes were absolutely terrible.",1
The Grand Budapest Hotel,"Yes, Grand Budapest says Wes Anderson all over it... I've been watching Wes Anderson films from the start and with each film, he loses the human aspect along the way, one after the other. It's almost like his ALL STAR cast becomes suppressed and in anticipating their performances you'd hope to see, but instead falls flat. They just become ordinary people to be honest.

Yes, Wes Anderson is praised for having hyper attention to detail in his scenes (which is appreciated), but do you watch a movie to see how organized a bookshelf is in the background? Wes Anderson feeds into these praises for his great attention to detail and sticks to it and then keeps refining it to where his films have fallen off for me. I think he forgot about the rest of us who liked him for being ""unique enough"". Since Moonrise Kingdom, he's gone too far off that I could not appreciate a decent story because it focused too hard on small details that was unnecessary to pay attention to. I'm sorry, but someone has to say it, after watching the trailer for The French Dispatch... I already know what street Wes Anderson took. Yes I want to watch it, but it's only because i'm looking for that next Royal Tenenbaums or Rushmore. However, I'm afraid he's too far past those stages now.

I'll say this, one time I found myself among Wes Anderson fans at a Halloween party and we all went around claiming our favorite film of his and our least favorite... Honestly, we all had different answers because each film struck different heartstrings, which made each of his films equally appreciated. Now, that's the big question, which Wes Anderson film is the best and which is the worst? I saw The Grand Budapest in theaters with another fan of Wes Anderson and we both struggled following each detail of the movie because overall, it was not necessary to pay attention to all the small details and the overly did narrations. It's really cool to have a visually aesthetic backgrounds or scenes, but to say ""hey, look how cool the set is, focus here."" It shouldn't steal the attention away from the storyline. It's not a psychological thriller where we need to know if some detail in that scene will affect the story down the line.

To put everything simply, at first I felt like Wes Anderson catered towards extroverts and the introverted characteristics followed slightly behind. Now, I can say his films are more introverted, they make you look, think and analyze each scene, but oh and look Bruce Willis... oh well... its cool he's in this movie... Wes Anderson needs to come back to a balance I think. Some of these Directors have a climax and peak in their career, I'd say maybe some of Wes Anderson's older fans would agree that he's past his peak. Like M. Night. Shyamalan, who focused too hard on making an epic twist in his films, he fell off over time ( but took the time off and is due for a comeback, hopefully).

Wes Anderson will get the praise for his symmetrical scenes, quirky humor and very cordial character roles. Of course, Wes Anderson fans will say after each film, ""yep thats Wes Anderson."" However, I refuse to be blind and say that's okay or say what else would you expect from him. There's a niche market, but Wes Anderson has gone Hyper-niche. I could introduce one of his earlier films to any of my friends or family and they could get into it and would likely enjoy it. Although, I feel like with his later films, I have more difficulty to pulling in someone brand new rather than someone who's already exposed to his style. That's the huge difference with old vs. new Wes Anderson and so I'll rest my case there.",1
The Grand Budapest Hotel,"Underneath the flamboyance and the deadpan comedy is a cardboard cutout that contains very little. The Grand Budapest Hotel is perhaps a dramatic kind of postmodern parody of early 20th century old films, yet I can't see the appeal of why it is regarded as funny by it's admirers. The main character is a wealthy, flamboyant, hedonistic, bisexual bachelor and con-artist who we are supposed to be rooting for because, presumably, he's 'fun.' We are supposed to find his hedonistic antics and the fact he's had lots of lovers funny too, possibly because the people who do love this film are boring middle-class people are like imagining being in this role? Who knows. It is supposed to be funny that the Lobby boy, the typecasted deadpan sidekick, does all the preverbial heavy lifting due to his laughably diverse skill-sets. But it isn't funny. As the farcical series of pantomime-styled events unfolds, The Grand Budapest Hotel relies on wooden, stilted dialogue and various forms of mise-en-scene to generate some amusement from it's audience but it doesn't really work and comes across as stale, vapid and is infantile farce of a production. To call it pretentious means to call it a film that is under the delusion that the material that it employs is more sophisticated that is actually is and attracts a cohort of idolisers who think likewise.",1
The Grand Budapest Hotel,"I think it is my first review, I think so.

Well what I want to say is that I very much want to sue the maker of this movie and also the voters who have given more than minimum possible rating.

Come on guys, are we kids? Who can give me back my precious time wasted on this ...... I don't know what to say it.",1
The Grand Budapest Hotel,"That an intense and intelligent movie this is. As others have noted, the nods to Italian cinema of the 70's era are bold and brash, yet it's also a quintessential Englishman abroad drama. The atmosphere created by the soundtrack was electric and it felt like hearing the world with new ears when I left the picture house at the end.

Don't expect a neat narrative, this film plays with your senses and your understanding of whose doing what to who and why. It's exceptionally claustrophobic throughout, and the disconcerting edits constantly leave you asking more questions about what's going to take place next.",1
The Grand Budapest Hotel,"Pointless and not funny. I did not enjoy it at all, not even for a minute!",1
The Grand Budapest Hotel,"I would like to know who Wes Anderson knows to keep having his films made and also his connections making the critics praise his films. Most of his movies are trash (Bottle Rocket and Rushmore are decent, mostly due to their actors). Grand Budapest Hotel is by far the worst, tied with Moonrise Kingdom. It's all a lie. People convince themselves his movies are good because they're phony, pretentious dweebs who pretend to like it so as to make themselves feel better by liking a ""quality "" that people not as intelligent can't understand. Stop pretending he's a genius!",1
The Grand Budapest Hotel,"Wes Anderson is my Least favourite director of all time. He is only liked by the yuppies and the barriests of the world. All of his movies suck. This was awful! Myb grandma liked it (""quirky"" appartnely) and well, all I could say was OK BOOMER expect that wasn't a thing then

TERRIBLE! The characterss are really annoying and the plot is inspid.",1
The Grand Budapest Hotel,"Bloody terrible. It seems that IMDb's ratings are always a disappointment when looking for a new movie. I was so bored, unmoved and unamused by this film that I almost fell asleep watching it. I've only ever had that happen once in my life and that was being dragged to see Pink Panther 2 so I'm certain you can weigh up just how terrible and how much I hated this film. My partner wasn't so lucky and began to snore just before the half way point. This movies ratings are based solely on artificial popularity and by that I mean it's rated like a branded hoody: extremely over priced, over RATED and of the same quality as primark. I feel as if nearly an hour of my life has been wasted and I will never get that back.",1
The Grand Budapest Hotel,"It is very unfortunate to have wasted such prestigious actors in this horrible movie. It started ok, the ambience and narration was interesting and funny at first. But what the hell happened? Somehow the movie goes downfall, and suddenly becomes a GORE movie!

The only salvageable thing is the performance of Ralph Fiennes, but even so it fails to save this disaster of a movie.

It is not for sensitive people, contains animal violence, something totally unexpected in a film by this director.

A total disappointment, I do not recommend it to anyone, only if you want to have a terrible time!!!!!!!",1
The Grand Budapest Hotel,Just go and sleep or read or do something else than watching this hyped movie.,1
The Grand Budapest Hotel,"This is a film that deserves zero stars ( one reason being it has one of the biggest wastes of talent in Motion Picture History ( Finnes, Murray, Law etc)). It also reached a stage of Political Correctness that I have never seen before ( the bad guys are Nazi's are they afraid to offend Germans?). It also has the dubious distinction of being one of the very few movies that I do not get the point of (especially the scene in the Hotel with Jeff Goldblum where you have no idea what happens to that character?). Did I forget to mention that it was supposed to be a comedy? It forget to include laughs. Even Satire and 'Chick Flick' Romantic Comedies have at least one laugh. The repeat gag ( about the chocolate) was not funny the first time ( let alone the second). Basically it is awful and unless your brain works in a different way then most of us ( me included), you should avoid. Maybe that is why it was nominated for Oscars ( because Hollyweird does not think like the rest of us). Zero Stars.",1
The Grand Budapest Hotel,"The worst movie i ever seen. Has a line of action quite good, colorful screens , but the movie itself is awful. You are expecting to get some action , you have it but it's unsatisfying.It let's you cold. The entire film keeps you waiting but at the end , I was bored. Inginious filming , made screen by screen.

Also 7 of my friends have the same opinion. One of them had watched only 20 min . This are my opinions.I don't watch a movie to evaluate each role in part , or it's making , or the costumes. I watch a movie , and a good one for me is that has a story ,and the entire movie doesn't make me bored.",1
The Grand Budapest Hotel,My husband liked this and I thought it was one of the most stupid films ever which was just quite frankly weird and very very long!,1
The Grand Budapest Hotel,"This was the first movie I ever walked away before it ended, actually just an hour after it started.

I am sorry but I could not cope with so much silliness, stupidity, bad acting and confusion. I think that even some of those American teenage movies are more fun than this one.

In fact the photography of the movie is very nice, I liked the buildings, the style, as I admire heritage buildings but this was the only thing this movie could offer really.

I had high expectations of this movie but it ended up being the worst disappointment I ever had.

Terrible !",1
The Grand Budapest Hotel,"This could involve SPOILERS (you have been warned) So recently decided to watch this film, watching the trailer I had quite high hopes for the film.The film makes no sense characters come and go constantly so every character seems to be pointless. You care about no character in the film.Also one of the characters between past and present changes race which seems to make no sense. This is by far one of the worst films and a an absolute waste of 100 minutes of my life.

The only thing someone may like about this film which I did not agree with is, if they like films that are odd and disjointed

If I could give this a rating of 0 I would, it is the worst film I have seen in years Do not watch this film!",1
The Grand Budapest Hotel,Boring and silly movie !!! Not recommended & waste of time !,1
