title,comment,rating
The Lord of the Rings: The Return of the King,"I know all the fans of the books loved the LOTR movies, but I never could stomach the books, never got more than 125 pages into the first one, even though I tired a dozen times. The books were tremendously dull, and uninspired. the movies were very true to this vision. Think about it for a few minutes, what exactly happened over the course of about 10 hours of film ? A few creatures went for a walk with some computer animated ""battles"" along the way. Big whoop. Dull, bored me to sleep. If I could write ten lines about how dull this movie series was, I might inspire you readers to the same amount of dis-interest that these movies make arise in me. I was enthralled by a lot of the scenery shots, but the dull color palette used in most of the scenes was just as unappealing as the dull plot. I'm not going to bother comparing this to another series of movies, because I can't think of another instance of such patently dull movies being so universally heralded. I wish some really good books would be afforded the lavish treatment these dry tomes got.",1
The Lord of the Rings: The Return of the King,"Not since the godfather has there been such a long boring and overrated trilogy! The characters are wooden and uninteresting, the story is simple and executed like it's suppose to be a masterpiece but instead it's just a boring CGI long walk to the top of a mountain. Which let's be honest could have been fine in a two hour movie not a 13 hour trilogy. Spoiler! They take a long long long oh god long walk to the top of a volcano and drop a ring into it compelling story telling at its best (not)! The scary movie franchise is more compelling and I can't stand them either so that says it all.",1
The Lord of the Rings: The Return of the King,"I was not a huge fan of Fellowship of the Ring when I first saw it. The Two Towers was an improvement, though I still could not figure out why so many people were putting these films on such a pedestal. Since then, the two films have grown on me and I was actually psyched to see Return of the King.

It proved to be the best of the lot. The movie was long, but it didn't feel long. The action, characters and storylines are now more familiar to me than when I first saw Fellowship and Return of the King proved to be an entertaining and rewarding experience.

The acting, as with the previous entries, is excellent. The dialogue is crisp. The special effects, mindblowing. And the storytelling, though sometimes confusing, is for the most part captivating.

Frodo's approach to the fiery pit of Mount Doom probably ranks as the trilogy's single best sequence.

Much has been said about the movie's number of endings. I think they were appropriate and welcome groups of epilogues.

Because a lot of the moviegoing public is on a Lord of the Rings high, not a whole lot is said about the trilogy's flaws. And just like in the previous entries, this film has its share.

For one, there has been some talk about a homoerotic chemistry between Frodo and Sam in the previous films. Well, you ain't seen nothing yet. There were times where I thought Frodo and Sam were perfectly capable of planting a big wet one on each other's lips and declaring their love for one another. Imagine Han Solo stopping in the middle of the Death Star to proclaim his feelings for Luke Skywalker and you get the idea. Merry and Pippin have similar scenes. It was just too distracting. There's also a lot of crying in this film. But to the film's credit, Peter Jackson somehow makes it work.

I was also disappointed there were not more scenes of wizardry and magic. A lot is said about how the Lord of the Rings trilogy blows away the Star Wars prequels with its use of special effects. I have to say that while that is true to a degree, some of what is up in Return of the King looks like CGI. Sometimes, though rarely, horribly so.

Viggo Mortensen, for me, steals the show as Aragorn. He's kinda like the Lord of the Rings version of Han Solo, but more fleshed out. He's tough, cool and a lady's man, but there's room here for more human characteristics.

Ian McKellan's performance as Gandalf ranks right up there as well. The other characters, like Gimli and Leogalas, have become loveable and kind of like old friends. We're glad to see them and glad to see their competitive friendship in the heat of battle.

Finally, I was really concerned when I heard that Christopher Lee's scenes were deleted. I still say that was a mistake, but it was not nearly as distracting as I thought it would be.

This was a great, satisfying way to end the trilogy and, for once, the third film is the best film.",1
The Lord of the Rings: The Return of the King,"I could not watch this properly, far too much shakycam jerking the camera around all over the place, could not see what was going on without feeling dizzy... I recommend you give it a miss unless you want a headache.",1
The Lord of the Rings: The Return of the King,"Well, as all of the Tolkien's books are nothing more than some dumb fairy-tales , any movie based on Tolkien's book is gonna...(well Jay and Silent Bob fans, you know the quote).I don't like, but I tolerate fanatsy in gerenal, but this is by far! Anyone who likes sitting and watching orcs and goblins speaking single-minded lines about some trashcan-worth ring for 2 hours are welcome. Any sane person KEEP OUT! 0/10",1
The Lord of the Rings: The Return of the King,Obviously i am aware of the fact that the lord of the rings trilogy is a movie but since it was released in parts that's how i am judging the way of king is the final chapter and since it is not but it is in some ways so i am just saying that its about time to be aware of the movie or not but since it was the last chapter and since it is the climax and resolution of the movie which has a little more intensity and urgency than the previous installment thankyou,1
The Lord of the Rings: The Return of the King,"""I KNOW this movie is garbage"" -Casey Glendening and its an insult to humanity that it be ranked so high on the best films of all time. It is a boring cash cow for Hollywood only strangling real films from ever getting off paper and into the aperture. I would like to thank the academy for my opinion because they decide what is righteous and unmarred. I would like to thank the millions of non-thinkers who voted this so high and voted for President Bush. I know you must be all one in the same and statistics show you thirst for mindless violence more so than anyone else, so why not make a pointless three and half hour yawn fest your favorite film when the production studios final destination for bunkum such as this is a video game. Feel free not to have an opinion, just do what others tell you.",1
The Lord of the Rings: The Return of the King,"This movie was terrible, long and boring. Both my wife and I hated it. I love Star Wars (the old ones). I am told I am just not a fantasy fan, but I think I am just not a fan of badly done commercialized fantasy. If I want to see a documentary on New Zeland landscape, I will rent it. The movie should tell a compelling story. With 20 characters, and none of them even close to well developed, I had no attachment to any of them. Yes, I did not read the books. I actually read ""The Hobbit"" as a kid and loved it, and remember it well. I think they were just too true to the books, and didn't realize that the books don't make a good movie unless you have read and loved the books. Call me the Grinch, I am not harsh on most movies. All my friends love this movie and are avid fans. I have no idea how it is anywhere in the top 250. Maybe I could say this is a decent flick if you have nothing mildly stimulating to watch some weekend, or need a decent rental. My wife walked out of this movie, I bared through it in the theaters just to give it a chance. I would never rent it, don't bother. Dragonslayer from back in the day does it much better, and with triple the drama and action.",1
The Lord of the Rings: The Return of the King,"This movie was awful for me first and foremost because it did not draw me in to the story, for only seconds at a time did I care for or could I make sense of the story and the acting, I was simply bored and restless. And the directing was awful. The cinematography boring and predictable. The editing confusing. The score predictable. The storyline infantile. The acting, without any exception TERRIBLE. The lenght insane. The events too much for fantasy. The CGI effects hokey. It is a childs movie a la Jungle book. It belongs on Nickelodeon between Spongebob and Johnny Bravo. In fact, there oughta be a law against Peter Jackson movies.",1
The Lord of the Rings: The Return of the King,"I think it is the worst film I've seen in a long time and I've seen the original Star Wars.The characters are so annoying and I wished they all died at the end of the film. I wised Orlando Blooms character Legalos would be shot in the face with an arrow by Lurtz. Also I think Aragon should get a hair cut and have a shave because ll you see is hair! Also what is up with that little guy Gimli he is so annoying he makes little jokes (which are not even funny) during a supposedly serious film. The group always overact about everything what is the point of Leglos saying ""Blood has been spilt this night"" and walking right up to the camera this look very mincy. How did it win Best Film Award! How did it win any award!Also the other two films were just as bad They could have cut the films lengths by half if they did not put in so much pointless chatter. It would also help if they had real actors and did not rely on CGI so much",1
The Lord of the Rings: The Return of the King,"The Lord of the Rings: Return of the King is certainly this century's masterpiece. It has everything that a person could want in a film. It has an amazing story, impressive special effects, top quality acting, and some of the best cinematography of the past years. It will scare you, it will make you cry, it will make you laugh and jump with joy and gasp at the immense scale of the epic tale. This is the film that over ran films such as Star wars and Citizen Kane as. Everyone in the world should be made to watch it. It is a film that will be around for hundreds of years and will continue to amaze people even then. A truly amazing film.",1
The Lord of the Rings: The Return of the King,"Without the use of computer graphics, this film would not be worth the price of a cheap bargain day 3 for 1 special rental at the local video store. True the locations and cinematography add to the film, however, heaven forbid that the cast should either have to act, or in the case of the veteran actors, overact! CG removed, and this thespian (in name only) grouping are woefully short of the depth and quality characterization brought forth in the classic book. The direction is sporadic, and the pace is inconsistent, leaving little to the imagination why so much of the budget was spent on computer technicians instead of acting lessons. Sorry for all those who jumped on the lemming band wagon for this one, but, lift your heads above middle earth and return to the land of the living.",1
The Lord of the Rings: The Return of the King,"However, the real acting triumph of the film is Elijah Wood as Frodo Baggins. He continues his descent into corruption with an incredible talent that many could not pull off. Wood's performance is so critical to the film because it determines the ring's power to corrupt, which, needless to say, is absolute.

The first two films established Jackson as an incredible visionary, shooting vast landscapes from his native New Zealand. With 'Return of the King,' Jackson really gets a chance to show off. With, hands down, the most beautiful visuals of the trilogy, Jackson makes 'Return of the King' a gorgeous feast for the eyes, while never resorting to McG level over-the-topless. Jackson stays very grounded in his characters, not letting the effects tell the story, but only assist the wonderful dialog and characters. Think of 'Return' as a mix of 'Fellowship' and 'Two Towers,' with enough action and character development worthy of ending a film event of this magnitude.

The bottom line, fans of the films will not be disappointed. Hardcore Tolkien lovers might be upset by plot changes and interpretations made by Jackson and the other writers, however, it is unrealistic to expect a completely true adaptation of the novels, being that film is an entirely different medium. Despite the alterations, Jackson consistently stays true to the major themes and ideas from the original text, while adding some of the finest film-making ever put to screen. 'The Lord of the Rings: The Return of the King' is one of the most finely tuned and cinematically perfect films ever made. Not only the best of the trilogy, but a crowning achievement in epic film-making.",1
The Lord of the Rings: The Return of the King,"how can people vote for this one I dont understand, it has no political, sociological or human qualities whatsoever, it may be entertaining but its scope is more like a football game or time spent playing a video game, entertainment pure and simple.If this ever wins an Oscar it will only serve to cheapen the value of those awards, how can people pick this over Schindlers list or Sunset Blvd is beyond me.It may be good entertainment value but it will never be a classic in the classic sense.",1
The Lord of the Rings: The Return of the King,"Actually I was hoping for a grand finale! Since the first installment was a glorious epic tale, and the second was a piece of rubbish, I was thinking that this moive would at least save the triology's face. All starts good, with a nice version of ""the becoming of Gollum"". But to my dissapointment, once again, the story is told with the use of too much action scenes and some bland conversations. And a gruesome amount of corny one-liners! The feel of an epic dissappears the moment the first flashback comes and the undeniably bad actress Liv Taylor makes an appearance. Yuck! Adn what's the deal with Eowen? She was alright in ""The Two Towers"" but now she suddenly becomes this ""girl power"" icon. ""I'm not a man!"", she says and slays a Nazgul... So what you say? Well, it's not the fact that she isn't a man that kills the Witchmaster, but the fact that it's a Elven blade that strikes him. And if I recall it correctly it's Merry who deals that strike. If the movie only would of stayed true to the book! WHY DOESN'T IT? This was a once in an eternity opportunity... and that dork Peter Jackson blew it! As a movie-fan I'm appaled and as a Tolkien fan I'm angry! RAPE!!!",1
