title,comment,rating
The Matrix,"The matrix is a good movie, There is no doubt about that. However, it does not deserve to be the number eleven slot on the Imbd top movie list. The movie may be a classic, but it is not a top tier movie.",1
The Matrix,"""The Matrix"" is a timeless masterpiece that revolutionized the science fiction and action genres with its groundbreaking visuals, complex themes, and unforgettable characters. Keanu Reeves, Laurence Fishburne, and Carrie-Anne Moss deliver exceptional performances, while the film's innovative special effects and philosophical depth make it a captivating and thought-provoking experience. As it continues to influence and inspire new generations of filmmakers and audiences, ""The Matrix"" remains an essential must-watch that stands as a testament to the limitless possibilities of cinematic storytelling.",1
The Matrix,"I have never walked out on a movie in the movie theatre until this one.. BUERK! I'm not brain-washed to think it holds any value. Cheesy, boring, and all around awful.",1
The Matrix,Best woke cringe movie manipulation and camouflage ever,1
The Matrix,People are very generous with the ratings. I have given 1 star for only good action.,1
The Matrix,"Hands down the most overrate movie in history. Terrible story and plot, jerky scene flow. Cast is subpar at best with the second most boring actor (K. Reeves) Hollywood has ever seem ( only Matt Damon is worse). CGI is over the top and inspired many terrible clones in subsequent movies. All in all this is a D listed movie that stumbled its way into a box office hit.",1
The Matrix,"Basic plot terrible CGI even for the time, and Keanus acting if you could call it that really makes this movie fall into a coma. Literally everything about this movie is terrible and a huge eyesore.",1
The Matrix,"This movie had great special effects for the time but they've become very dated and some even laughable. Unfortunately that was the effects were the only thing this movie had going for itself, the plot is idiotic and the acting isn't much better. It's loaded with meaningless dialogue and very dull characters to deliver it.

The movie is so unoriginal and done more poorly than other films about machines taking over the planet. The fact that it takes place in the future but they're using computer technology that was advanced at the end of the 20th century it has become funny in the last 20+ years.",1
The Matrix,"Funded by corporations. Actions scenes are the lamest of all century in any move of movie history. No content at all, there was attempt in trying to bring viewer into matrix, but it failed. No words could describe how it is terrible, i am putting 1 because this movie should not even exists. Trinity and Neo scenes most of them kind of decent, there were few other not bad scenes, but in overall - delusion. It is always work out for movies when corporations try to push political views or some ideologies keep it up :D. And I was and hope still am biggest fan of matrix, but with this trash how can you even look back into matrix after seeing this mental institution material.",1
The Matrix,"This movie is about a guy who lost balance and by falling backwards succed in avoiding a couple of bullets. Thats it, sorry for spoiling",1
The Matrix,"You know a movie is bad when your favorite character is a bad guy. In this case, the ""Agents"", especially Agent Smith, almost steal the movie. And while the cinematograpy and stunts were good (for 1999 anyway), the storyline was fairly predictable. The bad guys shoot about as well as Star Wars Storm Troopers. If you want to see what this movie is like from a comic perspective, watch The Lego Movie.",1
The Matrix,"""the messiah will save you from a world you didn't know it wasn't real""...where the hell I've head that one? Oh, yes. IN A GAZILLION OF OTHER MEDIAS THAT DID IT BEFORE THE MATRIX, meaning books, animes, comic books, etc. Etc. Etc. Etc. Hell, the most known fantasy book ever, the bible, is based on these same ideas of The Matrix, so what was original in this crap to begin with? The clothes? The green screen taken from Ghost In The Shell? The art deco style...sorry, that is is a far better movie (Dark City), I meant the late 90's industrial style taken directly from Trent Raznor and the likes? Nope, the answer is simply one: the CGI. Other than that, there is NOTHING in this movie that wasn't already a sci-fi trope from the 30's on (The Most Dangerous Game anyone?). Legitimately the most overrated movie of the century for the most overrated movie trilogy of all times. Avoid at all costs.",1
The Matrix,"First Version It is such a pitty that misfits like this come to such an appreciation these days. No sign of philosophy whatsoever, just a sort of foggy net of actions pretending to be intelligent that loom the idea of an universal manipulation and a whole load of special effects, very much to the liking of unsensitive freaks.

Second Version Yet, all that could be true, and all of us just little wheels of an evil mechanism. The manipulation consists of making a mockery of serious things and esoterical truths. Once a movie like this appears, the watchful eye is distracted.",1
The Matrix,"The writings of Larry and Andrew Wa... who cares? This is a movie devoid of fantasy, I have had this DVD for 18 years, and now I decided to have a look. There is no story, but rather a concept, stolen from the series ""V"", mankind becomes food, or rather energy for the machines they created.....

Boring as hell, and the plot holes are plentiful, and unsympathetic characters.",1
The Matrix,"I love Sci Fi movies, but sitting through this piece of garbage was just torture! This movie definitely makes my bottom 10 of all time.

The movie was boring, I had no idea what was going on half the time, because I couldn't seem to pay attention. I found this movie uninteresting, hard to follow, unbelievable when I was was able to follow along and the acting left a lot to be desired. If it weren't for the special effects, I believe this movie would have been a total flop because the story was terrible.

This just proves that if you have enough special effects in a movie, that people will watch anything. Needless to say, I won't be watching any sequels to this film. I'd rather have my eyeballs gouged out with salad tongs!",1
The Matrix,"Popularity contests have always struck me as quite stupid, and when a stupid movie becomes popular, I immediately think of all the popular kids in my school and how vapid they were and then I understand the audience this type of movie is meant for. No thanks, I will stick with my Guy Maddin and George Kuchar Films, thank you very much.",1
The Matrix,"It has been a long time since I watched this movie the first time. I was motivated to watch again after the creators revealed what was really about, and evaluate how I connected to the story - and rate appropriately. Why don't you try it yourself? Right now the rating stands at 8.7.",1
The Matrix,"At the start of the movie, Thomas A. Anderson (Keanu Reeves) is a loser with no friends or family. He's also very passive and a borderline coward. But by the end of the movie he has become Neo, the chosen One. He's now the most special being in the entire universe, so naturally, he gains superpowers and a smoking hot girlfriend to match.

The problem is he never works for any of this. He's as passive as a protagonist can get. To begin with, the reason Neo meets Trinity in the first place is because she hacked his computer and told him to meet her. She then takes him to see Morpheus, who shows Neo what reality is, breaks him free from the prison pod he's in, and rebuilds his body. So far, Neo has accomplished nothing on his own. Everything has been done for him. But it gets worse...When Neo is learning martial arts, he's still not working for it, because the skills are magically being uploaded into his brain. And when the big moment comes near the end of the movie, when Neo gets killed but comes back to life, it's not because he dedicated his whole existence to becoming super virtuous and it earned him a miracle from God, but because Neo was always...The One! So no work from his part there either. And also no work at all at getting the girl. Neo never makes a move on Trinity. Not even the slightest one. But still he gets her. For free. Why? Because, as Trinity reveals, the Oracle told her she would fall in love with The One!

Neo has got to be the laziest, most undeserving and entitled hero EVER, as hollow as the Matrix itself.",1
The Matrix,"Lewis Carroll was a bad bad person. His Alice's Adventure's in Wonderland is referenced in this movie, and that book/movie should not be in any household. For good reason.

Lilly Wachowski values certain minority groups' rights higher than the survival of humanity, as Elon Musk is the only person in the world who can save humanity-from self-extinction-with Neuralink and with the help of Tesla artificial intelligence data.

SpaceX won't even be needed as humanity literally can't run from the dangers on Earth. We will have to face the issue of artificial intelligence explosion head on, before it's too late.",1
The Matrix,"What did I just watch? I want those wannabe Men in Black agents to erase my memory after that. So confusing, unnecessarily weird. Very overrated, watch a classic movie actually worth your time instead.",1
The Matrix,"Be advised; the text below *** CONTAINS SOME SPOILERS ***

Only thing that kind of disturbed me after seeing this great entertaining action/thriller was that why on earth those machines granted us humans with that pseudo-world in the first place? I don't think that machines would care less if we'd see our actual horrid reality rather than that artificially created 'nice' one. Am I supposed to believe that a machine has a sense of morality and pity? A machine with a consciousness? That's a good one. ;) That's not even too unique idea to begin with and even if so, that's really not too plausible here when considered how gruesome and ruthless those machines and their world is portrayed in this film's actual reality -not in that VR called the Matrix. Slightly controversial, yes, but if you can get past that you're facing a truly mind-blowing action/thriller movie experience!

But what about the city of Zion -humankind's _last_ refuge? We didn't get even a quick peek at it, why? And why did the machines just let Reeves escape from that alien fish tank (whatever it was!)? He simply pulls those freakish tubes off, after that the creepy spider-like machine comes poking around and decides to lift him up and throw him in the sewer pipes. Which it does. Reeves lands in water, tries hard to stay in the surface and *WHAM* the next moment he wakes up in Morpheus' and his crew's ship. (I'm not 100% sure if that's how it went, I might have missed something during these two scenes but I simply can't remember anymore since -let's face it- everything in this flick seems to happen at triple fast-forward! Heheh!)

I mean what the **ll was that suppose to be? While they're examining Keanu in the ship we learn that he's too weak to use his muscles (They in fact have to be re-built!) let alone use his eyes (Having never before used them in real life.)! And still he had somehow managed to get rid of the tubes stuck up in his a... body while being trapped as a human battery (Now that's witty, really!) in that container and struggled to stay afloat in water JUST a few moments ago! There are even more confusing stuff in the film than just these that I mentioned. I just hope the sequel(s) will provide us with well-reasoned answers to all those questions troubling -at least- me but hopefully you too. ;)

All those biblical referrals and enough ambiguous and cool philosophical one-liners and quotes plus a dialogue and a plot which messes with you head more than you'd like to, are pretty easy ways to make a movie seem more intellectual, sophisticated and even artistic to some content than it really is. Basically you can come up with any conclusions and try your best to reason what this flick really was about and still you don't know if you're right or wrong. I suppose everybody can see this movie in so many different ways if so wants. And that's just great! At least I personally like movies that really make me wonder and question stuff -no matter in what way that goal is achieved.

Cool, cold and distant acting. Some may consider that as bad acting, but frankly said that sort of style fits like a glove in the film's dark and ""mildly"" bizarre atmosphere. Great mind-boggling plot. Really far-out wicked special FXs! And maybe most intense (read: FAST!!) action scenes I've ever seen. Visually stunning. What else you wanna hear?? Go see this in some quality movie theater. Hold on to your seat and enjoy the ride!

PS. Would _you_ have taken the blue pill...? I would have.",1
The Matrix,Ghost in the shell movie story is stolen from the matrix and even the events and some shots are copy pasted from the animated movie it self. Hollywood directors are shameless stealing anime series and movie plots without recognition it.,1
The Matrix,"Never seen so much bull-shoot(you know what I'm trying to say) in one single movie. I made account on IMDb only because of this movie, to rate it. So disappointed. I watched because it was so famous, now I'm just thinking how this movie won Oscars. Now I'm thinking that i should just go ahead and make a movie and complete it in a week. And i hope i will win an Oscar for making the weirdest and the worst movie. I know my review doesn't make any sense but I'm just writing to complete the minimum word length for a review. All in all, if you have not watched this movie, you are good. You are enjoying your life. Keep it that way.",1
The Matrix,"This is the biggest crap movie I've ever tortured myself through. How on earth did it reach the Top250 list? Is it because people feel committed and therefore ""must"" love it? I can't see no other reason at all. It gave me absolutely nothing. OK, the special effects are maybe good, but what's the use of it when the story is as far beyond realism as you possibly can get? People that liked this movie have said that this could be the reality in 100-200 years from now on, and even earlier. Excuse me, but how stupid can you get? Nothing of it will even be reality in a billion years. It is impossible to ""fuck up"" brains like that. It will never happen that a human being that knows absolutely nothing about how to control a helicopter, can have all the knowledge and experience thats needed transferred to its brain in just hundreds of a second. People, please, get a life, get realistic...",1
The Matrix,"Although a bit skeptical, I decided to give it a go. It is a film revered by thousands and watched by millions. What can go wrong ? a lot in fact. Keanu Reeves plays the role of Thomas Anderson, Neo - quite creative this name - but you might as well call him ""The one"". The place where his revelation occurs is a ship with the name of ""Zion"". I don't have to further it. It kicks off with some noir atmosphere seasoned by disconnected and encoded dialogs; it might prompt you believe you are watching something serious. Don't fall for that. Then it goes downhill. You never get to know why these aliens are on earth ?!!? what is their angle after all ? The so-called Zion ship flies from nothing to nowhere with some fights with robot-aliens to help them pass the time. The story-telling is sketchy, more riddled than a fishnet. It tries to be serious and ends up as ludicrous.",1
